Gene_Name,SX1316_1,SX1316_2,SX1316_3,SX1636_1,SX1636_2,SX1636_3,SX1888_1,SX1888_2,SX1888_3,SX3249_1,SX3249_2,SX3249_3,wt_avg,mut16_avg,prg1_avg,deps1_avg,Input,Suggested Match,History
Y38C9A.1,0,0.713070157,0.655090329,1.540196729,1.528003851,1.561981301,0.715086795,0.927072622,1.153123357,1.009546955,0.652223668,0.825703233,0.657946116,2.226646813,1.344246865,1.196222065,Y38C9A.1,WBGene00018975,"Public name for Dead gene WBGene00021411. History of WBGene00021411: Merged into ""WBGene00018975"" on 2015-03-09; Merged into ""WBGene00018975"" on 2015-03-09"
W03F9.1,0,0.599008895,0.580814021,0.920109347,0.860585545,0.789285689,-0.156420885,-0.012252058,-0.662762637,0.905484166,0.538548283,1.017248137,0.56737489,1.235899413,-0.399835996,1.183625765,W03F9.1,WBGene00020999,Public name for WBGene00020999. History: N.A.
W03F9.10,0,0.648719436,0.591845046,1.41772895,1.314703825,1.307312459,0.298484104,0.513575689,-0.355669925,0.677219446,0.368535358,0.549235647,0.596585409,1.942706805,0.219477133,0.767028271,W03F9.10,WBGene00021004,Sequence name for WBGene00021004(sftb-2). History: N.A.
W03F9.3,0,0.688978015,0.761695273,-10.10968403,-10.10968403,-5.274709156,-5.167657749,-10.10968403,-6.378075752,0.24302484,-0.050609298,0.876885963,0.697626386,-12.26005959,-10.41405449,0.514225326,W03F9.3,WBGene00021001,Public name for WBGene00021001. History: N.A.
DC2.3b,0,-0.052208153,0.080768394,-3.364516724,-3.2823605,-3.350940133,-3.901944586,-4.450186476,-4.148925079,-2.213677509,-2.137639352,-1.844937114,0.013734573,-4.80793384,-6.011737233,-2.979768294,DC2.3b,WBGene00017080,Molecule name for WBGene00017080(lec-12). History: N.A.
DC2.5,0,-0.934918093,-0.839248729,-6.659873616,-6.750989112,-7.46619591,-5.248931303,-5.520919816,-5.391508676,-1.596011894,-1.358059914,-1.71420078,-0.853193892,-10.03974299,-7.77197121,-2.244964571,DC2.5,WBGene00017082,Public name for WBGene00017082. History: N.A.
R02C2.1,0,-0.542274638,-0.499882473,-5.995533951,-5.488812447,-5.61623258,-7.07779709,-10.10968403,-5.872301315,-0.902848179,-0.903737631,-0.779327983,-0.501171632,-8.223640163,-11.08941125,-1.243561668,R02C2.1,WBGene00019814,Public name for WBGene00019814. History: N.A.
R02C2.4,0,-0.43422197,-0.478450227,-7.557935662,-6.55043887,-6.572498488,-7.446276334,-7.865900846,-6.423102115,-1.423147418,-1.377334618,-1.433029629,-0.438902551,-9.945397649,-10.45245988,-2.035888762,R02C2.4,WBGene00019816,Sequence name for WBGene00019816(nhr-204). History: N.A.
F33E11.3,0,0.091119013,-0.004720814,-0.906093384,-0.695378663,-0.591599233,-1.82301774,-1.776268391,-2.017015545,-0.361767418,-0.390863261,-0.191881446,0.041548751,-1.054644353,-2.700870192,-0.45421432,F33E11.3,WBGene00018011,Public name for WBGene00018011. History: N.A.
F33E11.1,0,-0.374669272,-0.315446289,-5.058131506,-5.169655874,-5.289089655,0.641276741,0.69600658,1.104897308,-3.675699684,-3.50211071,-3.874342546,-0.331875432,-7.462040516,1.174440627,-5.314962079,F33E11.1,WBGene00003614,Sequence name for WBGene00003614(nhr-15). History: N.A.
T22H9.1,0,0.401696459,0.29006619,1.054626349,1.129876469,0.989815261,-0.489879833,-0.070136194,-0.674807813,0.424521452,-0.033932183,-0.08466088,0.332667514,1.526524317,-0.593824743,0.147120457,T22H9.1,WBGene00020705,Public name for WBGene00020705. History: N.A.
F48G7.4,0,-0.639673813,-0.516599708,-6.727970971,-5.278641426,-6.330320461,-8.120389039,-7.441401262,-6.152753211,-1.196355902,-1.052616406,-1.372664617,-0.556050025,-8.8182007,-10.44248808,-1.741639211,F48G7.4,WBGene00018615,Public name for WBGene00018615. History: N.A.
R09E12.3,0,0.337420462,0.237328148,0.941693991,0.960314149,0.928063361,-0.219410316,-0.095419381,-0.622270787,0.357413393,0.16737705,-0.050584222,0.276395656,1.360976707,-0.450650074,0.228044988,R09E12.3,WBGene00019983,Sequence name for WBGene00019983(sti-1). History: N.A.
H24K24.5,0,0.208347462,0.141185569,-3.814747379,-4.088184433,-4.01493387,-0.495385526,-0.559065698,-1.296600099,-2.58002668,-2.612028843,-2.674797625,0.168089857,-5.731281906,-1.130616695,-3.783156675,H24K24.5,WBGene00001480,Sequence name for WBGene00001480(fmo-5). History: N.A.
Y50D4C.5,0,0.39457017,0.393232266,1.148972224,1.101414701,1.149003478,0.305348392,0.264119666,0.045636882,0.617581864,0.323738188,0.615138464,0.378852889,1.634761225,0.295802949,0.748498327,Y50D4C.5,WBGene00021749,Public name for WBGene00021749. History: N.A.
Y50D4A.6,0,-0.392554057,-0.399498628,-4.493822592,-5.226791975,-4.283770697,0.830854179,0.755121567,1.291364737,-1.665407344,-1.231397005,-1.411420955,-0.380896827,-6.734685724,1.383708282,-2.071818427,Y50D4A.6,WBGene00195169,Public name for WBGene00195169. History: N.A.
C39F7.5,0,0.283072027,0.300524349,-2.272866588,-2.769447193,-2.434831866,4.240209668,4.302045164,4.524785706,-0.845117397,-0.936616659,-0.608104968,0.280650533,-3.595746982,6.283918194,-1.149269636,C39F7.5,WBGene00016540,Public name for WBGene00016540. History: N.A.
Y75B7AL.4a,0,0.713296598,0.634052194,1.392910652,1.389693844,1.315313447,0.488966395,0.614142585,0.009218012,0.834263537,0.541345655,0.737625352,0.647937807,1.970681965,0.534916212,1.016250999,Y75B7AL.4a,WBGene00022286,Molecule name for WBGene00022286(rga-4). History: N.A.
F16B4.6,0,-0.054019733,-0.120922294,-3.524340462,-3.72929201,-3.640594476,-0.166212902,-0.083523656,-0.228037129,0.334271387,0.315439738,0.458845307,-0.084129332,-5.239015731,-0.229760576,0.533102956,F16B4.6,WBGene00017508,Public name for WBGene00017508. History: N.A.
Y46H3C.7,0,0.116002626,0.186480369,-5.187259388,-5.394265772,-4.842498342,-0.665519464,-0.652788799,0.360258755,-1.53936816,-1.55542129,-0.949243186,0.145463572,-7.417387406,-0.460724425,-1.94476861,Y46H3C.7,WBGene00021607,Public name for WBGene00021607. History: N.A.
Y46H3C.6,0,-0.236950827,-0.231498743,-6.649671721,-6.740787218,-6.731098137,-0.411025828,-0.484630211,0.026593966,-0.93127492,-0.985557589,-0.4798811,-0.225276624,-9.676423536,-0.417930514,-1.152575613,Y46H3C.6,WBGene00021606,Public name for WBGene00021606. History: N.A.
T10B5.3,0,0.802700859,0.617911326,1.564498041,1.716846099,1.683225659,0.538676213,0.724633027,0.206433308,1.038946703,0.90592546,0.755435073,0.683170051,2.38745341,0.706796762,1.298573286,T10B5.3,WBGene00020389,Public name for WBGene00020389. History: N.A.
T10B5.6,0,0.921762363,0.701058149,1.710903573,1.786580661,1.700059237,0.775832902,0.894639972,0.177945484,1.194226297,0.803845834,0.952574122,0.780411702,2.499490063,0.888901333,1.418960906,T10B5.6,WBGene00020392,Sequence name for WBGene00020392(knl-3). History: N.A.
Y32G9A.2,0,-0.334492473,-0.403785308,-6.404009736,-7.593737521,-10.10968403,0.45732054,0.428213958,0.761509072,-3.572963537,-3.363011714,-3.156838876,-0.355036564,-11.59322386,0.79206053,-4.85361763,Y32G9A.2,WBGene00021301,Public name for WBGene00021301. History: N.A.
Y40B10A.2,0,-0.795107856,-0.604892887,-6.191419948,-6.282535445,-6.582326804,-5.925609939,-6.499385131,-6.309349369,-3.127341366,-3.070274329,-2.647193279,-0.673258043,-9.164134608,-9.009315272,-4.253454015,Y40B10A.2,WBGene00021487,Sequence name for WBGene00021487(comt-3). History: N.A.
F36F12.8,0,-0.016038741,-0.059557584,-0.897686309,-0.689081754,-0.796755124,3.711010686,3.736254366,3.999155406,0.080338951,-0.0569057,-0.653717367,-0.036354148,-1.146232361,5.504564677,-0.30310259,F36F12.8,WBGene00018099,Sequence name for WBGene00018099(ztf-28). History: N.A.
F22F7.5,0,-0.239182293,-0.086295444,-4.72960236,-4.361185528,-5.025099031,-5.02340814,-4.52674192,-4.693381102,-2.516930108,-2.488235,-2.21754288,-0.156521706,-6.788306685,-6.849690591,-3.473388332,F22F7.5,WBGene00000514,Sequence name for WBGene00000514(ckb-4). History: N.A.
F41B5.1,0,-0.03446529,-0.035245239,-4.843901586,-4.555527461,-4.813975857,-5.249498772,-5.095777303,-5.463087181,-0.772488917,-0.716653702,-0.704380783,-0.033523678,-6.835202923,-7.602215758,-1.054861778,F41B5.1,WBGene00023284,Public name for WBGene00023284. History: N.A.
Y19D10A.4,0,-0.010854025,0.083117808,-3.467415819,-3.717292608,-3.779041872,1.843207467,1.901760396,2.046654761,-1.917800483,-1.866675682,-0.588335103,0.034751534,-5.272449395,2.785181746,-2.10287771,Y19D10A.4,WBGene00021219,Public name for WBGene00021219. History: N.A.
C01B4.7,0,-0.010854025,0.083117808,-3.467415819,-3.717292608,-3.779041872,1.843207467,1.901760396,2.046654761,-1.917800483,-1.866675682,-0.588335103,0.034751534,-5.272449395,2.785181746,-2.10287771,C01B4.7,WBGene00015271,Public name for WBGene00015271. History: N.A.
F53E10.4,0,-0.340116809,-0.33201187,-6.602464983,-6.981262552,-6.715640097,-4.986728257,-5.352285548,-5.062166328,-0.54474857,-0.270270475,-0.392463665,-0.323225571,-9.761932339,-7.406402067,-0.580676439,F53E10.4,WBGene00018760,Sequence name for WBGene00018760(irg-3). History: N.A.
W02G9.5,0,0.036248095,0.05552195,-1.703761338,-1.366369233,-1.44948067,-2.278280521,-2.330180253,-2.500948828,0.973780065,0.923633016,1.432059909,0.044132063,-2.173473575,-3.418903325,1.601138057,W02G9.5,WBGene00020955,Sequence name for WBGene00020955(angl-1). History: N.A.
W02G9.1,0,-0.589870469,-0.556804885,-4.666975937,-5.686078205,-5.302672715,1.061764519,0.98815984,1.500031154,-5.536870662,-5.499295329,-5.237358129,-0.551434282,-7.528813166,1.707167738,-7.825910849,W02G9.1,WBGene00003579,Sequence name for WBGene00003579(ndx-2). History: N.A.
W02G9.3,0,0.426541674,0.454868299,1.189263345,1.16904367,1.1695414,0.087838189,0.208353688,-0.267142563,0.890411883,0.623278189,0.797981021,0.423868599,1.696536471,0.013969767,1.111678807,W02G9.3,WBGene00020953,Public name for WBGene00020953. History: N.A.
T03D3.5,0,-0.013055268,0.058588855,-3.382241912,-3.68307794,-3.640599036,-2.289753331,-2.251269001,-3.219268948,-0.646035969,-0.73662488,-0.931482958,0.021897027,-5.148458696,-3.731911249,-1.112867931,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
T24A6.20,0,-0.882077846,-0.815106339,-6.032535935,-6.018290916,-5.251893173,-5.815516091,-5.972776339,-5.639639733,-1.975403009,-1.805399977,-2.402995682,-0.816173069,-8.320849458,-8.381063768,-2.973778557,T24A6.20,WBGene00020756,Public name for WBGene00020756. History: N.A.
T22F3.4,0,0.150570308,0.135229035,-0.097504978,0.157006966,0.196882185,-0.494418932,-0.49089237,-0.931945475,1.490527633,1.72049556,1.37018726,0.137440432,0.123294725,-0.922005615,2.203096534,T22F3.4,WBGene00004422,Sequence name for WBGene00004422(rpl-11.1). History: Renamed on 2005-09-09
T22F3.12,0,-0.074174768,-0.112829496,-5.459978883,-5.956559488,-5.978619105,-5.46610259,-6.866556355,-5.983373412,-0.681249485,-0.623860045,-0.470181242,-0.089930041,-8.365302475,-8.808149683,-0.853734398,T22F3.12,WBGene00044705,Public name for WBGene00044705. History: N.A.
K07C6.15,0,0.391621757,0.497857983,-10.10968403,-5.964281534,-10.10968403,0.100228732,0.032976753,-0.744071386,-1.240317797,-1.201739827,-0.993536614,0.427749337,-12.59167381,-0.293764402,-1.65217159,K07C6.15,WBGene00005961,Sequence name for WBGene00005961(srx-70). History: N.A.
Y45G5AM.8,0,0.712166506,0.509198603,1.550002206,1.558333547,1.612092013,0.834883127,1.043228092,0.587566273,1.127939603,0.98244199,0.981520949,0.587352462,2.27004591,1.18574023,1.486890821,Y45G5AM.8,WBGene00021560,Sequence name for WBGene00021560(coh-4). History: N.A.
Y45G5AM.2,0,0.515537439,0.456099444,1.127376321,1.08649471,1.087596239,0.452097531,0.527580105,0.090403451,0.990428696,0.756831335,0.919622824,0.467258571,1.587670153,0.514600226,1.282499557,Y45G5AM.2,WBGene00021555,Sequence name for WBGene00021555(pid-5). History: N.A.
H43I07.3,0,0.381099924,0.423381415,1.027756249,1.081710027,1.024546417,0.121240396,0.264381281,-0.296999046,0.914745622,0.529464104,0.710404671,0.386873746,1.507141523,0.042618477,1.036150502,H43I07.3,WBGene00019276,Sequence name for WBGene00019276(algn-5). History: N.A.
F32D1.1,0,0.494141513,0.391268782,1.116533367,1.22211609,1.216171414,0.304096052,0.455941828,0.080452118,0.894910443,0.649804943,0.89113741,0.425792347,1.709507481,0.404190251,1.171397583,F32D1.1,WBGene00017981,Sequence name for WBGene00017981(figl-1). History: N.A.
F32D1.10,0,0.640382413,0.52482107,1.185859789,1.214245836,1.217861106,0.416711074,0.56802109,-0.032541234,0.640193423,0.363748562,0.689994436,0.560344429,1.73987422,0.457907044,0.814611225,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
Y61A9LA.12,0,-0.17141317,-0.15543322,-4.253938241,-4.250010189,-4.457473029,-3.507737564,-3.364834614,-3.966327363,-1.347183767,-1.256171452,-1.48649712,-0.157179889,-6.233126154,-5.212408872,-1.966803229,Y61A9LA.12,WBGene00044586,Public name for WBGene00044586. History: N.A.
Y61A9LA.4,0,-0.514384461,-0.543185733,-6.727206849,-6.590677662,-5.659993364,-3.394168566,-3.219030799,-3.4106641,-2.802463987,-2.561103187,-2.67113344,-0.508583758,-9.126430099,-4.820459371,-3.863874244,Y61A9LA.4,WBGene00022016,Public name for WBGene00022016. History: N.A.
Y61A9LA.8,0,0.400251634,0.326143882,1.070709177,1.052924954,1.075317099,-0.244596895,-0.149817288,-0.493253071,0.644547418,0.563026379,0.54339598,0.349322403,1.538370359,-0.426877715,0.842038471,Y61A9LA.8,WBGene00022019,Sequence name for WBGene00022019(sut-2). History: N.A.
Y61A9LA.9,0,-0.500688588,-0.424799972,-6.423693158,-7.955562933,-8.270292165,-0.37970429,-0.462053568,0.23054771,-5.812355366,-5.600528963,-5.563345926,-0.445065919,-10.89213032,-0.29392995,-8.163841067,Y61A9LA.9,WBGene00022020,Sequence name for WBGene00022020(hpo-39). History: N.A.
Y61A9LA.10,0,0.302831502,0.171305901,0.650402413,0.625533742,0.623785964,-0.405999935,-0.169987115,-0.983253462,0.087729203,-0.280235687,-0.055159584,0.228011893,0.913573227,-0.749836185,-0.119102203,Y61A9LA.10,WBGene00022021,Public name for WBGene00022021. History: N.A.
K03B4.1,0,0.274379311,-0.031114275,0.290033403,0.279566125,0.32196936,-0.648254384,-0.475934222,-0.934413486,0.74404413,0.964994206,0.60306691,0.116985754,0.428754004,-0.989978343,1.111887591,K03B4.1,WBGene00019353,Public name for WBGene00019353. History: N.A.
C18G1.5,0,0.620015166,0.505286041,0.977772767,1.099903111,1.011944285,0.512361145,0.621923675,0.301071646,1.375684979,1.345930158,1.366134248,0.54115549,1.485793229,0.690260552,1.965791922,C18G1.5,WBGene00001855,Sequence name for WBGene00001855(hil-4). History: Renamed on 2010-11-12
R02F11.4,0,0.342157115,0.284690088,0.028543647,0.117616752,0.050673919,0.000940909,0.094431717,-0.044934012,-0.102346754,-0.41076265,-0.162992723,0.301449784,0.094657298,0.024255846,-0.325136395,R02F11.4,WBGene00019842,Public name for WBGene00019842. History: N.A.
C37H5.8,0,0.073555682,-0.154563766,0.296187539,0.408880942,0.337163105,0.330460204,0.545302002,0.090279155,0.33789658,0.272966873,0.134554193,-0.038956654,0.501207447,0.464567694,0.358470114,C37H5.8,WBGene00002010,Sequence name for WBGene00002010(hsp-6). History: N.A.
C37H5.5,0,0.73717268,0.741080777,1.555464202,1.583132241,1.64014783,0.623594001,0.81364238,0.389733044,0.986056166,0.725846042,0.704740544,0.710889644,2.298090221,0.878586576,1.162159505,C37H5.5,WBGene00016508,Public name for WBGene00016508. History: N.A.
T19H12.2,0,0.349996645,0.256569259,0.913915276,1.084767837,1.05250151,0.304909238,0.325643394,0.240345098,0.927189236,0.824538549,0.663477934,0.291696541,1.467309641,0.418813279,1.161468438,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
F26G5.9,0,-7.4e-05,0.021730478,-0.092731864,-0.026651952,-0.091281223,-1.094108805,-0.925398557,-1.35205642,1.560379884,1.716599453,1.458651353,0.010414555,-0.101308469,-1.621379449,2.277356971,F26G5.9,WBGene00006523,Sequence name for WBGene00006523(tam-1). History: N.A.
Y58A7A.2,0,-0.585955799,-0.457389728,-10.10968403,-10.10968403,-7.425603228,-6.913086713,-5.828633828,-6.331745247,-1.345347743,-1.301015627,-1.601112596,-0.501743139,-13.29442099,-9.172398168,-2.042604171,Y58A7A.2,WBGene00021976,Public name for WBGene00021976. History: N.A.
C04F5.9,0,0.348096887,0.310143932,-1.376099853,-1.439816375,-1.383914451,-3.173983029,-2.825236939,-3.062645192,0.520637109,0.231201569,0.911326873,0.316546922,-2.019691631,-4.357835976,0.799813564,C04F5.9,WBGene00015451,Public name for WBGene00015451. History: N.A.
C04F5.1,0,-0.024711045,0.019309967,-3.056889845,-2.871018558,-2.992313098,-4.286940971,-3.862595413,-3.92102101,2.122817451,2.181931267,1.998025624,-0.002597369,-4.289719774,-5.804711098,3.030993762,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
C03A7.2,0,0.037373688,0.068975255,-4.295603333,-4.692100479,-4.435446694,0.620220832,0.635557411,0.303131729,-0.113588499,0.052325603,0.303295072,0.051143031,-6.455170889,0.749677229,0.116392873,C03A7.2,WBGene00015366,Public name for WBGene00015366. History: N.A.
Y47A7.1,0,0.844714979,0.667330384,0.733964579,0.828476427,0.86723555,0.363091793,0.545693775,0.08401521,0.915824581,0.552971352,0.736250704,0.727140116,1.168427439,0.477436253,1.060403283,Y47A7.1,WBGene00021613,Sequence name for WBGene00021613(ttc-37). History: N.A.
F08F3.8,0,0.220772449,0.198159462,-4.354604342,-4.956545462,-4.727290651,-4.092884318,-3.835890952,-5.542975175,-0.592435623,-0.867700243,0.014008198,0.201463663,-6.751062809,-6.47854252,-0.695440405,F08F3.8,WBGene00017264,Public name for WBGene00017264. History: N.A.
ZC317.1,0,0.414109052,0.342334619,0.295747102,0.391826127,0.438527873,-0.059948929,0.017347496,-0.396384079,0.149812395,0.212354422,0.227162984,0.363772511,0.541540158,-0.211107407,0.283407727,ZC317.1,WBGene00022587,Public name for WBGene00022587. History: N.A.
T05C3.6a,0,-0.320527932,-0.009885975,-4.828042433,-10.10968403,-5.634364728,3.013791691,2.932003661,3.381633444,-2.303487639,-2.263127087,-2.207769369,-0.158895502,-9.893084647,4.485545089,-3.257790113,T05C3.6a,WBGene00020256,Molecule name for WBGene00020256(T05C3.6). History: N.A.
T05C3.5,0,0.88008922,0.652122552,1.050571123,1.070481077,0.988912733,0.519906177,0.669763747,-0.29902514,0.479966069,0.245783922,0.342728988,0.736838108,1.495576995,0.428309604,0.513829775,T05C3.5,WBGene00001037,Sequence name for WBGene00001037(dnj-19). History: Renamed on 2005-12-16
