Gene_Symbol,Wild_type,YY913,Coverage,Input,Suggested Match,History
nrde-2,0,1103,0.454,nrde-2,WBGene00011333,Public name for WBGene00011333. History: N.A.
mtr-4,0,1063,0.548,mtr-4,WBGene00012342,Public name for WBGene00012342. History: N.A.
CELE_F40A3.6,267,137,0.57,CELE_F40A3.6,WBGene00018221,Other name for WBGene00018221(F40A3.6). History: N.A.
hrde-1,0,100,0.246,hrde-1,WBGene00007624,Public name for WBGene00007624. History: Renamed on 2012-08-29
hsp-1,9,86,0.347,hsp-1,WBGene00002005,Public name for WBGene00002005. History: N.A.
C06G4.1,0,77,0.278,C06G4.1,WBGene00015557,Sequence name for WBGene00015557(hrpk-2). History: N.A.
rps-3,4,77,0.672,rps-3,WBGene00004472,Public name for WBGene00004472. History: N.A.
vit-2,25,72,0.28,vit-2,WBGene00006926,Public name for WBGene00006926. History: N.A.
nrde-4,0,70,0.262,nrde-4,WBGene00001584,Public name for WBGene00001584. History: Renamed on 2011-05-17
nrde-4,0,70,0.014,nrde-4,WBGene00001584,Public name for WBGene00001584. History: Renamed on 2011-05-17
rpl-6,2,70,0.401,rpl-6,WBGene00004417,Public name for WBGene00004417. History: N.A.
car-1,11,56,0.3,car-1,WBGene00012484,Public name for WBGene00012484. History: Renamed on 2005-12-05
rps-11,16,52,0.31,rps-11,WBGene00004480,Public name for WBGene00004480. History: N.A.
rps-18,0,51,0.409,rps-18,WBGene00004487,Public name for WBGene00004487. History: N.A.
rps-4,17,51,0.498,rps-4,WBGene00004473,Public name for WBGene00004473. History: N.A.
rpl-4,0,50,0.429,rpl-4,WBGene00004415,Public name for WBGene00004415. History: N.A.
vit-6,30,49,0.239,vit-6,WBGene00006930,Public name for WBGene00006930. History: N.A.
nrde-1,0,48,0.322,nrde-1,WBGene00007577,Public name for WBGene00007577. History: N.A.
vit-1,6,47,0.145,vit-1,WBGene00006925,Public name for WBGene00006925. History: N.A.
eft-3,54,46,0.285,eft-3,WBGene00001168,Other name for WBGene00001168(eef-1A.1). History: Renamed on 2005-09-08; Renamed on 2010-08-03
rps-14,0,46,0.309,rps-14,WBGene00004483,Public name for WBGene00004483. History: N.A.
rpl-3,0,44,0.332,rpl-3,WBGene00004414,Public name for WBGene00004414. History: N.A.
rack-1,3,41,0.458,rack-1,WBGene00010556,Public name for WBGene00010556. History: N.A.
rps-17,1,41,0.354,rps-17,WBGene00004486,Public name for WBGene00004486. History: N.A.
rps-0,4,39,0.645,rps-0,WBGene00004469,Public name for WBGene00004469. History: N.A.
vit-3,12,39,0.232,vit-3,WBGene00006927,Public name for WBGene00006927. History: N.A.
rpl-7,2,36,0.463,rpl-7,WBGene00004418,Public name for WBGene00004418. History: N.A.
vit-5,8,36,0.051,vit-5,WBGene00006929,Public name for WBGene00006929. History: N.A.
prp-8,0,32,0.148,prp-8,WBGene00004187,Public name for WBGene00004187. History: N.A.
rpl-5,1,32,0.509,rpl-5,WBGene00004416,Public name for WBGene00004416. History: N.A.
rnp-5,0,31,0.149,rnp-5,WBGene00004388,Public name for WBGene00004388. History: N.A.
Ighg1,48,29,0.186,,,
hrpf-1,0,28,0.264,hrpf-1,WBGene00020936,Public name for WBGene00020936. History: N.A.
rpa-0,4,28,0.263,rpa-0,WBGene00004408,Other name for WBGene00004408(rla-0). History: Renamed on 2010-03-08
rps-8,1,27,0.519,rps-8,WBGene00004477,Public name for WBGene00004477. History: N.A.
rps-9,0,27,0.46,rps-9,WBGene00004478,Public name for WBGene00004478. History: N.A.
