# The gene names are based on WS215 annotation,
# ALG-3/4 targets,
Public name,Cosmid name,Input,Suggested Match,History
aagr-3,F40F9.6,aagr-3,WBGene00009583,Public name for WBGene00009583. History: N.A.
abt-1,C24F3.5,abt-1,WBGene00000019,Public name for WBGene00000019. History: N.A.
abt-5,Y53C10A.9,abt-5,WBGene00000023,Public name for WBGene00000023. History: N.A.
AC7.3,AC7.3,AC7.3,WBGene00014997,Public name for WBGene00014997. History: N.A.
acdh-12,E04F6.5,acdh-12,WBGene00017125,Public name for WBGene00017125. History: N.A.
acdh-5,C37A2.3,acdh-5,WBGene00016491,Public name for WBGene00016491. History: N.A.
acdh-8,K05F1.3,acdh-8,WBGene00019406,Public name for WBGene00019406. History: N.A.
acl-9,ZK40.1,acl-9,WBGene00022646,Public name for WBGene00022646. History: N.A.
aco-2,F54H12.1,aco-2,WBGene00000041,Public name for WBGene00000041. History: N.A.
acs-10,AH10.1,acs-10,WBGene00007082,Public name for WBGene00007082. History: N.A.
acs-18,R09E10.3,acs-18,WBGene00011173,Public name for WBGene00011173. History: N.A.
acs-19,C36A4.9,acs-19,WBGene00007969,Public name for WBGene00007969. History: N.A.
acs-4,F37C12.7,acs-4,WBGene00018152,Public name for WBGene00018152. History: N.A.
acs-6,ZK1127.2,acs-6,WBGene00022849,Public name for WBGene00022849. History: N.A.
act-1,T04C12.6,act-1,WBGene00000063,Public name for WBGene00000063. History: N.A.
act-2,T04C12.5,act-2,WBGene00000064,Public name for WBGene00000064. History: N.A.
act-3,T04C12.4,act-3,WBGene00000065,Public name for WBGene00000065. History: N.A.
agef-1,Y6B3A.1,agef-1,WBGene00012386,Public name for WBGene00012386. History: N.A.
AH6.3,AH6.3,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
ahcy-1,K02F2.2,ahcy-1,WBGene00019322,Public name for WBGene00019322. History: Renamed on 2005-02-01; Renamed on 2015-03-05
aip-1,F58E10.4,aip-1,WBGene00000097,Public name for WBGene00000097. History: N.A.
aipl-1,K08F9.2,aipl-1,WBGene00010685,Public name for WBGene00010685. History: Renamed on 2009-02-16
air-1,K07C11.2,air-1,WBGene00000098,Public name for WBGene00000098. History: N.A.
air-2,B0207.4,air-2,WBGene00000099,Public name for WBGene00000099. History: N.A.
alh-11,F42G9.5,alh-11,WBGene00000117,Public name for WBGene00000117. History: N.A.
alh-8,F13D12.4,alh-8,WBGene00000114,Public name for WBGene00000114. History: N.A.
