# The gene names are based on WS215 annotation,
# CSR-1 not ALG-3/4 targets,
Public name,Cosmid name,Input,Suggested Match,History
aak-1,PAR2.3,aak-1,WBGene00019801,Public name for WBGene00019801. History: N.A.
aak-2,T01C8.1,aak-2,WBGene00020142,Public name for WBGene00020142. History: N.A.
aakb-2,Y47D3A.15,aakb-2,WBGene00012928,Public name for WBGene00012928. History: N.A.
aars-2,F28H1.3,aars-2,WBGene00000197,Public name for WBGene00000197. History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
aat-9,Y53H1C.1,aat-9,WBGene00000010,Public name for WBGene00000010. History: N.A.
abce-1,Y39E4B.1,abce-1,WBGene00012714,Public name for WBGene00012714. History: N.A.
abcf-1,F18E2.2,abcf-1,WBGene00006512,Public name for WBGene00006512. History: N.A.
abcf-2,T27E9.7,abcf-2,WBGene00012097,Public name for WBGene00012097. History: N.A.
abcf-3,F42A10.1,abcf-3,WBGene00018339,Public name for WBGene00018339. History: N.A.
abl-1,M79.1,abl-1,WBGene00000018,Public name for WBGene00000018. History: N.A.
abts-1,F52B5.1,abts-1,WBGene00009920,Public name for WBGene00009920. History: N.A.
acbp-5,T12D8.3,acbp-5,WBGene00011731,Public name for WBGene00011731. History: Split into T12D8.10(WBGene00023450). History of WBGene00011731: N.A.
acdh-13,C28C12.9,acdh-13,WBGene00001566,Public name for WBGene00001566. History: Renamed on 2008-04-17
acdh-3,K06A5.6,acdh-3,WBGene00019433,Public name for WBGene00019433. History: N.A.
acin-1,C43E11.1,acin-1,WBGene00016601,Public name for WBGene00016601. History: N.A.
acl-11,F28B3.9,acl-11,WBGene00017888,Public name for WBGene00017888. History: N.A.
acl-4,F49H12.6,acl-4,WBGene00018657,Public name for WBGene00018657. History: N.A.
acl-6,F08F3.2,acl-6,WBGene00017261,Public name for WBGene00017261. History: N.A.
aco-1,ZK455.1,aco-1,WBGene00000040,Public name for WBGene00000040. History: N.A.
acs-11,F41C3.3,acs-11,WBGene00018269,Public name for WBGene00018269. History: N.A.
acs-13,Y65B4BL.5,acs-13,WBGene00022037,Public name for WBGene00022037. History: N.A.
act-4,M03F4.2,act-4,WBGene00000066,Public name for WBGene00000066. History: N.A.
adm-2,C04A11.4,adm-2,WBGene00000074,Public name for WBGene00000074. History: N.A.
adr-1,H15N14.1,adr-1,WBGene00000079,Public name for WBGene00000079. History: N.A.
adr-2,T20H4.4,adr-2,WBGene00000080,Public name for WBGene00000080. History: N.A.
age-1,B0334.8,age-1,WBGene00000090,Public name for WBGene00000090. History: N.A.
agl-1,R06A4.8,agl-1,WBGene00011050,Public name for WBGene00011050. History: N.A.. Other name for WBGene00008775(mogs-1). History: N.A.
agt-1,Y62E10A.5,agt-1,WBGene00000093,Public name for WBGene00000093. History: N.A.
agt-2,F09E5.13,agt-2,WBGene00000094,Public name for WBGene00000094. History: N.A.
