# Supplementary File 7. Genes upregulated in pie-1(K68R),log2Foldchange >=2,padj<=0.05
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
B0511.11,82.7855844277782,3.01720162550058,0.252209597846208,1.08302415259805e-36,9.00386897773564e-34,Spermatogenic,B0511.11,WBGene00015236,Public name for WBGene00015236. History: N.A.
C55C3.3,350.548409181938,1.54665744788283,0.165607410828031,1.56695839727285e-21,7.164917271530121e-19,Spermatogenic,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
cls-3,481.488169452638,1.91367374282777,0.115436131550101,8.715191042059941e-63,1.13857745828055e-59,Neutral,cls-3,WBGene00013847,Public name for WBGene00013847. History: N.A.
F43E2.6,16.8515316131318,1.22369563934749,0.657979223384446,8.01668282508766e-05,0.005390629737899,Spermatogenic,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
F58G1.7,58.9789395032667,1.59094784525943,0.260203103299562,1.1340930926579501e-10,2.88091148121027e-08,Neutral,F58G1.7,WBGene00010269,Public name for WBGene00010269. History: N.A.
H19N07.3,120.777452432929,1.36865981242101,0.206805866738756,4.26623570346256e-12,1.3004908502721701e-09,Neutral,H19N07.3,WBGene00010407,Sequence name for WBGene00010407(scb-1). History: N.A.
his-47,79.6924515191636,1.02474106273012,0.470797178700149,5.95756892371332e-05,0.0042234083571595,Neutral,his-47,WBGene00001921,Public name for WBGene00001921. History: N.A.
mlt-11,40.7691160362401,2.19435889572083,0.596108298942941,1.17174482484608e-06,0.0001409948213581,Other,mlt-11,WBGene00012186,Public name for WBGene00012186. History: Renamed on 2005-03-17
T03D3.5,431.656190397966,1.13301054398151,0.103348200310921,5.89200889660378e-29,4.4902017799534696e-26,Neutral,T03D3.5,WBGene00020183,Public name for WBGene00020183. History: N.A.
T10D4.6,875.87215322203,1.43214993673805,0.0711005200591481,6.08127072925218e-91,1.85377402730037e-87,Neutral,T10D4.6,WBGene00020408,Public name for WBGene00020408. History: N.A.
unc-31,41.0076316100718,1.02563651824179,0.93354504601929,0.0002536671763339,0.0141450385827685,Neutral,unc-31,WBGene00006767,Public name for WBGene00006767. History: N.A.
Y37A1B.17,1289.31162110965,1.40832605550625,0.087141429311197,1.78922180363844e-59,2.0453041742841897e-56,Oogenic,Y37A1B.17,WBGene00044989,Sequence name for WBGene00044989(dnbp-1). History: N.A.
Y71H2AM.10,80.7617468577001,1.25680389877777,0.327517817872641,2.62504755046646e-06,0.0003038741753039,Neutral,Y71H2AM.10,WBGene00022175,Public name for WBGene00022175. History: N.A.
