# Supplementary File 7. RNA-seq data from dissected gonads of wild-type,pie-1(ne4303[K68R]),and pie-1::degron::gfp (Log2 fold change >=2,p-value<=0.05).
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
acdh-1,251.306761630386,1.43426686192424,0.206983806913245,2.0947343113506e-14,5.15861468700329e-13,Neutral,acdh-1,WBGene00016943,Public name for WBGene00016943. History: Renamed on 2004-08-25
acdh-10,2177.48386159399,1.06862794049619,0.0655031891056822,1.3954519601873901e-61,2.1154689261386302e-59,Oogenic,acdh-10,WBGene00020366,Public name for WBGene00020366. History: N.A.
acdh-2,43.2583336408685,1.44909514936915,0.538877494628379,5.25480896980181e-05,0.0003387045008531,Other,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
acdh-5,17.6713276228254,1.66859977175554,0.891819496450335,0.0003857797543733,0.0019934515594511,Spermatogenic,acdh-5,WBGene00016491,Public name for WBGene00016491. History: N.A.
acox-1.2,8.42024015217837,2.05060364306053,1.40005515417105,0.0007211350670585,0.0034684011692518,Other,acox-1.2,WBGene00008565,Public name for WBGene00008565. History: Renamed on 2015-04-29; Renamed on 2017-01-05
acox-1.5,25.9632947376418,1.72861713841289,0.755948358249545,0.0001314162316243,0.0007639550158124,Neutral,acox-1.5,WBGene00008167,Public name for WBGene00008167. History: Renamed on 2015-04-29; Renamed on 2017-01-05
acp-6,123.523858355478,3.78075267063886,0.286525518909983,9.93236021443443e-41,1.02602159985038e-38,Neutral,acp-6,WBGene00022245,Public name for WBGene00022245. History: N.A.
acs-14,19.7945260350244,1.33601794095638,0.782636527530773,0.0007752728057134,0.0036922723219475,Neutral,acs-14,WBGene00008669,Public name for WBGene00008669. History: N.A.
act-5,340.568580572446,1.06290477164465,0.155094986331287,2.04895931944202e-13,4.5731361636418096e-12,Neutral,act-5,WBGene00000067,Public name for WBGene00000067. History: N.A.
alg-3,19.8686211976922,1.05373469142553,1.08778125865685,0.0055569413576727,0.0202453734294988,Spermatogenic,alg-3,WBGene00011910,Public name for WBGene00011910. History: N.A.
alg-4,16.4782735436594,2.74269180563467,1.56661282756792,0.000255655268724,0.0013822436089931,Spermatogenic,alg-4,WBGene00006449,Public name for WBGene00006449. History: Renamed on 2013-12-23
amt-4,10.9859173213768,1.68843427316133,1.26345076957998,0.001254074306515,0.005612505964129,Neutral,amt-4,WBGene00000136,Public name for WBGene00000136. History: N.A.
amx-1,925.959511783682,1.44345700565694,0.105477148640515,4.76474187060903e-45,5.67539100567543e-43,Oogenic,amx-1,WBGene00000137,Public name for WBGene00000137. History: N.A.
ant-1.3,58.7988800159143,1.69936431200212,0.410645876757633,2.25380592671335e-07,2.29369455819747e-06,Spermatogenic,ant-1.3,WBGene00010485,Public name for WBGene00010485. History: Renamed on 2014-03-03
ant-1.4,7.72299458439744,1.20051058489016,1.25515862404684,0.0044392168235674,0.0167104088943899,Spermatogenic,ant-1.4,WBGene00020140,Public name for WBGene00020140. History: Renamed on 2008-06-04; Renamed on 2008-11-21; Renamed on 2014-03-03
argk-1,5.26563656572466,3.93229207684631,2.15714405629786,5.44764768085117e-05,0.0003496120490948,Other,argk-1,WBGene00009706,Public name for WBGene00009706. History: N.A.
asp-12,22.7376117568176,1.41342092849571,1.62457699542297,0.0032037326585294,0.0126555571313078,Neutral,asp-12,WBGene00017678,Public name for WBGene00017678. History: N.A.
asp-14,11.8081169618813,2.25421840808313,1.10738553194046,0.0002024594831376,0.0011259216515795,Other,asp-14,WBGene00019619,Public name for WBGene00019619. History: N.A.
atgp-1,263.182691424667,2.18793483881926,0.167534879702385,3.70676039079106e-40,3.57595157369455e-38,Neutral,atgp-1,WBGene00000224,Public name for WBGene00000224. History: Renamed on 2008-02-28
B0205.10,14.3186584411461,1.69063084995288,1.8157319273937,0.0018793057321514,0.0080150295255401,Spermatogenic,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
B0218.7,7.51307986069302,1.50824795914361,1.7921277270858,0.0024785444278806,0.0101837554053682,Spermatogenic,B0218.7,WBGene00015051,Public name for WBGene00015051. History: N.A.
B0261.6,13.2301888451332,2.70810248172452,2.02185585587937,0.0003788288040925,0.0019621576313384,Spermatogenic,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0280.11,6.37527501666197,1.8136050514049,1.68432303699352,0.0015609897277148,0.0068270637285932,Spermatogenic,B0280.11,WBGene00015106,"Public name for WBGene00015106. History: Split into B0280.17(WBGene00044674). History of WBGene00015106: Split into ""WBGene00044674"" on 2005-11-18"
B0280.17,13.523030191323,1.13105961576164,1.49832396993751,0.0056345208965744,0.0204832645361922,Other,B0280.17,WBGene00044674,Public name for WBGene00044674. History: N.A.
B0361.9,52.2007116815575,1.66109599482304,0.412369910849998,3.59833578052743e-07,3.5565938667313e-06,Neutral,B0361.9,WBGene00015163,"Public name for WBGene00015163. History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
B0379.7,15.353709669984,1.97121805990733,1.90254596753489,0.0011848683302899,0.0053463347582041,Spermatogenic,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
B0393.4,3.14208950491556,1.33615499540442,1.8194334977692,0.0028532973201209,0.0114534180253684,Spermatogenic,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
B0393.8,169.11611886865,1.05964150140979,0.322868510944498,2.10508969928276e-05,0.0001483859423896,Neutral,B0393.8,WBGene00007173,Public name for WBGene00007173. History: N.A.
B0511.11,247.003735486626,3.52621579446666,0.194371303074468,1.9699914038731202e-74,3.7089854286146597e-72,Spermatogenic,B0511.11,WBGene00015236,Public name for WBGene00015236. History: N.A.
bcmo-2,10.2988718574394,1.25313561078414,1.06045010265066,0.002750271284947,0.011112466842917,Other,bcmo-2,WBGene00018755,Public name for WBGene00018755. History: N.A.
bro-1,6.31684225357562,1.99826341797618,1.61387680348327,0.001065263086508,0.0048898214741677,Other,bro-1,WBGene00000272,Public name for WBGene00000272. History: N.A.
C01B10.11,11.8247984018544,1.63261332637661,1.40426369093861,0.001809531722203,0.0077713994824413,Spermatogenic,C01B10.11,WBGene00044294,Public name for WBGene00044294. History: N.A.
C01B10.6,64.0080548448254,1.84699262445934,0.473330230985054,6.7265248099118e-07,6.4096917637633e-06,Neutral,C01B10.6,WBGene00015280,Public name for WBGene00015280. History: N.A.
C04F12.7,10.3330009691816,1.18229373206492,1.59335629433326,0.0047958269498679,0.0178569977626182,Spermatogenic,C04F12.7,WBGene00007301,Public name for WBGene00007301. History: N.A.
C04G2.2,13.8346671873097,1.41259079210461,1.00077642232452,0.0013951560325224,0.0061548210006179,Other,C04G2.2,WBGene00007305,Sequence name for WBGene00007305(ttbk-5). History: N.A.
C04G2.9,124.607630015224,6.27608171216161,1.3943903728292,1.27789987245531e-08,1.59539307071346e-07,Spermatogenic,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C05B5.2,7.74802632332388,1.52650720081932,1.79452349951014,0.0024129621117254,0.0099458003990716,Spermatogenic,C05B5.2,WBGene00007320,"Public name for WBGene00007320. History: Split into C05B5.17(WBGene00219314). History of WBGene00007320: Split into ""WBGene00219314"" on 2011-11-21"
C08D8.1,11.3044054337907,1.17182933646451,1.06022807410181,0.0035860826928255,0.0139070907884893,Other,C08D8.1,WBGene00015592,Public name for WBGene00015592. History: N.A.
C08F11.10,5.0494519725539,1.32160566570369,1.73806746664619,0.0033401500947012,0.013105738506033,Spermatogenic,C08F11.10,WBGene00007457,Public name for WBGene00007457. History: N.A.
C09B8.4,113.247708707605,1.01428979550803,0.262176853345613,3.27334400422914e-06,2.75088153789537e-05,Neutral,C09B8.4,WBGene00015623,Public name for WBGene00015623. History: N.A.
C09G5.7,330.508191592084,1.56093864382001,0.174540154949905,1.77609905629428e-21,7.65033368417826e-20,Spermatogenic,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
C10G11.8,43.7121123546625,2.55962008603794,1.26427181916957,0.0001814431809192,0.0010217010375639,Spermatogenic,C10G11.8,WBGene00015688,Public name for WBGene00015688. History: N.A.
C12D12.1,54.1540041493847,1.55989880896488,0.4993142064538,1.19858928367539e-05,8.991730532354e-05,Neutral,C12D12.1,WBGene00015713,Public name for WBGene00015713. History: N.A.
C14B9.2,1178.74768710246,1.15006383365314,0.0953865211297278,1.98052673594284e-35,1.60546448532366e-33,Spermatogenic,C14B9.2,WBGene00015752,Public name for WBGene00015752. History: N.A.
C14C10.1,8.98806517846874,1.99516180455229,1.96975831713654,0.0010998713621256,0.0050249700235197,Spermatogenic,C14C10.1,WBGene00007584,Public name for WBGene00007584. History: N.A.
C17E7.9,927.631415687053,1.12988225732434,0.0910571566814286,2.97835505785174e-37,2.61401042032356e-35,Other,C17E7.9,WBGene00015903,Public name for WBGene00015903. History: N.A.
C18D4.6,243.14073793651,1.12726484376623,0.207830362713941,1.18113312757732e-09,1.72557784708511e-08,Spermatogenic,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
C23H4.6,39.2797254493377,1.69975867771951,0.512902330619054,5.88869476078525e-06,4.7016917881427e-05,Other,C23H4.6,WBGene00007694,Public name for WBGene00007694. History: N.A.
C23H5.8,54.8174509196604,1.791153577684,0.469064773204315,9.03785226963382e-07,8.3995899318022e-06,Neutral,C23H5.8,WBGene00016027,Public name for WBGene00016027. History: N.A.
C24B9.3,44.1916025331754,1.88473055486262,0.530964529424881,2.66751968864723e-06,2.27783155271245e-05,Neutral,C24B9.3,WBGene00016048,Public name for WBGene00016048. History: N.A.
