# Supplementary File 5. Genes upregulated in hda-1[KKRR],log2Foldchange >=2,padj<=0.05
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
acdh-2,21.9121812591666,2.81904725910511,0.514379439343325,1.31015688451289e-08,7.04209325425676e-07,Other,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
acdh-8,14.86909721592,6.5027592742067,1.52563350344224,1.66437284517101e-06,5.18320011393089e-05,Spermatogenic,acdh-8,WBGene00019406,Public name for WBGene00019406. History: N.A.
acr-18,6.39160603029685,1.69156977845947,1.29737123604082,0.0006490122744105,0.0089579718863083,Spermatogenic,acr-18,WBGene00000057,Public name for WBGene00000057. History: N.A.
acs-10,21.0046890608171,4.86142821260735,1.14507647533624,3.07880812948126e-06,8.96382158531261e-05,Spermatogenic,acs-10,WBGene00007082,Public name for WBGene00007082. History: N.A.
acs-18,8.5631573823097,5.54722442446863,1.90003304784514,3.44473193399579e-05,0.000758112264214,Spermatogenic,acs-18,WBGene00011173,Public name for WBGene00011173. History: N.A.
AH6.3,3.57116389070741,2.29278446147114,2.72127120710948,0.0019243442983197,0.0215357049601749,Spermatogenic,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
aldo-1,257.774791801133,1.37060335565772,0.152542447733338,6.59803099521365e-21,1.5694890750316699e-18,Spermatogenic,aldo-1,WBGene00011474,Public name for WBGene00011474. History: N.A.
alg-3,27.6611734734713,4.47214587743055,0.925337474072827,4.26387047580502e-07,1.53279974017685e-05,Spermatogenic,alg-3,WBGene00011910,Public name for WBGene00011910. History: N.A.
alg-4,25.1113353019701,5.57214383664748,1.10853381112143,1.29733180447082e-07,5.33241528455286e-06,Spermatogenic,alg-4,WBGene00006449,Public name for WBGene00006449. History: Renamed on 2013-12-23
aqp-2,67.3941771830406,1.79627005626581,0.34012192320613,4.95046643227236e-09,2.92837114882566e-07,Neutral,aqp-2,WBGene00000170,Public name for WBGene00000170. History: N.A.
aqp-7,246.427066685741,1.17973106800365,0.126105133830787,3.5663461401044697e-22,9.967937461591999e-20,Spermatogenic,aqp-7,WBGene00000175,Public name for WBGene00000175. History: N.A.
B0025.5,9.71033982387002,4.92281151162697,2.11436375876657,9.46823036733551e-05,0.0018409533131619,Other,B0025.5,WBGene00194700,Public name for WBGene00194700. History: N.A.
B0205.10,26.0718889991941,7.21769413009318,1.41670169142069,3.93037030595765e-08,1.92726052721958e-06,Spermatogenic,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
B0218.7,11.6916059421518,5.4769161022046,1.98186414602014,4.39660367629078e-05,0.0009416480670676,Spermatogenic,B0218.7,WBGene00015051,Public name for WBGene00015051. History: N.A.
B0252.5,4.27633716099971,2.48296660501822,2.66491787904393,0.0015397648052971,0.0181972204262395,Spermatogenic,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
B0261.6,13.615242079674,6.31967927045172,1.55217667179356,3.05740470377096e-06,8.94500275893932e-05,Spermatogenic,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0273.1,7.28783170382856,1.60299061433171,1.77208670435582,0.0019670670993847,0.0218389376078667,Spermatogenic,B0273.1,WBGene00015097,Public name for WBGene00015097. History: N.A.
B0280.17,19.1479445576997,5.13707454583255,1.76440878698289,3.9552775690423e-05,0.00085864083926,Other,B0280.17,WBGene00044674,Public name for WBGene00044674. History: N.A.
B0379.7,20.8349896874011,6.81051016131582,1.43665331198612,2.57655212271547e-07,9.83134905527611e-06,Spermatogenic,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
B0393.4,5.93788727698611,1.48275536178481,2.18792002145329,0.0039923185109997,0.0374551552672691,Spermatogenic,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
basl-1,5.30748124215115,3.80347646401552,2.71010861304567,0.0004643831217235,0.0068133901586211,Spermatogenic,basl-1,WBGene00015467,Public name for WBGene00015467. History: N.A.
