# Supplementary File 5. Genes upregulated in hda-1[KKRR]::smo-1,log2Foldchange >=2,padj<=0.05
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
aagr-4,42.3224837846417,1.83634792070993,0.286189866081548,4.0354400002160695e-12,3.1547828247843e-10,Neutral,aagr-4,WBGene00018682,Public name for WBGene00018682. History: N.A.
aat-2,27.34950116966,1.00229240285488,0.530842972418598,0.0005201805998744,0.0066918929576258,Spermatogenic,aat-2,WBGene00000003,Public name for WBGene00000003. History: N.A.
acl-1,406.056780545776,1.15890815009421,0.0982185013487206,8.035012610132929e-33,2.14894297781003e-30,Neutral,acl-1,WBGene00010339,Public name for WBGene00010339. History: N.A.
acl-12,28.0801753449798,1.82059669846611,0.527888375073388,8.50646240846411e-06,0.0002068209987014,Neutral,acl-12,WBGene00015295,Public name for WBGene00015295. History: N.A.
acr-18,6.39160603029685,1.35357884127566,1.04343508600603,0.0007730344313023,0.0092102566533713,Spermatogenic,acr-18,WBGene00000057,Public name for WBGene00000057. History: N.A.
acy-1,16.2479710169414,2.65872737096443,0.488522811156598,5.15893476777346e-10,2.91279189138231e-08,Neutral,acy-1,WBGene00000068,Public name for WBGene00000068. History: N.A.
aex-3,14.6344663911155,2.79267258159452,0.572271649432315,1.00799639463635e-08,4.6777476523695e-07,Other,aex-3,WBGene00000086,Public name for WBGene00000086. History: N.A.
akt-2,83.8911061968319,1.32758260035584,0.214901998924056,8.771827351359719e-11,5.6782217434311305e-09,Neutral,akt-2,WBGene00000103,Public name for WBGene00000103. History: N.A.
aldo-1,257.774791801133,2.74596422252555,0.145790378050901,5.6619515996403e-81,4.42633954670342e-78,Spermatogenic,aldo-1,WBGene00011474,Public name for WBGene00011474. History: N.A.
apm-1,26.9079585367334,1.14954456502081,0.411075202219333,8.63897536084051e-05,0.0015403141507407,Spermatogenic,apm-1,WBGene00000150,Public name for WBGene00000150. History: Renamed on 2015-03-05
aqp-2,67.3941771830406,1.36888342337456,0.334786568299297,2.83901874904702e-06,7.70796018279592e-05,Neutral,aqp-2,WBGene00000170,Public name for WBGene00000170. History: N.A.
asb-2,1022.90409080948,1.46557550353339,0.0793150977156326,2.15395822582709e-77,1.45937849660538e-74,Neutral,asb-2,WBGene00000207,Public name for WBGene00000207. History: N.A.
asd-2,87.1056394724091,1.3128929106701,0.195585057321945,2.67822901866508e-12,2.16022551719787e-10,Neutral,asd-2,WBGene00006423,Public name for WBGene00006423. History: Renamed on 2015-03-05
atgp-1,127.401470726059,1.65273616742661,0.163037530495205,1.6505874627119502e-25,3.3549840767083103e-23,Neutral,atgp-1,WBGene00000224,Public name for WBGene00000224. History: Renamed on 2008-02-28
B0228.6,10.8700463714377,1.31430560898225,0.766045712670874,0.0004654041707559,0.0061507185791842,Oogenic,B0228.6,WBGene00015063,Public name for WBGene00015063. History: N.A.
B0361.9,21.4653708613759,1.18593080242966,0.53716406607062,0.0002459359801629,0.0036137362638968,Neutral,B0361.9,WBGene00015163,"Public name for WBGene00015163. History: Split into B0361.14(WBGene00303033). History of WBGene00015163: Split into ""WBGene00303033"" on 2018-03-02"
B0379.7,20.8349896874011,1.14451603703067,1.59941171784906,0.0010082919167578,0.011475107222856,Spermatogenic,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
C04F12.7,20.4824708153802,1.76127456440001,1.88825903705033,0.0003093100369961,0.0043903881368595,Spermatogenic,C04F12.7,WBGene00007301,Public name for WBGene00007301. History: N.A.
C04G2.9,131.644095063098,4.52527176291046,1.64779181781938,1.86284440565299e-06,5.28829265213725e-05,Spermatogenic,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C05E11.3,35.4148965737475,1.02363600486305,0.392174847968461,0.0001320470189701,0.0021610206985401,Oogenic,C05E11.3,WBGene00015494,Public name for WBGene00015494. History: N.A.
C06B8.7,186.701790449371,1.42670834401153,0.148600474788491,7.312354113547421e-23,1.3511900882905901e-20,Neutral,C06B8.7,WBGene00007372,Public name for WBGene00007372. History: N.A.
C06E7.4,73.8242803037488,1.3100123821537,0.206945354792613,3.4726978053281895e-11,2.3067338428464303e-09,Oogenic,C06E7.4,WBGene00015541,Public name for WBGene00015541. History: N.A.
C07G1.6,10.6964334572327,2.39096717063278,0.836628319276439,1.68911963969017e-05,0.0003865918733168,Spermatogenic,C07G1.6,WBGene00015572,Public name for WBGene00015572. History: N.A.
C07G1.7,27.1801529636242,2.82176689047404,0.403311464579792,2.86296245356493e-14,3.0953497250617497e-12,Spermatogenic,C07G1.7,WBGene00015573,Public name for WBGene00015573. History: N.A.
C10G11.8,46.4125708147274,1.04827176383541,1.16738708493887,0.0019057066667531,0.0192905347153509,Spermatogenic,C10G11.8,WBGene00015688,Public name for WBGene00015688. History: N.A.
C17G1.5,9.68143293870701,2.6279365930683,0.710808674312316,1.53151485526181e-06,4.45982391805896e-05,Neutral,C17G1.5,WBGene00007652,Public name for WBGene00007652. History: N.A.
C24H10.1,20.6178401636701,1.27537669128621,0.423644344028842,5.07541837313924e-05,0.000982504322404,Other,C24H10.1,WBGene00016067,Sequence name for WBGene00016067(clc-7). History: N.A.
C26B9.3,8.73098511495633,5.63409404025742,1.04351990444223,1.0083774669985401e-10,6.40508762319132e-09,Other,C26B9.3,WBGene00016133,Public name for WBGene00016133. History: N.A.
