# Supplementary File 5. Genes upregulated in degron::hda-1,log2Foldchange >=2,padj<=0.05
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
aagr-4,143.530828138044,1.27071616172965,0.203818656747313,9.14669518386426e-11,6.983843350708801e-10,Neutral,aagr-4,WBGene00018682,Public name for WBGene00018682. History: N.A.
aat-2,83.396945442111,1.35533797743103,0.30664961185868,1.18814583349338e-06,5.42852104744137e-06,Spermatogenic,aat-2,WBGene00000003,Public name for WBGene00000003. History: N.A.
aat-5,41.1387057020225,3.65074590988834,0.412109624073863,2.23325165519432e-19,3.78316428263701e-18,Neutral,aat-5,WBGene00000006,Public name for WBGene00000006. History: N.A.
abt-1,25.3095296235532,1.54988470936069,0.561069911476849,0.0004145687102204,0.0012186233991922,Spermatogenic,abt-1,WBGene00000019,Public name for WBGene00000019. History: N.A.
abt-2,356.343001750741,2.31141185874715,0.140290219270423,3.13543130362647e-61,3.60599095474104e-59,Spermatogenic,abt-2,WBGene00000020,Public name for WBGene00000020. History: N.A.
abt-4,23.5824202197383,2.03571251795362,0.586722961572428,8.75676056119885e-05,0.0002929733459577,Neutral,abt-4,WBGene00000022,Public name for WBGene00000022. History: N.A.
abt-5,52.1968948253991,3.25691202969477,0.369637431402859,4.42153237687977e-19,7.28884413438378e-18,Spermatogenic,abt-5,WBGene00000023,Public name for WBGene00000023. History: N.A.
abts-3,71.1847204645817,3.36630403584374,0.341247400029032,1.9645005875760202e-23,4.4836299456909395e-22,Spermatogenic,abts-3,WBGene00019018,Public name for WBGene00019018. History: N.A.
abu-12,8.57158060834907,4.1393106768615,1.0278518703969,7.24381172251946e-06,2.92474361950655e-05,Other,abu-12,WBGene00004127,Public name for WBGene00004127. History: Renamed on 2011-04-12
abu-13,39.0115715124928,2.50655289224845,0.411932377739753,6.14170449932765e-10,4.2707620186397e-09,Other,abu-13,WBGene00004133,Public name for WBGene00004133. History: Renamed on 2011-04-12
abu-14,13.6474424951178,3.95469196303778,0.783132848250637,9.0653224071077e-08,4.84394232867631e-07,Other,abu-14,WBGene00004174,Public name for WBGene00004174. History: Renamed on 2011-04-12
abu-8,17.6729536030219,6.01492745125893,1.30884144627954,6.1753416639236e-08,3.37192895529003e-07,Other,abu-8,WBGene00000031,Public name for WBGene00000031. History: N.A.
AC8.10,193.937259424324,2.90195836072363,0.189696552481136,3.36736546071197e-53,2.95065398494886e-51,Other,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
AC8.11,114.162671111898,2.87067955232131,0.247321467080352,1.67352941874427e-31,5.936391945381779e-30,Other,AC8.11,WBGene00043989,Public name for WBGene00043989. History: N.A.
AC8.12,192.120801496148,2.89301275450576,0.199468921299294,4.94577654383769e-48,3.67710992433508e-46,Other,AC8.12,WBGene00043990,Public name for WBGene00043990. History: N.A.
acc-1,6.48561288919137,4.54301548073642,1.54324880338288,8.56282927341163e-05,0.0002872684816178,Other,acc-1,WBGene00010275,Public name for WBGene00010275. History: N.A.
acc-3,2.79350049791947,2.13010519215592,1.98716821214917,0.0155539887955056,0.0312331563304648,Other,acc-3,WBGene00018880,Public name for WBGene00018880. History: N.A.
acc-4,14.7681324160911,3.2632805083838,0.659888601003092,2.51385124019287e-07,1.26690873354602e-06,Other,acc-4,WBGene00012099,Public name for WBGene00012099. History: N.A.
acd-5,4.73629788205522,2.61932733923245,1.73428286312928,0.0063741210857648,0.0141528561845466,Other,acd-5,WBGene00020903,Public name for WBGene00020903. History: N.A.
acdh-2,58.9411177134554,1.27087591799736,0.454178874091878,0.0002668756403422,0.0008117099796442,Other,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
acdh-8,9.16631119939552,2.61274758099532,1.39118856549863,0.0035509107365017,0.0083770764346222,Spermatogenic,acdh-8,WBGene00019406,Public name for WBGene00019406. History: N.A.
ace-2,79.0167835276879,1.10662178764337,0.294232855732402,6.98286688230065e-06,2.82713925672024e-05,Spermatogenic,ace-2,WBGene00000036,"Public name for WBGene00000036. History: Split into Y44E3A.7(WBGene00303088). History of WBGene00000036: Split into ""WBGene00303088"" on 2018-03-02; Renamed on 2019-05-20"
ace-3,72.6900055583479,3.04735999827112,0.330359605185694,1.15133871062706e-20,2.14542495685329e-19,Other,ace-3,WBGene00000037,Public name for WBGene00000037. History: Renamed on 2019-05-20
ace-4,4.13161935081436,3.44124652123901,1.44560866796121,0.000823574885015,0.0022564388390669,Other,ace-4,WBGene00000038,Public name for WBGene00000038. History: Renamed on 2019-05-20
acl-1,1651.1775684119,1.76703034122404,0.0651151626982265,2.52313017133364e-162,2.3214374532626497e-159,Neutral,acl-1,WBGene00010339,Public name for WBGene00010339. History: N.A.
acl-13,13.2455183657817,4.49315377568935,1.12264458635389,5.56493800057746e-06,2.29150915542659e-05,Spermatogenic,acl-13,WBGene00008581,Public name for WBGene00008581. History: N.A.
acl-7,39.5862928166162,1.75400217366367,0.464439025530728,2.7194024238025e-05,9.95086330618855e-05,Neutral,acl-7,WBGene00012911,Public name for WBGene00012911. History: N.A.
acn-1,43.7958604013623,1.96483603260442,0.341247884916385,4.7912589124079e-09,3.00392344333717e-08,Other,acn-1,WBGene00000039,Public name for WBGene00000039. History: N.A.
acp-2,18.0824773932262,1.84778220099285,0.685899991239804,0.0006132960471399,0.0017365514733502,Spermatogenic,acp-2,WBGene00008802,Public name for WBGene00008802. History: N.A.
acr-12,10.6877364873935,2.30671666349526,0.905069982806632,0.0009592690235331,0.0025833501843192,Other,acr-12,WBGene00000051,Public name for WBGene00000051. History: N.A.
acr-16,39.2463303169934,1.43244087248501,0.492311721604805,0.0002407627632682,0.0007400853284759,Neutral,acr-16,WBGene00000055,Public name for WBGene00000055. History: N.A.
acr-17,34.9823121248247,2.49088697665019,0.408758588414405,5.84763519197574e-10,4.075901404406961e-09,Other,acr-17,WBGene00000056,Public name for WBGene00000056. History: N.A.
acr-18,51.6633353491563,5.08084437954463,0.464107607348153,5.74887526261494e-29,1.7557923805177298e-27,Spermatogenic,acr-18,WBGene00000057,Public name for WBGene00000057. History: N.A.
acr-5,19.0380667656649,3.83839874314175,0.709725897904226,1.47355938447424e-08,8.68037923123059e-08,Other,acr-5,WBGene00000044,Public name for WBGene00000044. History: N.A.
acs-10,18.0806752518283,3.51950285699555,0.945215264636954,3.29298477751399e-05,0.0001187555828265,Spermatogenic,acs-10,WBGene00007082,Public name for WBGene00007082. History: N.A.
acs-16,35.6537079124611,4.42372570618889,0.475764282700932,2.18023784487519e-21,4.30231653008146e-20,Other,acs-16,WBGene00018579,Public name for WBGene00018579. History: N.A.
acs-18,8.92161416516752,3.47938452027597,1.64053214554077,0.0011791823342361,0.0031153523227368,Spermatogenic,acs-18,WBGene00011173,Public name for WBGene00011173. History: N.A.
acs-2,130.491602478948,3.3070581331426,0.254401954700675,4.18166422729566e-39,2.06571406342347e-37,Neutral,acs-2,WBGene00009221,Public name for WBGene00009221. History: N.A.
acs-20,321.923648710408,1.01696363296682,0.137790663008275,8.838736330401141e-15,9.978147049067111e-14,Spermatogenic,acs-20,WBGene00009218,Public name for WBGene00009218. History: N.A.
acs-22,35.2788389104141,1.63073560270124,0.418305059664071,1.53661836608975e-05,5.87699635417179e-05,Neutral,acs-22,WBGene00017012,Public name for WBGene00017012. History: N.A.
acs-5,163.171717912497,1.10009474314232,0.208294708896354,7.577544832549511e-09,4.61327698428294e-08,Neutral,acs-5,WBGene00013575,Public name for WBGene00013575. History: N.A.
acs-6,12.4050016507187,4.53194907252824,0.936454595868515,1.52902911139839e-07,7.92843872803654e-07,Spermatogenic,acs-6,WBGene00022849,Public name for WBGene00022849. History: N.A.
acsd-1,9.12619109622996,1.92241155919618,1.02526825752321,0.0043156121762253,0.0100000199663488,Other,acsd-1,WBGene00022104,Public name for WBGene00022104. History: N.A.
act-5,401.895738703276,1.23423385518908,0.174354625024277,3.19851302908099e-13,3.14741379018056e-12,Neutral,act-5,WBGene00000067,Public name for WBGene00000067. History: N.A.
acy-1,117.335958037375,3.78793542153607,0.245695817842998,3.02920973773778e-54,2.7697513384619803e-52,Neutral,acy-1,WBGene00000068,Public name for WBGene00000068. History: N.A.
acy-2,12.1172987505174,3.7944461314319,0.772387270469248,2.05611744978818e-07,1.04697699682919e-06,Other,acy-2,WBGene00000069,Public name for WBGene00000069. History: N.A.
acy-3,44.4381547983415,3.61939309884615,0.402787636237849,7.23235998040405e-20,1.26296051330401e-18,Other,acy-3,WBGene00000070,Public name for WBGene00000070. History: N.A.
add-1,10.2851156141952,4.20903388842643,0.923852714820392,7.84769783806159e-07,3.67799935925198e-06,Neutral,add-1,WBGene00000072,Public name for WBGene00000072. History: N.A.
ads-1,137.069340926202,1.15684810004742,0.293356409257402,4.05780885549269e-06,1.70622691121702e-05,Neutral,ads-1,WBGene00000081,Public name for WBGene00000081. History: N.A.
adt-1,15.0647211003713,3.14176276463396,0.662434784043622,7.18982755725994e-07,3.39235421379563e-06,Other,adt-1,WBGene00000082,Public name for WBGene00000082. History: N.A.
adt-2,64.0809069776617,5.23906132393961,0.547388346388383,7.61908449048816e-23,1.6815673580881001e-21,Spermatogenic,adt-2,WBGene00000083,Public name for WBGene00000083. History: Renamed on 2011-10-20
aex-3,63.867027282163,2.93888472793342,0.293648880315895,6.00470773749913e-24,1.41206553680071e-22,Other,aex-3,WBGene00000086,Public name for WBGene00000086. History: N.A.
aex-5,8.78148482991756,1.42651748142526,0.9503077609732,0.0106548348766913,0.0223146712505012,Neutral,aex-5,WBGene00000088,Public name for WBGene00000088. History: N.A.
aff-1,10.0778859237987,1.76251883302826,1.02317443854151,0.0061673954681095,0.0137456818601121,Other,aff-1,WBGene00016625,Public name for WBGene00016625. History: N.A.
agr-1,54.7530735465563,3.14674499053166,0.370561237127479,7.76580566034484e-18,1.15591936426629e-16,Other,agr-1,WBGene00018304,Public name for WBGene00018304. History: N.A.
AH9.6,3.75862872816145,4.09170187840633,1.89762786576148,0.0004493438976331,0.0013098597063481,Other,AH9.6,WBGene00044701,Public name for WBGene00044701. History: N.A.
ahr-1,30.6615410459875,3.85204781913833,0.511225481465657,1.16713897745389e-14,1.29965604289703e-13,Spermatogenic,ahr-1,WBGene00000096,Public name for WBGene00000096. History: N.A.
alg-3,19.9976470383584,3.47952648411033,0.947874804815264,3.97923953804144e-05,0.0001417333298802,Spermatogenic,alg-3,WBGene00011910,Public name for WBGene00011910. History: N.A.
alg-4,17.7350950778077,3.09601015624678,1.57673285755751,0.0021761014536237,0.0054011784688576,Spermatogenic,alg-4,WBGene00006449,Public name for WBGene00006449. History: Renamed on 2013-12-23
alh-10,11.1407596400811,1.71928147327477,0.942526272602183,0.0048223189940855,0.011038618863619,Neutral,alh-10,WBGene00000116,Public name for WBGene00000116. History: N.A.
alh-13,63.4450761657962,2.83853273593655,0.303956853462641,4.4245350985311005e-21,8.570208050720561e-20,Neutral,alh-13,WBGene00011938,Public name for WBGene00011938. History: N.A.
alh-5,38.7752617249496,1.36254240455623,0.427012168629748,9.35161983338773e-05,0.0003109460267223,Other,alh-5,WBGene00000111,Public name for WBGene00000111. History: N.A.
alp-1,34.4437234724106,1.57435064231187,0.527655188126414,0.0002320517945816,0.0007164501820547,Neutral,alp-1,WBGene00001132,Public name for WBGene00001132. History: N.A.
aman-1,55.4134908277619,1.05708078467108,0.459200356175907,0.0009532878224745,0.0025697399807083,Spermatogenic,aman-1,WBGene00018877,Public name for WBGene00018877. History: N.A.
aman-3,12.9799340722847,2.2559852068356,0.757357980716704,0.0003488360412425,0.0010388863773279,Spermatogenic,aman-3,WBGene00018594,Public name for WBGene00018594. History: N.A.
amt-2,4.49129076329397,3.5331765134533,1.47896748795347,0.0007461944815599,0.0020675190971285,Other,amt-2,WBGene00000134,Public name for WBGene00000134. History: N.A.
amt-3,12.8260099426591,3.42745588238675,0.696498259963863,2.55941787254135e-07,1.28766884831447e-06,Other,amt-3,WBGene00000135,Public name for WBGene00000135. History: N.A.
amx-2,16.0669405382272,3.92370787899446,0.680682934044137,1.80518792546566e-09,1.19649578796848e-08,Neutral,amx-2,WBGene00000138,Public name for WBGene00000138. History: N.A.
anmt-1,41.7232457828423,1.52750443653469,0.428636908442047,3.89523598308975e-05,0.0001389093239027,Neutral,anmt-1,WBGene00015124,Public name for WBGene00015124. History: N.A.
anmt-2,24.9375564846376,2.74441683997492,0.491456597488558,1.08735127331605e-08,6.50951528852603e-08,Spermatogenic,anmt-2,WBGene00018340,Public name for WBGene00018340. History: N.A.
anoh-1,6.43518210818042,4.58584428576095,1.45614962512885,5.45799092381429e-05,0.0001890074909185,Other,anoh-1,WBGene00010138,Public name for WBGene00010138. History: Split into F56A8.9(WBGene00185001). History of WBGene00010138: N.A.
anoh-2,80.8063860482971,1.4742546093856,0.269127891805931,1.27898513273736e-08,7.58273867862531e-08,Other,anoh-2,WBGene00013326,Public name for WBGene00013326. History: N.A.
ant-1.3,32.7508678791764,2.54604334827622,0.515138239531657,3.51698451929952e-07,1.73155615747853e-06,Spermatogenic,ant-1.3,WBGene00010485,Public name for WBGene00010485. History: Renamed on 2014-03-03
ant-1.4,10.3744543167227,3.17713911883982,1.2629076023667,0.0007823710065151,0.0021551803119217,Spermatogenic,ant-1.4,WBGene00020140,Public name for WBGene00020140. History: Renamed on 2008-06-04; Renamed on 2008-11-21; Renamed on 2014-03-03
apl-1,1000.91591379731,1.45341318519151,0.0883082499665995,4.98149518213551e-61,5.6846969438927805e-59,Neutral,apl-1,WBGene00000149,Public name for WBGene00000149. History: N.A.
apm-1,112.766624734919,2.63693923063212,0.264381480182417,9.94693582070439e-24,2.30234028642436e-22,Spermatogenic,apm-1,WBGene00000150,Public name for WBGene00000150. History: Renamed on 2015-03-05
apt-9,7.93400820453033,4.91115261435001,1.46332477187882,2.1471262352384e-05,7.99591330861231e-05,Other,apt-9,WBGene00000166,Public name for WBGene00000166. History: N.A.
aqp-11,227.645388233711,1.36078717442596,0.157577400351982,2.70075443752348e-18,4.1982899762178604e-17,Spermatogenic,aqp-11,WBGene00000179,Public name for WBGene00000179. History: N.A.
aqp-9,10.8177928208252,1.2410877472196,0.844954392010748,0.0114950209769835,0.0238907530428031,Spermatogenic,aqp-9,WBGene00000177,Public name for WBGene00000177. History: N.A.
arg-1,4.9508800514991,4.83592829282664,1.58187742090678,4.37542584552332e-05,0.0001542031215512,Other,arg-1,WBGene00000185,Public name for WBGene00000185. History: N.A.
argk-1,5.08907099273347,2.23161712521621,1.32312795764072,0.0061218951645225,0.0136566780901555,Other,argk-1,WBGene00009706,Public name for WBGene00009706. History: N.A.
arrd-1,27.0351743216605,3.2332686619943,0.486685126970699,1.1101584800651099e-11,9.26979182361796e-11,Other,arrd-1,WBGene00020205,Public name for WBGene00020205. History: N.A.
arrd-10,9.06321055808369,6.04003946963524,1.3666149719148,1.18561178576398e-07,6.25569573413317e-07,Other,arrd-10,WBGene00010268,Public name for WBGene00010268. History: N.A.
arrd-11,8.01685288989059,3.90912177427503,0.912929858548932,3.29112482553407e-06,1.4075725902582e-05,Other,arrd-11,WBGene00011052,Public name for WBGene00011052. History: N.A.
arrd-14,175.861365214047,2.18443029391307,0.191937131585428,3.1991328804354294e-30,1.06068547596599e-28,Neutral,arrd-14,WBGene00011055,Public name for WBGene00011055. History: N.A.
arrd-15,11.6161026142878,3.81316314145065,0.869859855019928,2.32527170695933e-06,1.01633980992127e-05,Other,arrd-15,WBGene00014033,Public name for WBGene00014033. History: N.A.
arrd-17,105.578068743246,1.74388102680511,0.223646773170218,4.1271208296273805e-15,4.84106340501551e-14,Neutral,arrd-17,WBGene00011732,Public name for WBGene00011732. History: N.A.
arrd-26,19.8503512611374,3.99288229782,0.681413882338681,9.6987046436234e-10,6.6160626069870304e-09,Other,arrd-26,WBGene00019873,Public name for WBGene00019873. History: N.A.
arrd-27,21.8641237865406,2.98850252022073,0.603522081840326,2.82839945012851e-07,1.41381556215083e-06,Other,arrd-27,WBGene00009853,Public name for WBGene00009853. History: N.A.
arrd-4,104.499101087712,5.74977552424194,0.339590752790897,1.07603871065261e-65,1.4667005425478802e-63,Other,arrd-4,WBGene00014159,Public name for WBGene00014159. History: N.A.
arrd-6,7.14501904281505,4.54834361605862,1.18653620018422,9.32763451581929e-06,3.69118569105849e-05,Other,arrd-6,WBGene00009579,Public name for WBGene00009579. History: N.A.
arrd-9,64.9699175525331,1.1939373104507,0.334200124095621,1.8093866392282e-05,6.82448903819583e-05,Neutral,arrd-9,WBGene00008843,Public name for WBGene00008843. History: N.A.
asd-2,322.449473892189,1.71878711134119,0.154717769996385,7.91931391931267e-29,2.39876996309057e-27,Neutral,asd-2,WBGene00006423,Public name for WBGene00006423. History: Renamed on 2015-03-05
asic-1,16.2490634577959,1.84501438976191,0.689890910750398,0.000642874789468,0.0018088225871099,Other,asic-1,WBGene00022815,Public name for WBGene00022815. History: N.A.
asns-1,12.632549593399,5.28917925437986,1.01521243010866,1.00886174792881e-08,6.05687348746331e-08,Other,asns-1,WBGene00003816,Public name for WBGene00003816. History: Renamed on 2010-01-29; Renamed on 2010-05-28
asns-2,102.971743664732,2.01511503249461,0.220191958057072,3.6677990152023e-20,6.5685729078823705e-19,Spermatogenic,asns-2,WBGene00019730,Public name for WBGene00019730. History: N.A.
asp-10,17.3540368199026,1.69596444539072,0.707548031149292,0.0011844136766433,0.0031274894589894,Other,asp-10,WBGene00007605,Other name for WBGene00007605(hrg-7). History: Renamed on 2017-08-01
