# Supplementary File 5. Genes upregulated in mep-1::degron,log2Foldchange >=2,padj<=0.05
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
aagr-4,143.530828138044,1.01004798704214,0.221251356433451,5.52392810828372e-07,4.92238169988163e-06,Neutral,aagr-4,WBGene00018682,Public name for WBGene00018682. History: N.A.
abt-2,356.343001750741,1.0389548523777,0.152504669517968,1.44723713075025e-12,2.62697630108193e-11,Spermatogenic,abt-2,WBGene00000020,Public name for WBGene00000020. History: N.A.
abt-5,52.1968948253991,2.43037326113048,0.398868439160312,3.45751919193763e-11,5.45532047422442e-10,Spermatogenic,abt-5,WBGene00000023,Public name for WBGene00000023. History: N.A.
AC8.10,193.937259424324,1.25673679231288,0.196431442272201,2.30002747000272e-11,3.72482996544665e-10,Other,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
AC8.11,114.162671111898,1.4653331098114,0.264042166856376,3.51829859262628e-09,4.3268900235632e-08,Other,AC8.11,WBGene00043989,Public name for WBGene00043989. History: N.A.
AC8.12,192.120801496148,2.27141006839047,0.213025011547358,4.73361656454133e-28,2.35417464346665e-26,Other,AC8.12,WBGene00043990,Public name for WBGene00043990. History: N.A.
acdh-2,58.9411177134554,1.54903881813506,0.426269059291304,1.76351365122855e-05,0.0001191403600722,Other,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
acdh-8,9.16631119939552,6.60412344205812,1.56676572943959,9.5435315038328e-07,8.13022727244923e-06,Spermatogenic,acdh-8,WBGene00019406,Public name for WBGene00019406. History: N.A.
ace-3,72.6900055583479,3.78571628330161,0.340936689241349,1.2740118831727e-29,6.86986407772354e-28,Other,ace-3,WBGene00000037,Public name for WBGene00000037. History: Renamed on 2019-05-20
acl-13,13.2455183657817,1.98384849459357,1.24577513543867,0.0018860705610043,0.0076932238095163,Spermatogenic,acl-13,WBGene00008581,Public name for WBGene00008581. History: N.A.
acn-1,43.7958604013623,1.25955661725091,0.571392920630478,0.0009152209540256,0.0041163970865294,Other,acn-1,WBGene00000039,Public name for WBGene00000039. History: N.A.
acp-3,3.34458765073975,3.63680431980764,2.34705377721256,0.0009878390589896,0.0043862594022367,Spermatogenic,acp-3,WBGene00008801,Public name for WBGene00008801. History: N.A.
acr-16,39.2463303169934,1.64805447538053,0.474883870215395,2.73348890844847e-05,0.0001766448209888,Neutral,acr-16,WBGene00000055,Public name for WBGene00000055. History: N.A.
acr-18,51.6633353491563,3.43964624874628,0.610146220448268,6.86561265808268e-10,9.34091348795149e-09,Spermatogenic,acr-18,WBGene00000057,Public name for WBGene00000057. History: N.A.
acr-5,19.0380667656649,1.49366929286693,0.633858705244868,0.0005459353743772,0.0026017205070274,Other,acr-5,WBGene00000044,Public name for WBGene00000044. History: N.A.
acs-10,18.0806752518283,5.71514193421443,1.12670917521269,3.24530261294988e-08,3.47700871653822e-07,Spermatogenic,acs-10,WBGene00007082,Public name for WBGene00007082. History: N.A.
acs-15,4.68850573017732,2.62965532726931,2.20042608765731,0.0030033609329701,0.0115136657016285,Spermatogenic,acs-15,WBGene00019920,Public name for WBGene00019920. History: N.A.
acs-18,8.92161416516752,6.40444226261295,1.61972216463483,2.43967172380561e-06,1.9434203163497e-05,Spermatogenic,acs-18,WBGene00011173,Public name for WBGene00011173. History: N.A.
acs-2,130.491602478948,2.22303580267481,0.252082473416414,4.16697824708967e-20,1.3753831115562099e-18,Neutral,acs-2,WBGene00009221,Public name for WBGene00009221. History: N.A.
acs-6,12.4050016507187,4.38675466101005,1.27346610571839,1.43334835987389e-05,9.87179818247584e-05,Spermatogenic,acs-6,WBGene00022849,Public name for WBGene00022849. History: N.A.
