# Supplementary File 5. Genes upregulated in prg-1(tm872),log2Foldchange >=2,padj<=0.05
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
abt-1,12.4995745218978,1.92123699429162,0.723202499981244,4.04106374976016e-05,0.0003618410072455,Spermatogenic,abt-1,WBGene00000019,Public name for WBGene00000019. History: N.A.
abt-5,39.3008429557774,1.90895417336521,0.568056917817594,6.20204883549892e-06,6.6770552513281e-05,Spermatogenic,abt-5,WBGene00000023,Public name for WBGene00000023. History: N.A.
acdh-5,7.77841677268851,3.04100933736863,0.816488823872378,7.05791396494781e-06,7.52298842820099e-05,Spermatogenic,acdh-5,WBGene00016491,Public name for WBGene00016491. History: N.A.
acdh-8,14.86909721592,10.2035762099194,1.5293040581871,3.48286909707226e-12,1.0937907925342001e-10,Spermatogenic,acdh-8,WBGene00019406,Public name for WBGene00019406. History: N.A.
acl-13,4.89169716862877,3.35497865155288,1.81819355206939,0.0004484073831684,0.0030324020302927,Spermatogenic,acl-13,WBGene00008581,Public name for WBGene00008581. History: N.A.
acp-3,2.97414122134542,7.18972397712798,2.09806804612706,3.14002350896783e-05,0.00028735566952,Spermatogenic,acp-3,WBGene00008801,Public name for WBGene00008801. History: N.A.
acs-10,21.0046890608171,8.24391791220516,1.10177234275813,1.98651639006005e-14,8.44171123379976e-13,Spermatogenic,acs-10,WBGene00007082,Public name for WBGene00007082. History: N.A.
acs-15,5.24163610432581,7.27411891552482,1.68817552688172,3.29077313066577e-06,3.78321382414754e-05,Spermatogenic,acs-15,WBGene00019920,Public name for WBGene00019920. History: N.A.
acs-18,8.5631573823097,9.06685977219951,1.57305851428067,1.7047731878236e-09,3.64024205081537e-08,Spermatogenic,acs-18,WBGene00011173,Public name for WBGene00011173. History: N.A.
acs-6,9.78655741213402,7.27526520329036,1.18817571997546,3.3493491178232e-10,7.898574952580861e-09,Spermatogenic,acs-6,WBGene00022849,Public name for WBGene00022849. History: N.A.
AH6.3,3.57116389070741,7.5620710484997,2.03374107626319,1.60899897251333e-05,0.0001564136738139,Spermatogenic,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
alg-3,27.6611734734713,7.63154680393498,0.909827339587176,1.61717351653136e-17,9.68498892970132e-16,Spermatogenic,alg-3,WBGene00011910,Public name for WBGene00011910. History: N.A.
alg-4,25.1113353019701,8.50888428254905,1.11861064600541,7.022038571524621e-15,3.25999152079591e-13,Spermatogenic,alg-4,WBGene00006449,Public name for WBGene00006449. History: Renamed on 2013-12-23
ant-1.3,26.3793692318102,2.29112647930889,0.432761516465948,4.79400569544039e-09,9.58503374759169e-08,Spermatogenic,ant-1.3,WBGene00010485,Public name for WBGene00010485. History: Renamed on 2014-03-03
ant-1.4,6.537162426469,5.13753524353889,0.977862317542885,7.39365517624051e-08,1.16524729558473e-06,Spermatogenic,ant-1.4,WBGene00020140,Public name for WBGene00020140. History: Renamed on 2008-06-04; Renamed on 2008-11-21; Renamed on 2014-03-03
aqp-7,246.427066685741,1.75010153861966,0.127794919128015,2.6874952260724203e-44,9.612274591919009e-42,Spermatogenic,aqp-7,WBGene00000175,Public name for WBGene00000175. History: N.A.
arrd-9,19.9082148918032,1.26047257512592,0.547947980651443,8.72106174772296e-05,0.000718441401559,Neutral,arrd-9,WBGene00008843,Public name for WBGene00008843. History: N.A.
asp-1,441.141965008443,1.34533340413426,0.115776462340551,1.71740003893174e-32,2.87184972743963e-30,Neutral,asp-1,WBGene00000214,Public name for WBGene00000214. History: N.A.
B0025.5,9.71033982387002,9.33414950477978,1.54678491342877,3.0192910009464004e-10,7.1463953912106404e-09,Other,B0025.5,WBGene00194700,Public name for WBGene00194700. History: N.A.
B0205.10,26.0718889991941,10.5753800271194,1.46546993241557,6.39379730192276e-14,2.4722682900768e-12,Spermatogenic,B0205.10,WBGene00015024,Public name for WBGene00015024. History: N.A.
B0207.1,2.64848725678033,5.67767885630485,3.39231691684057,0.0006615360085699,0.0042377799235554,Spermatogenic,B0207.1,WBGene00015026,Public name for WBGene00015026. History: N.A.
B0207.11,1.78857521947352,5.35794310762913,2.99318532079727,0.0005620340750062,0.0036903369453239,Spermatogenic,B0207.11,WBGene00015034,Public name for WBGene00015034. History: N.A.
B0207.7,1.51099527978938,1.9716545929597,3.20102513254775,0.0118492902148726,0.0498925640309676,Spermatogenic,B0207.7,WBGene00015030,Public name for WBGene00015030. History: N.A.
