# Supplementary File 5. Genes upregulated in wago-9/hrde-1(tm1200),log2Foldchange >=2,padj<=0.05
Gene name,baseMean,log2FoldChange,lfcSE,pvalue,padj,Category,Input,Suggested Match,History
AC8.10,120.02370372085,4.18321661666074,0.201177278053729,1.31986478377771e-96,4.6254433784596196e-94,Other,AC8.10,WBGene00043988,Public name for WBGene00043988. History: N.A.
AC8.11,79.0604739501681,4.75141489401843,0.303007046750637,3.91532760309716e-56,6.74431770004685e-54,Other,AC8.11,WBGene00043989,Public name for WBGene00043989. History: N.A.
AC8.12,49.8340353464665,2.91023525621577,0.299902043314913,6.37085350499699e-23,4.98053724394495e-21,Other,AC8.12,WBGene00043990,Public name for WBGene00043990. History: N.A.
ant-1.3,26.3793692318102,1.75349135982649,0.525837419595917,5.75815473448491e-06,9.9423318362829e-05,Spermatogenic,ant-1.3,WBGene00010485,Public name for WBGene00010485. History: Renamed on 2014-03-03
aqp-2,67.3941771830406,3.42615303867121,0.319306881986691,2.45016648594155e-27,2.26373109060218e-25,Neutral,aqp-2,WBGene00000170,Public name for WBGene00000170. History: N.A.
arrd-27,23.5184759279915,2.47836066815192,0.77766784882374,1.2076184621729e-05,0.0001929300785597,Other,arrd-27,WBGene00009853,Public name for WBGene00009853. History: N.A.
asm-3,8.22305495134369,5.22044515664323,0.826585691082316,3.8590644221855595e-11,1.4261698808244302e-09,Other,asm-3,WBGene00000213,Public name for WBGene00000213. History: N.A.
B0250.7,233.404196575401,2.00690487150971,0.176179163620065,7.53200116176902e-32,7.7320937178847e-30,Neutral,B0250.7,WBGene00007124,Public name for WBGene00007124. History: N.A.
B0250.8,52.3969292765561,4.62757872155175,0.378592619034236,5.01667476832561e-35,5.5417897467927295e-33,Other,B0250.8,WBGene00007125,Public name for WBGene00007125. History: N.A.
B0261.6,13.615242079674,1.48312869146231,2.0890822974823,0.0036190078153317,0.0225091655001325,Spermatogenic,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0281.4,59.1428633106732,1.29626585605672,0.420596969595426,1.66423996696155e-05,0.0002558800421214,Other,B0281.4,WBGene00015111,Public name for WBGene00015111. History: N.A.
B0284.3,45.2875720940914,1.16036315771382,0.401694515449532,3.2545166773185e-05,0.000453091136871,Other,B0284.3,WBGene00007133,Public name for WBGene00007133. History: N.A.
bath-13,167.079822952185,2.68652354663603,0.183627492510132,3.73787537884373e-49,5.75576173866497e-47,Spermatogenic,bath-13,WBGene00018223,Public name for WBGene00018223. History: N.A.
