Gene ID,Public Name,Hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,mut-16_1,mut-16_2,mut-16_3,henn-1_1,henn-1_2,henn-1_3,wt_avg,prg-1_avg,prg-1_fold_change,prg-1_adj_p-value,Input,Suggested Match,History
C27D8.1,C27D8.1,yes,0,1.33,0,197.05,276.2,364.3,11.63,8.74,2.15,1.46,1.7,1.37,0.44,279.18,629.82,6.1e-16,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
F54C9.11,F54C9.11,yes,112.92,4.65,3.71,5101.9,5654.91,5278.11,5.82,8.74,55.82,7.28,14.72,16.5,40.43,5344.97,132.21,0,F54C9.11,WBGene00010045,Public name for WBGene00010045. History: N.A.
C02C2.5,sup-18,yes,92.09,6.65,2.78,4211.12,4569.48,4200.2,7.27,2.5,40.79,4.37,4.53,5.5,33.84,4326.93,127.86,0,C02C2.5,WBGene00015334,Sequence name for WBGene00015334(sup-18). History: N.A.
T07C4.9,nex-2,yes,947.22,18.62,11.13,37878.77,38944.75,44162.14,14.54,19.98,344.6,27.66,31.7,37.12,325.65,40328.55,123.84,0,T07C4.9,WBGene00003589,Sequence name for WBGene00003589(nex-2). History: N.A.
F32E10.9,F32E10.9,yes,139.23,6.65,9.27,5287.77,5793.01,6098.87,0,1.25,51.53,24.75,23.78,29.56,51.72,5726.55,110.73,1.44e-05,F32E10.9,WBGene00043068,Public name for WBGene00043068. History: N.A.
Y60A3A.7,abhd-3.1,yes,179.8,21.28,14.84,8234.34,8116.52,7543.22,13.09,18.73,71.93,26.94,34.53,34.37,71.97,7964.69,110.67,0,Y60A3A.7,WBGene00013358,Sequence name for WBGene00013358(abhd-3.1). History: N.A.
Y56A3A.3,mif-1,yes,191.86,4.65,19.48,7804.69,8140.75,7603.22,4.36,1.25,66.56,15.29,11.32,11,72,7849.56,109.03,0,Y56A3A.3,WBGene00003234,Sequence name for WBGene00003234(mif-1). History: N.A.
F45H10.1,alh-7,yes,1487.7,123.01,126.13,56164.55,53599.3,60849.37,52.34,77.43,572.19,83.72,87.75,107.92,578.95,56871.08,98.23,7.25e-09,F45H10.1,WBGene00000113,Sequence name for WBGene00000113(alh-7). History: N.A.
C04F12.5,C04F12.5,yes,128.27,9.97,12.06,4856.1,5058.89,4806.66,21.81,6.24,32.21,19.66,21.51,20.62,50.1,4907.22,97.95,0,C04F12.5,WBGene00007299,Public name for WBGene00007299. History: N.A.
H14A12.5,H14A12.5,yes,87.71,18.62,17.62,3676.86,4017.07,4020.19,8.72,6.24,32.21,22.57,23.21,24.06,41.31,3904.71,94.51,3.15e-20,H14A12.5,WBGene00019197,Public name for WBGene00019197. History: N.A.
