Gene ID,Public Name,wt_1,wt_2,wt_3,mut-16_1,mut-16_2,mut-16_3,Fold change in mut-16,mut-16 adjusted P value,Input,Suggested Match,History
AH9.8,linc-78,45.24,40.99,43.82,0.0,0.0,0.0,-193.88,1.62e-09,AH9.8,WBGene00219643,Sequence name for WBGene00219643(linc-78). History: N.A.
B0334.12,B0334.12,47.5,58.36,66.19,180.79,70.99,80.55,1.93,0.0283,B0334.12,WBGene00007539,Public name for WBGene00007539. History: N.A.
B0513.t1,B0513.t1,35.06,34.74,48.48,4.34,4.9,9.06,-6.46,1.77e-08,B0513.t1,WBGene00009206,Public name for WBGene00009206. History: N.A.
C05H8.3,C05H8.3,44.11,48.64,37.29,21.69,12.24,19.13,-2.45,4.35e-05,C05H8.3,WBGene00045089,Public name for WBGene00045089. History: N.A.
C06B8.t1,C06B8.t1,36.19,36.13,37.29,10.12,24.48,17.12,-2.12,0.0273,C06B8.t1,WBGene00010733,Public name for WBGene00010733. History: N.A.
C14C10.8,C14C10.8,31.67,38.91,37.29,44.83,53.85,70.48,1.57,0.0102,C14C10.8,WBGene00045126,Public name for WBGene00045126. History: N.A.
C15F1.9,sup-39,75.77,62.53,63.39,18.8,20.81,27.18,-3.02,1.67e-10,C15F1.9,WBGene00006344,Sequence name for WBGene00006344(sup-39). History: N.A.
C27H5.11,C27H5.11,89.34,72.26,68.99,21.69,22.03,33.23,-3.0,4.92e-11,C27H5.11,WBGene00045091,Public name for WBGene00045091. History: N.A.
C44B11.8,linc-19,53.15,56.28,38.22,5.79,6.12,8.05,-7.4,8.15e-11,C44B11.8,WBGene00219660,Sequence name for WBGene00219660(linc-19). History: N.A.
C44B11.9,linc-45,18.09,40.3,16.78,1.45,2.45,2.01,-12.72,2.51e-05,C44B11.9,WBGene00219661,Sequence name for WBGene00219661(linc-45). History: N.A.
D1014.12,linc-31,24.88,19.45,23.31,0.0,1.22,0.0,-55.26,9.92e-06,D1014.12,WBGene00219666,Sequence name for WBGene00219666(linc-31). History: N.A.
D2062.14,linc-66,0.0,2.08,0.0,28.93,19.58,5.03,25.69,0.00823,D2062.14,WBGene00219667,Sequence name for WBGene00219667(linc-66). History: N.A.
DY3.t2,DY3.t2,7.92,1.39,5.59,0.0,0.0,1.01,-14.8,0.0329,DY3.t2,WBGene00014301,Public name for WBGene00014301. History: N.A.
F08H9.10,F08H9.10,100.65,77.82,80.17,27.48,35.5,47.32,-2.34,3.88e-08,F08H9.10,WBGene00014316,Public name for WBGene00014316. History: N.A.
F08H9.11,F08H9.11,105.18,81.29,84.84,27.48,35.5,46.31,-2.48,1.62e-09,F08H9.11,WBGene00014317,Public name for WBGene00014317. History: N.A.
F10C1.22,linc-44,827.83,969.25,1297.7,37.6,34.27,32.22,-29.73,1.07e-93,F10C1.22,WBGene00219675,Sequence name for WBGene00219675(linc-44). History: N.A.
F10C1.t1,F10C1.t1,182.08,180.65,226.54,104.13,118.73,119.81,-1.72,0.000251,F10C1.t1,WBGene00022983,Public name for WBGene00022983. History: N.A.
F10D2.13,F10D2.13,22.62,22.93,14.92,11.57,4.9,9.06,-2.37,0.0163,F10D2.13,WBGene00045145,Public name for WBGene00045145. History: N.A.
F13H8.15,linc-4,10.18,10.42,6.53,1.45,2.45,1.01,-5.53,0.0123,F13H8.15,WBGene00219306,Sequence name for WBGene00219306(linc-4). History: N.A.
F21A9.3,linc-9,248.8,254.99,271.29,21.69,24.48,27.18,-10.57,5.2e-58,F21A9.3,WBGene00219678,Sequence name for WBGene00219678(linc-9). History: N.A.
F23B2.14,sls-2.10,56.55,64.62,69.92,13.02,13.46,16.11,-4.49,1.2e-12,F23B2.14,WBGene00004842,Sequence name for WBGene00004842(sls-2.10). History: N.A.
F23B2.15,sls-2.11,56.55,68.09,69.92,13.02,13.46,17.12,-4.46,7.58e-13,F23B2.15,WBGene00004843,Sequence name for WBGene00004843(sls-2.11). History: N.A.
F28F8.t2,F28F8.t2,18.09,21.54,31.7,1.45,4.9,6.04,-5.76,4.34e-05,F28F8.t2,WBGene00014351,Public name for WBGene00014351. History: N.A.
F31A9.8,linc-75,11.31,5.56,7.46,0.0,0.0,0.0,-35.51,0.000236,F31A9.8,WBGene00219685,Sequence name for WBGene00219685(linc-75). History: N.A.
F31C3.11,rrn-2.1,1945.18,1746.73,2275.63,2302.49,2878.79,3623.61,1.48,0.00871,F31C3.11,WBGene00004567,Sequence name for WBGene00004567(rrn-2.1). History: N.A.
F31E9.t1,F31E9.t1,13.57,15.98,19.58,10.12,6.12,9.06,-1.94,0.0457,F31E9.t1,WBGene00014362,Public name for WBGene00014362. History: N.A.
F34D6.11,linc-12,1.13,6.25,0.93,0.0,0.0,0.0,-13.48,0.0171,F34D6.11,WBGene00219687,Sequence name for WBGene00219687(linc-12). History: N.A.
F36A4.21,linc-21,71.25,54.19,45.68,1.45,0.0,4.03,-31.26,2.73e-11,F36A4.21,WBGene00219688,Sequence name for WBGene00219688(linc-21). History: N.A.
F36A4.22,linc-41,3.39,13.9,11.19,1.45,0.0,0.0,-19.69,0.00195,F36A4.22,WBGene00219689,Sequence name for WBGene00219689(linc-41). History: N.A.
F36H12.19,sls-2.12,36.19,38.91,31.7,18.8,4.9,16.11,-2.68,0.000443,F36H12.19,WBGene00004844,Sequence name for WBGene00004844(sls-2.12). History: N.A.
F38E9.t2,F38E9.t2,4.52,5.56,6.53,0.0,1.22,1.01,-7.44,0.0312,F38E9.t2,WBGene00023033,Public name for WBGene00023033. History: N.A.
F40G12.13,F40G12.13,105.18,81.29,84.84,27.48,35.5,46.31,-2.48,1.5e-09,F40G12.13,WBGene00014370,Public name for WBGene00014370. History: N.A.
F40G12.14,F40G12.14,105.18,81.29,84.84,27.48,35.5,46.31,-2.48,1.52e-09,F40G12.14,WBGene00014371,Public name for WBGene00014371. History: N.A.
F42G10.t1,F42G10.t1,12.44,10.42,13.98,2.89,3.67,7.05,-2.71,0.0287,F42G10.t1,WBGene00014374,Public name for WBGene00014374. History: N.A.
F43A11.8,F43A11.8,375.46,357.13,426.04,196.69,285.19,324.2,-1.44,0.0138,F43A11.8,WBGene00045167,Public name for WBGene00045167. History: N.A.
F47E1.18,linc-22,675.16,667.01,577.06,31.82,25.7,20.14,-24.71,2.81e-96,F47E1.18,WBGene00219699,Sequence name for WBGene00219699(linc-22). History: N.A.
F47G4.9,F47G4.9,109.7,123.67,85.77,83.88,70.99,49.34,-1.56,0.0176,F47G4.9,WBGene00044975,Public name for WBGene00044975. History: N.A.
F49E7.t1,F49E7.t1,5.65,7.64,6.53,0.0,1.22,2.01,-6.12,0.0215,F49E7.t1,WBGene00023059,Public name for WBGene00023059. History: N.A.
F49E7.t2,F49E7.t2,4.52,5.56,6.53,0.0,1.22,1.01,-7.44,0.03,F49E7.t2,WBGene00023060,Public name for WBGene00023060. History: N.A.
F49E7.t3,F49E7.t3,4.52,5.56,6.53,0.0,1.22,1.01,-7.44,0.03,F49E7.t3,WBGene00023061,Public name for WBGene00023061. History: N.A.
F52D2.13,linc-6,830.09,967.16,701.05,13.02,14.69,24.16,-48.17,2.93e-91,F52D2.13,WBGene00219700,Sequence name for WBGene00219700(linc-6). History: N.A.
