# Ancestral population mRNA levels,,,,,,,,,,,
Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Input,Suggested Match,History
B0035.10,his-45,yes,17601.13,14398.13,15428.7,11216.35,10066.9,11660.49,B0035.10,WBGene00001919,Sequence name for WBGene00001919(his-45). History: N.A.
B0035.7,his-47,yes,20173.25,15727.29,17505.07,9922.37,9686.32,11037.69,B0035.7,WBGene00001921,Sequence name for WBGene00001921(his-47). History: N.A.
B0035.8,his-48,yes,21842.46,17389.53,19084.4,15469.81,14820.46,16650.26,B0035.8,WBGene00001922,Sequence name for WBGene00001922(his-48). History: N.A.
B0035.9,his-46,yes,26125.15,18280.52,22500.33,13089.28,13055.37,14185.57,B0035.9,WBGene00001920,Sequence name for WBGene00001920(his-46). History: N.A.
B0041.11,B0041.11,yes,3.44,0,1.05,0,0,2.21,B0041.11,WBGene00206362,Public name for WBGene00206362. History: N.A.
B0047.4,math-1,yes,5.15,2.83,1.05,5.8,6.04,5.52,B0047.4,WBGene00015015,Sequence name for WBGene00015015(math-1). History: N.A.
B0207.12,avr-14,yes,37.11,53.36,54.97,98.95,75.6,103.72,B0207.12,WBGene00000232,Sequence name for WBGene00000232(avr-14). History: N.A.
B0250.9,dhcr-7,yes,24.04,21.71,7.34,24.63,22.95,22.08,B0250.9,WBGene00007126,Sequence name for WBGene00007126(dhcr-7). History: N.A.
B0261.8,B0261.8,yes,107.35,151.95,166.76,134.77,121.99,135.8,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
B0348.5,B0348.5,yes,5.15,7.55,6.29,2.9,6.04,9.94,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
B0432.9,B0432.9,yes,68.7,54.74,63.98,43.47,37.44,44.16,B0432.9,WBGene00015190,Public name for WBGene00015190. History: N.A.
B0454.9,lido-13,yes,238.71,243.48,224.46,131.86,132.87,123.66,B0454.9,WBGene00015200,Sequence name for WBGene00015200(lido-13). History: N.A.
B0464.3,nlp-36,yes,446.77,468.22,497.06,475.37,565.17,517.71,B0464.3,WBGene00007185,Sequence name for WBGene00007185(nlp-36). History: N.A.
BE0003N10.3,BE0003N10.3,yes,66.11,60.4,61.89,37.67,47.11,29.81,BE0003N10.3,WBGene00015268,"Public name for WBGene00015268. History: Split into BE0003N10.6(WBGene00255598). History of WBGene00015268: Split into ""WBGene00255598"" on 2014-10-09"
C01B4.7,C01B4.7,yes,38.64,40.58,37.76,44.92,38.65,48.58,C01B4.7,WBGene00015271,Public name for WBGene00015271. History: N.A.
C02B10.6,C02B10.6,yes,14.6,0,0,27.53,28.99,58.52,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
C02C2.5,sup-18,yes,17.17,19.82,18.88,31.88,35.03,30.92,C02C2.5,WBGene00015334,Sequence name for WBGene00015334(sup-18). History: N.A.
C03E10.3,C03E10.3,yes,14.6,21.71,18.88,20.29,26.57,18.77,C03E10.3,WBGene00007281,Public name for WBGene00007281. History: N.A.
C04C3.5,dyf-3,yes,102.08,74.33,87.15,32.81,31.18,38,C04C3.5,WBGene00001119,"Sequence name for WBGene00001119(dyf-3). History: N.A.. Public name for Dead gene WBGene00015415. History of WBGene00015415: Merged into ""WBGene00001119"" on 2005-08-19"
C04F12.5,C04F12.5,yes,166.63,147.24,159.41,20.29,14.49,15.46,C04F12.5,WBGene00007299,Public name for WBGene00007299. History: N.A.
C04G2.8,spch-1,yes,53.24,35.86,35.66,198.52,179.97,221.92,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
C05D2.8,C05D2.8,yes,589.04,664.37,613.61,812.9,799.64,825.88,C05D2.8,WBGene00015469,Public name for WBGene00015469. History: N.A.
C06C3.12,C06C3.12,yes,6.87,0.94,6.29,1.45,2.42,5.52,C06C3.12,WBGene00175031,Public name for WBGene00175031. History: N.A.
C08B6.8,C08B6.8,yes,898.25,849.03,886.13,695.85,653.28,686.96,C08B6.8,WBGene00007429,Public name for WBGene00007429. History: N.A.
C14C11.1,C14C11.1,yes,45.51,25.48,36.71,27.53,37.45,46.37,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C16A3.9,rps-13,yes,17389.97,15624.78,16331.99,13426.1,12731.5,14691.23,C16A3.9,WBGene00004482,Sequence name for WBGene00004482(rps-13). History: N.A.
C17A2.3,C17A2.3,yes,0,0,0,0,0,0,C17A2.3,WBGene00015871,Public name for WBGene00015871. History: N.A.
C17D12.6,spe-9,yes,8.25,3.22,1.79,12.82,12.71,10.11,C17D12.6,WBGene00004963,Sequence name for WBGene00004963(spe-9). History: N.A.
C18D4.6,C18D4.6,yes,88.1,102.52,94.31,30.02,46.17,31.1,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
C18G1.9,C18G1.9,yes,6.01,9.44,6.29,13.04,18.12,16.56,C18G1.9,WBGene00015987,Public name for WBGene00015987. History: N.A.
C23H3.2,C23H3.2,yes,367.18,397.68,381.03,677.18,651.48,630.88,C23H3.2,WBGene00016018,Public name for WBGene00016018. History: N.A.
C26D10.3,C26D10.3,yes,131.37,89.65,121.67,97.08,103.88,93.85,C26D10.3,WBGene00007744,Public name for WBGene00007744. History: N.A.
C27C7.1,C27C7.1,yes,767.69,754.05,695.4,14.49,14.49,20.98,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C27D8.1,C27D8.1,yes,17.17,16.99,15.73,84.04,48.32,54.1,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
C28A5.4,ceh-43,yes,94.46,96.26,81.81,71,88.18,89.43,C28A5.4,WBGene00000463,Sequence name for WBGene00000463(ceh-43). History: Renamed on 2013-07-26
C30G4.6,irld-23,yes,0.86,0.94,2.1,2.9,3.62,4.42,C30G4.6,WBGene00016271,Sequence name for WBGene00016271(irld-23). History: N.A.
C31C9.4,fbxa-168,yes,7.73,9.44,9.44,14.49,7.25,15.46,C31C9.4,WBGene00007838,"Sequence name for WBGene00007838(fbxa-168). History: Split into fbxa-169(WBGene00045289). History of WBGene00007838: Split into ""WBGene00045289"" on 2007-02-26"
C33B4.4,C33B4.4,yes,61.01,36.82,52.43,15.94,14.49,16.56,C33B4.4,WBGene00007892,Public name for WBGene00007892. History: N.A.
C33C12.3,gba-1,yes,228.12,220.89,229.41,277.99,258.45,281.08,C33C12.3,WBGene00016335,Sequence name for WBGene00016335(gba-1). History: N.A.
C33C12.8,gba-2,yes,17.17,20.76,24.12,33.33,24.16,35.33,C33C12.8,WBGene00016340,Sequence name for WBGene00016340(gba-2). History: N.A.
C33C12.9,mtq-2,yes,204.38,217.06,217.11,82.6,82.13,89.43,C33C12.9,WBGene00016341,Sequence name for WBGene00016341(mtq-2). History: N.A.
C34C12.9,C34C12.9,yes,45.52,42.47,43,36.23,24.16,44.16,C34C12.9,WBGene00007928,Public name for WBGene00007928. History: N.A.
C35B1.5,C35B1.5,yes,609.78,574.78,655.5,773.83,806.82,690.01,C35B1.5,WBGene00016435,Public name for WBGene00016435. History: N.A.
C39F7.5,C39F7.5,yes,192.33,176.47,159.44,120.27,94.22,150.16,C39F7.5,WBGene00016540,Public name for WBGene00016540. History: N.A.
C45G9.7,txbp-3,yes,100.49,87.78,105.93,42.03,35.03,29.81,C45G9.7,WBGene00016678,Sequence name for WBGene00016678(txbp-3). History: N.A.
C46E1.2,gcy-36,yes,2.58,7.55,4.2,8.69,8.46,6.62,C46E1.2,WBGene00001556,Sequence name for WBGene00001556(gcy-36). History: N.A.
C46G7.5,C46G7.5,yes,22.36,17.94,25.16,13.05,10.87,19.86,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
C47D12.7,kel-1,yes,56.25,43.92,42.76,65.74,46.3,58.49,C47D12.7,WBGene00002184,Sequence name for WBGene00002184(kel-1). History: N.A.
C49A9.9,C49A9.9,yes,245.14,269.41,271.71,296.73,262.83,315.24,C49A9.9,WBGene00016763,Public name for WBGene00016763. History: N.A.
C50D2.4,col-68,yes,26.62,19.82,15.73,17.39,26.57,27.6,C50D2.4,WBGene00000644,Sequence name for WBGene00000644(col-68). History: N.A.
