Gene name,Sample 1,Sample 2,log2FoldChange,adjusted p-value,Input,Suggested Match,History
WBGene00012046,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-4.07022267562871,6.033864966021139e-18,WBGene00012046,WBGene00012046,History: N.A.
WBGene00009326,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-3.82878157372133,5.1168815526335096e-70,WBGene00009326,WBGene00009326,History: N.A.
WBGene00001068,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-3.39304280593067,3.694537187383699e-70,WBGene00001068,WBGene00001068,History: N.A.
WBGene00022816,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-3.28804981283184,7.58674506807788e-22,WBGene00022816,WBGene00022816,History: Renamed on 2019-05-20
WBGene00012597,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-3.10938544195377,5.17828375904202e-19,WBGene00012597,WBGene00012597,History: N.A.
WBGene00017060,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-3.07100188287094,3.17043213090054e-24,WBGene00017060,WBGene00017060,History: N.A.
WBGene00000399,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-3.024595576271,1.04133153376323e-55,WBGene00000399,WBGene00000399,History: N.A.
WBGene00000402,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-3.02014554503486,5.95502307140866e-51,WBGene00000402,WBGene00000402,"History: Split into C45G7.13(WBGene00235340). History of WBGene00000402: Split into ""WBGene00235340"" on 2013-09-12"
WBGene00012186,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.94327667878479,1.19819246337562e-16,WBGene00012186,WBGene00012186,History: Renamed on 2005-03-17
WBGene00022103,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.92682274896321,1.32823305251278e-45,WBGene00022103,WBGene00022103,History: N.A.
WBGene00002827,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.83609814009485,1.03255268476443e-53,WBGene00002827,WBGene00002827,History: N.A.
WBGene00044617,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.8312557511723,1.09371596718555e-61,WBGene00044617,WBGene00044617,History: N.A.
WBGene00009429,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.79845965406581,7.62939144172379e-37,WBGene00009429,WBGene00009429,History: N.A.
WBGene00012261,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.77361302737072,1.7111462376339e-54,WBGene00012261,WBGene00012261,History: N.A.
WBGene00007481,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.76661120029747,1.14026480476356e-05,WBGene00007481,WBGene00007481,History: N.A.
WBGene00016422,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.70866622713309,3.0745245430083103e-46,WBGene00016422,WBGene00016422,History: N.A.
WBGene00000673,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.68787739315045,1.52432778893802e-45,WBGene00000673,WBGene00000673,History: N.A.
WBGene00006366,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.67842643725275,1.34598423017026e-44,WBGene00006366,WBGene00006366,History: N.A.
WBGene00015523,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.64690911767735,1.70421528883071e-13,WBGene00015523,WBGene00015523,History: N.A.
WBGene00009108,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.60218111468191,7.06390721699186e-17,WBGene00009108,WBGene00009108,History: N.A.
WBGene00011328,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.5927645249563,1.12026144439412e-27,WBGene00011328,WBGene00011328,History: N.A.
WBGene00000677,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.58513282937408,8.31566329764928e-45,WBGene00000677,WBGene00000677,History: N.A.
WBGene00044515,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.56998309575333,7.59283029372703e-12,WBGene00044515,WBGene00044515,History: N.A.
WBGene00015268,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.54829742603992,6.35772301752918e-28,WBGene00015268,WBGene00015268,"History: Split into BE0003N10.6(WBGene00255598). History of WBGene00015268: Split into ""WBGene00255598"" on 2014-10-09"
WBGene00004224,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.53087569192262,3.9274273502701095e-40,WBGene00004224,WBGene00004224,History: N.A.
WBGene00019849,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.51751299063865,4.70331481811764e-09,WBGene00019849,WBGene00019849,History: N.A.
WBGene00008963,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.5125502161647,3.93213844745515e-48,WBGene00008963,WBGene00008963,History: N.A.
WBGene00007479,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.50401973240047,3.4734642876260803e-14,WBGene00007479,WBGene00007479,History: N.A.
WBGene00011107,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.4998477409168,6.444292251870628e-48,WBGene00011107,WBGene00011107,History: N.A.
WBGene00012256,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.49725310483448,2.3733360216275797e-41,WBGene00012256,WBGene00012256,History: N.A.
WBGene00009926,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.49025838562973,2.9718278320608597e-56,WBGene00009926,WBGene00009926,History: Renamed on 2005-03-17
WBGene00015795,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.48798032396278,8.17529677177933e-50,WBGene00015795,WBGene00015795,History: N.A.
WBGene00010472,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.4879713734163,2.27201217869488e-25,WBGene00010472,WBGene00010472,History: N.A.
WBGene00012796,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.48036275428095,1.17269995159407e-71,WBGene00012796,WBGene00012796,History: N.A.
WBGene00002282,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.46773593254927,1.53966937089509e-42,WBGene00002282,WBGene00002282,History: Renamed on 2011-09-23
WBGene00008511,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.45025530618319,3.72749949638797e-35,WBGene00008511,WBGene00008511,History: N.A.
WBGene00015763,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.44315999547943,2.6670872577089e-09,WBGene00015763,WBGene00015763,History: N.A.
WBGene00009787,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.42231166211364,1.88001451491633e-29,WBGene00009787,WBGene00009787,History: N.A.
WBGene00008519,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.41684856520448,5.32325811246403e-18,WBGene00008519,WBGene00008519,"History: Split into C29F7.8(WBGene00044405). History of WBGene00008519: Split into ""WBGene00044405"" on 2005-05-27"
WBGene00017569,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.41336452347599,6.59662617230231e-19,WBGene00017569,WBGene00017569,History: N.A.
WBGene00022274,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.40275948543312,6.80568266878865e-36,WBGene00022274,WBGene00022274,History: N.A.
WBGene00010835,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,-2.39944514404525,7.63647208894012e-32,WBGene00010835,WBGene00010835,History: N.A.
