# Table EV2. Tables listing the significantly enriched proteins from the various IP-MS experiments. The different Tabs of this excel file list the enriched protein lists belonging to the indicated figure panels. Genes that are of direct interest to this study,or with previous links to small RNAs are indicated in bold. The differences between the measured LFQ for each protein between the two strains used for each volcano plots are represented in log2 scale.
#
# Figure 4A
# volcano_enriched_reduced_xf145_vs_N2 (IP on PID-2::EGFP)
Gene.IDs,Protein.IDs,difference_xf145_N2,log10.pvalue_xf145_N2,Input,Suggested Match,History
pid-4,W03G9.2,9.68149443720572,5.65303815192219,pid-4,WBGene00021014,Public name for WBGene00021014. History: N.A.
gst-27,Y53F4B.30,2.45631359695114,4.985198221708,gst-27,WBGene00001775,Public name for WBGene00001775. History: N.A.
pid-2,Y48G1C.1,10.5670612192132,4.3904608346818,pid-2,WBGene00021676,Public name for WBGene00021676. History: Renamed on 2021-03-11
F54A3.5,F54A3.5,2.34610846676041,4.04857058767186,F54A3.5,WBGene00018784,Public name for WBGene00018784. History: N.A.
Y54F10AR.1,Y54F10AR.1,1.61398580023485,3.44938286948982,Y54F10AR.1,WBGene00021854,Public name for WBGene00021854. History: N.A.
C11D2.4,C11D2.4,1.82273992570844,3.32375173448258,C11D2.4,WBGene00015702,Public name for WBGene00015702. History: N.A.
par-5,M117.2a,3.11060799282461,3.20067856024609,par-5,WBGene00003920,Public name for WBGene00003920. History: N.A.
pezo-1,C10C5.1b,1.42386719859421,3.18833309694801,pezo-1,WBGene00007505,Public name for WBGene00007505. History: N.A.
col-92,W05B2.6,1.40696195118207,3.15550480256486,col-92,WBGene00000667,Public name for WBGene00000667. History: N.A.
C39D10.7,C39D10.7,1.47183095670359,3.00686889509418,C39D10.7,WBGene00016534,Public name for WBGene00016534. History: N.A.
kin-19,C03C10.1,3.55355772560267,2.76447872054133,kin-19,WBGene00002202,Public name for WBGene00002202. History: N.A.
cpr-1,C52E4.1,1.88511253639885,2.60413929276626,cpr-1,WBGene00000781,Public name for WBGene00000781. History: N.A.
catp-3,C09H5.2a,1.88079586990322,2.37353340214111,catp-3,WBGene00015660,Public name for WBGene00015660. History: N.A.
lbp-2,F40F4.2,2.01572260095172,2.1335927439141,lbp-2,WBGene00002254,Public name for WBGene00002254. History: N.A.
T21H3.1,T21H3.1a,1.80350129005915,2.00763928388911,T21H3.1,WBGene00020662,Public name for WBGene00020662. History: N.A.
rack-1,K04D7.1,1.00398899883534,1.92886712077517,rack-1,WBGene00010556,Public name for WBGene00010556. History: N.A.
ctsa-1.2,F13D12.6,1.49657313206225,1.91098469670699,ctsa-1.2,WBGene00008741,Public name for WBGene00008741. History: N.A.
prmt-5,C34E10.5,2.1247269334816,1.85690470632211,prmt-5,WBGene00016408,Public name for WBGene00016408. History: Renamed on 2007-07-20
Y58A7A.1,Y58A7A.1b,1.33868900092049,1.8489933219903,Y58A7A.1,WBGene00021975,Public name for WBGene00021975. History: N.A.
K11H12.8,K11H12.8a,1.21318329787801,1.83875584253233,K11H12.8,WBGene00019664,Public name for WBGene00019664. History: N.A.
cth-2,ZK1127.10,1.19626384551365,1.82117729184484,cth-2,WBGene00022856,Public name for WBGene00022856. History: N.A.
Y37D8A.2,Y37D8A.2,1.45346096519119,1.79885630241225,Y37D8A.2,WBGene00012544,Public name for WBGene00012544. History: N.A.
lpd-5,ZK973.10,1.25513727213414,1.79048726713897,lpd-5,WBGene00003061,Public name for WBGene00003061. History: Renamed on 2008-02-26
asp-5,F21F8.3,1.68372898392597,1.76058709258009,asp-5,WBGene00000218,Public name for WBGene00000218. History: N.A.
cpr-5,W07B8.5,1.40962626753391,1.75143907701926,cpr-5,WBGene00000785,Public name for WBGene00000785. History: N.A.
pbs-6,C02F5.9,1.87848691953706,1.7099344445327,pbs-6,WBGene00003952,Public name for WBGene00003952. History: N.A.
cpz-1,F32B5.8a,1.23689190709517,1.70945289666467,cpz-1,WBGene00000788,Public name for WBGene00000788. History: N.A.
Y51H4A.7,Y51H4A.7,1.10288274247388,1.68561065913518,Y51H4A.7,WBGene00013103,Public name for WBGene00013103. History: N.A.
cyn-1,Y49A3A.5,1.74408852904518,1.66068228735895,cyn-1,WBGene00000877,Public name for WBGene00000877. History: N.A.
dsc-4,K02D7.4,1.28131069376088,1.59851088816399,dsc-4,WBGene00001099,Public name for WBGene00001099. History: N.A.
C27H6.8,C27H6.8,1.36660462794116,1.55219821234106,C27H6.8,WBGene00007787,Public name for WBGene00007787. History: N.A.
ftt-2,F52D10.3a,1.60714657697518,1.50977396694415,ftt-2,WBGene00001502,Public name for WBGene00001502. History: N.A.
pbs-3,Y38A8.2,1.35803357950508,1.50953293723524,pbs-3,WBGene00003949,Public name for WBGene00003949. History: N.A.
cyn-5,F31C3.1,1.41166460388446,1.50658907117038,cyn-5,WBGene00000881,Public name for WBGene00000881. History: N.A.
gpd-2,K10B3.8,1.03433112224532,1.50460055984654,gpd-2,WBGene00001684,Public name for WBGene00001684. History: N.A.
F55B11.2,F55B11.2,1.18262929529004,1.50158626940984,F55B11.2,WBGene00010084,Public name for WBGene00010084. History: N.A.
C29F5.1,C29F5.1,1.69434492105816,1.47337442974861,C29F5.1,WBGene00016210,Public name for WBGene00016210. History: N.A.
ttr-15,T07C4.5,1.92970078784851,1.4629889339462,ttr-15,WBGene00011561,Public name for WBGene00011561. History: N.A.
C45B2.1,C45B2.1,1.02901055299689,1.45747363869488,C45B2.1,WBGene00016658,Public name for WBGene00016658. History: N.A.
adss-1,C37H5.6b,1.47901008935195,1.4511976206537,adss-1,WBGene00016509,Public name for WBGene00016509. History: N.A.
T22D1.3,T22D1.3a,1.16634060770212,1.4368213671754,T22D1.3,WBGene00020682,Public name for WBGene00020682. History: N.A.
pas-1,C15H11.7,1.15056911545138,1.41393980896243,pas-1,WBGene00003922,Public name for WBGene00003922. History: N.A.
asp-2,T18H9.2,2.27545965189103,1.41086620090599,asp-2,WBGene00000215,"Public name for WBGene00000215. History: Split into T18H9.11(WBGene00271820). History of WBGene00000215: Split into ""WBGene00271820"" on 2017-09-21"
cyn-7,Y75B12B.2,1.56266409641852,1.38922499430347,cyn-7,WBGene00000883,Public name for WBGene00000883. History: N.A.
smo-1,K12C11.2,1.3851216323349,1.3790607617679,smo-1,WBGene00004888,Public name for WBGene00004888. History: N.A.
hrg-7,C15C8.3a,1.79645378425016,1.37626562159084,hrg-7,WBGene00007605,Public name for WBGene00007605. History: Renamed on 2017-08-01
C01F1.3,C01F1.3a,1.38013237048797,1.375467296174,C01F1.3,WBGene00015298,Sequence name for WBGene00015298(rml-4). History: Renamed on 2005-03-17
aagr-3,F40F9.6b,1.2345685672122,1.36938725448103,aagr-3,WBGene00009583,Public name for WBGene00009583. History: N.A.
crt-1,Y38A10A.5,1.19469964327816,1.36402473912926,crt-1,WBGene00000802,Public name for WBGene00000802. History: N.A.
agl-1,R06A4.8,1.73071284022616,1.36200021822425,agl-1,WBGene00011050,Public name for WBGene00011050. History: N.A.. Other name for WBGene00008775(mogs-1). History: N.A.
C41G7.9,C41G7.9a,1.44243653622103,1.3470156328856,C41G7.9,WBGene00077771,Sequence name for WBGene00077771(tspo-1). History: N.A.
far-2,F02A9.3,1.25296318129529,1.34589374412638,far-2,WBGene00001386,Public name for WBGene00001386. History: N.A.
fkb-5,C50F2.6a,1.10042669132881,1.33104096184858,fkb-5,WBGene00001430,Public name for WBGene00001430. History: N.A.
dlc-1,T26A5.9,1.12123236081595,1.32763278275957,dlc-1,WBGene00001005,Public name for WBGene00001005. History: N.A.
W10C8.5,W10C8.5,1.23941349999435,1.30523260643789,W10C8.5,WBGene00021128,Public name for WBGene00021128. History: N.A.
pas-2,D1054.2,1.74965033309973,1.30441057586152,pas-2,WBGene00003923,Public name for WBGene00003923. History: N.A.
acs-2,F28F8.2,-3.21034598197403,4.66917191668109,acs-2,WBGene00009221,Public name for WBGene00009221. History: N.A.
ctl-2,Y54G11A.5,-1.1090663513328,4.25016617044693,ctl-2,WBGene00000831,Public name for WBGene00000831. History: N.A.
ctl-1,Y54G11A.6,-1.37820286148284,3.71040878981254,ctl-1,WBGene00000830,Public name for WBGene00000830. History: N.A.
F45D11.16,F45D11.16,-1.6067811971955,2.55503902621402,F45D11.16,WBGene00018461,Public name for WBGene00018461. History: N.A.
rsd-2,F52G2.2d,-1.61020885006173,2.42338813266914,rsd-2,WBGene00004681,Public name for WBGene00004681. History: N.A.
rsp-1,W02B12.3a,-1.09393591202441,2.18948596779506,rsp-1,WBGene00004698,Public name for WBGene00004698. History: N.A.
F25B4.5,F25B4.5,-1.61631736960751,2.0551962330354,F25B4.5,WBGene00017768,Sequence name for WBGene00017768(prp-39). History: N.A.
Y18D10A.11,Y18D10A.11,-1.193448811033,1.93237539615671,Y18D10A.11,WBGene00012481,Public name for WBGene00012481. History: N.A.
W09B7.2,W09B7.2,-1.15936722758562,1.90287112084089,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
Y53G8AR.9,Y53G8AR.9,-1.11154475382273,1.71971504109985,Y53G8AR.9,WBGene00021816,Public name for WBGene00021816. History: N.A.
cacn-1,W03H9.4a,-1.11031039491371,1.66295415233272,cacn-1,WBGene00012230,Public name for WBGene00012230. History: N.A.
hsp-17,F52E1.7b,-1.2951786426404,1.66051031987421,hsp-17,WBGene00002021,Public name for WBGene00002021. History: N.A.
tufm-2,C43E11.4,-1.84362581622473,1.48771774545737,tufm-2,WBGene00007001,Public name for WBGene00007001. History: N.A.
R06C7.6,R06C7.6,-2.57987278950619,1.45249846504218,R06C7.6,WBGene00011065,Public name for WBGene00011065. History: N.A.
ekl-1,F22D6.6,-1.24932513832238,1.32819886341961,ekl-1,WBGene00009052,Public name for WBGene00009052. History: N.A.
