# Table EV2. Tables listing the significantly enriched proteins from the various IP-MS experiments. The different Tabs of this excel file list the enriched protein lists belonging to the indicated figure panels. Genes that are of direct interest to this study,or with previous links to small RNAs are indicated in bold. The differences between the measured LFQ for each protein between the two strains used for each volcano plots are represented in log2 scale.
#
# Figure S4B
# volcano_enriched_reduced_RFK505_vs_N2 (IP on FLAG tagged PID-2; xfSi98 transgene)
Gene.IDs,Protein.IDs,difference_RFK505_N2,log10.pvalue_RFK505_N2,Input,Suggested Match,History
Y51H7C.13,Y51H7C.13,2.38975707189347,5.36553554150628,Y51H7C.13,WBGene00021791,Public name for WBGene00021791. History: N.A.
pid-2,Y48G1C.1,8.34570412689093,5.11974041272456,pid-2,WBGene00021676,Public name for WBGene00021676. History: Renamed on 2021-03-11
pid-4,W03G9.2,8.51119653028858,5.03624420716405,pid-4,WBGene00021014,Public name for WBGene00021014. History: N.A.
pmp-1,C44B7.8,1.36679623649299,4.60104699265121,pmp-1,WBGene00004058,Public name for WBGene00004058. History: N.A.
pid-5,Y45G5AM.2a,7.13496480834391,4.20468818238459,pid-5,WBGene00021555,Public name for WBGene00021555. History: N.A.
Y47G6A.15,Y47G6A.15,2.06190854254247,3.98067436828162,Y47G6A.15,WBGene00021641,Public name for WBGene00021641. History: N.A.
haf-9,ZK484.2a,1.02501516795319,3.63391893408375,haf-9,WBGene00001819,Public name for WBGene00001819. History: N.A.
par-5,M117.2a,1.83898641483574,3.63182293748357,par-5,WBGene00003920,Public name for WBGene00003920. History: N.A.
lact-3,M28.6,2.35736008634477,3.556819447001,lact-3,WBGene00010897,Public name for WBGene00010897. History: N.A.
col-97,ZK1010.7,2.17190979537997,3.5193041002207,col-97,WBGene00000672,Public name for WBGene00000672. History: N.A.
dpy-13,F30B5.1,1.67455461296013,3.42440867145674,dpy-13,WBGene00001074,Public name for WBGene00001074. History: N.A.
E01G4.6,E01G4.6,4.07018269811649,3.38872121467883,E01G4.6,WBGene00008448,Public name for WBGene00008448. History: N.A.
kin-19,C03C10.1,2.39013804218072,3.31740072365713,kin-19,WBGene00002202,Public name for WBGene00002202. History: N.A.
cdr-2,C54D10.1,1.32949572220616,3.25062049998238,cdr-2,WBGene00008296,Public name for WBGene00008296. History: N.A.
W09B7.2,W09B7.2,2.68377202294639,3.0757132031467,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
hum-8,Y66H1A.6a,1.23441076408177,3.02744469788626,hum-8,WBGene00002041,Public name for WBGene00002041. History: N.A.
T19D12.4,T19D12.4b,1.02224194483523,3.01356600148126,T19D12.4,WBGene00020579,Public name for WBGene00020579. History: N.A.
ugt-18,ZC443.5,3.68555392544578,2.93758717621151,ugt-18,WBGene00013900,Public name for WBGene00013900. History: N.A.
nep-22,T25B6.2,1.35301192972195,2.86147943250692,nep-22,WBGene00020788,Public name for WBGene00020788. History: N.A.
F57H12.6,F57H12.6,2.89452481554164,2.85222717248803,F57H12.6,WBGene00019021,Public name for WBGene00019021. History: N.A.
poml-3,E01A2.10,1.10111650901876,2.79016667279499,poml-3,WBGene00077701,Public name for WBGene00077701. History: N.A.
cdr-1,F35E8.11,1.93165778740947,2.7828811406776,cdr-1,WBGene00000412,Public name for WBGene00000412. History: N.A.
tsp-8,F33C8.3,1.22069502481043,2.74936617680441,tsp-8,WBGene00006634,Public name for WBGene00006634. History: N.A.
kin-1,ZK909.2i,1.28788407783216,2.71993881940836,kin-1,WBGene00002189,Public name for WBGene00002189. History: N.A.
C18B2.5,C18B2.5a,1.155036424382,2.69892390134421,C18B2.5,WBGene00015956,Public name for WBGene00015956. History: N.A.
Y73F8A.26,Y73F8A.26a,4.29594297338906,2.65453859474163,Y73F8A.26,WBGene00013531,Public name for WBGene00013531. History: N.A.
cdr-4,K01D12.11,1.19820817071225,2.6393712646258,cdr-4,WBGene00010470,Public name for WBGene00010470. History: N.A.
pcp-1,ZK112.1,1.23902710852313,2.62756151195484,pcp-1,WBGene00003956,Public name for WBGene00003956. History: N.A.
Y16B4A.2,Y16B4A.2,1.06253514213368,2.62025562332976,Y16B4A.2,WBGene00012445,Public name for WBGene00012445. History: N.A.
hex-2,C14C11.3,1.19238495201552,2.57224068564142,hex-2,WBGene00015767,Public name for WBGene00015767. History: N.A.
C29F3.7,C29F3.7b,1.01744833474844,2.52435319219839,C29F3.7,WBGene00007807,Public name for WBGene00007807. History: N.A.
C31H5.6,C31H5.6a,1.09798116131575,2.48589358755767,C31H5.6,WBGene00007857,Public name for WBGene00007857. History: N.A.
cogc-6,K07C11.9,1.66688712883721,2.46666624341136,cogc-6,WBGene00019481,Public name for WBGene00019481. History: N.A.
fmo-1,K08C7.2,1.62181953319934,2.39537366050475,fmo-1,WBGene00001476,Public name for WBGene00001476. History: N.A.
pcyt-2.1,Y37E3.11a,1.50418516026912,2.39389219128837,pcyt-2.1,WBGene00021352,Public name for WBGene00021352. History: N.A.
gly-11,Y75B8A.9b,1.28405153155352,2.35958073761413,gly-11,WBGene00001636,Public name for WBGene00001636. History: Renamed on 2006-06-29
F56D3.1,F56D3.1,1.06904993437209,2.35065920519425,F56D3.1,WBGene00018969,Public name for WBGene00018969. History: N.A.
F17B5.1,F17B5.1a,1.29442343584819,2.29727985286046,F17B5.1,WBGene00008905,Public name for WBGene00008905. History: N.A.
acox-1.5,C48B4.1,1.20392352922315,2.26877368320505,acox-1.5,WBGene00008167,Public name for WBGene00008167. History: Renamed on 2015-04-29; Renamed on 2017-01-05
col-14,C46A5.3b,2.15129645236798,2.22518741825556,col-14,WBGene00000603,Public name for WBGene00000603. History: N.A.
ugt-19,K08B4.3,1.5553813276902,2.22321350912632,ugt-19,WBGene00019515,Public name for WBGene00019515. History: N.A.
E04F6.4,E04F6.4,1.57425069018529,2.16797775240852,E04F6.4,WBGene00017124,Public name for WBGene00017124. History: N.A.
hrg-2,K01D12.14,2.31559471856962,2.15781872386286,hrg-2,WBGene00010473,Public name for WBGene00010473. History: Renamed on 2012-02-10
F16F9.4,F16F9.4,1.39325959756562,2.11700419791268,F16F9.4,WBGene00017515,Public name for WBGene00017515. History: N.A.
pept-1,K04E7.2,1.05317180134511,2.09854383129105,pept-1,WBGene00003877,Public name for WBGene00003877. History: Renamed on 2009-04-29
ugt-16,ZC443.6,1.11867271300325,2.08988087765347,ugt-16,WBGene00013901,Public name for WBGene00013901. History: N.A.
F49C12.7,F49C12.7c,1.3026000214608,2.04686232556608,F49C12.7,WBGene00009877,Public name for WBGene00009877. History: N.A.
Y51A2D.13,Y51A2D.13a,1.59985859697146,2.01819523370423,Y51A2D.13,WBGene00013080,Public name for WBGene00013080. History: N.A.
dsc-4,K02D7.4,1.98478439139054,1.96545508151948,dsc-4,WBGene00001099,Public name for WBGene00001099. History: N.A.
pho-8,R13H4.3,2.12837201375205,1.90045330755029,pho-8,WBGene00011262,Public name for WBGene00011262. History: N.A.
ttr-14,T05A10.3,1.16634534478706,1.8517761836594,ttr-14,WBGene00011460,Public name for WBGene00011460. History: N.A.
pgp-6,T21E8.1b,1.31534767003252,1.83495254085059,pgp-6,WBGene00004000,Public name for WBGene00004000. History: N.A.
dpy-18,Y47D3B.10,1.05020061628922,1.78065691674647,dpy-18,WBGene00001077,Public name for WBGene00001077. History: N.A.
ptr-23,ZK270.1,1.39433498331134,1.76460510343156,ptr-23,WBGene00004237,Public name for WBGene00004237. History: N.A.
fat-5,W06D12.3,1.05105814918038,1.73361270744875,fat-5,WBGene00001397,Public name for WBGene00001397. History: N.A.
txdc-12.1,Y57A10A.23,1.2770700826577,1.7157893187352,txdc-12.1,WBGene00013263,Public name for WBGene00013263. History: N.A.
cnnm-1,C52D10.12,1.99255868816591,1.5711601734786,cnnm-1,WBGene00016879,Public name for WBGene00016879. History: N.A.
cyp-33C9,C50H11.15,1.18559197227768,1.51895417411365,cyp-33C9,WBGene00016860,Public name for WBGene00016860. History: N.A.
aqp-11,ZK525.2,1.63769162014123,1.50341044554725,aqp-11,WBGene00000179,Public name for WBGene00000179. History: N.A.
F11A10.6,F11A10.6a,1.07684047324946,1.45121885457458,F11A10.6,WBGene00008687,Public name for WBGene00008687. History: N.A.
col-124,C24F3.6,1.22587614467306,1.45069494189277,col-124,WBGene00000698,Public name for WBGene00000698. History: N.A.
pes-8,F18G5.2,1.3755880162615,1.38808052019269,pes-8,WBGene00003981,Public name for WBGene00003981. History: N.A.
F53B3.6,F53B3.6,1.65135364439433,1.38755624506082,F53B3.6,WBGene00018744,Public name for WBGene00018744. History: N.A.
col-3,T28C6.6,1.52550353524031,1.37515345036006,col-3,WBGene00000594,Public name for WBGene00000594. History: N.A.. Other name for WBGene00000691(col-117). History: N.A.
aqp-8,K02G10.7a,2.2682113804017,1.36887365508512,aqp-8,WBGene00000176,Public name for WBGene00000176. History: N.A.
F53B3.5,F53B3.5,-2.90705507765175,5.94157024969808,F53B3.5,WBGene00018743,Public name for WBGene00018743. History: N.A.
clec-87,C25A1.8,-4.67019649290557,4.78542322251856,clec-87,WBGene00007709,Public name for WBGene00007709. History: Renamed on 2006-06-15
C01G6.3,C01G6.3,-3.84371622617376,4.70778786700505,C01G6.3,WBGene00007225,Public name for WBGene00007225. History: N.A.
asb-1,F35G12.10,-1.00314964799133,4.39616480170417,asb-1,WBGene00000206,Public name for WBGene00000206. History: N.A.
chdp-1,C10G11.7a,-1.18344938461567,4.14876360367526,chdp-1,WBGene00015687,Public name for WBGene00015687. History: N.A.
acp-6,Y73B6BL.24,-1.85101622317428,4.13486158594396,acp-6,WBGene00022245,Public name for WBGene00022245. History: N.A.
ints-8,Y48G10A.4a,-2.59368164048562,3.79447223058874,ints-8,WBGene00013021,Public name for WBGene00013021. History: N.A.
T09B4.5,T09B4.5a,-1.99622965116514,3.6833450199835,T09B4.5,WBGene00020379,Public name for WBGene00020379. History: N.A.
isw-1,F37A4.8,-1.00628048214919,3.58727294945121,isw-1,WBGene00002169,Public name for WBGene00002169. History: N.A.
F21D5.1,F21D5.1,-1.58226198832595,3.47382649358587,F21D5.1,WBGene00009006,Public name for WBGene00009006. History: N.A.
cav-1,T13F2.8a,-4.62965027222342,3.47376834909303,cav-1,WBGene00000301,Public name for WBGene00000301. History: N.A.
lin-53,K07A1.12,-1.160008725688,3.46827993658545,lin-53,WBGene00003036,Public name for WBGene00003036. History: N.A.
snr-3,T28D9.10a,-3.1218670035749,3.38340150771362,snr-3,WBGene00004916,Public name for WBGene00004916. History: N.A.
F56F11.4,F56F11.4a,-1.81879661483778,3.30198584970732,F56F11.4,WBGene00018991,Public name for WBGene00018991. History: N.A.
mcm-4,Y39G10AR.14a,-1.2175895164204,3.17948575828957,mcm-4,WBGene00003156,Public name for WBGene00003156. History: Renamed on 2015-03-03; Renamed on 2015-03-03
mcm-2,Y17G7B.5a,-1.24482049815781,3.12899470612125,mcm-2,WBGene00003154,Public name for WBGene00003154. History: N.A.
mcm-7,F32D1.10,-1.54056138218805,3.03190059912346,mcm-7,WBGene00003159,Public name for WBGene00003159. History: N.A.
mcm-3,C25D7.6,-1.28998686336055,3.0237040889122,mcm-3,WBGene00003155,Public name for WBGene00003155. History: N.A.
nasp-2,C50B6.2,-2.89608016693083,2.89900271894081,nasp-2,WBGene00008218,Public name for WBGene00008218. History: N.A.
