# Table EV2. Tables listing the significantly enriched proteins from the various IP-MS experiments. The different Tabs of this excel file list the enriched protein lists belonging to the indicated figure panels. Genes that are of direct interest to this study,or with previous links to small RNAs are indicated in bold. The differences between the measured LFQ for each protein between the two strains used for each volcano plots are represented in log2 scale.
#
# Figure S4H
# volcano_enriched_reduced_xf181_vs_PID2  (IP on endogenous PID-2 in pid-5 mutant versus pid-2 mutant)
Gene.IDs,Protein.IDs,difference_xf181_PID2,log10.pvalue_xf181_PID2,Input,Suggested Match,History
pid-4,W03G9.2,5.80559426826787,6.09593690113283,pid-4,WBGene00021014,Public name for WBGene00021014. History: N.A.
pid-2,Y48G1C.1,6.90146820109637,4.62856531685796,pid-2,WBGene00021676,Public name for WBGene00021676. History: Renamed on 2021-03-11
kin-19,C03C10.1,1.67968989058446,3.7966513266845,kin-19,WBGene00002202,Public name for WBGene00002202. History: N.A.
dao-3,K07E3.3,2.14112633252001,2.62098132110329,dao-3,WBGene00000929,Public name for WBGene00000929. History: N.A.
arx-6,C35D10.16,1.08175200643728,2.38775754701496,arx-6,WBGene00000204,Public name for WBGene00000204. History: N.A.
rps-30,C26F1.4,1.1852554026685,2.11492615291981,rps-30,WBGene00004499,Public name for WBGene00004499. History: N.A.
rpl-31,W09C5.6a,1.1504729124485,1.82804844476754,rpl-31,WBGene00004445,Public name for WBGene00004445. History: N.A.
par-5,M117.2a,1.52520695594527,1.80376370458037,par-5,WBGene00003920,Public name for WBGene00003920. History: N.A.
rps-12,F54E7.2,1.01932725886666,1.67133321012144,rps-12,WBGene00004481,Public name for WBGene00004481. History: N.A.
far-1,F02A9.2a,1.42831591551069,1.62727673390315,far-1,WBGene00001385,Public name for WBGene00001385. History: N.A.
ubl-1,H06I04.4a,1.25497812705128,1.61039039009062,ubl-1,WBGene00006725,Public name for WBGene00006725. History: N.A.
usp-14,C13B4.2,1.07648957919227,1.58194246292904,usp-14,WBGene00006856,Public name for WBGene00006856. History: N.A.
lbp-9,Y40B10A.1b,1.48084887694364,1.54459813965777,lbp-9,WBGene00021486,Public name for WBGene00021486. History: N.A.
pas-5,F25H2.9,1.40775827485328,1.51270528507497,pas-5,WBGene00003926,Public name for WBGene00003926. History: Renamed on 2009-01-09
vps-32.1,C56C10.3,2.45242805194644,1.47755471067001,vps-32.1,WBGene00016961,Public name for WBGene00016961. History: Renamed on 2007-06-04
rpl-43,Y48B6A.2,2.17157337896112,1.46262374458431,rpl-43,WBGene00004456,Public name for WBGene00004456. History: N.A.
ftn-2,D1037.3,1.23861464281183,1.4471128989512,ftn-2,WBGene00001501,Public name for WBGene00001501. History: N.A.
mbf-1,H21P03.1,1.04726228330979,1.44115831814367,mbf-1,WBGene00003148,Public name for WBGene00003148. History: N.A.
rpl-30,Y106G6H.3a,1.38912890976821,1.43931103203011,rpl-30,WBGene00004444,Public name for WBGene00004444. History: N.A.
rps-13,C16A3.9,1.18945057793916,1.43417083483129,rps-13,WBGene00004482,Public name for WBGene00004482. History: N.A.
rpl-21,C14B9.7,1.63004413706317,1.41893757029467,rpl-21,WBGene00004433,Public name for WBGene00004433. History: N.A.
