Gene Symbol,Ratio(endu-2_tm4977 vs. endu-2_GFP),log2FC,Input,Suggested Match,History
H25K10.1,12.5241,12.5241,H25K10.1,WBGene00010411,"Public name for WBGene00010411. History: Split into H25K10.141(WBGene00219331). History of WBGene00010411: Split into ""WBGene00219331"" on 2012-01-16"
pho-9,12.0819,12.0819,pho-9,WBGene00022181,Public name for WBGene00022181. History: N.A.
clec-169,11.6302,11.6302,clec-169,WBGene00009526,Public name for WBGene00009526. History: N.A.
F49C12.7,8.42397,8.42397,F49C12.7,WBGene00009877,Public name for WBGene00009877. History: N.A.
pitr-5,7.58564,7.58564,pitr-5,WBGene00017312,Public name for WBGene00017312. History: N.A.
dao-3,5.66189,5.66189,dao-3,WBGene00000929,Public name for WBGene00000929. History: N.A.
dhs-26,5.47157,5.47157,dhs-26,WBGene00000989,Public name for WBGene00000989. History: N.A.
F38B6.4,5.17576,5.17576,F38B6.4,WBGene00018174,Public name for WBGene00018174. History: N.A.
F10F2.2,5.07933,5.07933,F10F2.2,WBGene00008654,Sequence name for WBGene00008654(pfas-1). History: N.A.
pgp-6,4.81595,4.81595,pgp-6,WBGene00004000,Public name for WBGene00004000. History: N.A.
aman-1,4.6444,4.6444,aman-1,WBGene00018877,Public name for WBGene00018877. History: N.A.
B0286.3,4.47319,4.47319,B0286.3,WBGene00015116,Sequence name for WBGene00015116(paic-1). History: Renamed on 2019-07-15
atic-1,4.35057,4.35057,atic-1,WBGene00016957,Public name for WBGene00016957. History: N.A.
acox-2(acox-1.2),4.28938,4.28938,,,
clec-6,4.15832,4.15832,clec-6,WBGene00016451,Public name for WBGene00016451. History: N.A.
fat-7,3.95624,3.95624,fat-7,WBGene00001399,Public name for WBGene00001399. History: N.A.
oac-32,3.92289,3.92289,oac-32,WBGene00018708,Public name for WBGene00018708. History: N.A.
cyp-25A1,3.8809,3.8809,cyp-25A1,WBGene00007963,Public name for WBGene00007963. History: N.A.
pgp-5,3.73016,3.73016,pgp-5,WBGene00003999,Public name for WBGene00003999. History: N.A.
clec-67,3.6323,3.6323,clec-67,WBGene00018971,Public name for WBGene00018971. History: N.A.
Y48E1B.8,3.62718,3.62718,Y48E1B.8,WBGene00013007,Public name for WBGene00013007. History: N.A.
T02B5.1,3.56632,3.56632,T02B5.1,WBGene00011362,Sequence name for WBGene00011362(cest-1.1). History: Renamed on 2019-05-20
Y73F4A.1,3.50789,3.50789,Y73F4A.1,WBGene00013514,Public name for WBGene00013514. History: N.A.
K01A2.4,3.4895,3.4895,K01A2.4,WBGene00019279,Public name for WBGene00019279. History: N.A.
F44G3.2,3.4849,3.4849,F44G3.2,WBGene00009706,Sequence name for WBGene00009706(argk-1). History: N.A.
irg-1,3.4757,3.4757,irg-1,WBGene00015574,Public name for WBGene00015574. History: N.A.
fpn-1.2,3.45956,3.45956,fpn-1.2,WBGene00019977,Public name for WBGene00019977. History: N.A.
mab-3,3.43464,3.43464,mab-3,WBGene00003100,Public name for WBGene00003100. History: N.A.
abhd-3.2,3.32702,3.32702,abhd-3.2,WBGene00016644,Public name for WBGene00016644. History: N.A.
asm-3,3.3098,3.3098,asm-3,WBGene00000213,Public name for WBGene00000213. History: N.A.
nspb-2,3.2749,3.2749,nspb-2,WBGene00018169,Public name for WBGene00018169. History: N.A.
acdh-6,3.2614,3.2614,acdh-6,WBGene00015335,Public name for WBGene00015335. History: N.A.
ugt-26,3.22217,3.22217,ugt-26,WBGene00015695,Public name for WBGene00015695. History: N.A.
F22A3.15,3.21143,3.21143,F22A3.15,WBGene00200355,Public name for WBGene00200355. History: N.A.
decr-1.1,3.14688,3.14688,decr-1.1,WBGene00018380,Public name for WBGene00018380. History: N.A.
nspb-4,3.11299,3.11299,nspb-4,WBGene00018167,Public name for WBGene00018167. History: N.A.
B0252.1,3.11075,3.11075,B0252.1,WBGene00015087,Public name for WBGene00015087. History: N.A.
nspb-1,3.07942,3.07942,nspb-1,WBGene00018170,Public name for WBGene00018170. History: N.A.
bas-1,3.07384,3.07384,bas-1,WBGene00000239,Public name for WBGene00000239. History: N.A.
zip-3,3.05523,3.05523,zip-3,WBGene00012330,Public name for WBGene00012330. History: N.A.
F45B8.6,3.05447,3.05447,F45B8.6,WBGene00195377,Public name for WBGene00195377. History: N.A.
PDB1.1,3.05006,3.05006,PDB1.1,WBGene00019803,Public name for WBGene00019803. History: N.A.
K09C4.5,3.04648,3.04648,K09C4.5,WBGene00019550,Public name for WBGene00019550. History: N.A.
col-176,3.0301,3.0301,col-176,WBGene00000749,Public name for WBGene00000749. History: N.A.
Y70C5A.3,3.02999,3.02999,Y70C5A.3,WBGene00050904,Public name for WBGene00050904. History: N.A.
lips-6,2.9888,2.9888,lips-6,WBGene00014009,Public name for WBGene00014009. History: N.A.
Y87G2A.16,2.97308,2.97308,Y87G2A.16,WBGene00013602,Public name for WBGene00013602. History: N.A.
H20E11.3,2.92855,2.92855,H20E11.3,WBGene00019215,Public name for WBGene00019215. History: N.A.
clec-205,2.91567,2.91567,clec-205,WBGene00021602,Public name for WBGene00021602. History: N.A.
T05B11.1,2.89822,2.89822,T05B11.1,WBGene00020245,Public name for WBGene00020245. History: N.A.
pud-4,2.89383,2.89383,pud-4,WBGene00017498,Public name for WBGene00017498. History: N.A.
trpp-12,2.87841,2.87841,trpp-12,WBGene00016614,"Public name for WBGene00016614. History: Split into C43H6.12(WBGene00303045). History of WBGene00016614: Split into ""WBGene00303045"" on 2018-03-02"
F09C8.1,2.83557,2.83557,F09C8.1,WBGene00008621,Public name for WBGene00008621. History: N.A.
clec-15,2.83289,2.83289,clec-15,WBGene00011584,Public name for WBGene00011584. History: N.A.
K11H12.4,2.83202,2.83202,K11H12.4,WBGene00019660,Public name for WBGene00019660. History: N.A.
Y47D7A.9,2.8282,2.8282,Y47D7A.9,WBGene00021621,Public name for WBGene00021621. History: N.A.
F40F9.5,2.77925,2.77925,F40F9.5,WBGene00009582,Sequence name for WBGene00009582(slcr-46.3). History: N.A.
clec-47,2.7736,2.7736,clec-47,WBGene00011668,Public name for WBGene00011668. History: N.A.
cpt-5,2.75618,2.75618,cpt-5,WBGene00008629,Public name for WBGene00008629. History: N.A.
mltn-1,2.73671,2.73671,mltn-1,WBGene00009311,Public name for WBGene00009311. History: N.A.
T05E7.1,2.73041,2.73041,T05E7.1,WBGene00020258,Public name for WBGene00020258. History: N.A.
cth-1,2.72308,2.72308,cth-1,WBGene00009048,Public name for WBGene00009048. History: N.A.
M163.12,2.72262,2.72262,M163.12,WBGene00045117,Public name for WBGene00045117. History: N.A.
F16H6.10,2.71475,2.71475,F16H6.10,WBGene00008900,Public name for WBGene00008900. History: N.A.
T22B7.7,2.68633,2.68633,T22B7.7,WBGene00020674,Public name for WBGene00020674. History: N.A.
aqp-4,2.6813,2.6813,aqp-4,WBGene00000172,Public name for WBGene00000172. History: N.A.
pho-1,2.67058,2.67058,pho-1,WBGene00004020,Public name for WBGene00004020. History: N.A.
F42A10.7,2.66548,2.66548,F42A10.7,WBGene00018343,Public name for WBGene00018343. History: N.A.
F17B5.1,2.66113,2.66113,F17B5.1,WBGene00008905,Public name for WBGene00008905. History: N.A.
F37H8.3,2.63325,2.63325,F37H8.3,WBGene00009512,Sequence name for WBGene00009512(bigr-1). History: N.A.
cat-4,2.58657,2.58657,cat-4,WBGene00000298,Public name for WBGene00000298. History: N.A.
mltn-9,2.56873,2.56873,mltn-9,WBGene00008964,Public name for WBGene00008964. History: N.A.
asp-14,2.5442,2.5442,asp-14,WBGene00019619,Public name for WBGene00019619. History: N.A.
col-137,2.5304,2.5304,col-137,WBGene00000710,Public name for WBGene00000710. History: N.A.
W10C8.5,2.52063,2.52063,W10C8.5,WBGene00021128,Public name for WBGene00021128. History: N.A.
F55F3.2,2.51934,2.51934,F55F3.2,WBGene00010116,Sequence name for WBGene00010116(cest-13). History: N.A.
sdz-24,2.50812,2.50812,sdz-24,WBGene00019495,Public name for WBGene00019495. History: N.A.
Y38A10A.2,2.49303,2.49303,Y38A10A.2,WBGene00021389,Public name for WBGene00021389. History: N.A.
T19D12.9,2.48836,2.48836,T19D12.9,WBGene00020583,Public name for WBGene00020583. History: N.A.
haao-1,2.48522,2.48522,haao-1,WBGene00010595,Public name for WBGene00010595. History: N.A.
asns-2,2.47434,2.47434,asns-2,WBGene00019730,Public name for WBGene00019730. History: N.A.
