# Supplementary Data 1: Gene lists generated and used in this study and associated TPM values.,,,
# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
zygotic (704),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000002,,,,WBGene00000002,WBGene00000002,History: N.A.
WBGene00000020,,,,WBGene00000020,WBGene00000020,History: N.A.
WBGene00000039,,,,WBGene00000039,WBGene00000039,History: N.A.
WBGene00000081,,,,WBGene00000081,WBGene00000081,History: N.A.
WBGene00000096,,,,WBGene00000096,WBGene00000096,History: N.A.
WBGene00000118,,,,WBGene00000118,WBGene00000118,History: N.A.
WBGene00000211,,,,WBGene00000211,WBGene00000211,History: N.A.
WBGene00000217,,,,WBGene00000217,WBGene00000217,History: N.A.
WBGene00000266,,,,WBGene00000266,WBGene00000266,History: Renamed on 2006-12-15
WBGene00000425,,,,WBGene00000425,WBGene00000425,History: N.A.
WBGene00000430,,,,WBGene00000430,WBGene00000430,History: N.A.
WBGene00000437,,,,WBGene00000437,WBGene00000437,History: N.A.
WBGene00000439,,,,WBGene00000439,WBGene00000439,History: N.A.
WBGene00000453,,,,WBGene00000453,WBGene00000453,History: N.A.
WBGene00000457,,,,WBGene00000457,WBGene00000457,History: N.A.
WBGene00000478,,,,WBGene00000478,WBGene00000478,History: N.A.
WBGene00000493,,,,WBGene00000493,WBGene00000493,History: N.A.
WBGene00000515,,,,WBGene00000515,WBGene00000515,History: N.A.
WBGene00000561,,,,WBGene00000561,WBGene00000561,History: N.A.
WBGene00000562,,,,WBGene00000562,WBGene00000562,History: N.A.
WBGene00000639,,,,WBGene00000639,WBGene00000639,History: N.A.
WBGene00000652,,,,WBGene00000652,WBGene00000652,History: N.A.
WBGene00000775,,,,WBGene00000775,WBGene00000775,History: Renamed on 2006-01-04
WBGene00000776,,,,WBGene00000776,WBGene00000776,History: N.A.
WBGene00000786,,,,WBGene00000786,WBGene00000786,History: N.A.
