# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Maternal and zygotic (1958),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000003,,,,WBGene00000003,WBGene00000003,History: N.A.
WBGene00000004,,,,WBGene00000004,WBGene00000004,History: N.A.
WBGene00000018,,,,WBGene00000018,WBGene00000018,History: N.A.
WBGene00000040,,,,WBGene00000040,WBGene00000040,History: N.A.
WBGene00000066,,,,WBGene00000066,WBGene00000066,History: N.A.
WBGene00000073,,,,WBGene00000073,WBGene00000073,History: N.A.
WBGene00000079,,,,WBGene00000079,WBGene00000079,History: N.A.
WBGene00000092,,,,WBGene00000092,WBGene00000092,History: N.A.
WBGene00000100,,,,WBGene00000100,WBGene00000100,History: N.A.
WBGene00000103,,,,WBGene00000103,WBGene00000103,History: N.A.
WBGene00000105,,,,WBGene00000105,WBGene00000105,History: N.A.
WBGene00000106,,,,WBGene00000106,WBGene00000106,History: N.A.
WBGene00000109,,,,WBGene00000109,WBGene00000109,History: N.A.
WBGene00000114,,,,WBGene00000114,WBGene00000114,History: N.A.
WBGene00000115,,,,WBGene00000115,WBGene00000115,History: N.A.
WBGene00000120,,,,WBGene00000120,WBGene00000120,History: Renamed on 2005-04-27
WBGene00000122,,,,WBGene00000122,WBGene00000122,History: N.A.
WBGene00000123,,,,WBGene00000123,WBGene00000123,History: Renamed on 2007-10-04
WBGene00000137,,,,WBGene00000137,WBGene00000137,History: N.A.
WBGene00000140,,,,WBGene00000140,WBGene00000140,History: N.A.
WBGene00000149,,,,WBGene00000149,WBGene00000149,History: N.A.
WBGene00000150,,,,WBGene00000150,WBGene00000150,History: Renamed on 2015-03-05
WBGene00000158,,,,WBGene00000158,WBGene00000158,History: N.A.
WBGene00000159,,,,WBGene00000159,WBGene00000159,History: N.A.
WBGene00000160,,,,WBGene00000160,WBGene00000160,History: N.A.
WBGene00000164,,,,WBGene00000164,WBGene00000164,History: N.A.
WBGene00000178,,,,WBGene00000178,WBGene00000178,History: N.A.
WBGene00000179,,,,WBGene00000179,WBGene00000179,History: N.A.
WBGene00000180,,,,WBGene00000180,WBGene00000180,History: N.A.
WBGene00000182,,,,WBGene00000182,WBGene00000182,History: Renamed on 2020-09-10
WBGene00000183,,,,WBGene00000183,WBGene00000183,History: Renamed on 2020-09-10
WBGene00000195,,,,WBGene00000195,WBGene00000195,History: N.A.
WBGene00000196,,,,WBGene00000196,WBGene00000196,History: Renamed on 2010-01-29
WBGene00000207,,,,WBGene00000207,WBGene00000207,History: N.A.
WBGene00000208,,,,WBGene00000208,WBGene00000208,History: Renamed on 2017-11-13
WBGene00000222,,,,WBGene00000222,WBGene00000222,History: N.A.
