# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
total in 1-cell (7033),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000001,,,,WBGene00000001,WBGene00000001,History: N.A.
WBGene00000003,,,,WBGene00000003,WBGene00000003,History: N.A.
WBGene00000004,,,,WBGene00000004,WBGene00000004,History: N.A.
WBGene00000010,,,,WBGene00000010,WBGene00000010,History: N.A.
WBGene00000018,,,,WBGene00000018,WBGene00000018,History: N.A.
WBGene00000040,,,,WBGene00000040,WBGene00000040,History: N.A.
WBGene00000041,,,,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000063,,,,WBGene00000063,WBGene00000063,History: N.A.
WBGene00000064,,,,WBGene00000064,WBGene00000064,History: N.A.
WBGene00000065,,,,WBGene00000065,WBGene00000065,History: N.A.
WBGene00000066,,,,WBGene00000066,WBGene00000066,History: N.A.
WBGene00000073,,,,WBGene00000073,WBGene00000073,History: N.A.
WBGene00000074,,,,WBGene00000074,WBGene00000074,History: N.A.
WBGene00000075,,,,WBGene00000075,WBGene00000075,History: N.A.
WBGene00000079,,,,WBGene00000079,WBGene00000079,History: N.A.
WBGene00000080,,,,WBGene00000080,WBGene00000080,History: N.A.
WBGene00000090,,,,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000092,,,,WBGene00000092,WBGene00000092,History: N.A.
WBGene00000093,,,,WBGene00000093,WBGene00000093,History: N.A.
WBGene00000094,,,,WBGene00000094,WBGene00000094,History: N.A.
WBGene00000095,,,,WBGene00000095,WBGene00000095,History: N.A.
