# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Targets Adults > 1 RPM (4046),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000007,,,,WBGene00000007,WBGene00000007,History: N.A.
WBGene00000010,,,,WBGene00000010,WBGene00000010,History: N.A.
WBGene00000019,,,,WBGene00000019,WBGene00000019,History: N.A.
WBGene00000041,,,,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000063,,,,WBGene00000063,WBGene00000063,History: N.A.
WBGene00000064,,,,WBGene00000064,WBGene00000064,History: N.A.
WBGene00000065,,,,WBGene00000065,WBGene00000065,History: N.A.
WBGene00000066,,,,WBGene00000066,WBGene00000066,History: N.A.
WBGene00000079,,,,WBGene00000079,WBGene00000079,History: N.A.
WBGene00000080,,,,WBGene00000080,WBGene00000080,History: N.A.
WBGene00000090,,,,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000093,,,,WBGene00000093,WBGene00000093,History: N.A.
WBGene00000094,,,,WBGene00000094,WBGene00000094,History: N.A.
WBGene00000099,,,,WBGene00000099,WBGene00000099,History: N.A.
WBGene00000101,,,,WBGene00000101,WBGene00000101,History: N.A.
WBGene00000102,,,,WBGene00000102,WBGene00000102,History: N.A.
WBGene00000106,,,,WBGene00000106,WBGene00000106,History: N.A.
WBGene00000107,,,,WBGene00000107,WBGene00000107,History: N.A.
WBGene00000109,,,,WBGene00000109,WBGene00000109,History: N.A.
WBGene00000110,,,,WBGene00000110,WBGene00000110,History: N.A.
WBGene00000115,,,,WBGene00000115,WBGene00000115,History: N.A.
WBGene00000122,,,,WBGene00000122,WBGene00000122,History: N.A.
WBGene00000123,,,,WBGene00000123,WBGene00000123,History: Renamed on 2007-10-04
WBGene00000142,,,,WBGene00000142,WBGene00000142,History: N.A.
WBGene00000143,,,,WBGene00000143,WBGene00000143,History: N.A.
WBGene00000144,,,,WBGene00000144,WBGene00000144,History: N.A.
WBGene00000145,,,,WBGene00000145,WBGene00000145,History: N.A.
WBGene00000146,,,,WBGene00000146,WBGene00000146,History: N.A.
WBGene00000148,,,,WBGene00000148,WBGene00000148,History: N.A.
WBGene00000150,,,,WBGene00000150,WBGene00000150,History: Renamed on 2015-03-05
WBGene00000155,,,,WBGene00000155,WBGene00000155,History: N.A.
WBGene00000156,,,,WBGene00000156,WBGene00000156,History: N.A.
WBGene00000158,,,,WBGene00000158,WBGene00000158,History: N.A.
WBGene00000160,,,,WBGene00000160,WBGene00000160,History: N.A.
WBGene00000163,,,,WBGene00000163,WBGene00000163,History: N.A.
WBGene00000165,,,,WBGene00000165,WBGene00000165,History: N.A.
WBGene00000168,,,,WBGene00000168,WBGene00000168,History: N.A.
WBGene00000181,,,,WBGene00000181,WBGene00000181,History: N.A.
WBGene00000182,,,,WBGene00000182,WBGene00000182,History: Renamed on 2020-09-10
WBGene00000183,,,,WBGene00000183,WBGene00000183,History: Renamed on 2020-09-10
WBGene00000184,,,,WBGene00000184,WBGene00000184,History: N.A.
WBGene00000187,,,,WBGene00000187,WBGene00000187,History: N.A.
WBGene00000197,,,,WBGene00000197,WBGene00000197,History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
WBGene00000198,,,,WBGene00000198,WBGene00000198,History: N.A.
WBGene00000201,,,,WBGene00000201,WBGene00000201,History: N.A.
WBGene00000202,,,,WBGene00000202,WBGene00000202,History: N.A.
WBGene00000204,,,,WBGene00000204,WBGene00000204,History: N.A.
WBGene00000205,,,,WBGene00000205,WBGene00000205,History: N.A.
WBGene00000206,,,,WBGene00000206,WBGene00000206,History: N.A.
WBGene00000209,,,,WBGene00000209,WBGene00000209,History: N.A.
WBGene00000223,,,,WBGene00000223,WBGene00000223,"History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
WBGene00000226,,,,WBGene00000226,WBGene00000226,History: N.A.
WBGene00000227,,,,WBGene00000227,WBGene00000227,History: N.A.
WBGene00000228,,,,WBGene00000228,WBGene00000228,History: N.A.
WBGene00000229,,,,WBGene00000229,WBGene00000229,History: N.A.
WBGene00000231,,,,WBGene00000231,WBGene00000231,History: N.A.
WBGene00000235,,,,WBGene00000235,WBGene00000235,History: Renamed on 2006-12-04
WBGene00000236,,,,WBGene00000236,WBGene00000236,History: N.A.
WBGene00000249,,,,WBGene00000249,WBGene00000249,History: N.A.
WBGene00000250,,,,WBGene00000250,WBGene00000250,History: N.A.
WBGene00000257,,,,WBGene00000257,WBGene00000257,History: N.A.
WBGene00000259,,,,WBGene00000259,WBGene00000259,History: N.A.
WBGene00000263,,,,WBGene00000263,WBGene00000263,History: N.A.
WBGene00000264,,,,WBGene00000264,WBGene00000264,History: N.A.
WBGene00000265,,,,WBGene00000265,WBGene00000265,History: N.A.
WBGene00000268,,,,WBGene00000268,WBGene00000268,History: N.A.
WBGene00000271,,,,WBGene00000271,WBGene00000271,History: N.A.
WBGene00000274,,,,WBGene00000274,WBGene00000274,History: N.A.
WBGene00000275,,,,WBGene00000275,WBGene00000275,History: N.A.
WBGene00000276,,,,WBGene00000276,WBGene00000276,History: N.A.
WBGene00000292,,,,WBGene00000292,WBGene00000292,History: N.A.
WBGene00000293,,,,WBGene00000293,WBGene00000293,History: N.A.
WBGene00000369,,,,WBGene00000369,WBGene00000369,History: N.A.
WBGene00000371,,,,WBGene00000371,WBGene00000371,History: Renamed on 2017-09-05
WBGene00000375,,,,WBGene00000375,WBGene00000375,History: N.A.
WBGene00000376,,,,WBGene00000376,WBGene00000376,History: N.A.
WBGene00000377,,,,WBGene00000377,WBGene00000377,History: N.A.
WBGene00000378,,,,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000379,,,,WBGene00000379,WBGene00000379,History: N.A.
WBGene00000380,,,,WBGene00000380,WBGene00000380,History: N.A.
WBGene00000381,,,,WBGene00000381,WBGene00000381,History: N.A.
WBGene00000382,,,,WBGene00000382,WBGene00000382,History: N.A.
WBGene00000383,,,,WBGene00000383,WBGene00000383,"History: Split into C17G10.13(WBGene00270322). History of WBGene00000383: Split into ""WBGene00270322"" on 2016-08-31"
WBGene00000386,,,,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000388,,,,WBGene00000388,WBGene00000388,History: N.A.
WBGene00000390,,,,WBGene00000390,WBGene00000390,History: N.A.
