# CSR-1 22G-RNA targets,,,,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,,,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell,,,
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5,,,
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1,,,
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1,,,
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1,,,
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1,,,
# Maternal and zygotic,> 1TPM,log2FC > 0.5,,,,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5,,,
# all in 1-Cell,> 1TPM,,,,,
CSR-1 Targets Adults > 150 RPM (333),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000115,,,,WBGene00000115,WBGene00000115,History: N.A.
WBGene00000123,,,,WBGene00000123,WBGene00000123,History: Renamed on 2007-10-04
WBGene00000197,,,,WBGene00000197,WBGene00000197,History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
WBGene00000226,,,,WBGene00000226,WBGene00000226,History: N.A.
WBGene00000227,,,,WBGene00000227,WBGene00000227,History: N.A.
WBGene00000257,,,,WBGene00000257,WBGene00000257,History: N.A.
WBGene00000274,,,,WBGene00000274,WBGene00000274,History: N.A.
WBGene00000275,,,,WBGene00000275,WBGene00000275,History: N.A.
WBGene00000405,,,,WBGene00000405,WBGene00000405,History: N.A.
WBGene00000499,,,,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000508,,,,WBGene00000508,WBGene00000508,History: N.A.
WBGene00000549,,,,WBGene00000549,WBGene00000549,History: N.A.
WBGene00000592,,,,WBGene00000592,WBGene00000592,History: N.A.
WBGene00000772,,,,WBGene00000772,WBGene00000772,History: N.A.
WBGene00000863,,,,WBGene00000863,WBGene00000863,History: N.A.
WBGene00000872,,,,WBGene00000872,WBGene00000872,History: N.A.
WBGene00000874,,,,WBGene00000874,WBGene00000874,History: N.A.
WBGene00000875,,,,WBGene00000875,WBGene00000875,History: N.A.
WBGene00000889,,,,WBGene00000889,WBGene00000889,History: N.A.
WBGene00000915,,,,WBGene00000915,WBGene00000915,History: Renamed on 2017-08-01
WBGene00000962,,,,WBGene00000962,WBGene00000962,History: N.A.
WBGene00001016,,,,WBGene00001016,WBGene00001016,History: N.A.
WBGene00001049,,,,WBGene00001049,WBGene00001049,History: N.A.
WBGene00001085,,,,WBGene00001085,WBGene00001085,History: N.A.
WBGene00001093,,,,WBGene00001093,WBGene00001093,History: N.A.
WBGene00001110,,,,WBGene00001110,WBGene00001110,History: N.A.
WBGene00001209,,,,WBGene00001209,WBGene00001209,History: N.A.
WBGene00001214,,,,WBGene00001214,WBGene00001214,History: N.A.
WBGene00001401,,,,WBGene00001401,WBGene00001401,History: N.A.
WBGene00001402,,,,WBGene00001402,WBGene00001402,History: N.A.
WBGene00001423,,,,WBGene00001423,WBGene00001423,History: N.A.
