# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets > 50 RPM (919),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000041,,,,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000090,,,,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000098,,,,WBGene00000098,WBGene00000098,History: N.A.
WBGene00000099,,,,WBGene00000099,WBGene00000099,History: N.A.
WBGene00000101,,,,WBGene00000101,WBGene00000101,History: N.A.
WBGene00000107,,,,WBGene00000107,WBGene00000107,History: N.A.
WBGene00000146,,,,WBGene00000146,WBGene00000146,History: N.A.
WBGene00000151,,,,WBGene00000151,WBGene00000151,History: N.A.
WBGene00000156,,,,WBGene00000156,WBGene00000156,History: N.A.
WBGene00000158,,,,WBGene00000158,WBGene00000158,History: N.A.
WBGene00000161,,,,WBGene00000161,WBGene00000161,History: N.A.
WBGene00000186,,,,WBGene00000186,WBGene00000186,History: N.A.
WBGene00000199,,,,WBGene00000199,WBGene00000199,History: N.A.
WBGene00000204,,,,WBGene00000204,WBGene00000204,History: N.A.
WBGene00000229,,,,WBGene00000229,WBGene00000229,History: N.A.
WBGene00000231,,,,WBGene00000231,WBGene00000231,History: N.A.
WBGene00000264,,,,WBGene00000264,WBGene00000264,History: N.A.
WBGene00000271,,,,WBGene00000271,WBGene00000271,History: N.A.
WBGene00000376,,,,WBGene00000376,WBGene00000376,History: N.A.
WBGene00000377,,,,WBGene00000377,WBGene00000377,History: N.A.
WBGene00000378,,,,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000379,,,,WBGene00000379,WBGene00000379,History: N.A.
WBGene00000380,,,,WBGene00000380,WBGene00000380,History: N.A.
WBGene00000381,,,,WBGene00000381,WBGene00000381,History: N.A.
WBGene00000386,,,,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000411,,,,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000417,,,,WBGene00000417,WBGene00000417,History: N.A.
WBGene00000419,,,,WBGene00000419,WBGene00000419,History: N.A.
WBGene00000465,,,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000472,,,,WBGene00000472,WBGene00000472,History: N.A.
WBGene00000473,,,,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,,,,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000475,,,,WBGene00000475,WBGene00000475,History: N.A.
WBGene00000479,,,,WBGene00000479,WBGene00000479,History: N.A.
WBGene00000496,,,,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000498,,,,WBGene00000498,WBGene00000498,History: N.A.
WBGene00000548,,,,WBGene00000548,WBGene00000548,History: N.A.
WBGene00000550,,,,WBGene00000550,WBGene00000550,History: N.A.
WBGene00000564,,,,WBGene00000564,WBGene00000564,History: N.A.
