# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Late degraded (1572),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000001,,,,WBGene00000001,WBGene00000001,History: N.A.
WBGene00000010,,,,WBGene00000010,WBGene00000010,History: N.A.
WBGene00000063,,,,WBGene00000063,WBGene00000063,History: N.A.
WBGene00000064,,,,WBGene00000064,WBGene00000064,History: N.A.
WBGene00000065,,,,WBGene00000065,WBGene00000065,History: N.A.
WBGene00000075,,,,WBGene00000075,WBGene00000075,History: N.A.
WBGene00000090,,,,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000094,,,,WBGene00000094,WBGene00000094,History: N.A.
WBGene00000098,,,,WBGene00000098,WBGene00000098,History: N.A.
WBGene00000102,,,,WBGene00000102,WBGene00000102,History: N.A.
WBGene00000121,,,,WBGene00000121,WBGene00000121,History: Renamed on 2005-04-27
WBGene00000142,,,,WBGene00000142,WBGene00000142,History: N.A.
WBGene00000143,,,,WBGene00000143,WBGene00000143,History: N.A.
WBGene00000144,,,,WBGene00000144,WBGene00000144,History: N.A.
WBGene00000145,,,,WBGene00000145,WBGene00000145,History: N.A.
WBGene00000146,,,,WBGene00000146,WBGene00000146,History: N.A.
WBGene00000165,,,,WBGene00000165,WBGene00000165,History: N.A.
WBGene00000168,,,,WBGene00000168,WBGene00000168,History: N.A.
WBGene00000181,,,,WBGene00000181,WBGene00000181,History: N.A.
WBGene00000189,,,,WBGene00000189,WBGene00000189,History: N.A.
WBGene00000192,,,,WBGene00000192,WBGene00000192,History: N.A.
WBGene00000197,,,,WBGene00000197,WBGene00000197,History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
WBGene00000198,,,,WBGene00000198,WBGene00000198,History: N.A.
WBGene00000202,,,,WBGene00000202,WBGene00000202,History: N.A.
WBGene00000205,,,,WBGene00000205,WBGene00000205,History: N.A.
WBGene00000206,,,,WBGene00000206,WBGene00000206,History: N.A.
WBGene00000209,,,,WBGene00000209,WBGene00000209,History: N.A.
WBGene00000229,,,,WBGene00000229,WBGene00000229,History: N.A.
WBGene00000230,,,,WBGene00000230,WBGene00000230,History: N.A.
WBGene00000236,,,,WBGene00000236,WBGene00000236,History: N.A.
WBGene00000245,,,,WBGene00000245,WBGene00000245,"History: Split into mtp-18(WBGene00077690). History of WBGene00000245: Split into ""WBGene00077690"" on 2008-03-27"
WBGene00000254,,,,WBGene00000254,WBGene00000254,History: N.A.
WBGene00000269,,,,WBGene00000269,WBGene00000269,History: N.A.
WBGene00000270,,,,WBGene00000270,WBGene00000270,History: N.A.
WBGene00000376,,,,WBGene00000376,WBGene00000376,History: N.A.
WBGene00000377,,,,WBGene00000377,WBGene00000377,History: N.A.
WBGene00000386,,,,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000388,,,,WBGene00000388,WBGene00000388,History: N.A.
WBGene00000405,,,,WBGene00000405,WBGene00000405,History: N.A.
WBGene00000416,,,,WBGene00000416,WBGene00000416,History: N.A.
WBGene00000421,,,,WBGene00000421,WBGene00000421,History: N.A.
WBGene00000479,,,,WBGene00000479,WBGene00000479,History: N.A.
WBGene00000480,,,,WBGene00000480,WBGene00000480,History: N.A.
WBGene00000500,,,,WBGene00000500,WBGene00000500,History: N.A.
WBGene00000509,,,,WBGene00000509,WBGene00000509,History: N.A.
WBGene00000542,,,,WBGene00000542,WBGene00000542,History: N.A.
WBGene00000547,,,,WBGene00000547,WBGene00000547,History: N.A.
WBGene00000592,,,,WBGene00000592,WBGene00000592,History: N.A.
WBGene00000765,,,,WBGene00000765,WBGene00000765,History: N.A.
WBGene00000772,,,,WBGene00000772,WBGene00000772,History: N.A.
WBGene00000773,,,,WBGene00000773,WBGene00000773,History: N.A.
WBGene00000798,,,,WBGene00000798,WBGene00000798,History: Renamed on 2007-06-04
