# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Early degraded (483),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000041,,,,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000107,,,,WBGene00000107,WBGene00000107,History: N.A.
WBGene00000186,,,,WBGene00000186,WBGene00000186,History: N.A.
WBGene00000203,,,,WBGene00000203,WBGene00000203,History: N.A.
WBGene00000204,,,,WBGene00000204,WBGene00000204,History: N.A.
WBGene00000378,,,,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000381,,,,WBGene00000381,WBGene00000381,History: N.A.
WBGene00000417,,,,WBGene00000417,WBGene00000417,History: N.A.
WBGene00000420,,,,WBGene00000420,WBGene00000420,History: N.A.
WBGene00000465,,,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000473,,,,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,,,,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000496,,,,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000499,,,,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000530,,,,WBGene00000530,WBGene00000530,History: N.A.
WBGene00000537,,,,WBGene00000537,WBGene00000537,History: N.A.
WBGene00000770,,,,WBGene00000770,WBGene00000770,History: N.A.
WBGene00000777,,,,WBGene00000777,WBGene00000777,History: N.A.
WBGene00000797,,,,WBGene00000797,WBGene00000797,History: N.A.
WBGene00000877,,,,WBGene00000877,WBGene00000877,History: N.A.
WBGene00000879,,,,WBGene00000879,WBGene00000879,History: N.A.
WBGene00000883,,,,WBGene00000883,WBGene00000883,History: N.A.
WBGene00000915,,,,WBGene00000915,WBGene00000915,History: Renamed on 2017-08-01
WBGene00000935,,,,WBGene00000935,WBGene00000935,History: N.A.
WBGene00001044,,,,WBGene00001044,WBGene00001044,History: N.A.
WBGene00001058,,,,WBGene00001058,WBGene00001058,History: N.A.
WBGene00001154,,,,WBGene00001154,WBGene00001154,History: N.A.
WBGene00001214,,,,WBGene00001214,WBGene00001214,History: N.A.
WBGene00001401,,,,WBGene00001401,WBGene00001401,History: N.A.
WBGene00001402,,,,WBGene00001402,WBGene00001402,History: N.A.
WBGene00001404,,,,WBGene00001404,WBGene00001404,History: N.A.
WBGene00001405,,,,WBGene00001405,WBGene00001405,History: N.A.
WBGene00001431,,,,WBGene00001431,WBGene00001431,History: N.A.
WBGene00001481,,,,WBGene00001481,WBGene00001481,History: N.A.
WBGene00001514,,,,WBGene00001514,WBGene00001514,History: Renamed on 2008-09-15
WBGene00001571,,,,WBGene00001571,WBGene00001571,History: N.A.
WBGene00001606,,,,WBGene00001606,WBGene00001606,History: N.A.
WBGene00001607,,,,WBGene00001607,WBGene00001607,History: N.A.
WBGene00001632,,,,WBGene00001632,WBGene00001632,History: N.A.
WBGene00001647,,,,WBGene00001647,WBGene00001647,History: N.A.
WBGene00001686,,,,WBGene00001686,WBGene00001686,History: N.A.
WBGene00001749,,,,WBGene00001749,WBGene00001749,History: N.A.
WBGene00001780,,,,WBGene00001780,WBGene00001780,History: N.A.
WBGene00001793,,,,WBGene00001793,WBGene00001793,History: N.A.
WBGene00001812,,,,WBGene00001812,WBGene00001812,History: N.A.
WBGene00001862,,,,WBGene00001862,WBGene00001862,History: N.A.
WBGene00001872,,,,WBGene00001872,WBGene00001872,History: N.A.
WBGene00001977,,,,WBGene00001977,WBGene00001977,History: N.A.
WBGene00002005,,,,WBGene00002005,WBGene00002005,History: N.A.
WBGene00002010,,,,WBGene00002010,WBGene00002010,History: N.A.
WBGene00002025,,,,WBGene00002025,WBGene00002025,History: N.A.
WBGene00002042,,,,WBGene00002042,WBGene00002042,History: N.A.
WBGene00002073,,,,WBGene00002073,WBGene00002073,History: N.A.
WBGene00002183,,,,WBGene00002183,WBGene00002183,History: N.A.
WBGene00002225,,,,WBGene00002225,WBGene00002225,History: N.A.
WBGene00002250,,,,WBGene00002250,WBGene00002250,History: N.A.
WBGene00003010,,,,WBGene00003010,WBGene00003010,History: N.A.
WBGene00003026,,,,WBGene00003026,WBGene00003026,History: Renamed on 2005-08-24
WBGene00003030,,,,WBGene00003030,WBGene00003030,History: N.A.
WBGene00003043,,,,WBGene00003043,WBGene00003043,History: N.A.
WBGene00003082,,,,WBGene00003082,WBGene00003082,History: N.A.
WBGene00003107,,,,WBGene00003107,WBGene00003107,History: N.A.
WBGene00003162,,,,WBGene00003162,WBGene00003162,History: Renamed on 2010-08-18
WBGene00003410,,,,WBGene00003410,WBGene00003410,History: N.A.
WBGene00003415,,,,WBGene00003415,WBGene00003415,History: Renamed on 2010-01-29; Renamed on 2015-03-25
WBGene00003421,,,,WBGene00003421,WBGene00003421,History: N.A.
WBGene00003422,,,,WBGene00003422,WBGene00003422,History: N.A.
WBGene00003783,,,,WBGene00003783,WBGene00003783,History: N.A.
WBGene00003815,,,,WBGene00003815,WBGene00003815,History: Renamed on 2010-01-29; Renamed on 2015-03-05
WBGene00003829,,,,WBGene00003829,WBGene00003829,History: N.A.
WBGene00003865,,,,WBGene00003865,WBGene00003865,History: N.A.
WBGene00003920,,,,WBGene00003920,WBGene00003920,History: N.A.
WBGene00003989,,,,WBGene00003989,WBGene00003989,History: N.A.
WBGene00003994,,,,WBGene00003994,WBGene00003994,History: Renamed on 2005-10-06
WBGene00004043,,,,WBGene00004043,WBGene00004043,History: N.A.
WBGene00004044,,,,WBGene00004044,WBGene00004044,History: N.A.
WBGene00004049,,,,WBGene00004049,WBGene00004049,History: Renamed on 2014-11-18
WBGene00004075,,,,WBGene00004075,WBGene00004075,History: N.A.
WBGene00004091,,,,WBGene00004091,WBGene00004091,History: N.A.
WBGene00004093,,,,WBGene00004093,WBGene00004093,History: Renamed on 2011-10-14
WBGene00004094,,,,WBGene00004094,WBGene00004094,History: Renamed on 2011-10-14
WBGene00004208,,,,WBGene00004208,WBGene00004208,History: N.A.
WBGene00004209,,,,WBGene00004209,WBGene00004209,History: N.A.
WBGene00004217,,,,WBGene00004217,WBGene00004217,History: Renamed on 2015-03-05
WBGene00004239,,,,WBGene00004239,WBGene00004239,History: N.A.
WBGene00004241,,,,WBGene00004241,WBGene00004241,History: N.A.
WBGene00004244,,,,WBGene00004244,WBGene00004244,History: Renamed on 2012-08-14
WBGene00004258,,,,WBGene00004258,WBGene00004258,History: N.A.
WBGene00004266,,,,WBGene00004266,WBGene00004266,History: N.A.
WBGene00004268,,,,WBGene00004268,WBGene00004268,History: N.A.
WBGene00004269,,,,WBGene00004269,WBGene00004269,History: N.A.
WBGene00004272,,,,WBGene00004272,WBGene00004272,History: N.A.
WBGene00004298,,,,WBGene00004298,WBGene00004298,History: Renamed on 2019-07-04
WBGene00004333,,,,WBGene00004333,WBGene00004333,History: N.A.
WBGene00004358,,,,WBGene00004358,WBGene00004358,History: N.A.
WBGene00004373,,,,WBGene00004373,WBGene00004373,History: N.A.
WBGene00004374,,,,WBGene00004374,WBGene00004374,History: N.A.
WBGene00004464,,,,WBGene00004464,WBGene00004464,History: N.A.
WBGene00004506,,,,WBGene00004506,WBGene00004506,History: N.A.
WBGene00004768,,,,WBGene00004768,WBGene00004768,History: Renamed on 2008-11-05
WBGene00004798,,,,WBGene00004798,WBGene00004798,History: N.A.
WBGene00004883,,,,WBGene00004883,WBGene00004883,History: N.A.
WBGene00004981,,,,WBGene00004981,WBGene00004981,History: N.A.
WBGene00005019,,,,WBGene00005019,WBGene00005019,History: N.A.
WBGene00005020,,,,WBGene00005020,WBGene00005020,History: N.A.
WBGene00005022,,,,WBGene00005022,WBGene00005022,History: N.A.
WBGene00005026,,,,WBGene00005026,WBGene00005026,History: N.A.
WBGene00005058,,,,WBGene00005058,WBGene00005058,History: N.A.
WBGene00006377,,,,WBGene00006377,WBGene00006377,History: N.A.
WBGene00006490,,,,WBGene00006490,WBGene00006490,History: Renamed on 2012-12-21
WBGene00006503,,,,WBGene00006503,WBGene00006503,History: Renamed on 2007-07-20
WBGene00006555,,,,WBGene00006555,WBGene00006555,History: N.A.
WBGene00006562,,,,WBGene00006562,WBGene00006562,History: N.A.
WBGene00006619,,,,WBGene00006619,WBGene00006619,History: N.A.
WBGene00006740,,,,WBGene00006740,WBGene00006740,History: Renamed on 2014-03-28; Renamed on 2014-09-02
WBGene00006751,,,,WBGene00006751,WBGene00006751,History: Renamed on 2015-03-05
WBGene00006916,,,,WBGene00006916,WBGene00006916,History: N.A.
WBGene00006921,,,,WBGene00006921,WBGene00006921,History: N.A.
WBGene00006924,,,,WBGene00006924,WBGene00006924,History: N.A.
WBGene00006935,,,,WBGene00006935,WBGene00006935,History: Renamed on 2010-01-29
