# CSR-1 22G-RNA targets,,,,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,,,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell,,,
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5,,,
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1,,,
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1,,,
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1,,,
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1,,,
# Maternal and zygotic,> 1TPM,log2FC > 0.5,,,,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5,,,
# all in 1-Cell,> 1TPM,,,,,
Maternal cleared (1320),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000041,,,,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000093,,,,WBGene00000093,WBGene00000093,History: N.A.
WBGene00000101,,,,WBGene00000101,WBGene00000101,History: N.A.
WBGene00000107,,,,WBGene00000107,WBGene00000107,History: N.A.
WBGene00000155,,,,WBGene00000155,WBGene00000155,History: N.A.
WBGene00000186,,,,WBGene00000186,WBGene00000186,History: N.A.
WBGene00000200,,,,WBGene00000200,WBGene00000200,History: N.A.
WBGene00000203,,,,WBGene00000203,WBGene00000203,History: N.A.
WBGene00000204,,,,WBGene00000204,WBGene00000204,History: N.A.
WBGene00000250,,,,WBGene00000250,WBGene00000250,History: N.A.
WBGene00000268,,,,WBGene00000268,WBGene00000268,History: N.A.
WBGene00000378,,,,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000379,,,,WBGene00000379,WBGene00000379,History: N.A.
WBGene00000380,,,,WBGene00000380,WBGene00000380,History: N.A.
WBGene00000381,,,,WBGene00000381,WBGene00000381,History: N.A.
WBGene00000392,,,,WBGene00000392,WBGene00000392,History: N.A.
WBGene00000407,,,,WBGene00000407,WBGene00000407,History: N.A.
WBGene00000417,,,,WBGene00000417,WBGene00000417,History: N.A.
WBGene00000420,,,,WBGene00000420,WBGene00000420,History: N.A.
WBGene00000465,,,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000467,,,,WBGene00000467,WBGene00000467,History: N.A.
WBGene00000473,,,,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,,,,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000496,,,,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000499,,,,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000507,,,,WBGene00000507,WBGene00000507,History: N.A.
WBGene00000517,,,,WBGene00000517,WBGene00000517,History: N.A.
WBGene00000530,,,,WBGene00000530,WBGene00000530,History: N.A.
WBGene00000533,,,,WBGene00000533,WBGene00000533,History: Renamed on 2017-02-17
WBGene00000537,,,,WBGene00000537,WBGene00000537,History: N.A.
WBGene00000615,,,,WBGene00000615,WBGene00000615,History: N.A.
WBGene00000644,,,,WBGene00000644,WBGene00000644,History: N.A.
WBGene00000761,,,,WBGene00000761,WBGene00000761,History: Renamed on 2015-03-04
WBGene00000767,,,,WBGene00000767,WBGene00000767,History: N.A.
WBGene00000770,,,,WBGene00000770,WBGene00000770,History: N.A.
WBGene00000777,,,,WBGene00000777,WBGene00000777,History: N.A.
WBGene00000797,,,,WBGene00000797,WBGene00000797,History: N.A.
WBGene00000817,,,,WBGene00000817,WBGene00000817,History: N.A.
WBGene00000866,,,,WBGene00000866,WBGene00000866,History: N.A.
WBGene00000867,,,,WBGene00000867,WBGene00000867,History: N.A.
WBGene00000877,,,,WBGene00000877,WBGene00000877,History: N.A.
WBGene00000879,,,,WBGene00000879,WBGene00000879,History: N.A.
WBGene00000883,,,,WBGene00000883,WBGene00000883,History: N.A.
WBGene00000894,,,,WBGene00000894,WBGene00000894,History: N.A.
WBGene00000912,,,,WBGene00000912,WBGene00000912,History: N.A.
WBGene00000913,,,,WBGene00000913,WBGene00000913,History: N.A.
WBGene00000915,,,,WBGene00000915,WBGene00000915,History: Renamed on 2017-08-01
WBGene00000935,,,,WBGene00000935,WBGene00000935,History: N.A.
WBGene00000985,,,,WBGene00000985,WBGene00000985,History: N.A.
WBGene00001020,,,,WBGene00001020,WBGene00001020,History: N.A.
WBGene00001034,,,,WBGene00001034,WBGene00001034,History: N.A.
WBGene00001044,,,,WBGene00001044,WBGene00001044,History: N.A.
WBGene00001046,,,,WBGene00001046,WBGene00001046,History: N.A.
WBGene00001058,,,,WBGene00001058,WBGene00001058,History: N.A.
WBGene00001092,,,,WBGene00001092,WBGene00001092,History: N.A.
WBGene00001094,,,,WBGene00001094,WBGene00001094,History: Renamed on 2010-01-29
WBGene00001119,,,,WBGene00001119,WBGene00001119,History: N.A.
WBGene00001137,,,,WBGene00001137,WBGene00001137,History: N.A.
WBGene00001151,,,,WBGene00001151,WBGene00001151,History: N.A.
WBGene00001154,,,,WBGene00001154,WBGene00001154,History: N.A.
