# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Stable (1020),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000095,,,,WBGene00000095,WBGene00000095,History: N.A.
WBGene00000097,,,,WBGene00000097,WBGene00000097,History: N.A.
WBGene00000099,,,,WBGene00000099,WBGene00000099,History: N.A.
WBGene00000117,,,,WBGene00000117,WBGene00000117,History: N.A.
WBGene00000156,,,,WBGene00000156,WBGene00000156,History: N.A.
WBGene00000157,,,,WBGene00000157,WBGene00000157,History: N.A.
WBGene00000162,,,,WBGene00000162,WBGene00000162,History: N.A.
WBGene00000163,,,,WBGene00000163,WBGene00000163,History: N.A.
WBGene00000184,,,,WBGene00000184,WBGene00000184,History: N.A.
WBGene00000196,,,,WBGene00000196,WBGene00000196,History: Renamed on 2010-01-29
WBGene00000199,,,,WBGene00000199,WBGene00000199,History: N.A.
WBGene00000210,,,,WBGene00000210,WBGene00000210,History: N.A.
WBGene00000227,,,,WBGene00000227,WBGene00000227,History: N.A.
WBGene00000231,,,,WBGene00000231,WBGene00000231,History: N.A.
WBGene00000235,,,,WBGene00000235,WBGene00000235,History: Renamed on 2006-12-04
WBGene00000249,,,,WBGene00000249,WBGene00000249,History: N.A.
WBGene00000264,,,,WBGene00000264,WBGene00000264,History: N.A.
WBGene00000265,,,,WBGene00000265,WBGene00000265,History: N.A.
WBGene00000276,,,,WBGene00000276,WBGene00000276,History: N.A.
WBGene00000292,,,,WBGene00000292,WBGene00000292,History: N.A.
WBGene00000293,,,,WBGene00000293,WBGene00000293,History: N.A.
WBGene00000294,,,,WBGene00000294,WBGene00000294,History: N.A.
