# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≥ 1,Unnamed: 1,Input,Suggested Match,History
WBGene00013887,,WBGene00013887,WBGene00013887,History: N.A.
WBGene00001755,,WBGene00001755,WBGene00001755,History: N.A.
WBGene00018497,,WBGene00018497,WBGene00018497,History: N.A.
WBGene00009981,,WBGene00009981,WBGene00009981,History: N.A.
WBGene00009514,,WBGene00009514,WBGene00009514,History: N.A.
WBGene00044475,,WBGene00044475,WBGene00044475,History: N.A.
WBGene00010272,,WBGene00010272,WBGene00010272,History: N.A.
WBGene00235313,,WBGene00235313,WBGene00235313,History: N.A.
WBGene00017910,,WBGene00017910,WBGene00017910,History: N.A.
WBGene00001646,,WBGene00001646,WBGene00001646,History: N.A.
WBGene00003456,,WBGene00003456,WBGene00003456,History: N.A.
WBGene00020937,,WBGene00020937,WBGene00020937,History: N.A.
WBGene00020468,,WBGene00020468,WBGene00020468,History: N.A.
WBGene00044498,,WBGene00044498,WBGene00044498,History: N.A.
WBGene00011756,,WBGene00011756,WBGene00011756,History: N.A.
WBGene00016399,,WBGene00016399,WBGene00016399,History: N.A.
WBGene00000797,,WBGene00000797,WBGene00000797,History: N.A.
WBGene00006721,,WBGene00006721,WBGene00006721,History: N.A.
WBGene00018358,,WBGene00018358,WBGene00018358,History: Split into ceph-41(WBGene00249817). History of WBGene00018358: N.A.
WBGene00018121,,WBGene00018121,WBGene00018121,History: N.A.
WBGene00007478,,WBGene00007478,WBGene00007478,History: N.A.
WBGene00015193,,WBGene00015193,WBGene00015193,History: N.A.
WBGene00044393,,WBGene00044393,WBGene00044393,History: N.A.
WBGene00086554,,WBGene00086554,WBGene00086554,History: N.A.
WBGene00015483,,WBGene00015483,WBGene00015483,History: N.A.
WBGene00007449,,WBGene00007449,WBGene00007449,History: N.A.
WBGene00009954,,WBGene00009954,WBGene00009954,History: N.A.
WBGene00002120,,WBGene00002120,WBGene00002120,History: N.A.
WBGene00018808,,WBGene00018808,WBGene00018808,History: N.A.
WBGene00014007,,WBGene00014007,WBGene00014007,History: N.A.
WBGene00006047,,WBGene00006047,WBGene00006047,History: N.A.
WBGene00017175,,WBGene00017175,WBGene00017175,History: N.A.
WBGene00012294,,WBGene00012294,WBGene00012294,History: N.A.
WBGene00015696,,WBGene00015696,WBGene00015696,History: N.A.
WBGene00011500,,WBGene00011500,WBGene00011500,History: N.A.
WBGene00044794,,WBGene00044794,WBGene00044794,History: N.A.
WBGene00009745,,WBGene00009745,WBGene00009745,History: N.A.
WBGene00011132,,WBGene00011132,WBGene00011132,History: N.A.
