# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE = 0 ± 0.1,Unnamed: 1,Input,Suggested Match,History
WBGene00003580,,WBGene00003580,WBGene00003580,History: N.A.
WBGene00021016,,WBGene00021016,WBGene00021016,History: N.A.
WBGene00018082,,WBGene00018082,WBGene00018082,History: N.A.
WBGene00194697,,WBGene00194697,WBGene00194697,History: N.A.
WBGene00044247,,WBGene00044247,WBGene00044247,History: N.A.
WBGene00007632,,WBGene00007632,WBGene00007632,History: N.A.
WBGene00022889,,WBGene00022889,WBGene00022889,History: N.A.
WBGene00010895,,WBGene00010895,WBGene00010895,History: N.A.
WBGene00016587,,WBGene00016587,WBGene00016587,History: N.A.
WBGene00011705,,WBGene00011705,WBGene00011705,History: N.A.
WBGene00006645,,WBGene00006645,WBGene00006645,History: N.A.
WBGene00012787,,WBGene00012787,WBGene00012787,History: N.A.
WBGene00009217,,WBGene00009217,WBGene00009217,History: Renamed on 2015-10-02
WBGene00001249,,WBGene00001249,WBGene00001249,History: N.A.
WBGene00007435,,WBGene00007435,WBGene00007435,History: N.A.
WBGene00008874,,WBGene00008874,WBGene00008874,History: N.A.
WBGene00015522,,WBGene00015522,WBGene00015522,History: N.A.
WBGene00003612,,WBGene00003612,WBGene00003612,History: N.A.
WBGene00008232,,WBGene00008232,WBGene00008232,History: N.A.
WBGene00007794,,WBGene00007794,WBGene00007794,History: N.A.
WBGene00006710,,WBGene00006710,WBGene00006710,History: N.A.
WBGene00016081,,WBGene00016081,WBGene00016081,History: N.A.
WBGene00012790,,WBGene00012790,WBGene00012790,History: N.A.
WBGene00008662,,WBGene00008662,WBGene00008662,History: N.A.
WBGene00000289,,WBGene00000289,WBGene00000289,History: N.A.
WBGene00012363,,WBGene00012363,WBGene00012363,History: N.A.
WBGene00007320,,WBGene00007320,WBGene00007320,"History: Split into C05B5.17(WBGene00219314). History of WBGene00007320: Split into ""WBGene00219314"" on 2011-11-21"
WBGene00015628,,WBGene00015628,WBGene00015628,"History: Split into C09B9.85(WBGene00220250). History of WBGene00015628: Split into ""WBGene00220250"" on 2012-08-17"
WBGene00022857,,WBGene00022857,WBGene00022857,History: N.A.
WBGene00020265,,WBGene00020265,WBGene00020265,History: N.A.
WBGene00015939,,WBGene00015939,WBGene00015939,History: Renamed on 2019-02-06
WBGene00008581,,WBGene00008581,WBGene00008581,History: N.A.
WBGene00017555,,WBGene00017555,WBGene00017555,History: N.A.
