# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≤ -2,Unnamed: 1,Input,Suggested Match,History
WBGene00009592,,WBGene00009592,WBGene00009592,History: N.A.
WBGene00017985,,WBGene00017985,WBGene00017985,History: N.A.
WBGene00011970,,WBGene00011970,WBGene00011970,History: N.A.
WBGene00022221,,WBGene00022221,WBGene00022221,History: N.A.
WBGene00003912,,WBGene00003912,WBGene00003912,History: N.A.
WBGene00020467,,WBGene00020467,WBGene00020467,History: N.A.
WBGene00001393,,WBGene00001393,WBGene00001393,History: N.A.
WBGene00006732,,WBGene00006732,WBGene00006732,History: N.A.
WBGene00001606,,WBGene00001606,WBGene00001606,History: N.A.
WBGene00011352,,WBGene00011352,WBGene00011352,History: N.A.
WBGene00017548,,WBGene00017548,WBGene00017548,History: N.A.
WBGene00008219,,WBGene00008219,WBGene00008219,History: N.A.
WBGene00018923,,WBGene00018923,WBGene00018923,History: N.A.
WBGene00007167,,WBGene00007167,WBGene00007167,History: Renamed on 2008-06-23
WBGene00018364,,WBGene00018364,WBGene00018364,History: Renamed on 2016-01-06
WBGene00009701,,WBGene00009701,WBGene00009701,History: N.A.
WBGene00015009,,WBGene00015009,WBGene00015009,"History: Split into B0041.12(WBGene00303032). History of WBGene00015009: Split into ""WBGene00303032"" on 2018-03-02"
WBGene00001647,,WBGene00001647,WBGene00001647,History: N.A.
WBGene00020948,,WBGene00020948,WBGene00020948,History: N.A.
