# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
Ribosomal and translatin associated proteins present in IP-MS/MS data (identied by ontology analysis),Unnamed: 1,Input,Suggested Match,History
WBGene00044321,,WBGene00044321,WBGene00044321,History: Renamed on 2011-06-10
WBGene00022765,,WBGene00022765,WBGene00022765,History: N.A.
WBGene00022739,,WBGene00022739,WBGene00022739,History: N.A.
WBGene00022373,,WBGene00022373,WBGene00022373,History: N.A.
WBGene00022232,,WBGene00022232,WBGene00022232,History: N.A.
WBGene00022046,,WBGene00022046,WBGene00022046,History: N.A.
WBGene00021920,,WBGene00021920,WBGene00021920,History: N.A.
WBGene00021857,,WBGene00021857,WBGene00021857,History: N.A.
WBGene00021843,,WBGene00021843,WBGene00021843,History: N.A.
WBGene00021830,,WBGene00021830,WBGene00021830,History: N.A.
WBGene00021789,,WBGene00021789,WBGene00021789,History: Renamed on 2010-02-05
WBGene00021697,,WBGene00021697,WBGene00021697,History: N.A.
WBGene00021476,,WBGene00021476,WBGene00021476,History: N.A.
WBGene00021466,,WBGene00021466,WBGene00021466,History: N.A.
WBGene00021351,,WBGene00021351,WBGene00021351,History: N.A.
WBGene00021350,,WBGene00021350,WBGene00021350,History: N.A.
WBGene00021327,,WBGene00021327,WBGene00021327,History: N.A.
WBGene00021281,,WBGene00021281,WBGene00021281,History: N.A.
WBGene00021276,,WBGene00021276,WBGene00021276,History: N.A.
WBGene00021088,,WBGene00021088,WBGene00021088,History: N.A.
