# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
genes encoding for tRNAs,Unnamed: 1,Input,Suggested Match,History
WBGene00014339,,WBGene00014339,WBGene00014339,History: N.A.
WBGene00022986,,WBGene00022986,WBGene00022986,History: N.A.
WBGene00022963,,WBGene00022963,WBGene00022963,History: N.A.
WBGene00022942,,WBGene00022942,WBGene00022942,History: N.A.
WBGene00014337,,WBGene00014337,WBGene00014337,History: N.A.
WBGene00014331,,WBGene00014331,WBGene00014331,History: N.A.
WBGene00012653,,WBGene00012653,WBGene00012653,History: N.A.
WBGene00014281,,WBGene00014281,WBGene00014281,History: N.A.
WBGene00014265,,WBGene00014265,WBGene00014265,History: N.A.
WBGene00022907,,WBGene00022907,WBGene00022907,History: N.A.
WBGene00022973,,WBGene00022973,WBGene00022973,History: N.A.
WBGene00014326,,WBGene00014326,WBGene00014326,History: N.A.
WBGene00022898,,WBGene00022898,WBGene00022898,History: N.A.
WBGene00022930,,WBGene00022930,WBGene00022930,History: N.A.
WBGene00022988,,WBGene00022988,WBGene00022988,History: N.A.
WBGene00022905,,WBGene00022905,WBGene00022905,History: N.A.
WBGene00014276,,WBGene00014276,WBGene00014276,History: N.A.
WBGene00014289,,WBGene00014289,WBGene00014289,History: N.A.
WBGene00022971,,WBGene00022971,WBGene00022971,History: N.A.
WBGene00022920,,WBGene00022920,WBGene00022920,History: N.A.
