# Genes differentially targeted by endo siRNAs in zsp-1(-) animals relative to wild type (WT). Endo siRNA pools in WT and zsp-1(gg682) animals were analyzed with DEseq2. Genes with differential endo siRNA pools in zsp-1(gg682) vs WT animals (adjusted p-value < 0.05 and log2 fold change ≥ 1 or ≤ -1) were included sheet2.
gene,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Input,Suggested Match,History
WBGene00000112,alh-6,55.6335270595445,-1.71662403664433,0.580238550797221,-2.95321033726079,0.0031448759892744,0.0416089455688324,WBGene00000112,WBGene00000112,History: Renamed on 2017-05-16
WBGene00000140,anc-1,156.303669403543,-1.71445385935648,0.467734186265741,-3.66398868732835,0.0002483177571204,0.0051806395013463,WBGene00000140,WBGene00000140,History: N.A.
WBGene00000177,aqp-9,45.4155262642891,2.00024887974142,0.644507298971028,3.09432700034603,0.0019725993917047,0.0285471249996708,WBGene00000177,WBGene00000177,History: N.A.
WBGene00000196,aars-1,76.4524766599534,3.03398588061081,0.557554688936941,5.40410776722094,6.51317786840081e-08,3.34614512989091e-06,WBGene00000196,WBGene00000196,History: Renamed on 2010-01-29
WBGene00000224,atgp-1,216.245430493105,4.58645609057586,0.509595854914083,8.89476663644728,5.85421873662024e-19,3.0076048759386497e-16,WBGene00000224,WBGene00000224,History: Renamed on 2008-02-28
WBGene00000237,bam-2,119.445138892201,2.55911672046381,0.492056637604279,5.18835217956189,2.12163076556871e-07,1.02587087605734e-05,WBGene00000237,WBGene00000237,History: N.A.
WBGene00000266,bre-1,29.1413058881654,4.01788436463094,0.800191650111213,4.69541626713419,2.66064341489442e-06,0.0001041451850972,WBGene00000266,WBGene00000266,History: Renamed on 2006-12-15
WBGene00000397,cdh-5,132.996361964208,4.74642437323374,0.575507715062686,8.04631337882555,8.53253372816097e-16,1.90267064933168e-13,WBGene00000397,WBGene00000397,"History: Split into F08B4.8(WBGene00255375). History of WBGene00000397: Split into ""WBGene00255375"" on 2014-02-26"
WBGene00000497,chs-2,390.420847836524,4.45365010909309,0.471671600737765,9.39325428210093,5.8174480530607006e-21,4.7819422996159e-18,WBGene00000497,WBGene00000497,History: N.A.
WBGene00000543,clp-2,127.486463893251,1.48722464130918,0.467970070972283,3.17632213855566,0.0014915522104576,0.0228102562476189,WBGene00000543,WBGene00000543,History: N.A.
WBGene00000546,clp-6,81.4892093825802,2.42188423713337,0.558378483574741,4.32418724554883,1.53095224982816e-05,0.0004730987779544,WBGene00000546,WBGene00000546,"History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
WBGene00000615,col-38,63.9899650822396,1.88636245339231,0.605482206971447,3.11015933662294,0.0018698644690624,0.0273492632307705,WBGene00000615,WBGene00000615,History: N.A.
WBGene00000912,daf-16,69.610259835069,-1.94152259124245,0.534524244114779,-3.62748357905952,0.0002861969705804,0.0057944312762832,WBGene00000912,WBGene00000912,History: N.A.
WBGene00001008,dlk-1,184.389986440467,1.43815495740186,0.451943343193343,3.18117087642029,0.0014668108438925,0.0225789983835141,WBGene00001008,WBGene00001008,History: N.A.
WBGene00001119,dyf-3,153.60829145154,2.03082953404141,0.479015282758401,4.2358389013064,2.27699989468484e-05,0.0006637212458974,WBGene00001119,WBGene00001119,History: N.A.
WBGene00001177,egl-8,35.8618861861784,2.787908194104,0.676903520866971,4.07011273850386,4.6990392505623e-05,0.0012146573157113,WBGene00001177,WBGene00001177,History: N.A.
WBGene00001179,egl-10,141.900344810753,4.60720468052237,0.544823188210189,8.29042602290266,1.12843559216787e-16,3.3127644884356703e-14,WBGene00001179,WBGene00001179,History: N.A.
WBGene00001196,egl-30,33.035414120602,-2.05781862026186,0.666773528835414,-3.07595222496369,0.0020983146330556,0.0298410835358433,WBGene00001196,WBGene00001196,"History: Split into C53H9.4(WBGene00303070). History of WBGene00001196: Split into ""WBGene00303070"" on 2018-03-02"
WBGene00001583,gfi-3,156.385267803486,2.70162675843183,0.480515571117723,5.61036930176162,2.01895302710187e-08,1.20259375962155e-06,WBGene00001583,WBGene00001583,History: N.A.
WBGene00001636,gly-11,63.428030187094,4.36495709578315,0.671485991280128,6.25179342001688,4.0576588916248e-10,3.40346490705672e-08,WBGene00001636,WBGene00001636,History: Renamed on 2006-06-29
WBGene00001638,gly-13,176.584133718338,2.09540183245892,0.455499905135359,4.59619581811466,4.30274354234101e-06,0.0001523850406458,WBGene00001638,WBGene00001638,History: N.A.
WBGene00001639,gly-14,64.3634221427906,3.95278143400362,0.677400736576099,5.69947983270246,1.20173539393255e-08,7.96634269203673e-07,WBGene00001639,WBGene00001639,History: N.A.
WBGene00001650,gon-1,46.7405001445905,1.82862713603663,0.591275017945272,3.0848079468014,0.0020368363056333,0.0292706196368986,WBGene00001650,WBGene00001650,History: N.A.
WBGene00001663,gpa-1,17.7272165585172,2.44492138281106,0.811726587504145,2.96258613912509,0.0030506643798943,0.0407085409135256,WBGene00001663,WBGene00001663,History: N.A.
