WB.ID,gene.name,Input,Suggested Match,History
WBGene00000010,aat-9,WBGene00000010,WBGene00000010,History: N.A.
WBGene00000090,age-1,WBGene00000090,WBGene00000090,History: N.A.
WBGene00000114,alh-8,WBGene00000114,WBGene00000114,History: N.A.
WBGene00000145,apc-11,WBGene00000145,WBGene00000145,History: N.A.
WBGene00000159,aps-1,WBGene00000159,WBGene00000159,History: N.A.
WBGene00000186,ark-1,WBGene00000186,WBGene00000186,History: N.A.
WBGene00000206,asb-1,WBGene00000206,WBGene00000206,History: N.A.
WBGene00000257,bmk-1,WBGene00000257,WBGene00000257,History: N.A.
WBGene00000264,brc-1,WBGene00000264,WBGene00000264,History: N.A.
WBGene00000366,cbp-1,WBGene00000366,WBGene00000366,History: N.A.
WBGene00000369,ccf-1,WBGene00000369,WBGene00000369,History: N.A.
WBGene00000376,ccr-4,WBGene00000376,WBGene00000376,History: N.A.
WBGene00000386,cdc-25.1,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000411,cdl-1,WBGene00000411,WBGene00000411,History: N.A.
WBGene00000420,ced-6,WBGene00000420,WBGene00000420,History: N.A.
WBGene00000442,ceh-19,WBGene00000442,WBGene00000442,History: N.A.
WBGene00000465,cpg-1,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000472,cey-1,WBGene00000472,WBGene00000472,History: N.A.
WBGene00000473,cey-2,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000474,cey-3,WBGene00000474,WBGene00000474,History: N.A.
WBGene00000499,chk-2,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000509,cka-1,WBGene00000509,WBGene00000509,History: N.A.
WBGene00000542,clp-1,WBGene00000542,WBGene00000542,History: N.A.
WBGene00000565,cnt-1,WBGene00000565,WBGene00000565,History: Renamed on 2014-12-10
WBGene00000567,cnx-1,WBGene00000567,WBGene00000567,History: N.A.
WBGene00000585,cogc-2,WBGene00000585,WBGene00000585,History: Renamed on 2006-01-17
WBGene00000592,coh-3,WBGene00000592,WBGene00000592,History: N.A.
