Gene,log2 fold change lotr-1 vs. N2 (26G-RNA),BH-adjusted p-value (26G-RNA),N2_r1 normalized counts (26G-RNA),N2_r2 normalized counts (26G-RNA),N2_r3 normalized counts (26G-RNA),lotr-1_r1 normalized counts (26G-RNA),lotr-1_r2 normalized counts (26G-RNA),lotr-1_r3 normalized counts (26G-RNA),Input,Suggested Match,History
WBGene00015271,5.94694627398355,0.0305585454898319,0.0,0.0,0.0,5.39202461838911,10.225065597399,13.891362179302,WBGene00015271,WBGene00015271,History: N.A.
WBGene00007779,5.60868453494539,0.0466013830616517,0.0,0.0,0.703794593185347,13.4800615459728,19.5205797768526,12.8991220236376,WBGene00007779,WBGene00007779,History: N.A.
WBGene00004751,4.13819788537824,0.0052655853411051,2.28320345289118,0.849190664782476,1.40758918637069,29.6561354011401,19.5205797768526,27.782724358604,WBGene00004751,WBGene00004751,History: N.A.
WBGene00019636,6.01925674685403,0.0261115765213265,0.0,0.0,0.0,4.04401846379183,14.8728226871258,11.9068818679732,WBGene00019636,WBGene00019636,History: N.A.
WBGene00008447,-4.95896245956182,2.4257029981508895e-20,147.266622711481,188.52032758171,157.649988873518,4.04401846379183,6.50685992561753,4.96120077832215,WBGene00008447,WBGene00008447,History: N.A.
WBGene00194923,-7.7284753644612705,4.72520299687922e-06,102.744155380103,80.6731131543353,64.0453079798665,0.0,0.0,0.99224015566443,WBGene00194923,WBGene00194923,History: N.A.
WBGene00013779,-3.22563928574643,9.038286752373149e-30,303.666059234527,330.335168600383,273.7760967491,39.0921784833211,34.3934024639784,24.8060038916107,WBGene00013779,WBGene00013779,History: N.A.
WBGene00044258,-6.9859715134565,1.29040923021239e-30,490.888742371604,374.493083169072,351.897296592673,2.69601230919456,4.64775708972681,1.98448031132886,WBGene00044258,WBGene00044258,History: N.A.
WBGene00219443,-7.03472509010845,1.52647255399047e-06,87.9033329363105,95.9585451204198,93.6046808936511,0.0,1.85910283589072,0.0,WBGene00219443,WBGene00219443,History: N.A.
WBGene00018690,-6.56291168513422,0.0018805135165837,17.1240258966839,16.134622630867,22.5214269819311,0.0,0.0,0.0,WBGene00018690,WBGene00018690,History: N.A.
