# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Upregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00001333,WBGene00001333,WBGene00001333,History: N.A.
P0-F1,WBGene00018158,WBGene00018158,WBGene00018158,History: N.A.
P0-F1,WBGene00006546,WBGene00006546,WBGene00006546,History: N.A.
P0-F1,WBGene00017179,WBGene00017179,WBGene00017179,History: N.A.
P0-F1,WBGene00009553,WBGene00009553,WBGene00009553,History: N.A.
P0-F1,WBGene00010749,WBGene00010749,WBGene00010749,History: N.A.
P0-F1,WBGene00011867,WBGene00011867,WBGene00011867,History: Renamed on 2008-04-30
P0-F1,WBGene00219451,WBGene00219451,WBGene00219451,History: N.A.
P0-F1,WBGene00013268,WBGene00013268,WBGene00013268,History: N.A.
P0-F1,WBGene00017975,WBGene00017975,WBGene00017975,History: N.A.
P0-F1,WBGene00006044,WBGene00006044,WBGene00006044,History: N.A.
P0-F1,WBGene00020471,WBGene00020471,WBGene00020471,History: N.A.
P0-F1,WBGene00003947,WBGene00003947,WBGene00003947,History: N.A.
P0-F1,WBGene00022732,WBGene00022732,WBGene00022732,History: N.A.
P0-F1,WBGene00004062,WBGene00004062,WBGene00004062,History: N.A.
P0-F1,WBGene00018015,WBGene00018015,WBGene00018015,History: N.A.
P0-F1,WBGene00000777,WBGene00000777,WBGene00000777,History: N.A.
P0-F1,WBGene00009366,WBGene00009366,WBGene00009366,History: N.A.
P0-F1,WBGene00014087,WBGene00014087,WBGene00014087,History: N.A.
P0-F1,WBGene00006647,WBGene00006647,WBGene00006647,History: N.A.
P0-F1,WBGene00004302,WBGene00004302,WBGene00004302,History: N.A.
P0-F1,WBGene00017499,WBGene00017499,WBGene00017499,History: N.A.
P0-F1,WBGene00006957,WBGene00006957,WBGene00006957,History: N.A.
P0-F1,WBGene00000548,WBGene00000548,WBGene00000548,History: N.A.
P0-F1,WBGene00002207,WBGene00002207,WBGene00002207,History: Renamed on 2012-11-07
P0-F1,WBGene00007165,WBGene00007165,WBGene00007165,History: N.A.
P0-F1,WBGene00000663,WBGene00000663,WBGene00000663,History: N.A.
P0-F1,WBGene00004754,WBGene00004754,WBGene00004754,History: N.A.
P0-F1,WBGene00009006,WBGene00009006,WBGene00009006,History: N.A.
P0-F1,WBGene00016799,WBGene00016799,WBGene00016799,History: N.A.
P0-F1,WBGene00004086,WBGene00004086,WBGene00004086,History: N.A.
P0-F1,WBGene00219803,WBGene00219803,WBGene00219803,History: N.A.
P0-F1,WBGene00007394,WBGene00007394,WBGene00007394,History: N.A.
P0-F1,WBGene00015931,WBGene00015931,WBGene00015931,History: N.A.
P0-F1,WBGene00003927,WBGene00003927,WBGene00003927,History: N.A.
P0-F1,WBGene00021988,WBGene00021988,WBGene00021988,History: N.A.
P0-F1,WBGene00013602,WBGene00013602,WBGene00013602,History: N.A.
P0-F1,WBGene00007428,WBGene00007428,WBGene00007428,"History: Split into C08B6.18(WBGene00303036). History of WBGene00007428: Renamed on 2013-07-04; Split into ""WBGene00303036"" on 2018-03-02"
P0-F1,WBGene00000754,WBGene00000754,WBGene00000754,History: N.A.
P0-F1,WBGene00000121,WBGene00000121,WBGene00000121,History: Renamed on 2005-04-27
P0-F1,WBGene00008035,WBGene00008035,WBGene00008035,History: N.A.
P0-F1,WBGene00003130,WBGene00003130,WBGene00003130,History: N.A.
P0-F1,WBGene00001997,WBGene00001997,WBGene00001997,History: N.A.
P0-F1,WBGene00010646,WBGene00010646,WBGene00010646,History: N.A.
P0-F1,WBGene00004351,WBGene00004351,WBGene00004351,History: N.A.
P0-F1,WBGene00004112,WBGene00004112,WBGene00004112,History: N.A.
P0-F1,WBGene00010263,WBGene00010263,WBGene00010263,History: N.A.
P0-F1,WBGene00020070,WBGene00020070,WBGene00020070,History: N.A.
P0-F1,WBGene00008448,WBGene00008448,WBGene00008448,History: N.A.
P0-F1,WBGene00020139,WBGene00020139,WBGene00020139,History: N.A.
P0-F1,WBGene00019247,WBGene00019247,WBGene00019247,History: N.A.
P0-F1,WBGene00003577,WBGene00003577,WBGene00003577,History: N.A.
P0-F1,WBGene00007307,WBGene00007307,WBGene00007307,History: N.A.
P0-F1,WBGene00006785,WBGene00006785,WBGene00006785,History: N.A.
P0-F1,WBGene00017301,WBGene00017301,WBGene00017301,History: N.A.
P0-F1,WBGene00017591,WBGene00017591,WBGene00017591,History: N.A.
P0-F1,WBGene00017101,WBGene00017101,WBGene00017101,History: N.A.
P0-F1,WBGene00015819,WBGene00015819,WBGene00015819,"History: Split into fbxc-43(WBGene00045297). History of WBGene00015819: Split into ""WBGene00045297"" on 2007-02-28"
P0-F1,WBGene00003508,WBGene00003508,WBGene00003508,History: Renamed on 2013-10-16
P0-F1,WBGene00020442,WBGene00020442,WBGene00020442,History: N.A.
P0-F1,WBGene00013025,WBGene00013025,WBGene00013025,History: Renamed on 2005-03-17
P0-F1,WBGene00017471,WBGene00017471,WBGene00017471,History: N.A.
P0-F1,WBGene00001007,WBGene00001007,WBGene00001007,History: N.A.
P0-F1,WBGene00016953,WBGene00016953,WBGene00016953,History: N.A.
P0-F1,WBGene00014208,WBGene00014208,WBGene00014208,History: N.A.
P0-F1,WBGene00004352,WBGene00004352,WBGene00004352,History: N.A.
P0-F1,WBGene00013489,WBGene00013489,WBGene00013489,History: N.A.
P0-F1,WBGene00008207,WBGene00008207,WBGene00008207,History: N.A.
P0-F1,WBGene00008887,WBGene00008887,WBGene00008887,History: N.A.
P0-F1,WBGene00006964,WBGene00006964,WBGene00006964,History: N.A.
P0-F1,WBGene00008502,WBGene00008502,WBGene00008502,History: N.A.
P0-F1,WBGene00019017,WBGene00019017,WBGene00019017,History: N.A.
P0-F1,WBGene00021010,WBGene00021010,WBGene00021010,History: N.A.
P0-F1,WBGene00020629,WBGene00020629,WBGene00020629,History: N.A.
P0-F1,WBGene00007789,WBGene00007789,WBGene00007789,History: N.A.
P0-F1,WBGene00019900,WBGene00019900,WBGene00019900,History: N.A.
P0-F1,WBGene00015301,WBGene00015301,WBGene00015301,History: N.A.
P0-F1,WBGene00021192,WBGene00021192,WBGene00021192,History: N.A.
P0-F1,WBGene00017641,WBGene00017641,WBGene00017641,History: N.A.
P0-F1,WBGene00012386,WBGene00012386,WBGene00012386,History: N.A.
P0-F1,WBGene00004461,WBGene00004461,WBGene00004461,History: N.A.
P0-F1,WBGene00010155,WBGene00010155,WBGene00010155,History: N.A.
P0-F1,WBGene00003805,WBGene00003805,WBGene00003805,History: N.A.
P0-F1,WBGene00009259,WBGene00009259,WBGene00009259,History: N.A.
P0-F1,WBGene00006537,WBGene00006537,WBGene00006537,History: N.A.
P0-F1,WBGene00022036,WBGene00022036,WBGene00022036,History: N.A.
P0-F1,WBGene00002228,WBGene00002228,WBGene00002228,History: N.A.
P0-F1,WBGene00015565,WBGene00015565,WBGene00015565,History: N.A.
P0-F1,WBGene00007681,WBGene00007681,WBGene00007681,History: N.A.
P0-F1,WBGene00003905,WBGene00003905,WBGene00003905,History: N.A.
P0-F1,WBGene00009270,WBGene00009270,WBGene00009270,History: N.A.
P0-F1,WBGene00003796,WBGene00003796,WBGene00003796,History: N.A.
P0-F1,WBGene00008194,WBGene00008194,WBGene00008194,History: N.A.
P0-F1,WBGene00000550,WBGene00000550,WBGene00000550,History: N.A.
P0-F1,WBGene00007335,WBGene00007335,WBGene00007335,History: N.A.
P0-F1,WBGene00003815,WBGene00003815,WBGene00003815,History: Renamed on 2010-01-29; Renamed on 2015-03-05
P0-F1,WBGene00009921,WBGene00009921,WBGene00009921,History: N.A.
P0-F1,WBGene00008654,WBGene00008654,WBGene00008654,History: N.A.
P0-F1,WBGene00001241,WBGene00001241,WBGene00001241,History: N.A.
P0-F1,WBGene00004459,WBGene00004459,WBGene00004459,History: N.A.
P0-F1,WBGene00019957,WBGene00019957,WBGene00019957,History: N.A.
P0-F1,WBGene00005552,WBGene00005552,WBGene00005552,History: N.A.
P0-F1,WBGene00006921,WBGene00006921,WBGene00006921,History: N.A.
P0-F1,WBGene00022500,WBGene00022500,WBGene00022500,History: N.A.
P0-F1,WBGene00001215,WBGene00001215,WBGene00001215,History: N.A.
P0-F1,WBGene00000256,WBGene00000256,WBGene00000256,History: Renamed on 2011-04-06
P0-F1,WBGene00303021,WBGene00303021,WBGene00303021,History: Renamed on 2021-03-09; Renamed on 2021-06-23
P0-F1,WBGene00007209,WBGene00007209,WBGene00007209,History: N.A.
P0-F1,WBGene00008005,WBGene00008005,WBGene00008005,History: Renamed on 2021-12-09
P0-F1,WBGene00003656,WBGene00003656,WBGene00003656,History: N.A.
P0-F1,WBGene00021233,WBGene00021233,WBGene00021233,History: N.A.
P0-F1,WBGene00020461,WBGene00020461,WBGene00020461,History: N.A.
P0-F1,WBGene00014262,WBGene00014262,WBGene00014262,History: N.A.
P0-F1,WBGene00014151,WBGene00014151,WBGene00014151,History: N.A.
P0-F1,WBGene00003794,WBGene00003794,WBGene00003794,History: N.A.
P0-F1,WBGene00018017,WBGene00018017,WBGene00018017,History: N.A.
P0-F1,WBGene00003835,WBGene00003835,WBGene00003835,History: N.A.
P0-F1,WBGene00017344,WBGene00017344,WBGene00017344,History: N.A.
P0-F1,WBGene00022117,WBGene00022117,WBGene00022117,History: N.A.
P0-F1,WBGene00015731,WBGene00015731,WBGene00015731,History: N.A.
P0-F1,WBGene00022531,WBGene00022531,WBGene00022531,History: N.A.
P0-F1,WBGene00022172,WBGene00022172,WBGene00022172,History: N.A.
P0-F1,WBGene00012583,WBGene00012583,WBGene00012583,History: N.A.
P0-F1,WBGene00022119,WBGene00022119,WBGene00022119,History: N.A.
P0-F1,WBGene00013946,WBGene00013946,WBGene00013946,History: N.A.
P0-F1,WBGene00018371,WBGene00018371,WBGene00018371,History: N.A.
P0-F1,WBGene00016485,WBGene00016485,WBGene00016485,History: N.A.
P0-F1,WBGene00011340,WBGene00011340,WBGene00011340,History: N.A.
P0-F1,WBGene00019712,WBGene00019712,WBGene00019712,History: N.A.
P0-F1,WBGene00020696,WBGene00020696,WBGene00020696,History: N.A.
P0-F1,WBGene00004681,WBGene00004681,WBGene00004681,History: N.A.
P0-F1,WBGene00006770,WBGene00006770,WBGene00006770,"History: Split into Y50D4C.12(WBGene00303091). History of WBGene00006770: Split into ""WBGene00303091"" on 2018-03-02"
P0-F1,WBGene00018781,WBGene00018781,WBGene00018781,History: N.A.
P0-F1,WBGene00003864,WBGene00003864,WBGene00003864,History: N.A.
P0-F1,WBGene00013073,WBGene00013073,WBGene00013073,History: N.A.
P0-F1,WBGene00000868,WBGene00000868,WBGene00000868,History: N.A.
P0-F1,WBGene00003067,WBGene00003067,WBGene00003067,History: N.A.
P0-F1,WBGene00011481,WBGene00011481,WBGene00011481,History: N.A.
P0-F1,WBGene00022069,WBGene00022069,WBGene00022069,History: N.A.
P0-F1,WBGene00020097,WBGene00020097,WBGene00020097,History: N.A.
P0-F1,WBGene00009661,WBGene00009661,WBGene00009661,History: N.A.
P0-F1,WBGene00006449,WBGene00006449,WBGene00006449,History: Renamed on 2013-12-23
P0-F1,WBGene00011114,WBGene00011114,WBGene00011114,History: N.A.
P0-F1,WBGene00016573,WBGene00016573,WBGene00016573,History: N.A.
P0-F1,WBGene00022649,WBGene00022649,WBGene00022649,History: N.A.
P0-F1,WBGene00004242,WBGene00004242,WBGene00004242,History: N.A.
P0-F1,WBGene00000197,WBGene00000197,WBGene00000197,History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
P0-F1,WBGene00013765,WBGene00013765,WBGene00013765,History: N.A.
P0-F1,WBGene00020264,WBGene00020264,WBGene00020264,History: N.A.
P0-F1,WBGene00003153,WBGene00003153,WBGene00003153,History: Renamed on 2007-10-09
P0-F1,WBGene00021015,WBGene00021015,WBGene00021015,History: N.A.
P0-F1,WBGene00006311,WBGene00006311,WBGene00006311,History: N.A.
P0-F1,WBGene00000846,WBGene00000846,WBGene00000846,History: N.A.
P0-F1,WBGene00009626,WBGene00009626,WBGene00009626,History: N.A.
P0-F1,WBGene00020022,WBGene00020022,WBGene00020022,History: N.A.
P0-F1,WBGene00012276,WBGene00012276,WBGene00012276,History: N.A.
P0-F1,WBGene00003043,WBGene00003043,WBGene00003043,History: N.A.
