# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Downregulated Genes in WT
Generation,Gene name,Input,Suggested Match,History
P0-F1,WBGene00003712,WBGene00003712,WBGene00003712,History: N.A.
P0-F1,WBGene00012421,WBGene00012421,WBGene00012421,History: N.A.
P0-F1,WBGene00007950,WBGene00007950,WBGene00007950,History: N.A.
P0-F1,WBGene00009698,WBGene00009698,WBGene00009698,History: N.A.
P0-F1,WBGene00045397,WBGene00045397,WBGene00045397,History: N.A.
P0-F1,WBGene00020301,WBGene00020301,WBGene00020301,History: N.A.
P0-F1,WBGene00017117,WBGene00017117,WBGene00017117,History: N.A.
P0-F1,WBGene00019491,WBGene00019491,WBGene00019491,History: N.A.
P0-F1,WBGene00008963,WBGene00008963,WBGene00008963,History: N.A.
P0-F1,WBGene00018747,WBGene00018747,WBGene00018747,History: N.A.
P0-F1,WBGene00021260,WBGene00021260,WBGene00021260,History: N.A.
P0-F1,WBGene00008880,WBGene00008880,WBGene00008880,History: N.A.
P0-F1,WBGene00000958,WBGene00000958,WBGene00000958,"History: Split into C09E10.3(WBGene00303038). History of WBGene00000958: Split into ""WBGene00303038"" on 2018-03-02"
P0-F1,WBGene00009809,WBGene00009809,WBGene00009809,History: N.A.
P0-F1,WBGene00020051,WBGene00020051,WBGene00020051,History: N.A.
P0-F1,WBGene00044078,WBGene00044078,WBGene00044078,History: N.A.
P0-F1,WBGene00000439,WBGene00000439,WBGene00000439,History: N.A.
P0-F1,WBGene00000929,WBGene00000929,WBGene00000929,History: N.A.
P0-F1,WBGene00016734,WBGene00016734,WBGene00016734,History: N.A.
P0-F1,WBGene00008226,WBGene00008226,WBGene00008226,History: N.A.
P0-F1,WBGene00017422,WBGene00017422,WBGene00017422,History: N.A.
P0-F1,WBGene00002015,WBGene00002015,WBGene00002015,History: N.A.
P0-F1,WBGene00284846,WBGene00284846,WBGene00284846,History: N.A.
P0-F1,WBGene00019102,WBGene00019102,WBGene00019102,History: N.A.
P0-F1,WBGene00011984,WBGene00011984,WBGene00011984,History: N.A.
P0-F1,WBGene00001392,WBGene00001392,WBGene00001392,History: N.A.
P0-F1,WBGene00015786,WBGene00015786,WBGene00015786,History: N.A.
P0-F1,WBGene00016645,WBGene00016645,WBGene00016645,History: N.A.
P0-F1,WBGene00004140,WBGene00004140,WBGene00004140,History: Renamed on 2013-07-10
P0-F1,WBGene00013717,WBGene00013717,WBGene00013717,History: N.A.
P0-F1,WBGene00006583,WBGene00006583,WBGene00006583,History: N.A.
P0-F1,WBGene00004860,WBGene00004860,WBGene00004860,History: N.A.
P0-F1,WBGene00017786,WBGene00017786,WBGene00017786,History: N.A.
P0-F1,WBGene00015286,WBGene00015286,WBGene00015286,History: N.A.
P0-F1,WBGene00016046,WBGene00016046,WBGene00016046,History: N.A.
P0-F1,WBGene00022146,WBGene00022146,WBGene00022146,History: N.A.
P0-F1,WBGene00006777,WBGene00006777,WBGene00006777,History: Renamed on 2008-02-06
P0-F1,WBGene00003593,WBGene00003593,WBGene00003593,History: N.A.
P0-F1,WBGene00017573,WBGene00017573,WBGene00017573,History: N.A.
P0-F1,WBGene00009840,WBGene00009840,WBGene00009840,History: N.A.
P0-F1,WBGene00004758,WBGene00004758,WBGene00004758,History: N.A.
P0-F1,WBGene00017663,WBGene00017663,WBGene00017663,History: N.A.
P0-F1,WBGene00013091,WBGene00013091,WBGene00013091,History: N.A.
P0-F1,WBGene00022633,WBGene00022633,WBGene00022633,History: N.A.
P0-F1,WBGene00011794,WBGene00011794,WBGene00011794,History: N.A.
P0-F1,WBGene00000870,WBGene00000870,WBGene00000870,History: N.A.
P0-F1,WBGene00013334,WBGene00013334,WBGene00013334,History: N.A.
P0-F1,WBGene00007856,WBGene00007856,WBGene00007856,History: N.A.
P0-F1,WBGene00014053,WBGene00014053,WBGene00014053,History: N.A.
P0-F1,WBGene00022814,WBGene00022814,WBGene00022814,History: N.A.
P0-F1,WBGene00010175,WBGene00010175,WBGene00010175,History: N.A.
P0-F1,WBGene00044536,WBGene00044536,WBGene00044536,History: N.A.
P0-F1,WBGene00017220,WBGene00017220,WBGene00017220,History: N.A.
P0-F1,WBGene00000224,WBGene00000224,WBGene00000224,History: Renamed on 2008-02-28
P0-F1,WBGene00020156,WBGene00020156,WBGene00020156,History: N.A.
P0-F1,WBGene00016625,WBGene00016625,WBGene00016625,History: N.A.
P0-F1,WBGene00008040,WBGene00008040,WBGene00008040,History: N.A.
P0-F1,WBGene00022418,WBGene00022418,WBGene00022418,History: N.A.
P0-F1,WBGene00016513,WBGene00016513,WBGene00016513,History: N.A.
P0-F1,WBGene00000396,WBGene00000396,WBGene00000396,History: N.A.
P0-F1,WBGene00016028,WBGene00016028,WBGene00016028,History: N.A.
P0-F1,WBGene00013048,WBGene00013048,WBGene00013048,History: N.A.
P0-F1,WBGene00013836,WBGene00013836,WBGene00013836,History: N.A.
P0-F1,WBGene00006586,WBGene00006586,WBGene00006586,History: N.A.
P0-F1,WBGene00018018,WBGene00018018,WBGene00018018,History: N.A.
P0-F1,WBGene00020104,WBGene00020104,WBGene00020104,History: N.A.
P0-F1,WBGene00016003,WBGene00016003,WBGene00016003,History: N.A.
P0-F1,WBGene00010884,WBGene00010884,WBGene00010884,History: N.A.
P0-F1,WBGene00004921,WBGene00004921,WBGene00004921,History: N.A.
P0-F1,WBGene00014125,WBGene00014125,WBGene00014125,History: N.A.
P0-F1,WBGene00023209,WBGene00023209,WBGene00023209,History: N.A.
P0-F1,WBGene00003249,WBGene00003249,WBGene00003249,History: N.A.
P0-F1,WBGene00021913,WBGene00021913,WBGene00021913,History: N.A.
P0-F1,WBGene00015112,WBGene00015112,WBGene00015112,History: N.A.
P0-F1,WBGene00020784,WBGene00020784,WBGene00020784,"History: Split into T24H7.9(WBGene00305157). History of WBGene00020784: Split into ""WBGene00305157"" on 2019-11-21"
P0-F1,WBGene00009797,WBGene00009797,WBGene00009797,History: N.A.
P0-F1,WBGene00001958,WBGene00001958,WBGene00001958,History: N.A.
P0-F1,WBGene00003769,WBGene00003769,WBGene00003769,History: N.A.
P0-F1,WBGene00007063,WBGene00007063,WBGene00007063,History: N.A.
P0-F1,WBGene00000561,WBGene00000561,WBGene00000561,History: N.A.
P0-F1,WBGene00009140,WBGene00009140,WBGene00009140,History: N.A.
P0-F1,WBGene00013008,WBGene00013008,WBGene00013008,History: N.A.
P0-F1,WBGene00269421,WBGene00269421,WBGene00269421,History: N.A.
P0-F1,WBGene00000222,WBGene00000222,WBGene00000222,History: N.A.
P0-F1,WBGene00004933,WBGene00004933,WBGene00004933,History: N.A.
P0-F1,WBGene00016359,WBGene00016359,WBGene00016359,History: N.A.
P0-F1,WBGene00008820,WBGene00008820,WBGene00008820,History: N.A.
P0-F1,WBGene00017667,WBGene00017667,WBGene00017667,History: N.A.
P0-F1,WBGene00022615,WBGene00022615,WBGene00022615,History: N.A.
P0-F1,WBGene00013982,WBGene00013982,WBGene00013982,History: N.A.
P0-F1,WBGene00016454,WBGene00016454,WBGene00016454,History: N.A.
P0-F1,WBGene00006932,WBGene00006932,WBGene00006932,History: N.A.
P0-F1,WBGene00011259,WBGene00011259,WBGene00011259,History: N.A.
P0-F1,WBGene00022893,WBGene00022893,WBGene00022893,History: N.A.
P0-F1,WBGene00019624,WBGene00019624,WBGene00019624,History: N.A.
P0-F1,WBGene00012824,WBGene00012824,WBGene00012824,History: N.A.
P0-F1,WBGene00000070,WBGene00000070,WBGene00000070,History: N.A.
P0-F1,WBGene00007064,WBGene00007064,WBGene00007064,History: N.A.
P0-F1,WBGene00003568,WBGene00003568,WBGene00003568,History: N.A.
