# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Heritable Downregulated Genes Only in WT but Not in hrde-1 Mutant
Regulation Direction,Gene name,Input,Suggested Match,History
Transgenerational downregulated,WBGene00006780,WBGene00006780,WBGene00006780,History: N.A.
Transgenerational downregulated,WBGene00019282,WBGene00019282,WBGene00019282,History: N.A.
Transgenerational downregulated,WBGene00014153,WBGene00014153,WBGene00014153,History: N.A.
Transgenerational downregulated,WBGene00007296,WBGene00007296,WBGene00007296,History: N.A.
Transgenerational downregulated,WBGene00006575,WBGene00006575,WBGene00006575,History: Renamed on 2005-11-09
Transgenerational downregulated,WBGene00001131,WBGene00001131,WBGene00001131,History: N.A.
Transgenerational downregulated,WBGene00006538,WBGene00006538,WBGene00006538,History: N.A.
Transgenerational downregulated,WBGene00007139,WBGene00007139,WBGene00007139,History: N.A.
Transgenerational downregulated,WBGene00008401,WBGene00008401,WBGene00008401,History: N.A.
Transgenerational downregulated,WBGene00000478,WBGene00000478,WBGene00000478,History: N.A.
Transgenerational downregulated,WBGene00001858,WBGene00001858,WBGene00001858,History: Renamed on 2010-11-12
Transgenerational downregulated,WBGene00007266,WBGene00007266,WBGene00007266,History: N.A.
Transgenerational downregulated,WBGene00000037,WBGene00000037,WBGene00000037,History: Renamed on 2019-05-20
Transgenerational downregulated,WBGene00011383,WBGene00011383,WBGene00011383,History: N.A.
Transgenerational downregulated,WBGene00010976,WBGene00010976,WBGene00010976,History: N.A.
Transgenerational downregulated,WBGene00018742,WBGene00018742,WBGene00018742,History: N.A.
Transgenerational downregulated,WBGene00003778,WBGene00003778,WBGene00003778,History: N.A.
Transgenerational downregulated,WBGene00016071,WBGene00016071,WBGene00016071,"History: Split into C24H12.19(WBGene00235338). History of WBGene00016071: Split into ""WBGene00235338"" on 2013-09-12"
Transgenerational downregulated,WBGene00001072,WBGene00001072,WBGene00001072,"History: Split into T14B4.19(WBGene00302993). History of WBGene00001072: Split into ""WBGene00302993"" on 2018-03-06"
Transgenerational downregulated,WBGene00021919,WBGene00021919,WBGene00021919,History: N.A.
Transgenerational downregulated,WBGene00022033,WBGene00022033,WBGene00022033,"History: Split into Y65B4BM.3(WBGene00302974). History of WBGene00022033: Split into ""WBGene00302974"" on 2018-03-06"
Transgenerational downregulated,WBGene00022396,WBGene00022396,WBGene00022396,History: N.A.
Transgenerational downregulated,WBGene00015781,WBGene00015781,WBGene00015781,History: N.A.
Transgenerational downregulated,WBGene00009743,WBGene00009743,WBGene00009743,History: N.A.
Transgenerational downregulated,WBGene00021915,WBGene00021915,WBGene00021915,History: N.A.
Transgenerational downregulated,WBGene00010262,WBGene00010262,WBGene00010262,History: N.A.
Transgenerational downregulated,WBGene00007900,WBGene00007900,WBGene00007900,History: N.A.
Transgenerational downregulated,WBGene00003710,WBGene00003710,WBGene00003710,History: N.A.
Transgenerational downregulated,WBGene00007481,WBGene00007481,WBGene00007481,History: N.A.
Transgenerational downregulated,WBGene00012420,WBGene00012420,WBGene00012420,History: N.A.
Transgenerational downregulated,WBGene00022129,WBGene00022129,WBGene00022129,History: N.A.
Transgenerational downregulated,WBGene00012239,WBGene00012239,WBGene00012239,History: N.A.
Transgenerational downregulated,WBGene00000455,WBGene00000455,WBGene00000455,History: N.A.
Transgenerational downregulated,WBGene00009304,WBGene00009304,WBGene00009304,History: Renamed on 2007-10-09
Transgenerational downregulated,WBGene00008425,WBGene00008425,WBGene00008425,History: N.A.
Transgenerational downregulated,WBGene00009476,WBGene00009476,WBGene00009476,History: N.A.
Transgenerational downregulated,WBGene00010738,WBGene00010738,WBGene00010738,History: N.A.
Transgenerational downregulated,WBGene00006805,WBGene00006805,WBGene00006805,History: Renamed on 2015-03-04
Transgenerational downregulated,WBGene00013515,WBGene00013515,WBGene00013515,History: N.A.
Transgenerational downregulated,WBGene00018748,WBGene00018748,WBGene00018748,History: N.A.
Transgenerational downregulated,WBGene00003933,WBGene00003933,WBGene00003933,History: Renamed on 2012-05-25
Transgenerational downregulated,WBGene00044417,WBGene00044417,WBGene00044417,History: N.A.
Transgenerational downregulated,WBGene00002253,WBGene00002253,WBGene00002253,History: N.A.
Transgenerational downregulated,WBGene00000449,WBGene00000449,WBGene00000449,History: N.A.
Transgenerational downregulated,WBGene00003003,WBGene00003003,WBGene00003003,History: N.A.
Transgenerational downregulated,WBGene00014159,WBGene00014159,WBGene00014159,History: N.A.
Transgenerational downregulated,WBGene00013962,WBGene00013962,WBGene00013962,History: N.A.
Transgenerational downregulated,WBGene00008563,WBGene00008563,WBGene00008563,History: N.A.
Transgenerational downregulated,WBGene00002051,WBGene00002051,WBGene00002051,History: N.A.
Transgenerational downregulated,WBGene00007479,WBGene00007479,WBGene00007479,History: N.A.
Transgenerational downregulated,WBGene00002222,WBGene00002222,WBGene00002222,"History: Split into F20C5.11(WBGene00303015). History of WBGene00002222: Split into ""WBGene00303015"" on 2018-03-06"
Transgenerational downregulated,WBGene00002248,WBGene00002248,WBGene00002248,History: N.A.
Transgenerational downregulated,WBGene00014089,WBGene00014089,WBGene00014089,History: N.A.
Transgenerational downregulated,WBGene00000273,WBGene00000273,WBGene00000273,History: N.A.
Transgenerational downregulated,WBGene00020648,WBGene00020648,WBGene00020648,"History: Split into T21D12.14(WBGene00045177). History of WBGene00020648: Split into ""WBGene00045177"" on 2006-12-04"
Transgenerational downregulated,WBGene00022441,WBGene00022441,WBGene00022441,History: N.A.
Transgenerational downregulated,WBGene00019278,WBGene00019278,WBGene00019278,History: N.A.
Transgenerational downregulated,WBGene00009899,WBGene00009899,WBGene00009899,History: N.A.
Transgenerational downregulated,WBGene00017983,WBGene00017983,WBGene00017983,History: N.A.
Transgenerational downregulated,WBGene00007848,WBGene00007848,WBGene00007848,History: N.A.
Transgenerational downregulated,WBGene00009926,WBGene00009926,WBGene00009926,History: Renamed on 2005-03-17
Transgenerational downregulated,WBGene00004993,WBGene00004993,WBGene00004993,History: N.A.
Transgenerational downregulated,WBGene00017671,WBGene00017671,WBGene00017671,History: N.A.
Transgenerational downregulated,WBGene00008760,WBGene00008760,WBGene00008760,History: N.A.
Transgenerational downregulated,WBGene00000792,WBGene00000792,WBGene00000792,History: N.A.
Transgenerational downregulated,WBGene00000695,WBGene00000695,WBGene00000695,History: Renamed on 2006-06-15
Transgenerational downregulated,WBGene00009691,WBGene00009691,WBGene00009691,History: N.A.
Transgenerational downregulated,WBGene00012261,WBGene00012261,WBGene00012261,History: N.A.
Transgenerational downregulated,WBGene00006444,WBGene00006444,WBGene00006444,History: Renamed on 2007-01-03
Transgenerational downregulated,WBGene00019212,WBGene00019212,WBGene00019212,History: N.A.
Transgenerational downregulated,WBGene00007750,WBGene00007750,WBGene00007750,History: N.A.
Transgenerational downregulated,WBGene00011596,WBGene00011596,WBGene00011596,History: N.A.
Transgenerational downregulated,WBGene00003968,WBGene00003968,WBGene00003968,History: N.A.
Transgenerational downregulated,WBGene00001064,WBGene00001064,WBGene00001064,History: N.A.
Transgenerational downregulated,WBGene00016549,WBGene00016549,WBGene00016549,History: N.A.
Transgenerational downregulated,WBGene00009653,WBGene00009653,WBGene00009653,History: Renamed on 2022-10-03
Transgenerational downregulated,WBGene00007044,WBGene00007044,WBGene00007044,History: Renamed on 2009-04-21
Transgenerational downregulated,WBGene00018215,WBGene00018215,WBGene00018215,History: N.A.
Transgenerational downregulated,WBGene00006746,WBGene00006746,WBGene00006746,History: N.A.
Transgenerational downregulated,WBGene00011392,WBGene00011392,WBGene00011392,History: N.A.
Transgenerational downregulated,WBGene00012226,WBGene00012226,WBGene00012226,History: N.A.
Transgenerational downregulated,WBGene00017430,WBGene00017430,WBGene00017430,History: N.A.
Transgenerational downregulated,WBGene00004827,WBGene00004827,WBGene00004827,History: N.A.
Transgenerational downregulated,WBGene00022727,WBGene00022727,WBGene00022727,History: Renamed on 2016-08-02
Transgenerational downregulated,WBGene00010742,WBGene00010742,WBGene00010742,History: N.A.
Transgenerational downregulated,WBGene00003681,WBGene00003681,WBGene00003681,History: N.A.
Transgenerational downregulated,WBGene00017184,WBGene00017184,WBGene00017184,History: N.A.
Transgenerational downregulated,WBGene00004155,WBGene00004155,WBGene00004155,History: N.A.
Transgenerational downregulated,WBGene00019612,WBGene00019612,WBGene00019612,History: N.A.
Transgenerational downregulated,WBGene00010868,WBGene00010868,WBGene00010868,History: N.A.
Transgenerational downregulated,WBGene00004370,WBGene00004370,WBGene00004370,History: N.A.
Transgenerational downregulated,WBGene00014051,WBGene00014051,WBGene00014051,History: Renamed on 2013-04-12; Renamed on 2014-06-27
Transgenerational downregulated,WBGene00020326,WBGene00020326,WBGene00020326,History: N.A.
Transgenerational downregulated,WBGene00004949,WBGene00004949,WBGene00004949,History: N.A.
Transgenerational downregulated,WBGene00020626,WBGene00020626,WBGene00020626,History: N.A.
Transgenerational downregulated,WBGene00003404,WBGene00003404,WBGene00003404,History: N.A.
Transgenerational downregulated,WBGene00012255,WBGene00012255,WBGene00012255,History: N.A.
Transgenerational downregulated,WBGene00016295,WBGene00016295,WBGene00016295,History: N.A.
Transgenerational downregulated,WBGene00010495,WBGene00010495,WBGene00010495,History: N.A.
Transgenerational downregulated,WBGene00017381,WBGene00017381,WBGene00017381,History: Renamed on 2018-03-02
Transgenerational downregulated,WBGene00017597,WBGene00017597,WBGene00017597,History: N.A.
Transgenerational downregulated,WBGene00006649,WBGene00006649,WBGene00006649,History: N.A.
Transgenerational downregulated,WBGene00000463,WBGene00000463,WBGene00000463,History: Renamed on 2013-07-26
Transgenerational downregulated,WBGene00044728,WBGene00044728,WBGene00044728,History: N.A.
Transgenerational downregulated,WBGene00006807,WBGene00006807,WBGene00006807,History: N.A.
Transgenerational downregulated,WBGene00009288,WBGene00009288,WBGene00009288,History: N.A.
Transgenerational downregulated,WBGene00016006,WBGene00016006,WBGene00016006,History: Renamed on 2009-10-28
Transgenerational downregulated,WBGene00000469,WBGene00000469,WBGene00000469,History: N.A.
Transgenerational downregulated,WBGene00006778,WBGene00006778,WBGene00006778,History: N.A.
Transgenerational downregulated,WBGene00004236,WBGene00004236,WBGene00004236,History: N.A.
Transgenerational downregulated,WBGene00001475,WBGene00001475,WBGene00001475,History: N.A.
Transgenerational downregulated,WBGene00003377,WBGene00003377,WBGene00003377,History: N.A.
Transgenerational downregulated,WBGene00020930,WBGene00020930,WBGene00020930,History: N.A.
Transgenerational downregulated,WBGene00006970,WBGene00006970,WBGene00006970,History: Renamed on 2011-09-30
Transgenerational downregulated,WBGene00018468,WBGene00018468,WBGene00018468,History: Renamed on 2014-01-06; Renamed on 2017-04-28
Transgenerational downregulated,WBGene00010585,WBGene00010585,WBGene00010585,History: N.A.
Transgenerational downregulated,WBGene00006543,WBGene00006543,WBGene00006543,History: Renamed on 2013-07-31
Transgenerational downregulated,WBGene00004213,WBGene00004213,WBGene00004213,History: N.A.
Transgenerational downregulated,WBGene00019832,WBGene00019832,WBGene00019832,History: N.A.
Transgenerational downregulated,WBGene00009717,WBGene00009717,WBGene00009717,History: N.A.
Transgenerational downregulated,WBGene00003567,WBGene00003567,WBGene00003567,History: N.A.
Transgenerational downregulated,WBGene00011838,WBGene00011838,WBGene00011838,History: N.A.
Transgenerational downregulated,WBGene00017154,WBGene00017154,WBGene00017154,History: N.A.
Transgenerational downregulated,WBGene00303015,WBGene00303015,WBGene00303015,History: N.A.
Transgenerational downregulated,WBGene00004987,WBGene00004987,WBGene00004987,History: N.A.
Transgenerational downregulated,WBGene00008438,WBGene00008438,WBGene00008438,History: N.A.
Transgenerational downregulated,WBGene00002282,WBGene00002282,WBGene00002282,History: Renamed on 2011-09-23
Transgenerational downregulated,WBGene00000448,WBGene00000448,WBGene00000448,History: Renamed on 2013-02-08; Renamed on 2017-10-13
Transgenerational downregulated,WBGene00006366,WBGene00006366,WBGene00006366,History: N.A.
Transgenerational downregulated,WBGene00016422,WBGene00016422,WBGene00016422,History: N.A.
Transgenerational downregulated,WBGene00044068,WBGene00044068,WBGene00044068,History: Renamed on 2006-06-16; Renamed on 2006-10-09; Renamed on 2006-11-08
Transgenerational downregulated,WBGene00000170,WBGene00000170,WBGene00000170,History: N.A.
Transgenerational downregulated,WBGene00015824,WBGene00015824,WBGene00015824,History: N.A.
Transgenerational downregulated,WBGene00020537,WBGene00020537,WBGene00020537,"History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
Transgenerational downregulated,WBGene00011955,WBGene00011955,WBGene00011955,History: N.A.
Transgenerational downregulated,WBGene00018729,WBGene00018729,WBGene00018729,History: N.A.
Transgenerational downregulated,WBGene00018304,WBGene00018304,WBGene00018304,History: N.A.
Transgenerational downregulated,WBGene00006809,WBGene00006809,WBGene00006809,History: N.A.
Transgenerational downregulated,WBGene00006367,WBGene00006367,WBGene00006367,History: N.A.
Transgenerational downregulated,WBGene00003623,WBGene00003623,WBGene00003623,History: N.A.
Transgenerational downregulated,WBGene00013266,WBGene00013266,WBGene00013266,History: N.A.
Transgenerational downregulated,WBGene00011763,WBGene00011763,WBGene00011763,History: N.A.
Transgenerational downregulated,WBGene00019064,WBGene00019064,WBGene00019064,History: N.A.
Transgenerational downregulated,WBGene00004048,WBGene00004048,WBGene00004048,History: N.A.
Transgenerational downregulated,WBGene00007908,WBGene00007908,WBGene00007908,History: N.A.
Transgenerational downregulated,WBGene00006852,WBGene00006852,WBGene00006852,History: N.A.
Transgenerational downregulated,WBGene00019960,WBGene00019960,WBGene00019960,History: N.A.
Transgenerational downregulated,WBGene00019779,WBGene00019779,WBGene00019779,History: N.A.
Transgenerational downregulated,WBGene00008591,WBGene00008591,WBGene00008591,History: N.A.
