# Table S3. The Overlaps Between Heritable Dysregulated Genes and P Granule Bound Transcripts
P Granule Bound Transcripts,Input,Suggested Match,History
F54C9.8,F54C9.8,WBGene00004241,Sequence name for WBGene00004241(puf-5). History: N.A.
C07H6.5,C07H6.5,WBGene00000479,Sequence name for WBGene00000479(cgh-1). History: N.A.
F52D2.4,F52D2.4,WBGene00001569,Sequence name for WBGene00001569(meg-3). History: Renamed on 2014-08-15
Y51F10.2,Y51F10.2,WBGene00021763,Sequence name for WBGene00021763(grif-1). History: N.A.
H02I12.1,H02I12.1,WBGene00010351,Sequence name for WBGene00010351(cbd-1). History: N.A.
Y18D10A.17,Y18D10A.17,WBGene00012484,Sequence name for WBGene00012484(car-1). History: Renamed on 2005-12-05
Y57G11C.15,Y57G11C.15,WBGene00013311,Sequence name for WBGene00013311(sec-61.A). History: Renamed on 2019-05-20
C47E12.5,C47E12.5,WBGene00006699,Sequence name for WBGene00006699(uba-1). History: N.A.
C38C6.8,C38C6.8,WBGene00045388,Sequence name for WBGene00045388(lfor-1). History: N.A.
F27C8.6,F27C8.6,WBGene00009186,Sequence name for WBGene00009186(trcs-1). History: N.A.
ZK675.1,ZK675.1,WBGene00004208,Sequence name for WBGene00004208(ptc-1). History: N.A.
B0365.3,B0365.3,WBGene00001137,Sequence name for WBGene00001137(eat-6). History: N.A.
Y49A3A.2,Y49A3A.2,WBGene00013025,Sequence name for WBGene00013025(vha-13). History: Renamed on 2005-03-17
F18A1.7,F18A1.7,WBGene00017548,Public name for WBGene00017548. History: N.A.
F57B9.2,F57B9.2,WBGene00002845,"Sequence name for WBGene00002845(let-711). History: Renamed on 2007-04-12. Public name for Dead gene WBGene00003824. History of WBGene00003824: Merged into ""WBGene00002845"" on 2006-09-21"
K07A12.2,K07A12.2,WBGene00010621,Sequence name for WBGene00010621(egg-6). History: N.A.
F59G1.1,F59G1.1,WBGene00019127,Sequence name for WBGene00019127(cgt-3). History: N.A.
C06A1.1,C06A1.1,WBGene00007352,Sequence name for WBGene00007352(cdc-48.1). History: Renamed on 2005-03-17
M01E11.5,M01E11.5,WBGene00000474,Sequence name for WBGene00000474(cey-3). History: N.A.
M110.5,M110.5,WBGene00000894,Sequence name for WBGene00000894(dab-1). History: N.A.
C48A7.2,C48A7.2,WBGene00016739,Sequence name for WBGene00016739(pitr-1). History: Renamed on 2016-08-03
F46F11.2,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
R144.7,R144.7,WBGene00020097,Sequence name for WBGene00020097(larp-1). History: N.A.
C08H9.2,C08H9.2,WBGene00007463,Sequence name for WBGene00007463(vgln-1). History: N.A.
ZC513.6,ZC513.6,WBGene00003865,Sequence name for WBGene00003865(oma-2). History: N.A.
ZC404.8,ZC404.8,WBGene00004984,Sequence name for WBGene00004984(spn-4). History: N.A.
K08F4.2,K08F4.2,WBGene00010677,Sequence name for WBGene00010677(gtbp-1). History: N.A.
ZK829.9,ZK829.9,WBGene00014097,Public name for WBGene00014097. History: N.A.
Y65B4BL.2,Y65B4BL.2,WBGene00022034,Sequence name for WBGene00022034(deps-1). History: N.A.
F49E11.1,F49E11.1,WBGene00003150,Sequence name for WBGene00003150(mbk-2). History: N.A.
W07G4.4,W07G4.4,WBGene00002250,"Sequence name for WBGene00002250(lap-2). History: N.A.. Public name for Dead gene WBGene00012338. History of WBGene00012338: Merged into ""WBGene00002250"" on 2011-06-16"
C41C4.6,C41C4.6,WBGene00006739,Sequence name for WBGene00006739(ulp-4). History: N.A.
T20G5.1,T20G5.1,WBGene00011867,Sequence name for WBGene00011867(chc-1). History: Renamed on 2008-04-30
F52E1.1,F52E1.1,WBGene00004078,Sequence name for WBGene00004078(pos-1). History: N.A.
H28O16.1,H28O16.1,WBGene00010419,Sequence name for WBGene00010419(atp-1). History: Renamed on 2005-03-17
T25E12.5,T25E12.5,WBGene00012020,Sequence name for WBGene00012020(gyg-2). History: N.A.
T04H1.2,T04H1.2,WBGene00011449,"Sequence name for WBGene00011449(slfl-5). History: Split into T04H1.13(WBGene00303076). History of WBGene00011449: Split into ""WBGene00303076"" on 2018-03-02; Renamed on 2022-09-29"
Y73B6BL.6,Y73B6BL.6,WBGene00022235,Sequence name for WBGene00022235(sqd-1). History: N.A.
K08E3.5,K08E3.5,WBGene00010665,Sequence name for WBGene00010665(rml-1). History: N.A.
F35C11.5,F35C11.5,WBGene00009404,Public name for WBGene00009404. History: N.A.
K10D2.2,K10D2.2,WBGene00019628,Sequence name for WBGene00019628(pup-2). History: N.A.
D2023.2,D2023.2,WBGene00004258,Sequence name for WBGene00004258(pyc-1). History: N.A.
F25B5.4,F25B5.4,WBGene00006727,Sequence name for WBGene00006727(ubq-1). History: N.A.
F25H2.5,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
Y71F9B.3,Y71F9B.3,WBGene00022127,Sequence name for WBGene00022127(yop-1). History: N.A.
C38D4.6,C38D4.6,WBGene00003912,Sequence name for WBGene00003912(pal-1). History: N.A.
C32E8.8,C32E8.8,WBGene00004217,Sequence name for WBGene00004217(ptr-2). History: Renamed on 2015-03-05
C09G9.6,C09G9.6,WBGene00003864,Sequence name for WBGene00003864(oma-1). History: N.A.
F59A2.1,F59A2.1,WBGene00003795,Sequence name for WBGene00003795(npp-9). History: N.A.
C18A3.5,C18A3.5,WBGene00015943,Sequence name for WBGene00015943(tiar-1). History: N.A.
C47D12.1,C47D12.1,WBGene00007028,Sequence name for WBGene00007028(trr-1). History: N.A.
Y57A10A.31,Y57A10A.31,WBGene00013270,Public name for WBGene00013270. History: N.A.
H06O01.1,H06O01.1,WBGene00003964,Sequence name for WBGene00003964(pdi-3). History: N.A.
C47E8.5,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
