# Table EV2. Tables listing the significantly enriched proteins from the various IP-MS experiments. The different Tabs of this excel file list the enriched protein lists belonging to the indicated figure panels. Genes that are of direct interest to this study,or with previous links to small RNAs are indicated in bold. The differences between the measured LFQ for each protein between the two strains used for each volcano plots are represented in log2 scale.
#
# Figure S4A
# volcano_enriched_reduced_RFK504_vs_N2 (IP on FLAG tagged PID-2; xfSi83 transgene)
Gene.IDs,Protein.IDs,difference_RFK504_N2,log10.pvalue_RFK504_N2,Input,Suggested Match,History
T08B1.1,T08B1.1c,2.96598447368812,7.8935809744336,T08B1.1,WBGene00020340,Public name for WBGene00020340. History: N.A.
ugt-18,ZC443.5,3.32672608554888,6.11820991344372,ugt-18,WBGene00013900,Public name for WBGene00013900. History: N.A.
pid-2,Y48G1C.1,10.0379833475151,5.53493615157261,pid-2,WBGene00021676,Public name for WBGene00021676. History: Renamed on 2021-03-11
ctsa-2,K10C2.1,1.04503671773172,5.43465652624823,ctsa-2,WBGene00019617,Public name for WBGene00019617. History: N.A.. Other name for WBGene00021503(ctsa-4.2). History: Renamed on 2015-04-29; Renamed on 2018-12-11
pid-4,W03G9.2,10.475533116725,5.37524245373542,pid-4,WBGene00021014,Public name for WBGene00021014. History: N.A.
lst-4,Y37A1B.2h,2.47739380998654,4.18829763417926,lst-4,WBGene00003086,Public name for WBGene00003086. History: N.A.
pid-5,Y45G5AM.2a,8.39076020837119,4.18253575658189,pid-5,WBGene00021555,Public name for WBGene00021555. History: N.A.
kin-19,C03C10.1,3.5528667608162,4.03755189315408,kin-19,WBGene00002202,Public name for WBGene00002202. History: N.A.
lact-3,M28.6,2.02598079819515,3.98995758454245,lact-3,WBGene00010897,Public name for WBGene00010897. History: N.A.
par-5,M117.2a,2.74406526255731,3.70796718856843,par-5,WBGene00003920,Public name for WBGene00003920. History: N.A.
asah-1,K11D2.2,2.43043532357045,3.5418002826342,asah-1,WBGene00010769,Public name for WBGene00010769. History: Renamed on 2004-08-25
C31H5.6,C31H5.6a,1.11995625617413,3.51020479527428,C31H5.6,WBGene00007857,Public name for WBGene00007857. History: N.A.
hrg-2,K01D12.14,2.97962071562661,3.45943172589419,hrg-2,WBGene00010473,Public name for WBGene00010473. History: Renamed on 2012-02-10
cdr-2,C54D10.1,1.26116429737686,3.34508642759859,cdr-2,WBGene00008296,Public name for WBGene00008296. History: N.A.
pmp-1,C44B7.8,1.46212543272333,3.2670824009904,pmp-1,WBGene00004058,Public name for WBGene00004058. History: N.A.
ctsa-3.1,F32A5.3,1.07608303179278,3.21010418635183,ctsa-3.1,WBGene00017969,Public name for WBGene00017969. History: N.A.
cdr-4,K01D12.11,1.46032356984933,3.03996458065345,cdr-4,WBGene00010470,Public name for WBGene00010470. History: N.A.
acox-1.5,C48B4.1,1.27775772566461,2.91391713446136,acox-1.5,WBGene00008167,Public name for WBGene00008167. History: Renamed on 2015-04-29; Renamed on 2017-01-05
Y49E10.21,Y49E10.21a,1.14320047424628,2.89688735837861,Y49E10.21,WBGene00013040,Public name for WBGene00013040. History: N.A.
nep-22,T25B6.2,1.39859442972548,2.84581175052359,nep-22,WBGene00020788,Public name for WBGene00020788. History: N.A.
vha-6,VW02B12L.1,1.11943224945744,2.84190686172058,vha-6,WBGene00006915,Public name for WBGene00006915. History: N.A.
ugt-19,K08B4.3,1.94511061944992,2.83264624039386,ugt-19,WBGene00019515,Public name for WBGene00019515. History: N.A.
ugt-62,M88.1,1.33849849301262,2.83239876083518,ugt-62,WBGene00010904,Public name for WBGene00010904. History: N.A.
C18B2.5,C18B2.5a,1.30083708040901,2.76325934232747,C18B2.5,WBGene00015956,Public name for WBGene00015956. History: N.A.
C18B2.5,C18B2.5a,4.44600218964246,2.67758080851132,C18B2.5,WBGene00015956,Public name for WBGene00015956. History: N.A.
ugt-16,ZC443.6,1.52547798557325,2.61527304644298,ugt-16,WBGene00013901,Public name for WBGene00013901. History: N.A.
pept-1,K04E7.2,1.11608348315725,2.46701125357624,pept-1,WBGene00003877,Public name for WBGene00003877. History: Renamed on 2009-04-29
F49C12.7,F49C12.7c,1.48516358071258,2.39744454166576,F49C12.7,WBGene00009877,Public name for WBGene00009877. History: N.A.
pho-1,EGAP2.3,1.16797160244746,2.25844764803862,pho-1,WBGene00004020,Public name for WBGene00004020. History: N.A.
alh-11,F42G9.5a,1.01155829104901,2.24052859513859,alh-11,WBGene00000117,Public name for WBGene00000117. History: N.A.
pcyt-2.1,Y37E3.11a,1.35200104680109,2.20796300674838,pcyt-2.1,WBGene00021352,Public name for WBGene00021352. History: N.A.
F16F9.4,F16F9.4,1.12784445637946,2.20406076602646,F16F9.4,WBGene00017515,Public name for WBGene00017515. History: N.A.
pcp-1,ZK112.1,1.03242361713268,2.04420184976278,pcp-1,WBGene00003956,Public name for WBGene00003956. History: N.A.
sptl-2,F43H9.2a,1.10157123605608,1.98807978802766,sptl-2,WBGene00018398,Public name for WBGene00018398. History: N.A.
fmo-1,K08C7.2,1.20077809802003,1.89971027475285,fmo-1,WBGene00001476,Public name for WBGene00001476. History: N.A.
pgp-6,T21E8.1b,1.43192492860789,1.80755897825573,pgp-6,WBGene00004000,Public name for WBGene00004000. History: N.A.
Y82E9BR.14,Y82E9BR.14a,1.00906599386778,1.79440652096778,Y82E9BR.14,WBGene00022347,Public name for WBGene00022347. History: N.A.
cyp-33C9,C50H11.15,1.26724225671695,1.73329112105413,cyp-33C9,WBGene00016860,Public name for WBGene00016860. History: N.A.
ttr-14,T05A10.3,1.29648320455436,1.57925065275935,ttr-14,WBGene00011460,Public name for WBGene00011460. History: N.A.
gst-6,F11G11.3,1.45488948053319,1.57730324271815,gst-6,WBGene00001754,Public name for WBGene00001754. History: N.A.
pho-8,R13H4.3,1.65066823675098,1.57502539089827,pho-8,WBGene00011262,Public name for WBGene00011262. History: N.A.
pes-8,F18G5.2,1.52036752852006,1.57362896692513,pes-8,WBGene00003981,Public name for WBGene00003981. History: N.A.
ptr-23,ZK270.1,1.14112780496444,1.51553291234656,ptr-23,WBGene00004237,Public name for WBGene00004237. History: N.A.
aqp-8,K02G10.7a,2.36429857997103,1.47424963224429,aqp-8,WBGene00000176,Public name for WBGene00000176. History: N.A.
app-1,W03G9.4,1.80011472406019,1.43517837553183,app-1,WBGene00000155,Public name for WBGene00000155. History: N.A.
eppl-1,T01B11.2a,1.04061235665364,1.40688119884855,eppl-1,WBGene00020139,Public name for WBGene00020139. History: N.A.
ugt-12,T19H12.9,1.10464879880896,1.35772688827801,ugt-12,WBGene00020592,Public name for WBGene00020592. History: N.A.
T27D12.1,T27D12.1a,1.18926834531216,1.33886510078817,T27D12.1,WBGene00012085,Public name for WBGene00012085. History: N.A.
sur-6,F26E4.1,1.31856966050095,1.33509365389186,sur-6,WBGene00006352,Public name for WBGene00006352. History: N.A.
F53B3.5,F53B3.5,-2.7516808898266,5.61457393699021,F53B3.5,WBGene00018743,Public name for WBGene00018743. History: N.A.
igcm-3,T02C5.3a,-2.71419420471874,5.05730385632646,igcm-3,WBGene00020160,Public name for WBGene00020160. History: N.A.
rbm-3.2,R09B3.3,-3.43984081630727,3.52132915402735,rbm-3.2,WBGene00011156,Public name for WBGene00011156. History: N.A.
inx-3,F22F4.2,-1.56475095143631,3.39257795563589,inx-3,WBGene00002125,Public name for WBGene00002125. History: N.A.
pot-2,F57C2.3,-4.89181953773567,3.2216554420121,pot-2,WBGene00010195,Public name for WBGene00010195. History: N.A.
T09B4.5,T09B4.5a,-1.54368817153428,3.14251460980832,T09B4.5,WBGene00020379,Public name for WBGene00020379. History: N.A.
vit-1,K09F5.2,-2.4861478794505,2.71102691294909,vit-1,WBGene00006925,Public name for WBGene00006925. History: N.A.
gls-1,C36B1.8c,-1.55605669685765,2.67790987098547,gls-1,WBGene00007975,Public name for WBGene00007975. History: N.A.
lpr-3,W04G3.8,-2.23338213871508,2.61044936489187,lpr-3,WBGene00012261,Public name for WBGene00012261. History: N.A.
H04M03.3,H04M03.3,-1.70062474042617,2.56804480630475,H04M03.3,WBGene00019153,Public name for WBGene00019153. History: N.A.
dlg-1,C25F6.2a,-1.06377921988735,2.32533732497916,dlg-1,WBGene00001006,Public name for WBGene00001006. History: N.A.
clec-266,C25B8.4a,-2.60992730739269,2.31955575918123,clec-266,WBGene00016088,Public name for WBGene00016088. History: N.A.
cav-1,T13F2.8a,-3.99565591012176,2.17712826287255,cav-1,WBGene00000301,Public name for WBGene00000301. History: N.A.
ZC373.2,ZC373.2,-1.46621502482185,2.14771234507151,ZC373.2,WBGene00013867,Public name for WBGene00013867. History: N.A.
vit-4,F59D8.2,-4.98340822292995,2.13777823046451,vit-4,WBGene00006928,Public name for WBGene00006928. History: N.A.
F45D11.16,F45D11.16,-1.98772314638464,2.10457849988764,F45D11.16,WBGene00018461,Public name for WBGene00018461. History: N.A.
F56F11.4,F56F11.4a,-1.50461677953378,2.09322999171831,F56F11.4,WBGene00018991,Public name for WBGene00018991. History: N.A.
noah-2,F52B11.3,-2.35318522773443,2.03103854479051,noah-2,WBGene00009926,Public name for WBGene00009926. History: Renamed on 2005-03-17
acp-6,Y73B6BL.24,-1.47674959247356,1.99925700996104,acp-6,WBGene00022245,Public name for WBGene00022245. History: N.A.
sip-1,F43D9.4,-1.17893919710208,1.90758918814843,sip-1,WBGene00004798,Public name for WBGene00004798. History: N.A.
Y45F10C.2,Y45F10C.2,-2.11650017702502,1.81810620003366,Y45F10C.2,WBGene00012878,Public name for WBGene00012878. History: N.A.
noah-1,C34G6.6a,-1.93155778143186,1.78548089892954,noah-1,WBGene00016422,Public name for WBGene00016422. History: N.A.
vit-3,F59D8.1,-3.41384870683146,1.7633305913975,vit-3,WBGene00006927,Public name for WBGene00006927. History: N.A.
sdha-2,C34B2.7,-1.09894017515788,1.76125958693065,sdha-2,WBGene00016392,Public name for WBGene00016392. History: N.A.
vit-5,C04F6.1,-2.29405334264374,1.74573399836123,vit-5,WBGene00006929,Public name for WBGene00006929. History: N.A.
acdh-9,F28A10.6,-1.0335549389439,1.71852716095128,acdh-9,WBGene00017874,Public name for WBGene00017874. History: N.A.
ajm-1,C25A11.4e,-1.25720049299358,1.69476068970372,ajm-1,WBGene00000100,Public name for WBGene00000100. History: N.A.
pud-1.2,Y19D10B.7,-2.31734465001301,1.69001103639219,pud-1.2,WBGene00021236,Public name for WBGene00021236. History: N.A.
dpt-1,F02E9.9a,-1.3369741182089,1.67310317426094,dpt-1,WBGene00008532,Public name for WBGene00008532. History: N.A.
C01G6.3,C01G6.3,-1.18893246679899,1.66656317297178,C01G6.3,WBGene00007225,Public name for WBGene00007225. History: N.A.
C15H9.4,C15H9.4,-1.5706323951681,1.66375268357381,C15H9.4,WBGene00015800,Public name for WBGene00015800. History: N.A.
K08D8.6,K08D8.6b,-1.19799236770823,1.65872719959172,K08D8.6,WBGene00010660,Public name for WBGene00010660. History: N.A.
mif-2,C52E4.2a,-1.13685676758885,1.58671528716128,mif-2,WBGene00003235,Public name for WBGene00003235. History: N.A.
F25E2.2,F25E2.2a,-1.09837241049583,1.54872413792591,F25E2.2,WBGene00017780,Public name for WBGene00017780. History: N.A.
his-14,ZK131.8,-1.00681160709332,1.50701140201122,his-14,WBGene00001888,Public name for WBGene00001888. History: N.A.
clec-87,C25A1.8,-3.05760263939441,1.5002431292192,clec-87,WBGene00007709,Public name for WBGene00007709. History: Renamed on 2006-06-15
acn-1,C42D8.5a,-1.96374376995246,1.4870925183849,acn-1,WBGene00000039,Public name for WBGene00000039. History: N.A.
C09F9.2,C09F9.2,-1.57259064038074,1.47895513114198,C09F9.2,WBGene00007479,Public name for WBGene00007479. History: N.A.
snfc-5,R07E5.3,-1.05534547746468,1.44077062014408,snfc-5,WBGene00011111,Public name for WBGene00011111. History: Renamed on 2011-02-11
vit-6,K07H8.6a,-1.0514049744693,1.43030250850966,vit-6,WBGene00006930,Public name for WBGene00006930. History: N.A.
hch-1,F40E10.1,-1.14158869083507,1.42915599596017,hch-1,WBGene00001828,Public name for WBGene00001828. History: N.A.
F54F2.9,F54F2.9,-1.16328374526549,1.38735288038355,F54F2.9,WBGene00018836,Public name for WBGene00018836. History: N.A.
ttr-15,T07C4.5,-2.85927926484915,1.33844740702681,ttr-15,WBGene00011561,Public name for WBGene00011561. History: N.A.
rps-24,T07A9.11,-1.2814800098713,1.33276014642349,rps-24,WBGene00004493,Public name for WBGene00004493. History: N.A.
