# Supplemental Table 2
# Normalized siRNA counts (reads per million) for genes with > 1.5 fold change in total siRNAs in their coding region. Dauer and L3 siRNA counts normalized to total siRNAs.
Gene,Location,PD1/CON1 ratio,PD2/CON2 ratio,...5,CON1 rpm,CON2 rpm,PD1 rpm,PD2 rpm,Input,Suggested Match,History
F15D4.5,chrII:13244337-13248552,1.70153191509782,1.6866003190396,,574.961600900807,449.977152843745,978.315513888462,758.931609546791,F15D4.5,WBGene00008862,Public name for WBGene00008862. History: N.A.
W04B5.2,chrIII:2423898-2428211,0.364894070357362,0.53240499089476,,446.167469267055,554.314787403206,162.803863921899,295.119959340234,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
btb-4,chrII:2031939-2034218,0.628576614520571,0.171403256593234,,184.960469197819,107.88670604315,116.261825548501,18.4921327589128,btb-4,WBGene00019142,Public name for WBGene00019142. History: N.A.
F39E9.7,chrII:3305026-3308113,0.584260907502748,0.332254686443738,,131.622060624115,526.648491574103,76.9016245876273,174.981429434021,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
Y48G1BM.6,chrI:234973-238615,1.51687995733697,2.95296218404063,,107.973742167586,119.473344899954,163.783205412681,352.800269490406,Y48G1BM.6,WBGene00021671,"Public name for WBGene00021671. History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
Y37D8A.6,chrIII:12856608-12858776,1.73482586007661,2.03625707682394,,90.6455603717652,36.4132555393281,157.254262234074,74.1467492821553,Y37D8A.6,WBGene00012548,Public name for WBGene00012548. History: N.A.
fbxa-219,chrIII:2290440-2295111,0.126367996559114,0.394616906389591,,79.7134324877332,116.204514426071,10.073226762325,45.8562659913207,fbxa-219,WBGene00044403,Public name for WBGene00044403. History: N.A.
C32B5.6,chrII:967411-970650,1.96431627889167,1.63632537312034,,79.4856798234826,4.81168703065475,156.135014816038,7.87348557577442,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
fbxa-203,chrI:3371443-3374790,1.58961182649447,1.86574647078798,,65.8774581345053,7.93072538207961,104.719586550004,14.7967228924037,fbxa-203,WBGene00021037,Public name for WBGene00021037. History: N.A.
F32B6.9,chrIV:9902883-9906693,1.94893088218417,1.71532039113304,,63.3152406616853,4.43181700191885,123.397027838481,7.60198607316151,F32B6.9,WBGene00009323,Sequence name for WBGene00009323(best-13). History: N.A.
