# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≥ 2,Unnamed: 1,Input,Suggested Match,History
WBGene00013887,,WBGene00013887,WBGene00013887,History: N.A.
WBGene00003456,,WBGene00003456,WBGene00003456,History: N.A.
WBGene00020937,,WBGene00020937,WBGene00020937,History: N.A.
WBGene00018121,,WBGene00018121,WBGene00018121,History: N.A.
WBGene00015193,,WBGene00015193,WBGene00015193,History: N.A.
WBGene00007449,,WBGene00007449,WBGene00007449,History: N.A.
WBGene00009954,,WBGene00009954,WBGene00009954,History: N.A.
WBGene00006047,,WBGene00006047,WBGene00006047,History: N.A.
WBGene00013696,,WBGene00013696,WBGene00013696,History: N.A.
WBGene00003079,,WBGene00003079,WBGene00003079,History: N.A.
WBGene00008576,,WBGene00008576,WBGene00008576,History: N.A.
WBGene00022005,,WBGene00022005,WBGene00022005,History: N.A.
WBGene00017321,,WBGene00017321,WBGene00017321,History: N.A.
WBGene00022268,,WBGene00022268,WBGene00022268,History: N.A.
WBGene00014170,,WBGene00014170,WBGene00014170,History: N.A.
WBGene00022864,,WBGene00022864,WBGene00022864,History: N.A.
WBGene00007216,,WBGene00007216,WBGene00007216,History: N.A.
WBGene00022023,,WBGene00022023,WBGene00022023,History: N.A.
WBGene00018997,,WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00194642,,WBGene00194642,WBGene00194642,History: N.A.
WBGene00009938,,WBGene00009938,WBGene00009938,History: N.A.
WBGene00012357,,WBGene00012357,WBGene00012357,History: N.A.
WBGene00000878,,WBGene00000878,WBGene00000878,History: N.A.
WBGene00012807,,WBGene00012807,WBGene00012807,History: N.A.
WBGene00012029,,WBGene00012029,WBGene00012029,History: N.A.
WBGene00044634,,WBGene00044634,WBGene00044634,History: N.A.
WBGene00011319,,WBGene00011319,WBGene00011319,History: N.A.
WBGene00012996,,WBGene00012996,WBGene00012996,History: N.A.
WBGene00021331,,WBGene00021331,WBGene00021331,History: N.A.
WBGene00021548,,WBGene00021548,WBGene00021548,History: N.A.
WBGene00004451,,WBGene00004451,WBGene00004451,History: N.A.
WBGene00013449,,WBGene00013449,WBGene00013449,History: N.A.
