# Table S10. Small RNAs significantly downregulated 1.3 fold or greater in mut-16(pk710) gonads.
# * mean reads across all libraries
class,gene_id,public_name,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
mut,C09G1.3,C09G1.3,555.905446712498,-3160.48,6.31290993766723e-22,C09G1.3,WBGene00007485,Public name for WBGene00007485. History: N.A.
mut,F54F7.7,dot-1.2,334.962119123867,-3055.96,4.46271706441441e-21,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
mut,F55C10.1,cnb-1,132.883411311951,-2193.68,1.1913987153844e-19,F55C10.1,WBGene00000554,Sequence name for WBGene00000554(cnb-1). History: N.A.
mut,Y102A5C.17,clec-238,111.793741240198,-1676.9,1.68626508302884e-18,Y102A5C.17,WBGene00013622,Sequence name for WBGene00013622(clec-238). History: N.A.
mut,F52G3.4,F52G3.4,102.090409615353,-1536.28,4.3825334560980196e-18,F52G3.4,WBGene00018712,Public name for WBGene00018712. History: N.A.
mut,F45D11.10,fbxc-39,91.9342576398891,-1478.96,7.182812975041359e-18,F45D11.10,WBGene00018456,Sequence name for WBGene00018456(fbxc-39). History: N.A.
mut,Y71A12B.15,Y71A12B.15,228.446077409376,-1343.64,1.56816711852417e-17,Y71A12B.15,WBGene00013511,"Public name for WBGene00013511. History: Split into Y71A12B.18(WBGene00045077). History of WBGene00013511: Split into ""WBGene00045077"" on 2006-10-17"
mut,T22B2.5,T22B2.5,115.75786297016,-1343.12,2.14257317962063e-17,T22B2.5,WBGene00020669,Public name for WBGene00020669. History: N.A.
mut,ZK84.3,ins-5,200.297702050324,-1334.79,3.2803638943082e-17,ZK84.3,WBGene00002088,Sequence name for WBGene00002088(ins-5). History: N.A.
mut,F19B2.6,F19B2.6,251.500224920349,-1327.84,2.9406895560370103e-17,F19B2.6,WBGene00008945,Public name for WBGene00008945. History: N.A.
mut,F53F8.6,F53F8.6,232.680063767273,-1267.44,4.35810296681642e-17,F53F8.6,WBGene00010003,Public name for WBGene00010003. History: N.A.
mut,R04A9.7,R04A9.7,67.0559075061466,-1205.61,4.70941600359956e-17,R04A9.7,WBGene00044281,Public name for WBGene00044281. History: N.A.
mut,F11C3.1,F11C3.1,91.540716565718,-1184.67,7.51024474515306e-17,F11C3.1,WBGene00008695,Public name for WBGene00008695. History: N.A.
mut,F13H10.5,F13H10.5,144.34841867204,-1167.16,7.82423622513529e-17,F13H10.5,WBGene00008776,Public name for WBGene00008776. History: N.A.
mut,Y58A7A.2,Y58A7A.2,91.2975590135355,-1162.6,1.2345492983819799e-16,Y58A7A.2,WBGene00021976,Public name for WBGene00021976. History: N.A.
mut,W08D2.1,egl-20,187.647224612169,-1154.05,3.0220289399727e-16,W08D2.1,WBGene00001188,Sequence name for WBGene00001188(egl-20). History: N.A.
mut,F53E10.4,irg-3,185.042606656672,-1131.72,8.022898997302861e-17,F53E10.4,WBGene00018760,Sequence name for WBGene00018760(irg-3). History: N.A.
mut,Y48E1B.13,csp-1,1065.46039864677,-1131.18,2.42308387509548e-74,Y48E1B.13,WBGene00000819,Sequence name for WBGene00000819(csp-1). History: N.A.
mut,Y19D2B.2,Y19D2B.2,83.3282843275143,-1115.95,1.2999146724063e-16,Y19D2B.2,WBGene00012490,Public name for WBGene00012490. History: N.A.
mut,D1025.1,D1025.1,72.5703146467426,-1097.73,1.12880393573386e-16,D1025.1,WBGene00008353,Public name for WBGene00008353. History: N.A.
mut,K10B3.9,mai-1,74.9930131398768,-1085.16,1.40872377148098e-16,K10B3.9,WBGene00003124,Sequence name for WBGene00003124(mai-1). History: N.A.
mut,F21E9.1,F21E9.1,333.205837778549,-1066.68,1.21982806452091e-21,F21E9.1,,Sequence name for Suppressed gene WBGene00017665. Molecular name for Suppressed gene WBGene00017665. Public name for Suppressed gene WBGene00017665. History of WBGene00017665: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
mut,M04G12.4,somi-1,71.7801081272587,-1053.95,4.0301601376095197e-16,M04G12.4,WBGene00010868,Sequence name for WBGene00010868(somi-1). History: N.A.
mut,C26C6.3,nas-36,252.652784923716,-1017.15,2.19230120341589e-16,C26C6.3,WBGene00003552,Sequence name for WBGene00003552(nas-36). History: N.A.
mut,Y57A10C.10,Y57A10C.10,69.5523020681873,-1008.39,2.69669368235478e-16,Y57A10C.10,WBGene00013288,Public name for WBGene00013288. History: N.A.
mut,ZC21.10,ZC21.10,60.3806775150954,-995.599,5.40645937771848e-16,ZC21.10,WBGene00044443,Public name for WBGene00044443. History: N.A.
mut,B0412.2,daf-7,61.2971366483542,-989.345,3.95104126792947e-16,B0412.2,WBGene00000903,Sequence name for WBGene00000903(daf-7). History: N.A.
mut,F48F5.4,srd-70,67.475281729194,-980.719,5.112665186311879e-16,F48F5.4,WBGene00005147,Sequence name for WBGene00005147(srd-70). History: N.A.
mut,Y54G2A.42,Y54G2A.42,138.305752910241,-976.992,5.23668210435329e-16,Y54G2A.42,WBGene00044486,Public name for WBGene00044486. History: N.A.
mut,F12E12.4,bath-31,136.400168843025,-965.447,3.2859835075185697e-16,F12E12.4,WBGene00017405,Sequence name for WBGene00017405(bath-31). History: N.A.
mut,Y102A5C.7,clec-237,63.8204593522301,-932.384,8.63332915691314e-16,Y102A5C.7,WBGene00013614,Sequence name for WBGene00013614(clec-237). History: N.A.
mut,Y73B3A.14,fbxa-16,115.873023681347,-920.048,8.28091802090055e-16,Y73B3A.14,WBGene00022216,Sequence name for WBGene00022216(fbxa-16). History: N.A.
mut,T03D8.6,T03D8.6,124.221793779259,-918.611,1.00161899651369e-15,T03D8.6,WBGene00011393,Public name for WBGene00011393. History: N.A.
mut,F54H5.4,klf-3,84.9923819108831,-895.809,1.5256858173430602e-15,F54H5.4,WBGene00003480,Sequence name for WBGene00003480(klf-3). History: N.A.
mut,Y32G9A.2,Y32G9A.2,247.229472352759,-890.924,2.02333075659923e-20,Y32G9A.2,WBGene00021301,Public name for WBGene00021301. History: N.A.
mut,T22B2.2,T22B2.2,422.985647874025,-887.595,6.009624350886839e-30,T22B2.2,WBGene00020666,Public name for WBGene00020666. History: N.A.
mut,F16F9.4,F16F9.4,158.159714369214,-887.075,1.7428999612026e-15,F16F9.4,WBGene00017515,Public name for WBGene00017515. History: N.A.
