# Table S3. Peptide counts for proteins identified by MudPIT analyses of GFP IP from N2 and gfp::rde-8 lysates. Related to Figure 3
Accession,Peptide counts in N2,Peptide counts in GFP::RDE-8(+),Description,Input,Suggested Match,History
ZC477.5,0.0,154.0,CE28164 WBGene00022620 status:Confirmed TR:Q23342 protein_id:AAK19011.2,ZC477.5,WBGene00022620,Sequence name for WBGene00022620(rde-8). History: N.A.
T23G4.3,0.0,133.0,CE16455 WBGene00011959 status:Partially_confirmed TR:O18125 protein_id:CAB05283.1,T23G4.3,WBGene00011959,Sequence name for WBGene00011959(nyn-1). History: N.A.
R11A5.4d,0.0,116.0,CE36360 WBGene00011232 status:Confirmed TR:Q7JKI2 protein_id:CAF31483.1,R11A5.4d,WBGene00011232,Molecule name for WBGene00011232(pck-2). History: N.A.
B0379.3a,0.0,112.0,CE40346 WBGene00003508 locus:mut-16 status:Partially_confirmed TR:O62011 protein_id:CAB05895.3,B0379.3a,WBGene00003508,Molecule name for WBGene00003508(mut-16). History: Renamed on 2013-10-16
Y87G2A.7,0.0,110.0,CE23136 WBGene00013596 status:Partially_confirmed TR:Q9NA28 protein_id:CAB54490.1,Y87G2A.7,WBGene00013596,Sequence name for WBGene00013596(nyn-2). History: N.A.
T01C3.8,0.0,107.0,CE23936 WBGene00011323 locus:mut-15 status:Partially_confirmed TR:Q22061 protein_id:CAB01665.2,T01C3.8,WBGene00011323,Sequence name for WBGene00011323(mut-15). History: Renamed on 2013-10-16
K04F10.6a,0.0,97.0,CE11740 WBGene00003499 locus:mut-2 status:Partially_confirmed TR:O44768 protein_id:AAB96748.1,K04F10.6a,WBGene00003499,Molecule name for WBGene00003499(mut-2). History: Renamed on 2006-07-10
B0379.3b,0.0,83.0,CE40347 WBGene00003508 locus:mut-16 status:Partially_confirmed TR:Q9U3S5 protein_id:CAB54187.3,B0379.3b,WBGene00003508,Molecule name for WBGene00003508(mut-16). History: Renamed on 2013-10-16
K04F10.6b,0.0,71.0,CE33137 WBGene00003499 locus:mut-2 status:Partially_confirmed TR:Q8IA66 protein_id:AAO12411.1,K04F10.6b,WBGene00003499,Molecule name for WBGene00003499(mut-2). History: Renamed on 2006-07-10
VC5.3c,0.0,64.0,CE36211 WBGene00003786 locus:npa-1 status:Partially_confirmed TR:Q7KNM6 protein_id:AAR25643.1,,,
T22F3.3b,0.0,53.0,CE20769 WBGene00020696 status:Confirmed TR:Q86NC1 protein_id:AAO25987.1,T22F3.3b,WBGene00020696,Molecule name for WBGene00020696(pygl-1). History: N.A.
