# Table S1, related to Table 1. Summary of RDE-10 interacting proteins.
# The number of detectable peptides (detectability >0.6) was determined using the Peptide Detectablity Predictor at http://darwin.informatics.indiana.edu/applications/PeptideDetectabilityPredictor/ (Tang et al, 2006).
# The Relative abundance score was calculated by dividing the total number of peptides detected (Total peptides) by the Number of detectable peptides.
gene,Public name,Description,Unique peptides,Total peptides,Total coverage,Number of detectable peptides*,Relative abundance score,Input,Suggested Match,History
Y47G6A.4,rde-10 ,,60,178,72.2,14,12.71428571,Y47G6A.4,WBGene00021634,Sequence name for WBGene00021634(rde-10). History: N.A.
B0564.11,rde-11,,22,55,58.5,6,9.166666667,B0564.11,WBGene00023421,Sequence name for WBGene00023421(rde-11). History: N.A.
R01E6.3,"cah-4 , R01E6.3",carbonic anhydrase,24,51,74.5,6,8.5,R01E6.3,WBGene00000282,Sequence name for WBGene00000282(cah-4). History: N.A.
H27A22.1,,guanylate cyclase,19,41,40.6,10,4.1,H27A22.1,WBGene00010418,Public name for WBGene00010418. History: N.A.
F28C6.7,rpl-26,,3,4,10.4,1,4.0,F28C6.7,WBGene00004440,Sequence name for WBGene00004440(rpl-26). History: N.A.
F56A8.6,cpf-2 ,cleavage and polyadenylation factor,5,11,14,4,2.75,F56A8.6,WBGene00000774,Sequence name for WBGene00000774(cpf-2). History: N.A.
F02A9.2,far-1 ,fatty acid/retinol binding protein,4,8,29.1,3,2.666666667,F02A9.2,WBGene00001385,Sequence name for WBGene00001385(far-1). History: N.A.
Y66H1A.4,,nucleolar protein required for pre-rRNA splicing,3,5,16.4,2,2.5,Y66H1A.4,WBGene00022046,Sequence name for WBGene00022046(garr-1). History: N.A.
F37C12.11,rps-21,small ribosomal subunit S21 protein,3,7,29.5,3,2.333333333,F37C12.11,WBGene00004490,Sequence name for WBGene00004490(rps-21). History: N.A.
F56D12.5,vig-1,RNA-binding protein orthologous to Drosophila VIG (Vasa Intronic Gene),6,15,24.3,7,2.142857143,F56D12.5,WBGene00006924,Sequence name for WBGene00006924(vig-1). History: N.A.
R11D1.8,rpl-28,large ribosomal subunit L28 protein,1,2,7.9,1,2.0,R11D1.8,WBGene00004442,Sequence name for WBGene00004442(rpl-28). History: N.A.
F09G2.9,,,9,18,28.9,12,1.5,F09G2.9,WBGene00017317,Sequence name for WBGene00017317(attf-2). History: N.A.
F28C6.3,cpf-1,cleavage and polyadenylation factor,8,10,30,7,1.428571429,F28C6.3,WBGene00000773,Sequence name for WBGene00000773(cpf-1). History: N.A.
F18C12.3,,,4,8,2.2,6,1.333333333,F18C12.3,WBGene00008934,Public name for WBGene00008934. History: N.A.
F40A3.6,,,5,6,18.2,5,1.2,F40A3.6,WBGene00018221,Public name for WBGene00018221. History: N.A.
F42A10.5,,,5,6,21,5,1.2,F42A10.5,WBGene00018341,Public name for WBGene00018341. History: N.A.
F46F11.2,cey-2,cold-shock/Y-box domain-containing protein,6,9,40.4,8,1.125,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
C07H6.2,,,2,2,18.7,2,1.0,C07H6.2,WBGene00015579,Public name for WBGene00015579. History: N.A.
Y62H9A.6,,,3,5,31.5,5,1.0,Y62H9A.6,WBGene00013394,Sequence name for WBGene00013394(ule-5). History: N.A.
F02A9.3,far-2  ,fatty acid/retinol binding protein,4,4,25.3,5,0.8,F02A9.3,WBGene00001386,Sequence name for WBGene00001386(far-2). History: N.A.
T05A1.2,col-122, collagen,2,3,11.7,4,0.75,T05A1.2,WBGene00000696,Sequence name for WBGene00000696(col-122). History: N.A.
F25H5.4,eef-2 ,homolog of translation elongation factor 2 (EF-2),13,19,16.3,26,0.730769231,F25H5.4,WBGene00001167,Sequence name for WBGene00001167(eef-2). History: Renamed on 2010-08-03
B0001.6,,,12,13,28.8,18,0.722222222,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
C05C8.6,,,6,7,10,10,0.7,C05C8.6,WBGene00015463,Sequence name for WBGene00015463(hpo-9). History: N.A.
F17C11.9,eef-1G,translation elongation factor,2,7,9.9,10,0.7,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
F38A3.2,ram-2  ,collagen,2,2,6.2,3,0.666666667,F38A3.2,WBGene00004300,Sequence name for WBGene00004300(ram-2). History: N.A.
Y77E11A.15,col-106,collagen,2,5,5.4,8,0.625,Y77E11A.15,WBGene00000680,Sequence name for WBGene00000680(col-106). History: N.A.
H06I04.4,ubl-1,ubiquitin/40S ribosomal protein S27a fusion,1,3,11.7,5,0.6,H06I04.4,WBGene00006725,Sequence name for WBGene00006725(ubl-1). History: N.A.
R119.4,pqn-59,protein containing a glutamine/asparagine (Q/N)-rich domain,3,5,10.8,9,0.555555556,R119.4,WBGene00004143,Sequence name for WBGene00004143(pqn-59). History: N.A.
F38A1.8,,signal recognition particle receptor alpha subunit,5,7,8.3,14,0.5,F38A1.8,WBGene00009521,Public name for WBGene00009521. History: N.A.
F59B1.2,,,2,2,29.8,4,0.5,F59B1.2,WBGene00019097,Public name for WBGene00019097. History: N.A.
T05G5.10,iff-1 ,initiation factor five (eIF-5A) homolog,2,2,13.8,4,0.5,T05G5.10,WBGene00002064,Sequence name for WBGene00002064(iff-1). History: N.A.
Y106G6H.3,rpl-30,large ribosomal subunit L30 protein,2,2,7.8,4,0.5,Y106G6H.3,WBGene00004444,Sequence name for WBGene00004444(rpl-30). History: N.A.
T23E7.2,,,5,6,11.2,13,0.461538462,T23E7.2,WBGene00020732,Public name for WBGene00020732. History: N.A.
D2045.1,atx-2,ortholog of human ataxin-2,5,10,7.8,22,0.454545455,D2045.1,WBGene00000231,Sequence name for WBGene00000231(atx-2). History: N.A.
K08E3.4,,drebrin and related actin binding protein,2,4,6.7,9,0.444444444,K08E3.4,WBGene00010664,Sequence name for WBGene00010664(dbn-1). History: N.A.
R186.3,,signal recognition particle receptor beta subunit like,4,4,25.4,9,0.444444444,R186.3,WBGene00011306,Public name for WBGene00011306. History: N.A.
ZK1010.1/F25B5.4,ubq-2/ubq-1,ubiquitin,2,3,14.1/6.3,7,0.428571429,,,
C44B12.5,,,3,4,13.4,10,0.4,C44B12.5,WBGene00016638,Sequence name for WBGene00016638(perm-4). History: N.A.
F25H2.11,tct-1 ,microtubule-binding protein (translationally controlled tumor protein),2,2,5.5,5,0.4,F25H2.11,WBGene00009122,Sequence name for WBGene00009122(tct-1). History: N.A.
T04C9.4,mlp-1,LIM domain-containing protein,2,2,18.9,5,0.4,T04C9.4,WBGene00003375,Sequence name for WBGene00003375(mlp-1). History: N.A.
T21B6.3, ,glutamine/asparagine (Q/N)-rich ('prion') protein,2,4,3.9,10,0.4,T21B6.3,WBGene00011880,Public name for WBGene00011880. History: N.A.
C34F6.2,col-178 ,collagen,2,3,9.2,8,0.375,C34F6.2,WBGene00000751,Sequence name for WBGene00000751(col-178). History: N.A.
Y106G6H.2,pab-1,poly-adenylate binding protein,4,7,6.5,19,0.368421053,Y106G6H.2,WBGene00003902,Sequence name for WBGene00003902(pab-1). History: N.A.
R07H5.8,,adenosine kinase,5,5,17.8,14,0.357142857,R07H5.8,WBGene00011128,Sequence name for WBGene00011128(adk-1). History: N.A.
Y18D10A.17,car-1,RNA-binding protein,4,4,10,12,0.333333333,Y18D10A.17,WBGene00012484,Sequence name for WBGene00012484(car-1). History: Renamed on 2005-12-05
Y57G11C.3,,,2,3,11.7,9,0.333333333,Y57G11C.3,WBGene00013301,Public name for WBGene00013301. History: N.A.
ZK1058.4,ccdc-47,uncharacterized conserved protein,2,2,8.1,6,0.333333333,ZK1058.4,WBGene00014204,Sequence name for WBGene00014204(ccdc-47). History: Renamed on 2007-07-20
M110.4,ifg-1,"translation initiation factor 4F, ribosome/mRNA-bridging subunit (eIF-4G)",3,7,4,22,0.318181818,M110.4,WBGene00002066,Sequence name for WBGene00002066(ifg-1). History: N.A.
F28C6.6,suf-1,mRNA cleavage and polyadenylation factor like,4,5,4.4,16,0.3125,F28C6.6,WBGene00006307,Sequence name for WBGene00006307(suf-1). History: N.A.
Y71F9AL.9,,,2,3,11.1,10,0.3,Y71F9AL.9,WBGene00022114,Public name for WBGene00022114. History: N.A.
F46H5.7,,,2,2,4,7,0.285714286,F46H5.7,WBGene00018522,Public name for WBGene00018522. History: N.A.
K12H4.7,,,3,4,8.5,15,0.266666667,K12H4.7,WBGene00019682,Public name for WBGene00019682. History: N.A.
C39D10.7,,,9,10,10,38,0.263157895,C39D10.7,WBGene00016534,Public name for WBGene00016534. History: N.A.
C25A1.10,dao-5,Nucleolar GTPase/ATPase p130,3,3,5.3,12,0.25,C25A1.10,WBGene00000931,Sequence name for WBGene00000931(dao-5). History: N.A.
Y37E3.17,,,6,7,8.7,31,0.225806452,Y37E3.17,WBGene00021355,Public name for WBGene00021355. History: N.A.
C47E8.5,daf-21,heat shock protein,4,4,8.5,18,0.222222222,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
Y43F8B.1,,,2,3,4.4,14,0.214285714,Y43F8B.1,WBGene00012812,Public name for WBGene00012812. History: N.A.
F01F1.12,aldo-2,fructose-bisphosphate aldolase homologous to human ALDOB,2,2,13.9,10,0.2,F01F1.12,WBGene00017166,Sequence name for WBGene00017166(aldo-2). History: N.A.
Y22F5A.4,lys-1,lysozyme,2,2,6.4,10,0.2,Y22F5A.4,WBGene00003090,Sequence name for WBGene00003090(lys-1). History: N.A.
Y48A6B.13,spat-2 ,,2,2,10.9,10,0.2,Y48A6B.13,WBGene00012973,Sequence name for WBGene00012973(spat-2). History: N.A.
H19N07.2,math-33,ubiquitin carboxyl-terminal hydrolase,5,5,7.3,27,0.185185185,H19N07.2,WBGene00010406,Sequence name for WBGene00010406(math-33). History: N.A.
Y53F4B.39,,,2,2,14.2,11,0.181818182,Y53F4B.39,WBGene00013176,Public name for WBGene00013176. History: N.A.
K01C8.10,cct-4  ,putative delta subunit of the eukaryotic cytosolic ('T complex') chaperonin,3,3,5.9,17,0.176470588,K01C8.10,WBGene00000379,Sequence name for WBGene00000379(cct-4). History: N.A.
R09A1.1,ergo-1,argonaute protein,5,5,7.9,29,0.172413793,R09A1.1,WBGene00019971,Sequence name for WBGene00019971(ergo-1). History: N.A.
W08E12.7,,metallopeptidase,2,2,9,13,0.153846154,W08E12.7,WBGene00021088,Public name for WBGene00021088. History: N.A.
ZC247.1,,,6,16,2.8,110,0.145454545,ZC247.1,WBGene00013859,Public name for WBGene00013859. History: N.A.
C18A11.7,dim-1,immunoglobin and related proteins,3,4,8,28,0.142857143,C18A11.7,WBGene00001000,Sequence name for WBGene00001000(dim-1). History: N.A.
Y57G11A.1,tag-273,LIM domain containing protein,2,2,3.8,14,0.142857143,Y57G11A.1,WBGene00013289,Sequence name for WBGene00013289(tag-273). History: N.A.
C36A4.5,,microtubule-associated protein,2,3,3.1,22,0.136363636,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
F25D7.4,,microtubule-associated protein,2,3,3.4,22,0.136363636,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
K07H8.6,vit-6 ,vitellogenin,5,5,3.7,38,0.131578947,K07H8.6,WBGene00006930,Sequence name for WBGene00006930(vit-6). History: N.A.
F01G4.6,,mitochondrial phosphate carrier protein,2,2,8.8,16,0.125,F01G4.6,WBGene00008505,Public name for WBGene00008505. History: N.A.
F32A7.5,,microtubule-associated proteins,2,3,6.5,24,0.125,F32A7.5,WBGene00009306,Sequence name for WBGene00009306(maph-1.1). History: N.A.
Y71H2AM.19,laf-1,DEAD-box RNA helicase,2,2,3.4,20,0.1,Y71H2AM.19,WBGene00002244,"Sequence name for WBGene00002244(laf-1). History: N.A.. Public name for Dead gene WBGene00022184. History of WBGene00022184: Merged into ""WBGene00002244"" on 2009-05-07"
F52G2.2,rsd-2 ,RNAi pathway component,2,3,2,32,0.09375,F52G2.2,WBGene00004681,Sequence name for WBGene00004681(rsd-2). History: N.A.
C18F3.2,sax-7 ,neural cell adhesion molecule L1,2,3,0.9,33,0.090909091,C18F3.2,WBGene00004732,Sequence name for WBGene00004732(sax-7). History: N.A.
ZK270.2,frm-1 ,erythrocyte membrane protein 4.1 and related protein of the ERM family ,4,6,1.7,82,0.073170732,ZK270.2,WBGene00001488,Sequence name for WBGene00001488(frm-1). History: N.A.
W06H8.8,ttn-1,ortholog of titin,8,26,1.5,375,0.069333333,W06H8.8,WBGene00006436,"Sequence name for WBGene00006436(ttn-1). History: Renamed on 2005-12-13. Public name for Dead gene WBGene00021069. History of WBGene00021069: Merged into ""WBGene00006436"" on 2004-05-28"
C07D10.2,bath-44,meprin-associated Traf homology (MATH) domain protein,2,2,9.7,31,0.064516129,C07D10.2,WBGene00015567,Sequence name for WBGene00015567(bath-44). History: N.A.
C04F6.1/F59D8.1,vit-5/vit-3,vitellogenin,2,2,0.7,37,0.054054054,,,
C42D8.2,vit-2 ,vitellogenin,4,5,3,96,0.052083333,C42D8.2,WBGene00006926,Sequence name for WBGene00006926(vit-2). History: N.A.
C37C3.6,mig-6 ,serine proteinase inhibitor (KU family) with thrombospondin repeats,5,5,4.2,113,0.044247788,C37C3.6,WBGene00003242,"Sequence name for WBGene00003242(mig-6). History: N.A.. Public name for Dead gene WBGene00016498. History of WBGene00016498: Merged into ""WBGene00003242"" on 2009-03-31"
ZK973.6,anc-1,dystonin related protein,3,3,0.4,156,0.019230769,ZK973.6,WBGene00000140,Sequence name for WBGene00000140(anc-1). History: N.A.
C23F12.1,fln-2,actin binding protein homolog,2,2,1.1,244,0.008196721,C23F12.1,WBGene00016006,Sequence name for WBGene00016006(fln-2). History: Renamed on 2009-10-28
