# Note: In the following rows commas have been replaced with semicolons to work better with r
# Random 4000 genes
chr,start,end,name,score,strand,Input,Suggested Match,History
chrI,12328090,12329499,nhr-81,2358,-,nhr-81,WBGene00003671,Public name for WBGene00003671. History: N.A.
chrI,12733288,12736723,vps-25,560,-,vps-25,WBGene00012193,Public name for WBGene00012193. History: N.A.
chrI,4080569,4090429,unc-89,2412,+,unc-89,WBGene00006820,Public name for WBGene00006820. History: N.A.
chrI,5854785,5854868,F33D11.14,1677,+,F33D11.14,WBGene00196533,Public name for WBGene00196533. History: N.A.
chrI,14676108,14676178,Y105E8B.13,1872,+,Y105E8B.13,WBGene00196890,Public name for WBGene00196890. History: N.A.
chrI,7798807,7798942,D2005.9,1896,+,D2005.9,WBGene00201478,Public name for WBGene00201478. History: N.A.
chrI,10671447,10672578,C34B2.4,1595,-,C34B2.4,WBGene00016389,Public name for WBGene00016389. History: N.A.
chrI,12230406,12232299,F14B6.3,2046,+,F14B6.3,WBGene00008784,Public name for WBGene00008784. History: N.A.
chrI,6608341,6608518,D2092.13,1946,+,D2092.13,WBGene00200203,Public name for WBGene00200203. History: N.A.
chrI,13201797,13204271,F17B5.6,1333,+,F17B5.6,WBGene00044058,Public name for WBGene00044058. History: N.A.
chrI,4934037,4940510,F28B3.4,1561,+,F28B3.4,WBGene00017885,Sequence name for WBGene00017885(dip-2). History: N.A.
chrI,5969291,5969356,B0207.15,1865,+,B0207.15,WBGene00198238,Public name for WBGene00198238. History: N.A.
chrI,4142284,4144585,E01A2.7,788,-,E01A2.7,WBGene00017089,Sequence name for WBGene00017089(poml-2). History: N.A.
chrI,8024874,8026520,C54G4.9,746,-,C54G4.9,WBGene00008318,Public name for WBGene00008318. History: N.A.
chrI,8103595,8109222,spr-4,43,+,spr-4,WBGene00005009,Public name for WBGene00005009. History: N.A.
chrI,13750796,13756231,Y6B3B.5,908,-,Y6B3B.5,WBGene00012390,Sequence name for WBGene00012390(gpap-1). History: N.A.
chrI,12032324,12033694,F58D5.7,1232,-,F58D5.7,WBGene00010246,Public name for WBGene00010246. History: N.A.
chrI,4647309,4648279,B0041.8,504,+,B0041.8,WBGene00015011,Public name for WBGene00015011. History: N.A.
chrI,12344157,12345693,T09E11.11,1280,+,T09E11.11,WBGene00011660,Public name for WBGene00011660. History: N.A.
chrI,5898305,5902116,tyr-4,969,+,tyr-4,WBGene00016419,Public name for WBGene00016419. History: N.A.
chrI,8826158,8826646,F36A2.12,2102,-,F36A2.12,WBGene00009459,"Public name for WBGene00009459. History: Split into F36A2.14(WBGene00023490). History of WBGene00009459: Split into ""WBGene00023490"" on 2004-08-20"
chrI,14742751,14747779,K05C4.5,97,+,K05C4.5,WBGene00010582,Public name for WBGene00010582. History: N.A.
chrI,7896119,7897720,nhr-191,1839,+,nhr-191,WBGene00010112,Public name for WBGene00010112. History: N.A.
chrI,9009046,9013878,tag-214,108,-,tag-214,WBGene00009477,Other name for WBGene00009477(rbpl-1). History: Renamed on 2013-04-05
chrI,11512811,11513824,F32B4.2,1235,-,F32B4.2,WBGene00009313,Public name for WBGene00009313. History: N.A.
chrI,13210573,13211341,ZK1225.9,2067,-,ZK1225.9,WBGene00044713,Public name for WBGene00044713. History: N.A.
chrI,14626968,14627041,Y105E8B.14,2170,+,Y105E8B.14,WBGene00202346,Public name for WBGene00202346. History: N.A.
chrI,4175318,4177274,rpn-8,521,+,rpn-8,WBGene00004464,Public name for WBGene00004464. History: N.A.
chrI,13241652,13244719,ZK1053.4,568,+,ZK1053.4,WBGene00014199,Public name for WBGene00014199. History: N.A.
chrI,12712245,12714705,T06G6.4,2597,-,T06G6.4,WBGene00011546,Public name for WBGene00011546. History: N.A.
chrI,12366325,12368610,T09E11.6,2220,+,T09E11.6,WBGene00011655,Public name for WBGene00011655. History: N.A.
chrI,7279600,7279621,21ur-12937,2374,-,21ur-12937,WBGene00167822,Public name for WBGene00167822. History: N.A.
chrI,145967,154850,bli-3,2195,-,bli-3,WBGene00000253,Public name for WBGene00000253. History: N.A.
chrI,4071800,4072850,clec-89,1690,-,clec-89,WBGene00015631,Public name for WBGene00015631. History: N.A.
chrI,11034042,11038820,Y52B11A.9,1026,-,Y52B11A.9,WBGene00013128,Sequence name for WBGene00013128(dxbp-1). History: N.A.
chrI,10436242,10436874,rpl-30,1032,+,rpl-30,WBGene00004444,Public name for WBGene00004444. History: N.A.
chrI,14476661,14486750,Y105E8A.19,202,-,Y105E8A.19,WBGene00013677,Sequence name for WBGene00013677(yars-1). History: N.A.
chrI,4168988,4171591,egg-5,671,-,egg-5,WBGene00020035,Public name for WBGene00020035. History: N.A.
chrI,9694612,9695203,C04F12.12,1816,-,C04F12.12,WBGene00077685,Public name for WBGene00077685. History: N.A.
chrI,7472606,7474734,T28F4.1,348,-,T28F4.1,WBGene00012136,Public name for WBGene00012136. History: N.A.
chrI,4451197,4456806,eri-7,437,-,eri-7,WBGene00016566,Public name for WBGene00016566. History: N.A.
chrI,11239675,11240465,F46A8.5,1445,-,F46A8.5,WBGene00009748,Public name for WBGene00009748. History: N.A.
chrI,14850058,14855779,aex-5,1884,-,aex-5,WBGene00000088,Public name for WBGene00000088. History: N.A.
chrI,9483801,9486532,F30A10.4,2048,+,F30A10.4,WBGene00009263,Public name for WBGene00009263. History: N.A.
chrI,3783837,3784438,C32E8.4,1106,+,C32E8.4,WBGene00016322,Public name for WBGene00016322. History: N.A.
chrI,9517014,9518726,C41G7.3,286,-,C41G7.3,WBGene00008061,"Sequence name for WBGene00008061(mina-1). History: Split into tspo-1(WBGene00077771). History of WBGene00008061: Split into ""WBGene00077771"" on 2008-06-10"
chrI,7258918,7267077,myo-1,1131,-,myo-1,WBGene00002348,"Public name for WBGene00002348. History: Split into let-75(WBGene00202503). History of WBGene00002348: Split into ""WBGene00202503"" on 2010-10-20"
