# Table S3. The Overlaps Between Heritable Dysregulated Genes and P Granule Bound Transcripts
Heritable Downregulated Genes and P Granule Bound Transcripts,Input,Suggested Match,History
R11A5.4,R11A5.4,WBGene00011232,Sequence name for WBGene00011232(pck-2). History: N.A.
T13F2.8,T13F2.8,WBGene00000301,Sequence name for WBGene00000301(cav-1). History: N.A.
F07H5.5,F07H5.5,WBGene00014309,Public name for WBGene00014309. History: N.A.
Y71G12B.20,Y71G12B.20,WBGene00003111,Sequence name for WBGene00003111(mab-20). History: N.A.
D2007.5,D2007.5,WBGene00017045,Sequence name for WBGene00017045(atg-13). History: Renamed on 2010-05-28
C01G6.8,C01G6.8,WBGene00000289,Sequence name for WBGene00000289(cam-1). History: N.A.
F16B4.8,F16B4.8,WBGene00000387,Sequence name for WBGene00000387(cdc-25.2). History: Renamed on 2015-03-06
MTCE.7,MTCE.7,WBGene00014454,Public name for WBGene00014454. History: N.A.
K10B3.10,K10B3.10,WBGene00004951,Sequence name for WBGene00004951(spc-1). History: N.A.
F53F10.4,F53F10.4,WBGene00006833,Sequence name for WBGene00006833(unc-108). History: Renamed on 2008-11-18
ZK593.6,ZK593.6,WBGene00002981,Sequence name for WBGene00002981(lgg-2). History: Renamed on 2008-02-29
