# 211 Genes without CSR-1-bound 22G RNA Homology,,,,,,,,,,,,,,,
gene ID,gene name,cosmid ID,Description (from Wormbase),log2FoldChange (SIN vs WT),Padj,gene length,N2 rep1 counts,N2 rep2 counts,N2 rpkm,WT rep1 counts,WT rep2 counts,WT rpkm,SIN rep1 counts,SIN rep2 counts,SIN rpkm,Input,Suggested Match,History
WBGene00017071,aagr-1,D2096.3,"aagr-1 is an ortholog of human MGAM (maltase-glucoamylase (alpha-glucosidase)) and GAA (glucosidase, alpha; acid); aagr-1 is involved in glycogen catabolic process; aagr-1 exhibits alpha-1,4-glucosidase activity and is predicted to have carbohydrate binding activity, based on protein domain information.",1.00494125,2e-05,3104,1744,1471,11.83183588,720,895,7.026119737,1964,1757,16.10276375,WBGene00017071,WBGene00017071,History: N.A.
WBGene00000013,abf-2,C50F2.10,The abf-2 gene encodes an antimicrobial peptide that is homologous to antibacterial factor ASABF from Ascaris suum and closely related to ABF-1.,1.48445806,0.001147196,414,138,33,4.64595999,38,35,2.342274948,290,141,13.69949111,WBGene00000013,WBGene00000013,History: N.A.
WBGene00004133,abu-13,F57B9.9,"The protein product of this gene is predicted to contain a glutamine/asparagine (Q/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).",1.039924172,0.033177115,1223,137,14,1.380570397,10,9,0.206103682,98,55,1.653865453,WBGene00004133,WBGene00004133,History: Renamed on 2011-04-12
WBGene00010485,ant-1.3,K01H12.2,"ant-1.3 encodes an ortholog of the human adenine nucleotide translocase ANT genes, the other ANT genes in C. elegans include ant-1.1, ant-1.2 and ant-1.4; by homology, ANT-1.3 is predicted to mediate the exchange of ATP generated in the mitochondria for cytosolic ADP; ANT-1.3 GFP fusion protein is expressed in the intestine and the anterior of the elongating embryo, and in a pair of head neurons and a ventral neuron in the larval and adult stages.",2.254618828,2.32e-11,1012,65,52,1.319678934,27,26,0.69739928,193,190,5.100767124,WBGene00010485,WBGene00010485,History: Renamed on 2014-03-03
WBGene00019730,asns-2,M02D8.4,"asns-2 is an ortholog of human ASNS (asparagine synthetase (glutamine-hydrolyzing)); asns-2 is predicted to have asparagine synthase (glutamine-hydrolyzing) activity, based on protein domain information.",1.187587346,0.006421791,3598,9543,3701,41.61435584,2091,2089,15.50190748,9317,5567,54.80171281,WBGene00019730,WBGene00019730,History: N.A.
WBGene00013799,athp-3,Y116A8C.22,"athp-3 is predicted to have DNA binding activity and zinc ion binding activity, based on protein domain information.",1.011688817,0.00409326,937,312,183,6.00400292,209,113,4.434591183,488,299,11.13615507,WBGene00013799,WBGene00013799,History: N.A.
WBGene00000273,brp-1,Y79H2A.1,"brp-1 encodes a glutamine-rich protein that is conserved in nematodes, but that has no known homologies or sequence motifs; BRP-1 is able to bypass the need for the S. cerevisiae mating pheromone MAP kinase cascade to activate the mating pheromone-responsive gene FUSl.",1.050045104,1.68e-24,3056,16939,13918,115.3000951,10637,8487,82.46823849,23351,19331,187.1013211,WBGene00000273,WBGene00000273,History: N.A.
WBGene00023407,cex-1,F56D1.6,"cex-1 is an ortholog of human RCN2 (reticulocalbin 2, EF-hand calcium binding domain), RCN3 (reticulocalbin 3, EF-hand calcium binding domain), RCN1 (reticulocalbin 1, EF-hand calcium binding domain) and CALU (calumenin).",1.266142305,7.03e-06,619,256,185,8.120483286,107,114,4.780933866,336,301,13.82394939,WBGene00023407,WBGene00023407,History: N.A.
WBGene00010460,clec-142,K01C8.8,clec-142 encodes a C-type lectin,1.041388288,0.0104671,1659,87,64,1.037705225,42,26,0.532732,110,76,1.492569915,WBGene00010460,WBGene00010460,History: N.A.
WBGene00013013,clec-145,Y48E1B.16,"clec-145 is an ortholog of human CD69 (CD69 molecule), CLEC5A (C-type lectin domain family 5, member A), CLEC2A (C-type lectin domain family 2, member A), KLRF1 (killer cell lectin-like receptor subfamily F, member 1) and KLRF2 (killer cell lectin-like receptor subfamily F, member 2).",1.460125488,0.00043661,1047,213,75,3.106322294,76,52,1.597567469,352,204,7.02786407,WBGene00013013,WBGene00013013,History: N.A.
