# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
W04B5.1,chrIII,+,2428211,2429351,15,0,-15.79,0.0008,Sense + Antisense,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
B0205.8,chrI,-,10728947,10730223,7,0,-8.4,0.02,Sense + Antisense,B0205.8,WBGene00015022,Public name for WBGene00015022. History: N.A.
F09C8.2,chrX,-,16141289,16146853,17,2,-6.09,0.0022,Sense + Antisense,F09C8.2,WBGene00008622,Public name for WBGene00008622. History: N.A.
F18H3.3,chrX,-,13522184,13527336,269,47,-5.62,5.3999999999999994e-24,Sense + Antisense,F18H3.3,WBGene00003903,Sequence name for WBGene00003903(pab-2). History: N.A.
F39C12.1,chrX,-,4834865,4853035,22,4,-4.64,0.0046,Sense + Antisense,F39C12.1,WBGene00018193,Public name for WBGene00018193. History: N.A.
F44E2.2,chrIII,+,8853709,8861292,32,11,-2.75,0.0044,Sense + Antisense,F44E2.2,,Sequence name for Suppressed gene WBGene00018416. History of WBGene00018416: Renamed on 2021-06-14. Remark: Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information.  Therefore this is not a genetic map position based on recombination frequencies or genetic experiments.  This was done on advice of the CGC....This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene....Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.
F54C9.1,chrII,-,8559320,8561283,39,9,-4.04,0.00055,Sense + Antisense,F54C9.1,WBGene00002065,Sequence name for WBGene00002065(iff-2). History: N.A.
F54D10.3,chrII,+,3812298,3813339,7,0,-8.4,0.028,Sense + Antisense,F54D10.3,WBGene00018804,Sequence name for WBGene00018804(lido-15). History: N.A.
T01C8.5,chrX,-,16791292,16793043,12,2,-4.44,0.018,Sense + Antisense,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
Y50D7A.7,chrIII,-,295712,298530,10,1,-5.43,0.021,Sense + Antisense,Y50D7A.7,WBGene00000081,Sequence name for WBGene00000081(ads-1). History: N.A.
Y69A2AR.31,chrIV,-,2650380,2664569,69,19,-3.5,3.5e-05,Sense + Antisense,Y69A2AR.31,WBGene00022100,Public name for WBGene00022100. History: N.A.
C01A2.1,chrI,-,13408784,13410495,32,1,-16.52,4.3e-07,Sense + Antisense,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
C40A11.10,chrII,-,2136554,2137301,148,3,-37.23,1.5e-27,Sense + Antisense,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
C44B11.6,chrIII,+,3152725,3153450,219,4,-44.08,2.4e-45,Sense + Antisense,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
E01G4.7,chrII,+,13478065,13478835,180,0,-180.95,2.1999999999999998e-38,Sense + Antisense,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
F26D10.3,chrIV,+,17278918,17281140,69,38,-1.8,0.027,Sense + Antisense,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
F31A9.2,chrX,+,1794811,1795669,25,1,-12.83,1.7e-05,Sense + Antisense,F31A9.2,WBGene00017941,Public name for WBGene00017941. History: N.A.
F39E9.7,chrII,-,3306026,3307113,143,0,-143.97,1.2e-33,Sense + Antisense,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F55C9.3,chrV,-,19286972,19287576,138,1,-69.52,6.600000000000001e-31,Sense + Antisense,F55C9.3,WBGene00010100,Public name for WBGene00010100. History: N.A.
F55C9.5,chrV,-,19290628,19290943,170,4,-34.22,2.1e-34,Sense + Antisense,F55C9.5,WBGene00010102,Public name for WBGene00010102. History: N.A.
F56D12.5,chrII,+,1321040,1323093,30,11,-2.55,0.024,Sense + Antisense,F56D12.5,WBGene00006924,Sequence name for WBGene00006924(vig-1). History: N.A.
H09G03.1,chrIII,+,3226340,3230641,44,1,-22.69,8.5e-10,Sense + Antisense,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
H16D19.4,chrI,-,12640726,12644416,64,1,-32.55,3.4e-14,Sense + Antisense,H16D19.4,WBGene00010402,"Public name for WBGene00010402. History: Split into H16D19.5(WBGene00195253), H16D19.6(WBGene00195254), H16D19.7(WBGene00195255). History of WBGene00010402: Split into ""WBGene00195253"" on 2010-09-09; Split into ""WBGene00195254"" on 2010-09-09; Split into ""WBGene00195255"" on 2010-09-09"
K02E2.6,chrV,+,20376056,20376797,118,2,-39.77,3.6e-25,Sense + Antisense,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
K10B2.5,chrII,-,6361137,6365255,20,1,-10.36,0.0002,Sense + Antisense,K10B2.5,WBGene00019608,Sequence name for WBGene00019608(ani-2). History: N.A.
T05E12.8,chrV,+,17069215,17069502,35,0,-35.51,6e-08,Sense + Antisense,T05E12.8,WBGene00045382,Public name for WBGene00045382. History: N.A.
T16A1.8,chrII,-,2091743,2093850,111,2,-37.31,3.2e-21,Sense + Antisense,T16A1.8,WBGene00020537,"Sequence name for WBGene00020537(fbxb-37). History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
