cosmid,gene,fL3mSUM,eL3mSUM,fL4mSUM,eL4mSUM,fADmSUM,eADmSUM,description,KOG,Mountain,fL4s660,eL4s408,FC,fL4s1165,eL4s377,FC.1,fADs1711,eADs2131,FC.2,fADs226,eADs271,FC.3,fADs547,eADs598,FC.4,fL4m1857,eL4m1318,FC.5,fL4m3713,eL4m3494,FC.6,fADm2498,eADm2449,FC.7,fADm2040,eADm2527,FC.8,fADm981,eADm599,FC.9,fADm631,eADm765,FC.10,Input,Suggested Match,History
T04C12.6,act-1,19791,5531,17814,13521,7104,7306,"act-1 encodes an actin isoform that is required for proper body wall muscle and pharyngeal muscle structures and the motility of animals; actins have highly similar amino acid sequences; ACT-1 is identical to ACT-3; act-1 functions redundantly with two other actin isoforms, act-2 and act-3, to control cytoplasmic microfilament function in the early embryo. ",Actin and related proteins ,Mountain 27,63,5,6.73,106,0,35.98,28,1,18.01,22,4,5.43,15,0,17.41,6201,4957,0.89,11613,8564,1.28,2933,2898,0.99,2458,3009,1.01,969,460,1.3,744,939,0.96,T04C12.6,WBGene00000063,Sequence name for WBGene00000063(act-1). History: N.A.
T04C12.5,act-2,7146,2468,8538,6450,6954,7306,act-2 encodes an invertebrate actin that may function specifically in the pharynx. ,Actin and related proteins ,Mountain 23,72,5,7.68,153,2,17.26,90,0,113.02,18,4,4.49,36,0,40.27,2582,2222,0.83,5956,4228,1.33,3011,3021,0.98,2364,3106,0.94,821,455,1.11,758,724,1.26,T04C12.5,WBGene00000064,Sequence name for WBGene00000064(act-2). History: N.A.
T04C12.4,act-3,20200,5748,19505,15146,7237,7708,"act-3 encodes an invertebrate actin, highly similar to ACT-1, ACT-2, and ACT-4, that functions in body wall muscle; act-3 functions with two other action isoforms, act-1 and act-2, to control cytoplasmic microfilament function in the early embryo. ",Actin and related proteins ,Mountain ,71,8,5.05,149,2,16.81,65,15,5.12,24,4,5.91,23,0,26.12,6548,5089,0.92,12957,10057,1.21,2996,3073,0.96,2499,3179,0.97,985,483,1.26,757,973,0.94,T04C12.4,WBGene00000065,Sequence name for WBGene00000065(act-3). History: N.A.
F17C8.1,acy-1,170,77,137,81,29,48,"acy-1 encodes a protein with 40% identity to mammalian adenylyl cyclases and is most closely related to the divergent mouse isoform type IX; acy-1 is required for viability, muscle contraction, locomotion, molting, and regulation of sleep-like behavior (lethargus) during larval development; acy-1 acts genetically downstream of gsa-1 and is expressed in excitable cells. ",Adenylyl cyclase ,Mountain 1,34,82,0.27,61,134,0.15,250,2305,0.14,15,89,0.21,123,568,0.24,20,29,0.5,117,52,2.1,15,18,0.83,9,22,0.54,2,2,0.62,3,6,0.69,F17C8.1,WBGene00000068,Sequence name for WBGene00000068(acy-1). History: N.A.
H15N14.1d,adr-1,245,97,286,182,247,256,"adr-1 encodes, through alternative splicing, at least five isoforms of an adenosine deaminase that acts on RNA (ADAR); ADARs are RNA-editing enzymes that deaminate adenosines to create inosines in double-stranded RNA (dsRNA); adr-1 is expressed in embryos, most or all neurons (e.g., sensory neurons and cilia, the ventral nerve cord, motor neurons and interneurons) and in the developing (but not the adult) vulva; ADR-1 is required for ADAR activity in vivo, and for normal chemotaxis and vulval development; ADR-1 is also required (redundantly with ADR-2) to prevent the silencing of transgenes in somatic tissues by RNAi; ADR-1 (with ADR-2) may protect transgenic RNA from RNAi silencing by deaminating transgenic dsRNA; ADR-1 contains a glutamine/asparagine-rich domain, as well as two N-terminal double-stranded RNA-binding motifs. ",tRNA-specific adenosine deaminase 1 , ,82,6,7.48,137,1,23.2,235,6,41.87,42,1,25.4,65,0,71.83,64,42,1.08,222,140,1.49,95,116,0.8,87,107,1.01,33,10,1.91,32,23,1.66,H15N14.1d,WBGene00000079,Molecule name for WBGene00000079(adr-1). History: N.A.
Y6B3A.1a,agef-1,542,208,546,502,782,840,"agef-1 encodes a putative ARF guanine nucleotide exchange factor orthologous to human ARFGEF1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=604141"">OMIM:604141</a>) and ARFGEF2 (OMIM:605371); agef-1(RNAi) inhibits CAV-1 body formation in oocytes more severely than arf-1 disruption alone, indicating that activation of both ARF-1 and ARF-3 by AGEF-1 may be required for transport of caveolin from Golgi to CAV-1 bodies during oogenesis; more generally, AGEF-1 is required in mass RNAi assays for embryonic and larval viability, embryonic osmotic integrity, normal neurotransmission, locomotion, and osmoregulation, and normally rapid growth. ", ,Mountain 0,71,9,4.54,175,12,4.55,156,17,10.83,16,0,20.08,30,8,3.75,189,136,0.99,357,366,0.92,316,293,1.06,263,321,1.01,109,82,0.82,94,144,0.79,Y6B3A.1a,WBGene00012386,Molecule name for WBGene00012386(agef-1). History: N.A.
F36A4.7,ama-1,1303,503,1297,1792,2547,4043,"ama-1 encodes the large subunit of RNA polymerase II required for mRNA transcription; AMA-1 is essential for proper embryonic development, particularly for the early division and migration of the endodermal precursor (E) cells that initiate gastrulation; AMA-1 is expressed ubiquitously in the developing embryo until the 550-cell stage. ","RNA polymerase II, large subunit ",Mountain 5,290,25,7.06,808,14,18.13,578,31,22.47,140,12,12.81,277,26,11.21,507,472,0.77,790,1320,0.56,1127,1518,0.73,921,1496,0.76,263,496,0.33,236,533,0.54,F36A4.7,WBGene00000123,Sequence name for WBGene00000123(ama-1). History: Renamed on 2007-10-04
K10B2.5,ani-2,30,40,268,250,889,1780,"ani-2 encodes one of three C. elegans anillins; ANI-2 activity is required in the syncytial gonad for proper gonad structure and oocyte formation; specifically, ANI-2 appears to be required for maintaining the structure of the rachis, the syncytial compartment of germline cytoplasm that connects developing ooctyes; in the adult gonad, ANI-2 localizes to the surface of the rachis. ",Actin binding protein Anillin ,Mountain 7,110,10,6.37,206,8,7.73,296,6,52.69,28,2,11.42,125,7,17.14,62,38,1.15,206,212,0.91,339,671,0.5,315,777,0.5,134,128,0.65,101,204,0.6,K10B2.5,WBGene00019608,Sequence name for WBGene00019608(ani-2). History: N.A.
F28H1.3,ars-2,1234,608,1271,1744,2513,5754,"ars-2 encodes a predicted cytoplasmic alanyl-tRNA synthetase (AlaRS), a class II aminoacyl-tRNA synthetase that catalyzes the attachment of alanine to its cognate tRNA and is thus required for protein biosynthesis; ARS-2 is essential for embryogenesis, and is required for fertility and a normal rate of postembryonic development; ARS-2 expression is likely ubiquitous and detected in hypodermis, intestine, neurons, and the pharynx from late embryogenesis through the adult stage of development. ",Alanyl-tRNA synthetase ,Mountain 5,193,21,5.56,203,4,13.72,227,6,40.45,36,3,10.93,192,1,105.03,436,427,0.73,835,1317,0.6,1037,2189,0.46,862,2390,0.45,340,532,0.4,274,643,0.52,F28H1.3,WBGene00000197,Sequence name for WBGene00000197(aars-2). History: Renamed on 2010-01-29; Renamed on 2015-03-03; Resurrected on 2015-03-05
F10G7.3,asf-1,514,531,366,733,2746,6226,,,,131,9,8.33,128,1,21.69,209,2,86.94,19,2,7.88,55,0,60.95,213,112,1.35,153,621,0.23,1103,1724,0.63,987,1859,0.66,474,1399,0.21,182,1244,0.18,F10G7.3,WBGene00006817,"Sequence name for WBGene00006817(unc-85). History: Renamed on 2008-06-05. Public name for Dead gene WBGene00017368. History of WBGene00017368: Merged into ""WBGene00006817"" on 2008-06-05"
C45G3.1,aspm-1,205,63,497,489,941,1761,"aspm-1 encodes a protein, with one N-terminal calponin-homology domain and two IQ calmodulin-binding domains, that is orthologous to Drosophila Asp (Abnormal Spindles) and to human ASPM (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=605481"">OMIM:605481</a>), which when mutated leads to primary microcephaly; in C. elegans, ASPM-1 is required for the forces that regulate meiotic spindle rotation in meiosis I and II and for proper meiotic spindle organization and location; in regulating meiotic spindle organization, ASPM-1 functions together with LIN-5 and CMD-1, with which it physically interacts, to likely locate a dynein motor complex to the meiotic spindle poles to provide at least part of the force for meiotic spindle migration to the cell cortex; in addition, large-scale RNAi experiments indicate that aspm-1 activity is also required for embryonic and larval viability, germline maintenance, vulval morphogenesis, and locomotion; LIN-5 localization to meiotic spindles and mitotic spindle poles requires ASPM-1, and ASPM-1 co-localizes with LIN-5 to the meiotic spindle and mitotic spindle poles, in a manner dependent upon CMD-1. ",Microtubule-associated protein Asp ,Mountain 11,321,26,7.53,484,10,14.83,656,7,102.0,73,5,14.57,164,3,44.89,141,97,1.03,356,392,0.86,401,700,0.56,350,764,0.57,129,93,0.86,61,204,0.36,C45G3.1,WBGene00008107,Sequence name for WBGene00008107(aspm-1). History: Renamed on 2006-09-21
Y48G1BL.2,atm-1,61,11,80,56,194,429,"atm-1 encodes an ortholog of human ATM (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=208900"">OMIM:208900</a>) that is required for the checkpoint response to DNA damage; human ATM encodes a phosphatidylinositol-3 kinase homolog that is biochemically activated by cellular irradiation, and mutation of ATM leads to ataxia-telengiectasia. ","Protein kinase ATM/Tel1, involved in telomere length regulation and DNA repair ",Mountain 3,81,12,3.98,166,8,6.24,236,8,32.7,11,0,14.18,42,0,46.8,28,9,2.07,52,47,1.04,66,160,0.41,77,177,0.54,32,45,0.44,19,47,0.5,Y48G1BL.2,WBGene00000227,Sequence name for WBGene00000227(atm-1). History: N.A.
D2045.1b,atx-2,473,207,720,512,981,853,"atx-2 is required for early embryonic patterning; it encodes an ortholog of human ataxin-2, which when mutated leads to spinocerebellar ataxia 2 (SCA2; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=183090"">OMIM:183090</a>). ",Protein interacting with poly(A)-binding protein ,Mountain ,83,8,5.89,150,4,10.15,153,6,27.32,131,36,4.21,44,0,48.98,242,170,1.01,478,342,1.31,461,345,1.31,314,314,1.24,112,69,1.0,94,125,0.91,D2045.1b,WBGene00000231,Molecule name for WBGene00000231(atx-2). History: N.A.
B0001.7,B0001.7,12,7,63,83,270,771,,,Mountain 7,95,4,12.12,174,0,58.84,169,0,211.13,25,0,30.72,46,1,25.58,5,16,0.25,58,67,0.82,123,322,0.38,86,370,0.29,32,29,0.68,29,50,0.71,B0001.7,WBGene00007092,Public name for WBGene00007092. History: N.A.
B0024.10,B0024.10,96,20,174,115,557,574,,,Mountain 2,44,4,5.68,114,3,9.67,102,1,63.96,22,0,27.17,54,0,59.86,31,26,0.85,143,89,1.51,221,221,0.98,186,222,1.04,86,85,0.63,64,46,1.67,B0024.10,WBGene00007100,Sequence name for WBGene00007100(asps-1). History: N.A.
B0041.2b,B0041.2,873,182,703,746,1120,1503,"ain-2 encodes, by alternative splicing, three isoforms of an unfamiliar protein paralogous to AIN-1, and homologous to Brugia malayi 14748.m00068, 14052.m00191, and 14963.m01790; AIN-2 protein binds GEI-4 and GEI-16 in yeast two-hybrid experiments; AIN-2 and its nematode homologs have weak similarity to human TNRC6A (GW182; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=610739"">OMIM:610739</a>) and Drosophila GAWKY; ain-2 has no obvious function in mass RNAi assays. ",Unnamed protein ,Mountain 1,164,23,4.34,340,6,16.38,379,7,58.99,59,3,17.72,140,3,38.36,216,117,1.31,487,629,0.73,453,597,0.74,339,590,0.71,216,98,1.36,112,218,0.62,B0041.2b,WBGene00015007,Molecule name for WBGene00015007(ain-2). History: N.A.
B0261.1,B0261.1,210,59,420,295,959,1186,,"Transcription initiation factor TFIIIB, Bdp1 subunit ",Mountain 2,55,8,3.93,141,1,23.87,107,5,22.36,52,7,7.83,44,4,9.8,105,71,1.05,315,224,1.32,380,439,0.85,311,489,0.79,161,111,0.89,107,147,0.88,B0261.1,WBGene00015091,Public name for WBGene00015091. History: N.A.
B0261.6b,B0261.6,0,0,2,0,0,1,,,Mountain 4,13,112,0.08,19,75,0.09,13,150,0.12,0,37,0.03,1,240,0.01,0,0,0.71,2,0,2.82,0,0,0.98,0,1,0.62,0,0,0.62,0,0,1.21,B0261.6b,WBGene00015094,Molecule name for WBGene00015094(B0261.6). History: N.A.
B0334.5,B0334.5,85,49,142,87,157,211,,Predicted membrane protein ,Mountain 7,39,6,3.61,75,6,3.65,91,11,9.52,23,0,28.35,45,6,7.15,24,21,0.81,118,66,1.67,70,75,0.92,49,94,0.65,20,16,0.76,18,26,0.85,B0334.5,WBGene00007145,Public name for WBGene00007145. History: N.A.
B0336.3,B0336.3,555,235,648,729,1545,3405,,Proteins containing the RNA recognition motif ,Mountain 5,156,11,8.26,233,11,6.56,259,10,29.36,23,3,7.09,98,5,17.96,148,173,0.61,500,556,0.85,649,1374,0.46,496,1444,0.43,240,230,0.65,160,357,0.54,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
B0464.6,B0464.6,202,32,310,218,1277,1074,,Uncharacterized conserved membrane protein ,Mountain 11,36,3,5.84,83,1,14.12,48,1,30.43,21,6,3.71,35,0,39.18,53,51,0.74,257,167,1.45,472,432,1.07,430,416,1.28,242,77,1.93,133,149,1.08,B0464.6,WBGene00007186,Public name for WBGene00007186. History: N.A.
C50C3.8,bath-42,128,24,331,148,844,1240,"bath-42 encodes a BTB (broad-complex, Tramtrack, and bric-a-brac) and MATH (meprin-associated Traf homology) domain-containing protein; loss of bath-42 function results in increased levels of the RIC-3 nicotinic acetylcholine receptor (nAChR)-specific chaperone in vulval muscles and decreased egg-laying in response to treatment with levamisole, an nAChR agonist; in addition, overexpression of BATH-42 results in decreased pharyngeal pumping, in a manner dependent upon the presence of the RIC-3 C-terminus and the CUL-3 cullin; as BATH-42 interacts in vitro with both CUL-3 and the RIC-3 C-terminus, BATH-42 likely functions to regulate RIC-3 levels via CUL-3-mediated ubiquitination and degradation; bath-42::gfp promoter fusions are expressed in vulval and pharyngeal muscles, some head and body neurons, the posterior intestine, and hypodermal seam cells. ","Speckle-type POZ protein SPOP and related proteins with TRAF, MATH and BTB/POZ domains ",Mountain 11,42,6,3.88,109,2,12.33,70,2,29.39,12,0,15.36,10,0,11.97,86,39,1.55,245,109,2.11,343,509,0.66,288,535,0.67,107,63,1.04,106,133,0.96,C50C3.8,WBGene00016803,Sequence name for WBGene00016803(bath-42). History: N.A.
F23B12.8,bmk-1,252,72,475,435,1674,2400,"bmk-1 encodes the sole C. elegans BimC/kinesin-5 homolog; while BMK-1 activity is not essential for mitotic progression or development, BMK-1 does play a role in negatively regulating interpolar microtubule sliding during anaphase spindle elongation, thus serving as a brake to slow the rate of spindle-pole separation; BMK-1 localizes to mitotic and meiotic spindles and becomes concentrated at the spindle midzone during mitotic anaphase and telophase; in vivo, BMK-1 localization is dependent upon the AIR-2/Aurora B kinase with which it interacts and serves as a substrate in vitro. ",Kinesin-like protein ,,154,18,5.15,170,14,3.83,299,12,28.66,17,3,5.32,154,0,168.7,197,100,1.4,278,335,0.78,648,850,0.75,560,878,0.79,273,303,0.56,193,369,0.63,F23B12.8,WBGene00000257,Sequence name for WBGene00000257(bmk-1). History: N.A.
C36A4.8,brc-1,13,3,30,28,78,490,"brc-1 encodes an ortholog of human BRCA1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=113705"">OMIM:113705</a>, mutated in early onset breast and ovarian cancer) required for double-strand break repair via inter-sister recombination during meiosis; BRC-1 forms a heterodimer with BRD-1, which constitutes an E3 ubiquitin ligase; after irradiation, the DNA checkpoint proteins ATL-1 and MRE-11 are required for BRC-1/BRD-1 heterodimers to associate with RAD-51 and LET-70/Ubc5, and to ubiquitylate damaged chromatin; brc-1(RNAi) animals have excess chromosomal nondisjunction, abnormally high levels of CEP-1-dependent germ cell apoptosis (both with and without gamma-irradiation) and hypersensitivity to gamma-irradiation (e.g., abnormal sterility after irradiation); BRC-1 and BRD-1 bind one another, probably through their N-terminal RING domains, in yeast two-hybrid experiments and pull-down assays; BRC-1/BRD-1 heterodimers may interact with RAD-51 and other proteins via mutual binding to UBC-9; brc-1 is genetically dispensable for the induction of nuclear ATL-1 foci by gamma-irradiation or hydroxyurea. ",,Mountain 11,33,2,7.15,131,4,8.88,82,8,11.45,27,0,33.08,33,0,37.0,0,6,0.1,30,22,1.27,32,210,0.15,20,207,0.12,14,45,0.2,12,28,0.54,C36A4.8,WBGene00000264,Sequence name for WBGene00000264(brc-1). History: N.A.
K04C2.4,brd-1,33,15,189,189,391,649,"brd-1 encodes an ortholog of the BRCA1-associating protein BARD1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=601593"">OMIM:601593</a>), associated with susceptibility to breast cancer; BRD-1 forms a heterodimer with BRC-1, which constitutes an E3 ubiquitin ligase; after irradiation, the DNA checkpoint proteins ATL-1 and MRE-11 are required for BRC-1/BRD-1 heterodimers to associate with the E2 ubiqutin-conjugating enzyme LET-70/Ubc5 and with RAD-51, and to ubiquitylate damaged chromatin; BRD-1 and BRC-1 bind one another, probably through their N-terminal RING domains, in yeast two-hybrid experiments and pull-down assays; BRC-1/BRD-1 heterodimers may interact with RAD-51 and other proteins via mutual binding to UBC-9; brd-1(RNAi) animals have excess chromosomal nondisjunction, abnormally high levels of CEP-1-dependent germ cell apoptosis (both with and without gamma-irradiation) and hypersensitivity to gamma-irradiation (e.g., abnormal sterility after irradiation); BRD-1 autoubiquitylation probably activates the BRC-1/BRD-1 heterodimer; BRD-1 binds SMT-3 (a Sumo homolog) and TAC-1; brd-1 is genetically dispensable for the induction of nuclear ATL-1 foci by gamma-irradiation or hydroxyurea. ",,Mountain 11,40,4,5.17,45,1,7.73,62,1,39.12,17,0,21.27,41,0,45.71,65,26,1.74,124,163,0.72,142,258,0.54,123,274,0.56,85,43,1.21,41,74,0.68,K04C2.4,WBGene00000265,Sequence name for WBGene00000265(brd-1). History: N.A.
F15D4.1,btf-1,245,224,456,549,1121,1514,"btf-1 encodes a member of the TBP-associated family (TAF), with weak similarity to human TBP-associated factor 172. ",, ,125,19,3.98,171,3,14.46,330,52,7.76,45,10,4.94,110,31,3.78,148,122,0.86,308,427,0.68,474,548,0.85,422,581,0.9,133,168,0.49,92,217,0.51,F15D4.1,WBGene00000274,Sequence name for WBGene00000274(btf-1). History: N.A.
Y54G9A.6,bub-3,247,45,269,231,1234,1095,,"Mitotic spindle checkpoint protein BUB3, WD repeat superfamily ",Mountain 11,51,3,8.2,116,4,7.87,188,3,58.68,15,1,9.45,40,1,22.31,63,51,0.88,206,180,1.08,483,410,1.15,368,437,1.04,237,79,1.84,146,169,1.04,Y54G9A.6,WBGene00013209,Sequence name for WBGene00013209(bub-3). History: N.A.
F57B9.5,byn-1,475,142,537,408,687,808,"byn-1 encodes a homolog of mammalian BYSTIN-LIKE (BYSL; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=603871"">OMIM:603871</a>). ",Cell adhesion complex protein bystin ,Mountain 2,102,9,6.5,286,8,10.72,224,6,39.92,12,1,7.68,51,5,9.43,127,105,0.86,410,303,1.27,241,284,0.83,228,371,0.76,137,59,1.42,81,94,1.04,F57B9.5,WBGene00000276,Sequence name for WBGene00000276(byn-1). History: N.A.
