# Table S2.
# Ratio WT = Number of peptides from WT sperm / number of peptides from the wild-type heavy protein standard
# Ratio alg-3/4 = Number of peptides from alg-3/4 sperm / number of peptides from the wild-type heavy protein standard
# alg-3/4 Relative Expression = (Ratio alg-3/4) / (Ratio alg-3/4 + Ratio WT)
Cosmid ID,Ratio WT,Ratio alg-3/4,alg-3/4 Relative Expression,Positively or Negatively Regulated,Input,Suggested Match,History
AH10.1,2.18,1.2,0.355029585798817,Positively-regulated targets,AH10.1,WBGene00007082,Sequence name for WBGene00007082(acs-10). History: N.A.
B0491.3,1.74,1.03,0.371841155234657,Positively-regulated targets,B0491.3,WBGene00007190,Sequence name for WBGene00007190(rmd-3). History: N.A.
C02F5.5,2.58,1.27,0.32987012987013,Positively-regulated targets,C02F5.5,WBGene00015348,Public name for WBGene00015348. History: N.A.
C04G2.4,1.5,0.56,0.271844660194175,Positively-regulated targets,C04G2.4,WBGene00003432,Sequence name for WBGene00003432(msp-36). History: N.A.
C04G2.9,1.74,0.66,0.275,Positively-regulated targets,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C08F8.6,2.65,1.41,0.347290640394089,Positively-regulated targets,C08F8.6,WBGene00007448,Public name for WBGene00007448. History: N.A.
C09B9.6,1.46,0.55,0.27363184079602,Positively-regulated targets,C09B9.6,WBGene00003448,Sequence name for WBGene00003448(msp-55). History: N.A.
C24D10.7,1.66,0.72,0.302521008403361,Positively-regulated targets,C24D10.7,WBGene00016058,Sequence name for WBGene00016058(nspd-3). History: N.A.
C24D10.8,1.66,0.72,0.302521008403361,Positively-regulated targets,C24D10.8,WBGene00043147,Sequence name for WBGene00043147(nspd-6). History: Killed on 2004-10-04; Resurrected on 2006-10-03
C25G4.6,2.02,0.91,0.310580204778157,Positively-regulated targets,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
C27D8.2,1.7,1.04,0.37956204379562,Positively-regulated targets,C27D8.2,WBGene00007778,Public name for WBGene00007778. History: N.A.
C30C11.4,4.76,1.44,0.232258064516129,Positively-regulated targets,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
C33F10.9,1.5,0.56,0.271844660194175,Positively-regulated targets,C33F10.9,WBGene00003435,Sequence name for WBGene00003435(msp-40). History: N.A.
C34F11.4,1.5,0.56,0.271844660194175,Positively-regulated targets,C34F11.4,WBGene00003443,Sequence name for WBGene00003443(msp-50). History: N.A.
C34F11.6,1.5,0.55,0.268292682926829,Positively-regulated targets,C34F11.6,WBGene00003442,Sequence name for WBGene00003442(msp-49). History: N.A.
C35D10.11,1.52,0.62,0.289719626168224,Positively-regulated targets,C35D10.11,WBGene00016447,Sequence name for WBGene00016447(msd-4). History: N.A.
C39H7.1,1.66,0.75,0.311203319502075,Positively-regulated targets,C39H7.1,WBGene00016541,Public name for WBGene00016541. History: N.A.
C41C4.4,4.0,0.95,0.191919191919192,Positively-regulated targets,C41C4.4,WBGene00002147,Sequence name for WBGene00002147(ire-1). History: N.A.
C41G7.6,1.87,1.16,0.382838283828383,Positively-regulated targets,C41G7.6,WBGene00008063,Sequence name for WBGene00008063(cycl-2). History: N.A.
C47B2.4,1.46,0.92,0.38655462184874,Positively-regulated targets,C47B2.4,WBGene00003948,Sequence name for WBGene00003948(pbs-2). History: N.A.
C52E4.4,1.44,0.86,0.373913043478261,Positively-regulated targets,C52E4.4,WBGene00004501,Sequence name for WBGene00004501(rpt-1). History: N.A.
C55C2.2,1.9,0.88,0.316546762589928,Positively-regulated targets,C55C2.2,WBGene00006047,Sequence name for WBGene00006047(ssp-19). History: N.A.
C55C3.3,1.3,0.68,0.343434343434343,Positively-regulated targets,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
C56G2.7,1.34,0.71,0.346341463414634,Positively-regulated targets,C56G2.7,WBGene00016981,Sequence name for WBGene00016981(rpn-13). History: N.A.
E03H12.10,1.81,0.9,0.33210332103321,Positively-regulated targets,E03H12.10,WBGene00006038,Sequence name for WBGene00006038(ssp-9). History: N.A.
