WB.ID,GO.term,Input,Suggested Match,History
WBGene00019767,DNA replication GO:0006260,WBGene00019767,WBGene00019767,History: N.A.
WBGene00021344,DNA replication GO:0006260,WBGene00021344,WBGene00021344,History: N.A.
WBGene00000794,DNA replication GO:0006260,WBGene00000794,WBGene00000794,History: N.A.
WBGene00012936,DNA replication GO:0006260,WBGene00012936,WBGene00012936,History: N.A.
WBGene00012767,DNA replication GO:0006260,WBGene00012767,WBGene00012767,History: N.A.
WBGene00003154,DNA replication GO:0006260,WBGene00003154,WBGene00003154,History: N.A.
WBGene00003156,DNA replication GO:0006260,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00003157,DNA replication GO:0006260,WBGene00003157,WBGene00003157,History: N.A.
WBGene00009507,DNA replication GO:0006260,WBGene00009507,WBGene00009507,History: Renamed on 2015-03-25; Renamed on 2015-03-25
WBGene00002219,meiotic cell cycle GO:0051321,WBGene00002219,WBGene00002219,History: N.A.
WBGene00017088,meiotic cell cycle GO:0051321,WBGene00017088,WBGene00017088,History: N.A.
WBGene00002034,meiotic cell cycle GO:0051321,WBGene00002034,WBGene00002034,History: N.A.
WBGene00009701,meiotic cell cycle GO:0051321,WBGene00009701,WBGene00009701,History: N.A.
WBGene00000868,meiotic cell cycle GO:0051321,WBGene00000868,WBGene00000868,History: N.A.
WBGene00001526,meiotic cell cycle GO:0051321,WBGene00001526,WBGene00001526,History: N.A.
WBGene00019362,meiotic cell cycle GO:0051321,WBGene00019362,WBGene00019362,History: N.A.
WBGene00012767,meiotic cell cycle GO:0051321,WBGene00012767,WBGene00012767,History: N.A.
WBGene00044493,meiotic cell cycle GO:0051321,WBGene00044493,WBGene00044493,History: N.A.
WBGene00004043,meiotic cell cycle GO:0051321,WBGene00004043,WBGene00004043,History: N.A.
WBGene00013038,meiotic cell cycle GO:0051321,WBGene00013038,WBGene00013038,History: N.A.
WBGene00022193,meiotic cell cycle GO:0051321,WBGene00022193,WBGene00022193,History: N.A.
WBGene00004976,ion homeostasis GO:0050801,WBGene00004976,WBGene00004976,History: N.A.
WBGene00019674,ion homeostasis GO:0050801,WBGene00019674,WBGene00019674,"History: Split into K12C11.7(WBGene00045053), K12C11.6(WBGene00045052). History of WBGene00019674: Split into ""WBGene00045053"" on 2006-09-28; Split into ""WBGene00045052"" on 2006-09-28"
WBGene00022281,ion homeostasis GO:0050801,WBGene00022281,WBGene00022281,History: N.A.
WBGene00001501,ion homeostasis GO:0050801,WBGene00001501,WBGene00001501,History: N.A.
WBGene00045052,ion homeostasis GO:0050801,WBGene00045052,WBGene00045052,History: N.A.
WBGene00003153,ion homeostasis GO:0050801,WBGene00003153,WBGene00003153,History: Renamed on 2007-10-09
WBGene00045053,ion homeostasis GO:0050801,WBGene00045053,WBGene00045053,History: N.A.
WBGene00017062,ion homeostasis GO:0050801,WBGene00017062,WBGene00017062,History: N.A.
WBGene00000834,ion homeostasis GO:0050801,WBGene00000834,WBGene00000834,History: N.A.
WBGene00021752,DNA geometric change GO:0032392,WBGene00021752,WBGene00021752,History: N.A.
WBGene00010989,DNA geometric change GO:0032392,WBGene00010989,WBGene00010989,History: N.A.
WBGene00044493,DNA geometric change GO:0032392,WBGene00044493,WBGene00044493,History: N.A.
WBGene00003154,DNA geometric change GO:0032392,WBGene00003154,WBGene00003154,History: N.A.
WBGene00003156,DNA geometric change GO:0032392,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00003157,DNA geometric change GO:0032392,WBGene00003157,WBGene00003157,History: N.A.
WBGene00019767,single-stranded DNA binding GO:0003697,WBGene00019767,WBGene00019767,History: N.A.
WBGene00012936,single-stranded DNA binding GO:0003697,WBGene00012936,WBGene00012936,History: N.A.
WBGene00003154,single-stranded DNA binding GO:0003697,WBGene00003154,WBGene00003154,History: N.A.
WBGene00003156,single-stranded DNA binding GO:0003697,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00003157,single-stranded DNA binding GO:0003697,WBGene00003157,WBGene00003157,History: N.A.
WBGene00019767,recombinational repair GO:0000725,WBGene00019767,WBGene00019767,History: N.A.
WBGene00021344,recombinational repair GO:0000725,WBGene00021344,WBGene00021344,History: N.A.
WBGene00003154,recombinational repair GO:0000725,WBGene00003154,WBGene00003154,History: N.A.
WBGene00003156,recombinational repair GO:0000725,WBGene00003156,WBGene00003156,History: Renamed on 2015-03-03; Renamed on 2015-03-03
WBGene00003157,recombinational repair GO:0000725,WBGene00003157,WBGene00003157,History: N.A.
