# 22G-RNA Levels,,,,,,,,,,,,,,
Gene ID,Public Name,Human Ortholog,Exons,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,mut-16_1,mut-16_2,mut-16_3,Fold change in prg-1,Fold change in mut-16,Input,Suggested Match,History
C04C3.5,dyf-3,CLUAP1,9,627.09,176.87,209.6,16625.1,16964.73,21847.49,17.45,51.2,156.73,54.7,-4.5,C04C3.5,WBGene00001119,"Sequence name for WBGene00001119(dyf-3). History: N.A.. Public name for Dead gene WBGene00015415. History of WBGene00015415: Merged into ""WBGene00001119"" on 2005-08-19"
C04F12.5,C04F12.5,,2,128.27,9.97,12.06,4856.1,5058.89,4806.66,21.81,6.24,32.21,97.95,-2.49,C04F12.5,WBGene00007299,Public name for WBGene00007299. History: N.A.
C27C7.1,C27C7.1,,5,1143.46,638.99,612.11,17645.88,18819.42,21721.05,437.65,504.55,641.97,24.3,-1.51,C27C7.1,WBGene00007766,Public name for WBGene00007766. History: N.A.
C33B4.4,C33B4.4,,2,192.95,100.4,89.03,2408.24,2511.27,2817.99,7.27,1.25,27.91,20.23,-10.5,C33B4.4,WBGene00007892,Public name for WBGene00007892. History: N.A.
C33C12.9,mtq-2,N6AMT1,3,66.88,29.92,37.1,1932.89,2049.72,1752.94,34.9,32.47,46.16,42.84,-1.18,C33C12.9,WBGene00016341,Sequence name for WBGene00016341(mtq-2). History: N.A.
C50F4.13,his-35,H2AX,2,584.34,387.65,383.03,8190.66,7216.43,8241.83,31.99,33.72,78.37,17.45,-9.4,C50F4.13,WBGene00001909,Sequence name for WBGene00001909(his-35). History: N.A.
E02H9.3,E02H9.3,,7,471.42,273.95,274.52,8300.36,8760.99,8901.86,162.85,163.6,216.85,25.46,-1.88,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
F07B7.10,his-51,H2AX,1,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,54.85,-2.23,F07B7.10,WBGene00001925,Sequence name for WBGene00001925(his-51). History: N.A.
F07B7.11,his-54,H2BC1,1,46.05,37.9,29.68,404.25,474.88,512.17,7.27,7.49,9.66,12.24,-4.65,F07B7.11,WBGene00001928,Sequence name for WBGene00001928(his-54). History: N.A.
F07B7.2,F07B7.2,,4,1913.07,1674.26,1530.28,13856.28,15549.79,16631.52,549.61,562.0,692.42,9.0,-2.84,F07B7.2,WBGene00017186,Public name for WBGene00017186. History: N.A.
F07B7.3,his-53,H2AX,1,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,54.85,-2.23,F07B7.3,WBGene00001927,Sequence name for WBGene00001927(his-53). History: N.A.
F07B7.4,his-52,H2BC1,1,41.66,33.25,26.9,386.98,449.44,484.31,5.82,7.49,8.59,12.97,-4.65,F07B7.4,WBGene00001926,Sequence name for WBGene00001926(his-52). History: N.A.
F08G2.1,his-44,H2BC1,1,49.33,27.93,33.39,724.2,841.94,882.9,23.26,22.48,31.13,22.13,-1.44,F08G2.1,WBGene00001918,Sequence name for WBGene00001918(his-44). History: N.A.
F08G2.2,his-43,H2AX,1,119.5,41.89,38.95,3813.98,3786.9,4658.8,43.62,57.45,77.29,61.19,-1.12,F08G2.2,WBGene00001917,Sequence name for WBGene00001917(his-43). History: N.A.
F08G2.4,F08G2.4,,1,50.43,19.28,27.82,1288.93,1473.09,1350.07,4.36,6.24,22.54,42.16,-2.94,F08G2.4,WBGene00008576,Public name for WBGene00008576. History: N.A.
F23A7.4,F23A7.4,,1,378.23,319.83,360.78,1728.73,1721.43,1845.09,187.56,183.59,217.93,5.0,-1.8,F23A7.4,WBGene00009069,Public name for WBGene00009069. History: N.A.
F23A7.8,F23A7.8,,1,477.99,435.52,473.92,2221.35,2335.62,2421.55,255.9,238.54,276.97,5.03,-1.8,F23A7.8,WBGene00044638,Public name for WBGene00044638. History: N.A.
F32E10.9,F32E10.9,,4,139.23,6.65,9.27,5287.77,5793.01,6098.87,0.0,1.25,51.53,110.73,-2.94,F32E10.9,WBGene00043068,Public name for WBGene00043068. History: N.A.
F33H2.3,F33H2.3,ANP32A,2,402.35,143.62,131.7,11548.59,11983.37,14098.54,31.99,34.97,165.32,55.53,-2.92,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
F36F12.8,ztf-28,,3,727.95,360.39,321.82,14249.36,14411.06,15840.77,282.07,378.41,428.34,31.56,-1.3,F36F12.8,WBGene00018099,Sequence name for WBGene00018099(ztf-28). History: N.A.
F45F2.12,his-8,H2BC1,1,40.56,33.91,25.97,375.81,434.9,480.02,5.82,7.49,8.59,12.85,-4.59,F45F2.12,WBGene00001882,Sequence name for WBGene00001882(his-8). History: N.A.
F45F2.4,his-7,H2AX,1,49.33,27.26,26.9,1072.59,1078.16,1086.48,11.63,22.48,25.76,31.28,-1.73,F45F2.4,WBGene00001881,Sequence name for WBGene00001881(his-7). History: N.A.
F45H10.1,alh-7,ALDH5A1,6,1487.7,123.01,126.13,56164.55,53599.3,60849.37,52.34,77.43,572.19,98.23,-2.47,F45H10.1,WBGene00000113,Sequence name for WBGene00000113(alh-7). History: N.A.
F57A10.4,F57A10.4,,5,82.22,30.59,26.9,1605.83,1899.51,1950.09,7.27,14.99,23.62,39.05,-3.05,F57A10.4,WBGene00010185,Public name for WBGene00010185. History: N.A.
F59A1.7,fbxa-108,,4,77.84,55.85,59.36,698.81,697.78,702.89,111.96,88.67,85.88,10.88,0.23,F59A1.7,WBGene00010293,Sequence name for WBGene00010293(fbxa-108). History: N.A.
H11L12.1,H11L12.1,,5,919.81,533.26,534.21,12859.87,13674.52,15461.46,241.36,253.52,395.06,21.13,-2.23,H11L12.1,WBGene00019189,Public name for WBGene00019189. History: N.A.
H12D21.10,H12D21.10,EOGT,13,698.35,646.97,634.37,3842.42,4236.34,4185.2,1.45,3.75,31.13,6.19,-54.49,H12D21.10,WBGene00010386,Public name for WBGene00010386. History: N.A.
H14A12.5,H14A12.5,,3,87.71,18.62,17.62,3676.86,4017.07,4020.19,8.72,6.24,32.21,94.51,-2.63,H14A12.5,WBGene00019197,Public name for WBGene00019197. History: N.A.
K06C4.11,his-19,H2AX,1,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,54.85,-2.23,K06C4.11,WBGene00001893,Sequence name for WBGene00001893(his-19). History: N.A.
K06C4.12,his-22,H2BC1,1,41.66,33.25,26.9,386.98,449.44,484.31,5.82,7.49,8.59,12.97,-4.65,K06C4.12,WBGene00001896,Sequence name for WBGene00001896(his-22). History: N.A.
K06C4.3,his-21,H2AX,1,70.16,27.93,27.82,2243.7,2070.32,2592.98,10.18,16.24,30.06,54.85,-2.23,K06C4.3,WBGene00001895,Sequence name for WBGene00001895(his-21). History: N.A.
K06C4.4,his-20,H2BC1,1,41.66,33.25,26.9,386.98,449.44,484.31,5.82,7.49,8.59,12.97,-4.65,K06C4.4,WBGene00001894,Sequence name for WBGene00001894(his-20). History: N.A.
K06C4.5,his-17,H3C1/H3C4/H3C7,1,40.56,25.93,26.9,355.5,384.02,439.31,27.63,27.48,35.43,12.62,-1.03,K06C4.5,WBGene00001891,Sequence name for WBGene00001891(his-17). History: N.A.
R03D7.2,R03D7.2,IGHMBP2,3,1408.77,553.21,571.3,34734.14,37619.46,41804.88,1237.34,1471.19,1672.55,45.06,0.09,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
R06C1.4,R06C1.4,CSTF2T,3,624.9,478.74,411.78,8005.8,7995.38,9339.02,75.61,66.19,138.48,16.72,-5.41,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
R07B5.9,lsy-12,KAT7,3,1253.09,682.21,610.26,24730.44,25316.27,25766.96,625.21,567.0,809.44,29.78,-1.27,R07B5.9,WBGene00045419,"Sequence name for WBGene00045419(lsy-12). History: Renamed on 2010-05-21. Public name for Dead gene WBGene00011086. History of WBGene00011086: Merged into ""WBGene00045419"" on 2008-04-09"
T10C6.11,his-4,H2BC1,1,63.59,52.53,40.81,623.64,795.9,825.04,8.72,9.99,17.18,14.3,-4.37,T10C6.11,WBGene00001878,Sequence name for WBGene00001878(his-4). History: N.A.
T10C6.12,his-3,H2AX,1,84.42,37.9,38.95,2583.96,2342.89,2847.99,15.99,22.48,37.57,48.21,-2.12,T10C6.12,WBGene00001877,Sequence name for WBGene00001877(his-3). History: N.A.
T10C6.13,his-2,H3C7,1,71.26,85.11,63.07,506.84,486.99,591.46,145.4,116.15,134.19,7.22,0.39,T10C6.13,WBGene00001876,Sequence name for WBGene00001876(his-2). History: N.A.
T16G12.3,T16G12.3,,5,922.0,417.57,433.12,17957.7,19148.93,20632.43,312.61,314.72,532.47,32.57,-1.53,T16G12.3,WBGene00011804,Public name for WBGene00011804. History: N.A.
VF13D12L.1,inos-1,ISYNA1,3,7709.3,5556.72,5675.02,79897.57,78775.05,86907.78,6052.95,6278.18,6524.87,12.97,0.14,VF13D12L.1,WBGene00012148,Sequence name for WBGene00012148(inos-1). History: N.A.
W04A8.2,W04A8.2,,4,2946.9,2415.65,2007.91,29216.82,30098.96,30914.35,42.17,28.72,239.4,12.24,-23.75,W04A8.2,WBGene00012237,Public name for WBGene00012237. History: N.A.
W09B7.2,W09B7.2,,4,1913.07,1674.26,1530.28,13856.28,15549.79,16631.52,549.61,562.0,692.42,9.0,-2.84,W09B7.2,WBGene00021107,Public name for WBGene00021107. History: N.A.
Y105E8A.11,Y105E8A.11,BOLA3,2,76.74,19.28,14.84,2357.46,2564.58,2378.69,17.45,19.98,46.16,65.85,-1.33,Y105E8A.11,WBGene00013671,Public name for WBGene00013671. History: N.A.
Y23H5A.2,Y23H5A.2,,3,1723.41,433.53,394.16,49511.67,49001.96,53441.16,273.35,274.76,734.29,59.56,-1.99,Y23H5A.2,WBGene00021269,Public name for WBGene00021269. History: N.A.
Y34F4.5,Y34F4.5,,4,353.01,135.64,120.57,8103.31,8587.76,8453.98,4.36,7.49,66.56,41.27,-7.77,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
Y39B6A.46,ztf-20,,5,114.02,99.74,88.11,610.44,628.73,505.74,8.72,9.99,13.96,5.78,-9.24,Y39B6A.46,WBGene00012702,Sequence name for WBGene00012702(ztf-20). History: N.A.
Y45G12B.3,Y45G12B.3,L2HGDH,5,1352.86,233.39,237.43,43051.77,41958.76,47479.44,207.92,201.07,625.86,72.65,-1.76,Y45G12B.3,WBGene00021564,Public name for WBGene00021564. History: N.A.
Y53C10A.2,hsf-2,,3,6.58,5.98,7.42,511.92,490.63,585.03,0.0,2.5,4.29,79.45,-2.94,Y53C10A.2,WBGene00013134,"Other name for WBGene00013134(hsf-2). History: Split into Y53C10A.15(WBGene00044805). History of WBGene00013134: N.A.. Public name for Dead gene WBGene00013133. History of WBGene00013133: Merged into ""WBGene00013134"" on 2014-11-13"
Y55F3BR.2,Y55F3BR.2,AMBP/LRP11/SPINT1,24,2821.92,2153.67,2198.97,26276.35,27834.81,29364.99,152.67,88.67,285.56,11.64,-13.62,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
Y56A3A.3,mif-1,MIF,3,191.86,4.65,19.48,7804.69,8140.75,7603.22,4.36,1.25,66.56,109.03,-2.99,Y56A3A.3,WBGene00003234,Sequence name for WBGene00003234(mif-1). History: N.A.
Y57G11C.8,Y57G11C.8,,6,12.06,8.64,9.27,305.73,403.4,462.88,5.82,12.49,17.18,39.1,0.21,Y57G11C.8,WBGene00013306,Public name for WBGene00013306. History: N.A.
Y59A8B.11,fbxa-106,,3,180.89,135.64,107.58,1427.07,1519.12,1388.64,13.09,9.99,15.03,10.22,-11.13,Y59A8B.11,WBGene00013348,Sequence name for WBGene00013348(fbxa-106). History: N.A.
Y60A3A.7,abhd-3.1,ABHD1/ABHD3,6,179.8,21.28,14.84,8234.34,8116.52,7543.22,13.09,18.73,71.93,110.67,-2.08,Y60A3A.7,WBGene00013358,Sequence name for WBGene00013358(abhd-3.1). History: N.A.
Y71F9AL.5,gst-43,GSTZ1,6,232.42,82.45,70.49,5314.18,5636.74,4817.38,8.72,7.49,48.31,40.92,-5.97,Y71F9AL.5,WBGene00001791,Sequence name for WBGene00001791(gst-43). History: N.A.
ZC204.2,duxl-1,DUXA,7,188.57,121.02,106.66,1190.41,1441.59,1742.23,53.8,54.95,46.16,10.51,-2.69,ZC204.2,WBGene00022554,Sequence name for WBGene00022554(duxl-1). History: Renamed on 2011-09-30; Renamed on 2011-10-14
ZK131.1,his-26,H4C2,1,105.25,89.1,123.35,636.85,759.56,921.47,39.26,61.2,54.75,7.3,-2.05,ZK131.1,WBGene00001900,Sequence name for WBGene00001900(his-26). History: N.A.
ZK131.10,his-16,H2AX,1,119.5,41.89,38.95,3813.98,3785.69,4656.65,43.62,57.45,77.29,61.18,-1.12,ZK131.10,WBGene00001890,Sequence name for WBGene00001890(his-16). History: N.A.
ZK131.2,his-25,H3C1/H3C4/H3C7,1,77.84,50.53,49.15,1197.52,1251.4,1512.93,47.98,47.46,55.82,22.32,-1.17,ZK131.2,WBGene00001899,Sequence name for WBGene00001899(his-25). History: N.A.
ZK131.3,his-9,H3C1/H3C4/H3C7,1,77.84,50.53,49.15,1197.52,1251.4,1512.93,47.98,47.46,55.82,22.32,-1.17,ZK131.3,WBGene00001883,Sequence name for WBGene00001883(his-9). History: N.A.
ZK131.4,his-10,H4C2,1,105.25,89.1,123.35,636.85,759.56,921.47,39.26,61.2,54.75,7.3,-2.05,ZK131.4,WBGene00001884,Sequence name for WBGene00001884(his-10). History: N.A.
ZK131.5,his-11,H2BC1,1,49.33,27.93,33.39,724.2,841.94,882.9,23.26,22.48,31.13,22.13,-1.44,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
ZK131.6,his-12,H2AX,1,119.5,41.89,38.95,3813.98,3786.9,4658.8,43.62,57.45,77.29,61.19,-1.12,ZK131.6,WBGene00001886,Sequence name for WBGene00001886(his-12). History: N.A.
ZK131.7,his-13,H3C1/H3C4/H3C7,1,77.84,50.53,49.15,1197.52,1251.4,1512.93,47.98,47.46,55.82,22.32,-1.17,ZK131.7,WBGene00001887,Sequence name for WBGene00001887(his-13). History: N.A.
ZK131.8,his-14,H4C2,1,105.25,89.1,123.35,636.85,759.56,921.47,39.26,61.2,54.75,7.3,-2.05,ZK131.8,WBGene00001888,Sequence name for WBGene00001888(his-14). History: N.A.
ZK131.9,his-15,H2BC1,1,49.33,27.93,33.39,724.2,841.94,882.9,23.26,22.48,31.13,22.13,-1.44,ZK131.9,WBGene00001889,Sequence name for WBGene00001889(his-15). History: N.A.
