# Table S3 1: a threshold of 10 RPM in wild type is used. if read number is lower, cell is left empty
# Annotated features with ten or more reads per million total reads and depleted by 2/3 or more in eri-7.
gene,gene name feature,chromosome,position (start),position (end),target description,total reads per million_embryo_N2,total reads per million_embryo_eri-1(mg366),total reads per million_embryo_eri-7(mg369),total reads per million_embryo_eri-6(mg379),total reads per million_embryo_ergo-1(tm1860),fraction of wild type_embryo_eri-1(mg366),fraction of wild type_embryo_eri-7(mg369),fraction of wild type_embryo_eri-6(mg379),fraction of wild type_embryo_ergo-1(tm1860),total reads per million_adult_N2,total reads per million_adult_eri-7(mg369),fraction of wild type_adult_eri-7(mg369),fold change,Input,Suggested Match,History
ZC132.4,,I,846748.0,841839.0,gene,40.34,1.11,0.47,0.31,1.66,0.03,0.01,0.01,0.04,37.0,3.0,0.07,0.01,ZC132.4,,Sequence name for Suppressed gene WBGene00022523. Molecular name for Suppressed gene WBGene00022523. Public name for Suppressed gene WBGene00022523. History of WBGene00022523: N.A.. Remark: This gene was determined to be of Transposon in origin so has been supressed from the protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
H15N14.4,,I,7779414.0,7779615.0,pseudogene,17.02,1.35,1.07,0.56,0.98,0.08,0.06,0.03,0.06,14.0,3.0,0.18,0.03,H15N14.4,WBGene00077552,Public name for WBGene00077552. History: N.A.
VH15N14R.1,,I,7781173.0,7782543.0,gene,29.54,4.04,3.01,1.52,2.68,0.14,0.1,0.05,0.09,37.0,8.0,0.22,0.05,VH15N14R.1,WBGene00012151,Public name for WBGene00012151. History: N.A.
F49D11.4,,I,10913190.0,10915544.0,gene,46.08,0.49,0.06,0.09,0.14,0.01,0.0,0.0,0.0,89.0,1.0,0.01,0.0,F49D11.4,WBGene00018628,Public name for WBGene00018628. History: N.A.
T02G6.4,,I,11808933.0,11814864.0,gene,64.95,0.97,0.5,0.18,7.0,0.01,0.01,0.0,0.11,,,,0.0,T02G6.4,WBGene00011387,Public name for WBGene00011387. History: N.A.
T02G6.10,,I,11825089.0,11825426.0,pseudogene,21.05,0.35,0.11,0.0,1.79,0.02,0.01,0.0,0.09,13.0,0.0,0.01,0.0,T02G6.10,WBGene00077772,Public name for WBGene00077772. History: N.A.
C01A2.1,,I,13408786.0,13411440.0,gene,419.45,11.48,12.7,5.11,54.25,0.03,0.03,0.01,0.13,,,,0.01,C01A2.1,WBGene00007213,Public name for WBGene00007213. History: N.A.
W05H12.2,,I,13411786.0,13412868.0,gene,206.41,27.6,28.73,8.95,37.06,0.13,0.14,0.04,0.18,,,,0.04,W05H12.2,WBGene00012290,Public name for WBGene00012290. History: N.A.
F49B2.3,,I,14310997.0,14312859.0,gene,34.46,2.35,1.42,0.47,2.75,0.07,0.04,0.01,0.08,,,,0.01,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
K01A2.8,mps-2,II,309482.0,312210.0,gene,109.01,2.86,1.32,0.84,0.75,0.03,0.01,0.01,0.01,20.0,1.0,0.04,0.01,K01A2.8,WBGene00019282,Sequence name for WBGene00019282(mps-2). History: N.A.
Y51H7C.15,,II,1459147.0,1461314.0,gene,26.16,2.67,1.91,1.62,1.64,0.1,0.07,0.06,0.06,23.0,5.0,0.21,0.06,Y51H7C.15,WBGene00044439,Public name for WBGene00044439. History: N.A.
T16A1.8,fbxb-37,II,2091748.0,2093854.0,gene,322.08,12.84,7.11,1.69,214.08,0.04,0.02,0.01,0.66,,,,0.01,T16A1.8,WBGene00020537,"Sequence name for WBGene00020537(fbxb-37). History: Split into T16A1.10(WBGene00269431). History of WBGene00020537: Split into ""WBGene00269431"" on 2016-04-19"
T16A1.9,,II,2094626.0,2094802.0,retrotransposon,419.8,5.08,0.85,0.33,46.6,0.01,0.0,0.0,0.11,40.0,2.0,0.04,0.0,T16A1.9,,Sequence name for Suppressed gene WBGene00020538. Molecular name for Suppressed gene WBGene00020538. Public name for Suppressed gene WBGene00020538. History of WBGene00020538: Suppressed on 2005-12-12. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C40A11.10,,II,2136537.0,2137305.0,gene,275.81,2.76,0.57,0.06,22.5,0.01,0.0,0.0,0.08,37.0,2.0,0.04,0.0,C40A11.10,WBGene00016553,Sequence name for WBGene00016553(mir-8199). History: N.A.
F22E5.3,gcy-21,II,2659675.0,2665027.0,gene,14.53,0.69,0.85,0.32,0.29,0.05,0.06,0.02,0.02,,,,0.02,F22E5.3,WBGene00001546,Sequence name for WBGene00001546(gcy-21). History: N.A.
K08A2.1,,II,2997024.0,3000656.0,gene,14.66,2.65,4.01,1.51,2.51,0.18,0.27,0.1,0.17,,,,0.1,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
F39E9.10,,II,3302765.0,3303754.0,gene,697.92,16.39,6.65,2.16,184.64,0.02,0.01,0.0,0.26,526.0,18.0,0.03,0.0,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
F39E9.7,,II,3306151.0,3307507.0,gene,926.09,14.94,3.69,1.63,219.34,0.02,0.0,0.0,0.24,326.0,6.0,0.02,0.0,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
F39E9.6,,II,3310291.0,3311933.0,gene,450.85,20.09,12.17,5.71,44.02,0.04,0.03,0.01,0.1,369.0,45.0,0.12,0.01,F39E9.6,WBGene00018198,Public name for WBGene00018198. History: N.A.
F39E9.1,,II,3318306.0,3319810.0,gene,21.93,0.52,0.43,0.37,3.12,0.02,0.02,0.02,0.14,192.0,3.0,0.02,0.02,F39E9.1,WBGene00018194,"Public name for WBGene00018194. History: Split into ""WBGene00195075"" on 2010-04-22"
Y9D1A.2,,II,7450468.0,7451335.0,gene,12.65,0.33,0.15,0.1,0.14,0.03,0.01,0.01,0.01,,,,0.01,Y9D1A.2,WBGene00021187,Public name for WBGene00021187. History: N.A.
Y57A10A.15,polg-1,II,12189813.0,12199895.0,gene,14.2,3.63,2.98,0.98,1.66,0.26,0.21,0.07,0.12,,,,0.07,Y57A10A.15,WBGene00013258,Sequence name for WBGene00013258(polg-1). History: N.A.
E01G4.5,,II,13472361.0,13473853.0,gene,619.2,7.21,1.39,0.84,70.83,0.01,0.0,0.0,0.11,343.0,5.0,0.02,0.0,E01G4.5,WBGene00008447,Public name for WBGene00008447. History: N.A.
E01G4.7,,II,13477401.0,13478859.0,pseudogene,84.36,2.94,0.95,0.46,59.43,0.03,0.01,0.01,0.7,93.0,4.0,0.05,0.01,E01G4.7,WBGene00045410,Public name for WBGene00045410. History: N.A.
Y53F4B.24,,II,15042729.0,15043935.0,gene,16.37,1.14,1.03,0.41,2.51,0.07,0.06,0.02,0.15,,,,0.02,Y53F4B.24,WBGene00013170,"Public name for WBGene00013170. History: Split into Y53F4B.62(WBGene00219491), Y53F4B.63(WBGene00219492). History of WBGene00013170: Split into ""WBGene00219491"" on 2012-05-18; Split into ""WBGene00219492"" on 2012-05-18"
Y53F4B.15/Y53F4B.45  ,asc-1/probable non-coding RNA,II,15126498.0,15133945.0,gene/probable non-coding RNA,20.98,3.26,0.58,0.98,1.27,0.16,0.03,0.05,0.06,56.0,5.0,0.08,0.03,,,
W04B5.2,,III,2424345.0,2427728.0,gene,263.46,4.02,1.25,0.64,43.23,0.02,0.0,0.0,0.16,778.0,8.0,0.01,0.0,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
W04B5.1,,III,2428184.0,2429360.0,gene,18.64,0.22,0.11,0.11,1.5,0.01,0.01,0.01,0.08,122.0,1.0,0.0,0.0,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
W04B5.6,,III,2433540.0,2435217.0,gene,27.57,0.11,0.19,0.06,3.77,0.0,0.01,0.0,0.14,15.0,0.0,0.01,0.0,W04B5.6,WBGene00021023,Public name for WBGene00021023. History: N.A.
E02H9.6,,III,2436095.0,2442318.0,gene,52.39,0.44,0.49,0.11,6.28,0.01,0.01,0.0,0.12,31.0,0.0,0.01,0.0,E02H9.6,WBGene00017104,Public name for WBGene00017104. History: N.A.
C44B11.6,,III,3152728.0,3153464.0,gene,27.58,0.54,0.74,0.84,4.22,0.02,0.03,0.03,0.15,403.0,5.0,0.01,0.01,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
