# Table S7. Small RNAs significantly upregulated 1.3 fold or greater in prg-1(n4357) gonads.
# * mean reads across all libraries
class,gene_id,public_name,baseMean*,fold_change,pvalue_adj,Input,Suggested Match,History
csr,Y54F10AM.4,ceh-44,11470.5596128734,64.2895,8.58070032303624e-45,Y54F10AM.4,WBGene00000464,"Sequence name for WBGene00000464(ceh-44). History: Split into Y54F10AM.16(WBGene00306126). History of WBGene00000464: Split into ""WBGene00306126"" on 2022-01-04"
mut,Y67D8A.3,dmd-9,1116.06958289983,61.236,3.51531034351032e-10,Y67D8A.3,WBGene00022060,Sequence name for WBGene00022060(dmd-9). History: N.A.
csr,F33H2.3,F33H2.3,3222.58051043964,54.6475,1.51982079289034e-24,F33H2.3,WBGene00009367,Public name for WBGene00009367. History: N.A.
mut,C04C3.5,dyf-3,4936.5891327243,53.8059,9.659267302376e-15,C04C3.5,WBGene00001119,"Sequence name for WBGene00001119(dyf-3). History: N.A.. Public name for Dead gene WBGene00015415. History of WBGene00015415: Merged into ""WBGene00001119"" on 2005-08-19"
mut,K11D2.1,K11D2.1,2855.82562428553,49.6076,9.69710674091122e-23,K11D2.1,WBGene00010768,Public name for WBGene00010768. History: N.A.
mut,C33C12.8,gba-2,1295.29553054275,41.4997,7.753072795373931e-09,C33C12.8,WBGene00016340,Sequence name for WBGene00016340(gba-2). History: N.A.
mut,Y34F4.5,Y34F4.5,2169.43033126213,40.5531,1.5487835564671601e-10,Y34F4.5,WBGene00021340,Public name for WBGene00021340. History: N.A.
csr,F15A4.12,tag-280,561.102132991365,39.2666,9.40851490152053e-38,F15A4.12,WBGene00044322,"Sequence name for WBGene00044322(tag-280). History: N.A.. Public name for Dead gene WBGene00008846. History of WBGene00008846: Merged into ""WBGene00044322"" on 2006-06-29"
mut,B0261.8,B0261.8,2494.81687124059,35.2902,4.87523468675931e-32,B0261.8,WBGene00015096,Public name for WBGene00015096. History: N.A.
mut,C39F7.5,C39F7.5,2963.49443218506,34.1544,7.762436365715039e-12,C39F7.5,WBGene00016540,Public name for WBGene00016540. History: N.A.
mut,K10F12.4,gsto-3,2467.39880011657,33.8689,1.14839213671144e-08,K10F12.4,WBGene00019636,Sequence name for WBGene00019636(gsto-3). History: N.A.
mut,C49A9.9,C49A9.9,687.286922539883,29.6689,2.48439853106131e-87,C49A9.9,WBGene00016763,Public name for WBGene00016763. History: N.A.
mut,C55C3.3,C55C3.3,5113.40770797768,29.3774,3.63377814778221e-08,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
csr,R07B5.9,lsy-12,6789.81473254122,29.3029,2.63692964472793e-89,R07B5.9,WBGene00045419,"Sequence name for WBGene00045419(lsy-12). History: Renamed on 2010-05-21. Public name for Dead gene WBGene00011086. History of WBGene00011086: Merged into ""WBGene00045419"" on 2008-04-09"
mut,K11D2.2,asah-1,1474.90047712991,28.2355,1.08906783124769e-06,K11D2.2,WBGene00010769,Sequence name for WBGene00010769(asah-1). History: Renamed on 2004-08-25
mut,F59A7.7,F59A7.7,1440.93939065866,27.6519,1.84778973578149e-06,F59A7.7,WBGene00019094,Public name for WBGene00019094. History: N.A.
mut,Y52B11A.19,Y52B11A.19,693.125432212618,26.5397,1.29844971784232e-20,Y52B11A.19,WBGene00206530,Public name for WBGene00206530. History: N.A.
mut,E02H9.3,E02H9.3,2361.52626856239,25.1205,3.1344695659577504e-111,E02H9.3,WBGene00017101,Public name for WBGene00017101. History: N.A.
csr,F58H1.5,F58H1.5,1.79335411199067,24.9146,0.0044906334027713,F58H1.5,WBGene00010288,Public name for WBGene00010288. History: N.A.
mut,R11E3.3,R11E3.3,1834.76287725968,23.4074,2.54124035699012e-32,R11E3.3,,Sequence name for Suppressed gene WBGene00020005. Molecular name for Suppressed gene WBGene00020005. Public name for Suppressed gene WBGene00020005. History of WBGene00020005: Killed on 2005-11-21; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
mut,F19B2.1,srz-33,1600.36885246125,22.0653,1.03078004062855e-74,F19B2.1,WBGene00008941,"Sequence name for WBGene00008941(srz-33). History: Split into F19B2.10(WBGene00043055). History of WBGene00008941: Split into ""WBGene00043055"" on 2004-09-13"
mut,ZC317.6,ZC317.6,698.480247452598,21.8802,1.13848965226666e-62,ZC317.6,WBGene00022589,Public name for WBGene00022589. History: N.A.
