FeatureNum,ProbeName,accessions,GeneName,SystematicName,slide17.txt:chr_coord,slide17.txt:Description,slide17.txt_slide18.txt_Dyeswap.signal,Input,Suggested Match,History
2624,A_12_P102318,wb|F28B3.5b|wb|F28B3.5a,F28B3.5b,F28B3.5b,chrI:4927855-4927914,Unknown,-5.2260585,F28B3.5b,WBGene00017886,Molecule name for WBGene00017886(mfsd-13.1). History: N.A.
17705,A_12_P106573,wb|C50F4.12,C50F4.12,C50F4.12,chrV:9540812-9540753,Unknown,-4.472405,C50F4.12,WBGene00008236,Public name for WBGene00008236. History: N.A.
114,A_12_P115261,wb|K07C6.2,K07C6.2,K07C6.2,chrV:3946796-3946855,cytochrome P450 [K07C6.2],-4.137579,K07C6.2,WBGene00019470,Sequence name for WBGene00019470(cyp-35B3). History: N.A.
2154,A_12_P117697,wb|Y47H9C.7,Y47H9C.7,Y47H9C.7,chrI:11899854-11899795,Initiation factor 2 subunit [Y47H9C.7],-4.096777,Y47H9C.7,WBGene00012950,Sequence name for WBGene00012950(eif-2Bbeta). History: N.A.
19870,A_12_P105017,wb|K07H8.9,K07H8.9,K07H8.9,chrIV:8285378-8285319,Unknown,-3.826188,K07H8.9,WBGene00019509,Public name for WBGene00019509. History: N.A.
1718,A_12_P115156,wb|C04B4.2,C04B4.2,C04B4.2,chrX:12284809-12284868,Unknown,-3.7202456,C04B4.2,WBGene00007290,Public name for WBGene00007290. History: N.A.
17174,A_12_P102905,wb|C06E4.6,C06E4.6,C06E4.6,chrIV:7257281-7257222,dehydrogenase [C06E4.6],-3.6426187,C06E4.6,WBGene00015535,Public name for WBGene00015535. History: N.A.
13291,A_12_P104019,wb|Y48G8AL.1.2|wb|Y48G8AL.1.1,Y48G8AL.1.2,Y48G8AL.1.2,chrI:1247936-1253369,Unknown,-3.542502,,,
1425,A_12_P100945,wb|C56C10.1,C56C10.1,C56C10.1,chrII:6603238-6603297,Unknown,-3.5340605,C56C10.1,WBGene00016960,Sequence name for WBGene00016960(vps-33.2). History: N.A.
17280,A_12_P102087,wb|F58G1.1,F58G1.1,F58G1.1,chrII:12922430-12922489,Unknown,-3.412786,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
7778,A_12_P107060,,A_12_P107060,A_12_P107060,chrI:004761995-004761936,Unknown,-3.3265462,,,
18584,A_12_P113170,wb|K07B1.4b|wb|K07B1.4a.1|wb|K07B1.4a.2,K07B1.4b,K07B1.4b,chrV:9333828-9333887,Unknown,-3.038313,K07B1.4b,WBGene00019464,Molecule name for WBGene00019464(K07B1.4). History: N.A.
14746,A_12_P118855,,A_12_P118855,A_12_P118855,chrII:010575191-010575132,Unknown,-2.9653306,,,
10731,A_12_P114981,wb|C07D10.2a|wb|C07D10.2b.1|wb|C07D10.2b.2,C07D10.2a,C07D10.2a,chrII:7396508-7396691,Unknown,-2.9463756,C07D10.2a,WBGene00015567,Molecule name for WBGene00015567(bath-44). History: N.A.
21232,A_12_P101997,wb|F16A11.1,F16A11.1,F16A11.1,chrI:9402895-9402544,"Zinc finger, C3HC4 type (RING finger) [F16A11.1]",-2.8922772,F16A11.1,WBGene00008876,Public name for WBGene00008876. History: N.A.
