Gene,Location,PD1/CON1 ratio,PD2/CON2 ratio,fold change,"Composite 
Chi-square
P-value",CON1 rpm,CON2 rpm,PD1 rpm,PD2 rpm,...10,Dauer/L3 ratio,L3 rpm,Dauer rpm,Input,Suggested Match,History
40787,chrI:3433157-3438544,0.983368623,1.1448969,1.064132762,-0.335149328,93.81386686,82.54133556,92.25361307,94.50131922,,1.51,19.4503597,29.31082262,,,
6-phosphofructokinase,chrV:9531791-9534510,0.511907393,0.372248334,0.442077864,-0.473563058,2.733031971,6.07792046,1.399059273,2.262495765,,,0.0,0.0,,,
abcf-2,chrIII:13457575-13462118,1.049973931,0.944406429,0.99719018,-0.687962527,25.84992739,40.07149964,27.14174989,37.8437819,,5.41,15.64181495,84.6757098,abcf-2,WBGene00012097,Public name for WBGene00012097. History: N.A.
abi-1,chrIII:5690057-5692681,0.829022119,2.030996857,1.430009488,-0.017729813,19.58672913,13.30095634,16.23783168,27.01420051,,0.22,3.981552897,0.888206746,abi-1,WBGene00015146,Public name for WBGene00015146. History: N.A.
abl-1,chrX:10605762-10624114,2.048200963,0.842295178,1.445248071,-0.037469217,11.30139603,2.297531681,23.14753024,1.935199856,,0.03,9.813209996,0.300298556,abl-1,WBGene00000018,Public name for WBGene00000018. History: N.A.
abts-4,chrX:6747260-6761693,0.111688886,1.291595326,0.701642106,-0.143498126,2.505279307,1.969696502,0.279811855,2.544050794,,1.56,1.137586542,1.776413492,abts-4,WBGene00019844,Public name for WBGene00019844. History: N.A.
abu-10,chrX:3798163-3799726,,2.144150489,2.144150489,-0.8183958,0.0,0.126623343,0.0,0.271499503,,,,,,,
acdh-11,chrIII:10566080-10571488,1.106732793,1.744443627,1.42558821,0.027177956,19.32785224,21.67978552,21.39076789,37.81916368,,1.52,5.83507896,8.882067461,acdh-11,WBGene00012860,Public name for WBGene00012860. History: N.A.
acdh-12,chrII:7192375-7194755,0.921433308,0.47178982,0.696611564,0.029113865,11.84313854,23.59414965,10.91266233,11.13147961,,1.5,5.119139439,7.6977918,acdh-12,WBGene00017125,Public name for WBGene00017125. History: N.A.
acdh-8,chrII:5794474-5796100,0.460716654,0.315316248,0.388016451,0.031470937,3.644042628,8.610387318,1.678871127,2.714995026,,,,,,,
adm-2,chrX:13687893-13695694,0.907670534,1.3672234,1.137446967,-0.54939843,2.942149001,4.706757305,2.670501954,6.435188725,,0.04,3.168089219,0.133231012,adm-2,WBGene00000074,Public name for WBGene00000074. History: N.A.
afd-1,chrI:2160043-2209630,1.556285313,1.028658888,1.292472101,0.031770642,36.58488205,39.73155902,56.93651461,40.87022134,,1.33,32.54445631,43.1372762,afd-1,WBGene00021009,Public name for WBGene00021009. History: N.A.
