# 133 Genes with CSR-1-bound 22G RNA Homology,,,,,,,,,,,,,,,
gene ID,gene name,cosmid ID,Description (from Wormbase),log2FoldChange (SIN vs WT),Padj,gene length,N2 rep1 counts,N2 rep2 counts,N2 rpkm,WT rep1 counts,WT rep2 counts,WT rpkm,SIN rep1 counts,SIN rep2 counts,SIN rpkm,Input,Suggested Match,History
WBGene00008107,aspm-1,C45G3.1,"aspm-1 encodes a protein, with one N-terminal calponin-homology domain and two IQ calmodulin-binding domains, that is orthologous to Drosophila Asp (Abnormal Spindles) and to human ASPM (OMIM:605481), which when mutated leads to primary microcephaly; in C. elegans, ASPM-1 is required for the forces that regulate meiotic spindle rotation in meiosis I and II and for proper meiotic spindle organization and location; in regulating meiotic spindle organization, ASPM-1 functions together with LIN-5 and CMD-1, with which it physically interacts, to likely locate a dynein motor complex to the meiotic spindle poles to provide at least part of the force for meiotic spindle migration to the cell cortex; in addition, large-scale RNAi experiments indicate that aspm-1 activity is also required for embryonic and larval viability, germline maintenance, vulval morphogenesis, and locomotion; LIN-5 localization to meiotic spindles and mitotic spindle poles requires ASPM-1, and ASPM-1 co-localizes with LIN-5 to the meiotic spindle and mitotic spindle poles, in a manner dependent upon CMD-1.",1.209516996,1.43e-15,3745.0,5876.0,4226.0,30.74397365,5980.0,4605.0,37.17490555,15108.0,11729.0,95.78482684,WBGene00008107,WBGene00008107,History: Renamed on 2006-09-21
WBGene00000257,bmk-1,F23B12.8,"bmk-1 encodes the sole C. elegans BimC/kinesin-5 homolog; while BMK-1 activity is not essential for mitotic progression or development, BMK-1 does play a role in negatively regulating interpolar microtubule sliding during anaphase spindle elongation, thus serving as a brake to slow the rate of spindle-pole separation; BMK-1 localizes to mitotic and meiotic spindles and becomes concentrated at the spindle midzone during mitotic anaphase and telophase; in vivo, BMK-1 localization is dependent upon the AIR-2/Aurora B kinase with which it interacts and serves as a substrate in vitro.",1.070834925,3.1300000000000003e-26,3202.0,8430.0,7198.0,55.76369038,6772.0,5376.0,49.98315022,15136.0,12371.0,115.0306673,WBGene00000257,WBGene00000257,History: N.A.
WBGene00020463,cec-6,T12E12.2,cec-6 encodes a C. elegans chromodomain protein,1.951931182,4.2e-60,2993.0,4698.0,3870.0,32.69023046,4919.0,3757.0,38.10897007,18549.0,18005.0,164.5247276,WBGene00020463,WBGene00020463,History: N.A.
WBGene00016236,cec-9,C29H12.5,"cec-9 encodes a C. elegans chromodomain protein predicted to have protein kinase activity and ATP binding activity, based on protein domain information",2.065853557,2e-53,2259.0,1413.0,1382.0,14.16403154,1811.0,1570.0,19.81463006,8927.0,6871.0,93.44814525,WBGene00016236,WBGene00016236,History: Renamed on 2018-06-11
WBGene00000499,chk-2,Y60A3A.12,"chk-2 encodes a member of the Cds1/Chk2 checkpoint kinase family, orthologous to human CHK2 (OMIM:604373, mutated in Li-Fraumeni syndrome), that affects pairing between homologous chromosomes during early meiotic prophase, and might function to couple premeiotic S phase with early prophase; CHK-2 is expressed in the germ line.",3.366959956,1.02e-46,1678.0,459.0,659.0,7.669222856,443.0,356.0,6.277520412,5198.0,5630.0,87.26124093,WBGene00000499,WBGene00000499,History: N.A.
WBGene00000508,cit-1.2,F44B9.3,"cit-1.2 encodes one of two C. elegans cyclin T orthologs; RNAi experiments indicate that CIT-1.2 functions redundantly with CIT-1.1 to broadly regulate embryonic transcription; by homology, CIT-1.1 and CIT-1.2 are predicted to interact with the CDK-9 kinase to form the P-TEFb transcription elongation factor that in C. elegans is required for Ser2, but not Ser5, phosphorylation in the C-terminal domain (CTD) repeat of AMA-1/PolII.",1.499005539,5.02e-24,2239.0,3050.0,2177.0,26.60457844,2370.0,1956.0,25.50974161,7424.0,6088.0,80.81790404,WBGene00000508,WBGene00000508,History: N.A.
WBGene00000549,cls-2,R107.6,"cls-2 encodes one of three predicted orthologs of mammalian CLASPs and of Drosophila ORBIT/MAST, microtubule-binding proteins required for fibroblast polarization and mitosis; cls-2 is required in mass RNAi assays for embryonic development and normal mitotic spindles; it has been claimed that, in an RNAi screen of potential microtubule tip-binding proteins, only cls-2(RNAi) yielded embryonic lethality and meiotic defects.",2.412179085,1.01e-26,3831.0,6210.0,9014.0,45.74927846,7117.0,6486.0,47.13924602,45213.0,43579.0,312.1459035,WBGene00000549,WBGene00000549,History: N.A.
WBGene00017641,csr-1,F20D12.1,"csr-1 encodes, by alternative splicing, two isoforms of an Argonaute  protein required for chromosome segregation, embryonic viability, Slicer  activity induced by secondary siRNAs, and (partially) for germline RNAi;  csr-1(RNAi) embryos are generally inviable, with disordered metaphase  chromosomes and anaphase DNA bridges; CSR-1 is found in secondary-type  siRNA/Slicer complexes, and isolated recombinant CSR-1 itself shows  Slicer activity with secondary-type siRNAs; csr-1(fj54) mutant cell-free  extracts have only 10% the normal level of secondary siRNA-induced  Slicer activity; csr-1 mutants are partially defective in germline RNAi;  CSR-1 belongs to a nematode-specific group of Argonaute homologs, and is  most closely related to C04F12.1; like ALG-1/2 and RDE-1, but unlike  some other Argonaute homologs, CSR-1 retains key catalytic residues in  an RNAse H domain.",2.205259094,1.41e-82,3697.0,20609.0,19262.0,123.3797255,27088.0,20723.0,170.0325073,121899.0,118538.0,876.1577401,WBGene00017641,WBGene00017641,History: N.A.
WBGene00000863,cya-1,ZK507.6,"cya-1 encodes an A-type cyclin; loss of cya-1 via RNAi results in sterility but no defects in embryonic cell divisions, or embryonic lethality, is observed; CYA-1 is predicted to be a substrate of germ-line MPK-1/ERK activity that functions to regulate oocyte organization and differentiation.",1.0848417,4.48e-09,2096.0,6768.0,4450.0,60.92308823,5116.0,4219.0,58.80006109,12593.0,9407.0,140.1090601,WBGene00000863,WBGene00000863,History: N.A.
WBGene00000872,cyk-1,F11H8.4,cyk-1 encodes a Formin Homology protein homologous to Drosophila diaphanous and human DIAPH1; cyk-1 is required for embryonic cytokinesis and Arp2/3-independent assembly of cortical microfilaments; CYK-1 physically interacts with the PFN-1 profilin; CYK-1 is enriched within cleavage furrows during cell division.,1.672362991,1.95e-24,4926.0,5666.0,3806.0,21.894483,3335.0,2495.0,15.54152426,11023.0,9636.0,56.28936829,WBGene00000872,WBGene00000872,History: N.A.
