Unnamed: 0,1: adareri,2: adareri,3: double,4: double,average double,average triple,tripl/double,fold change,Pvalue,gene name,seq name,Input,Suggested Match,History
WBGene00021018,22.37296575,27.56340438,6297.03593,11042.46703,8669.751478,24.96818506,0.002879919,0.002879919,2.9999999999999994e-23,0,W04B5.1,WBGene00021018,WBGene00021018,History: N.A.
WBGene00219661,0.588762256,2.505764035,1444.886104,2896.189409,2170.537756,1.547263146,0.000712848,0.000712848,3.83e-21,linc-45,C44B11.9,WBGene00219661,WBGene00219661,History: N.A.
WBGene00219304,18.25162995,17.54034824,3239.212354,4923.819957,4081.516156,17.8959891,0.004384642,0.004384642,4.920000000000001e-21,0,F56D6.16,WBGene00219304,WBGene00219304,History: N.A.
WBGene00219689,1.766286769,1.252882017,932.7295525,1413.829089,1173.279321,1.509584393,0.001286637,0.001286637,8.310000000000001e-21,linc-41,F36A4.22,WBGene00219689,WBGene00219689,History: N.A.
WBGene00189975,2.355049026,5.01152807,1405.763034,1343.808049,1374.785541,3.683288548,0.002679173,0.002679173,3.81e-20,0,K02E2.12,WBGene00189975,WBGene00189975,History: N.A.
WBGene00003356,5.298860308,7.517292105,1624.496561,3943.525394,2784.010977,6.408076206,0.002301742,0.002301742,5.4e-20,mir-262,ZK384.5,WBGene00003356,WBGene00003356,History: N.A.
WBGene00219477,2.355049026,1.252882017,898.052286,983.274182,940.663234,1.803965522,0.001917759,0.001917759,1e-19,0,F57G8.14,WBGene00219477,WBGene00219477,History: N.A.
WBGene00219594,2.355049026,1.252882017,874.9341084,950.498376,912.7162422,1.803965522,0.00197648,0.00197648,1.5e-19,linc-59,F57G8.15,WBGene00219594,WBGene00219594,History: N.A.
WBGene00219687,4.121335795,1.252882017,1109.672528,2167.672629,1638.672578,2.687108906,0.001639808,0.001639808,2.29e-19,linc-12,F34D6.11,WBGene00219687,WBGene00219687,History: N.A.
WBGene00044559,17.07410544,6.264410087,1929.478674,2300.265662,2114.872168,11.66925776,0.005517713,0.005517713,4.63e-17,0,ZK380.5,WBGene00044559,WBGene00044559,History: N.A.
WBGene00014562,19.42915446,17.54034824,1773.875555,2172.142057,1973.008806,18.48475135,0.009368813,0.009368813,9.95e-17,0,Y17D7B.7,WBGene00014562,WBGene00014562,History: N.A.
WBGene00044167,20.01791672,41.34510658,3100.503288,6649.019204,4874.761246,30.68151165,0.006293952,0.006293952,2.44e-16,0,C36A4.11,WBGene00044167,WBGene00044167,History: N.A.
WBGene00019174,18.25162995,26.31052237,1871.68323,3581.501718,2726.592474,22.28107616,0.008171766,0.008171766,3.37e-16,0,H09G03.1,WBGene00019174,WBGene00019174,"History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
WBGene00012199,2865.505902,1379.423101,15.11573155,5.959237467,10.53748451,2122.464502,201.4204149,201.4204149,4.69e-16,mltn-3,W02B8.3,WBGene00012199,WBGene00012199,History: N.A.
WBGene00044478,21.78420349,45.10375263,3096.946646,5890.706236,4493.826441,33.44397806,0.007442205,0.007442205,5.39e-16,0,K06B9.6,WBGene00044478,WBGene00044478,History: N.A.
WBGene00018628,12.36400739,22.55187631,1720.525914,5083.229559,3401.877737,17.45794185,0.005131855,0.005131855,8.58e-16,0,F49D11.4,WBGene00018628,WBGene00018628,History: N.A.
WBGene00219755,3.532573539,2.505764035,1087.443511,6601.345304,3844.394407,3.019168787,0.000785343,0.000785343,2.36e-15,linc-17,Y49F6A.9,WBGene00219755,WBGene00219755,History: N.A.
WBGene00010507,62.99756144,132.8054938,7342.688889,14029.53481,10686.11185,97.90152765,0.009161567,0.009161567,4.16e-15,0,K02E2.6,WBGene00010507,WBGene00010507,History: N.A.
WBGene00195029,8.242671591,2.505764035,732.6683997,1905.46618,1319.06729,5.374217813,0.004074256,0.004074256,7.62e-15,0,Y37E11B.11,WBGene00195029,WBGene00195029,History: N.A.
WBGene00194708,8.242671591,23.80475833,1625.385722,3502.541821,2563.963771,16.02371496,0.006249587,0.006249587,7.89e-15,0,Y36E3A.2,WBGene00194708,WBGene00194708,History: N.A.
WBGene00219771,8.242671591,13.78170219,1435.994497,8696.017273,5066.005885,11.01218689,0.002173741,0.002173741,2.35e-14,linc-24,Y82E9BR.31,WBGene00219771,WBGene00219771,History: N.A.
WBGene00167100,6.476384821,6.264410087,540.609693,724.0473522,632.3285226,6.370397454,0.010074506,0.010074506,3.54e-14,21ur-11898,Y54F10BM.16,WBGene00167100,WBGene00167100,History: N.A.
WBGene00174006,6.476384821,6.264410087,539.7205323,722.5575428,631.1390376,6.370397454,0.010093493,0.010093493,3.63e-14,21ur-10824,Y54F10BM.18,WBGene00174006,WBGene00174006,History: N.A.
WBGene00021019,50.0447918,90.20750526,5740.421345,31819.34845,18779.8849,70.12614853,0.00373411,0.00373411,6.88e-14,0,W04B5.2,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00195031,2.355049026,7.517292105,635.7498857,2490.961261,1563.355573,4.936170565,0.00315742,0.00315742,8.39e-14,0,Y37E3.23,WBGene00195031,WBGene00195031,History: N.A.
WBGene00269426,1.766286769,0,272.9723285,449.9224287,361.4473786,0.883143385,0.002443353,0.002443353,8.62e-14,0,C49G7.14,WBGene00269426,WBGene00269426,History: N.A.
WBGene00219660,8.831433847,10.02305614,593.9593337,1294.64434,944.3018367,9.427244993,0.009983296,0.009983296,9.38e-14,linc-19,C44B11.8,WBGene00219660,WBGene00219660,History: N.A.
WBGene00171981,0.588762256,0,269.4156858,1358.706142,814.0609141,0.294381128,0.000361621,0.000361621,2.33e-13,21ur-9823,Y82E9BR.24,WBGene00171981,WBGene00171981,History: N.A.
WBGene00219307,14.71905641,43.85087061,2081.52515,5460.151329,3770.83824,29.28496351,0.007766168,0.007766168,2.92e-13,0,F56D6.17,WBGene00219307,WBGene00219307,History: N.A.
WBGene00269383,32.97068636,92.71326929,4132.818837,11467.0627,7799.940766,62.84197783,0.008056725,0.008056725,3.22e-13,0,ZK384.7,WBGene00269383,WBGene00269383,History: N.A.
WBGene00012819,4.121335795,5.01152807,369.0016819,1597.075641,983.0386615,4.566431933,0.004645221,0.004645221,4.26e-13,0,Y43F8B.9,WBGene00012819,WBGene00012819,History: N.A.
WBGene00012452,69.47394626,100.2305614,3601.100751,13628.77609,8614.938419,84.85225383,0.009849432,0.009849432,8.35e-13,0,Y17D7B.4,WBGene00012452,WBGene00012452,History: N.A.
WBGene00010102,5.887622565,8.770174122,673.9837949,4883.595104,2778.789449,7.328898343,0.002637443,0.002637443,9.49e-13,0,F55C9.5,WBGene00010102,WBGene00010102,History: N.A.
WBGene00219699,1405.964268,1972.036295,63779.49552,233159.6353,148469.5654,1689.000282,0.011376071,0.011376071,1.5e-12,linc-22,F47E1.18,WBGene00219699,WBGene00219699,History: N.A.
WBGene00219756,1.177524513,1.252882017,295.2013455,2167.672629,1231.436987,1.215203265,0.000986817,0.000986817,1.84e-12,linc-68,Y49F6A.10,WBGene00219756,WBGene00219756,History: N.A.
WBGene00016635,287.9047434,300.6916842,10030.62162,18993.57962,14512.10062,294.2982138,0.020279505,0.020279505,1.89e-12,0,C44B11.6,WBGene00016635,WBGene00016635,History: N.A.
WBGene00219688,20.01791672,32.57493245,1099.0026,3459.337349,2279.169975,26.29642459,0.01153772,0.01153772,2.32e-12,linc-21,F36A4.21,WBGene00219688,WBGene00219688,History: N.A.
WBGene00219707,262.5879664,340.7839087,9979.050303,26397.93217,18188.49124,301.6859376,0.016586639,0.016586639,3.42e-12,linc-8,F59H5.6,WBGene00219707,WBGene00219707,History: N.A.
WBGene00017225,11.77524513,16.28746623,691.7670084,4150.608896,2421.187952,14.03135568,0.005795236,0.005795236,4.7e-12,fbxa-52,F07G6.6,WBGene00017225,WBGene00017225,History: N.A.
WBGene00170306,4.710098052,15.03458421,713.9960254,3515.950105,2114.973065,9.872341131,0.004667833,0.004667833,5.37e-12,21ur-9719,F47E1.6,WBGene00170306,WBGene00170306,History: N.A.
