# Note: In the following rows commas have been replaced with semicolons to work better with r
# Spermatogenesis genes (Ensembl 2018; D. R. Zerbino et al.; 2018)
chr,start,end,name,score,strand,Input,Suggested Match,History
chrI,4664499,4665349,B0041.1,1,+,B0041.1,WBGene00015006,Public name for WBGene00015006. History: N.A.
chrI,5965063,5967213,B0207.1,2,+,B0207.1,WBGene00015026,Public name for WBGene00015026. History: N.A.
chrI,5255449,5256926,B0261.6,3,-,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
chrI,10070911,10071819,B0379.2,4,-,B0379.2,WBGene00007156,Public name for WBGene00007156. History: N.A.
chrI,10072570,10074376,B0379.7,5,-,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
chrI,10646750,10647766,B0511.3,6,+,B0511.3,WBGene00015229,Sequence name for WBGene00015229(fbxa-125). History: N.A.
chrI,10644272,10645606,B0511.4,7,+,B0511.4,WBGene00015230,Sequence name for WBGene00015230(tag-344). History: N.A.
chrI,10014720,10015487,C03C11.1,8,+,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
chrI,9695698,9696753,C04F12.7,9,-,C04F12.7,WBGene00007301,Public name for WBGene00007301. History: N.A.
chrI,6006334,6007326,C06A5.2,10,+,C06A5.2,WBGene00015500,Public name for WBGene00015500. History: N.A.
chrI,5488342,5490629,C09D4.3,11,+,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
chrI,6307329,6308431,C10G11.1,12,+,C10G11.1,WBGene00015685,Public name for WBGene00015685. History: N.A.
chrI,6274576,6275270,C10G11.9,13,-,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
chrI,4719789,4721099,C10H11.7,14,+,C10H11.7,WBGene00015696,Public name for WBGene00015696. History: N.A.
chrI,7387353,7388792,C15A11.2,15,+,C15A11.2,WBGene00007597,Public name for WBGene00007597. History: N.A.
chrI,11586226,11587322,C17D12.5,16,+,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
chrI,9408348,9410087,C17E4.1,17,-,C17E4.1,WBGene00007641,"Public name for WBGene00007641. History: Split into C17E4.12(WBGene00044769). History of WBGene00007641: Split into ""WBGene00044769"" on 2006-02-27"
chrI,6682368,6683698,C17F3.3,18,+,C17F3.3,WBGene00015908,Public name for WBGene00015908. History: N.A.
chrI,4212743,4214263,C18E3.1,19,+,C18E3.1,WBGene00015970,Public name for WBGene00015970. History: N.A.
chrI,5401810,5402896,C24A11.1,20,+,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
chrI,7505967,7506642,C26C6.6,21,+,C26C6.6,WBGene00007740,Public name for WBGene00007740. History: N.A.
chrI,5232997,5235279,C32E12.1,22,+,C32E12.1,WBGene00016327,Public name for WBGene00016327. History: N.A.
chrI,3783837,3784438,C32E8.4,23,+,C32E8.4,WBGene00016322,Public name for WBGene00016322. History: N.A.
chrI,10672725,10674847,C34B2.3,24,+,C34B2.3,WBGene00016388,Public name for WBGene00016388. History: N.A.
chrI,5896642,5897411,C34G6.3,25,+,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
chrI,10807052,10808227,C35E7.9,26,+,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
chrI,8749609,8751363,C36B1.10,27,-,C36B1.10,WBGene00007977,Sequence name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
chrI,6784881,6787140,C37A2.3,28,+,C37A2.3,WBGene00016491,Sequence name for WBGene00016491(acdh-5). History: N.A.
chrI,9526531,9527432,C41G7.6,29,-,C41G7.6,WBGene00008063,Sequence name for WBGene00008063(cycl-2). History: N.A.
chrI,4237034,4238739,C43E11.5,30,+,C43E11.5,WBGene00016605,Public name for WBGene00016605. History: N.A.
chrI,5020876,5023166,C46H11.6,31,+,C46H11.6,WBGene00016730,Public name for WBGene00016730. History: N.A.
chrI,6889252,6891444,C48B6.4,32,+,C48B6.4,WBGene00016742,Public name for WBGene00016742. History: N.A.
chrI,6234720,6235345,C48E7.7,33,+,C48E7.7,WBGene00016752,Public name for WBGene00016752. History: N.A.
chrI,6265692,6269075,C48E7.8,34,-,C48E7.8,WBGene00016753,Sequence name for WBGene00016753(oac-9). History: N.A.
chrI,3895794,3897403,C50F2.5,35,-,C50F2.5,WBGene00016839,Public name for WBGene00016839. History: N.A.
chrI,8005121,8006291,C54G4.3,36,-,C54G4.3,WBGene00008313,Public name for WBGene00008313. History: N.A.
chrI,6502308,6503922,C55B7.10,37,-,C55B7.10,WBGene00016946,Public name for WBGene00016946. History: N.A.
chrI,6499842,6501415,C55B7.3,38,+,C55B7.3,WBGene00016942,Public name for WBGene00016942. History: N.A.
chrI,2562659,2563051,C55C2.2,39,+,C55C2.2,WBGene00006047,Sequence name for WBGene00006047(ssp-19). History: N.A.
chrI,3690147,3694017,D1037.5,40,-,D1037.5,WBGene00017026,Sequence name for WBGene00017026(ipla-4). History: N.A.
chrI,8463316,8469303,D1081.3,41,-,D1081.3,WBGene00008381,"Public name for WBGene00008381. History: Split into D1081.10(WBGene00045508), D1081.19(WBGene00304981). History of WBGene00008381: Split into ""WBGene00045508"" on 2007-07-26; Split into ""WBGene00304981"" on 2019-09-26"
chrI,8481152,8482530,D1081.5,42,+,D1081.5,WBGene00008383,Public name for WBGene00008383. History: N.A.
chrI,6616304,6618543,D2092.7,43,+,D2092.7,WBGene00006645,Sequence name for WBGene00006645(tsp-19). History: N.A.
chrI,8404540,8405949,F02E9.3,44,-,F02E9.3,WBGene00008529,Public name for WBGene00008529. History: N.A.
