# TABLE S1
# List of WAGO loci with piRNA target sites that maintain 22G-RNA levels in a prg-1 mutant.
GENE,targeting 21U-RNAs,Input,Suggested Match,History
W04G5.3,"11897, 10475",W04G5.3,WBGene00012264,Public name for WBGene00012264. History: N.A.
T09A5.15,21ur-10186,T09A5.15,WBGene00011641,Public name for WBGene00011641. History: N.A.
C18H2.1,"21ur-10201, 9669,9241",C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
srh-1,"21ur-1026,138,9130",srh-1,WBGene00005227,Public name for WBGene00005227. History: N.A.
T16G12.1,"21ur-10404, 11834",T16G12.1,WBGene00011803,Public name for WBGene00011803. History: N.A.
lrp-2,"21ur-10599, 6943, 12194, 14288, 9200, 12666, 13784, 5163",lrp-2,WBGene00003072,Public name for WBGene00003072. History: Renamed on 2008-05-09
unc-44,"21ur-10844, 12167, 15396, 7418, 12935",unc-44,WBGene00006780,Public name for WBGene00006780. History: N.A.
C33C12.8,"21ur-10909, 15480",C33C12.8,WBGene00016340,Sequence name for WBGene00016340(gba-2). History: N.A.
Y55B1BR.5,"21ur-10998, 13417",Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
K01C8.2,21ur-1102,K01C8.2,WBGene00010457,Public name for WBGene00010457. History: N.A.
rbc-1,"21ur-11175, 10715, 9942, 13617",rbc-1,WBGene00004313,Public name for WBGene00004313. History: N.A.
Y17G9B.1,"21ur-11429, 13861, 2981",Y17G9B.1,WBGene00021198,Sequence name for WBGene00021198(npp-26). History: N.A.
T04G9.1,"21ur-11457, 10298, 8118, 13825, 10430, 8178, 11868",T04G9.1,WBGene00020214,Sequence name for WBGene00020214(attf-5). History: N.A.
B0001.3,"21ur-11474, 572, 10690",B0001.3,WBGene00007088,Public name for WBGene00007088. History: N.A.
pyk-1,"21ur-11770,13689,11158, 10032",pyk-1,WBGene00009126,Public name for WBGene00009126. History: N.A.
F07B7.12,21ur-11973,F07B7.12,WBGene00017190,Public name for WBGene00017190. History: N.A.
cdh-12,"21ur-12041, 485, 13124, 10272, 12805",cdh-12,WBGene00022103,Public name for WBGene00022103. History: N.A.
eri-6,"21ur-12594, 15653, 10384, 720",eri-6,WBGene00016561,Public name for WBGene00016561. History: N.A.
C06B3.6,"21ur-12600,13395, 13612",C06B3.6,WBGene00007365,Public name for WBGene00007365. History: N.A.
T27A3.1,"21ur-12663, 11626, 8266",T27A3.1,WBGene00020838,Sequence name for WBGene00020838(trak-1). History: N.A.
fbxb-14,21ur-13178,fbxb-14,WBGene00021098,Public name for WBGene00021098. History: N.A.
Y76B12C.8,"21ur-13469, 8810",Y76B12C.8,WBGene00022302,Public name for WBGene00022302. History: N.A.
CD4.8,"21ur-13757, 10810",CD4.8,WBGene00016993,Public name for WBGene00016993. History: N.A.
T11F9.10,"21ur-138,9130",T11F9.10,WBGene00011712,Public name for WBGene00011712. History: N.A.
Y57G7A.6,21ur-13810,Y57G7A.6,WBGene00021969,Public name for WBGene00021969. History: N.A.
T01H10.8,"21ur-13819,11872, 4853, 7244, 2703, 11250, 10509, 1999, 10584, 13777",T01H10.8,WBGene00011361,Sequence name for WBGene00011361(lyst-1). History: N.A.
C30G7.3,21ur-13828,C30G7.3,WBGene00044177,Public name for WBGene00044177. History: N.A.
F52C9.1,"21ur-1386, 13125, 8574",F52C9.1,WBGene00018672,Sequence name for WBGene00018672(sorf-2). History: Renamed on 2016-01-19
F16B4.6,21ur-1419,F16B4.6,WBGene00017508,Public name for WBGene00017508. History: N.A.
C01B9.1,21ur-14424,C01B9.1,WBGene00007220,Public name for WBGene00007220. History: N.A.
Y16B4A.2,"21ur-14439, 3802",Y16B4A.2,WBGene00012445,Public name for WBGene00012445. History: N.A.
T09F5.12,"21ur-14550, 5312",T09F5.12,WBGene00014836,Public name for WBGene00014836. History: N.A.
F53H10.2,21ur-14555,F53H10.2,WBGene00010012,Sequence name for WBGene00010012(saeg-1). History: N.A.
